"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Anagallis t.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Halimium/Tuberaria","Hedera","Hepaticae","HippophaÃ« rhamnoides","Hypericum undif.","Ilex","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Mercurialis","Musci","Myrtus","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Vaccinium","Viola","Vitis"
" 3838.79",NA,NA," 55","0.282","22","0","0","3","1","11","4","3","0","204","0","6","1","0","1","4","0","0","1","1","1","1","4","2","9","0","0","0","41","0","17","0","3","0","1","8","2","0","0","0","0","0","2","0","0","0","62","0","0","0","0","0","2","0","2","2","0","2","11","0","1","0","645","2","0","0","0","0","180","10","240","1","19","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0"
" 4107.25",NA,NA," 60","0.282","10","1","0","0","0","9","5","0","0","430","0","2","0","0","0","0","0","1","1","0","1","1","3","0","2","0","0","0","24","0","6","0","0","2","0","3","1","0","1","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","1","0","1","3","33","0","1","0","330","1","0","0","15","1","176","12","170","3","21","5","0","1","3","0","0","0","2","0","0","0","0","0","0","0","0"
" 4375.71",NA,NA," 65","0.282","10","0","0","0","0","9","0","2","0","296","1","0","0","0","0","1","0","0","0","0","2","1","1","0","2","0","0","0","14","0","2","0","0","1","1","3","1","0","0","0","0","0","1","0","0","0","57","0","0","0","0","1","2","0","0","0","1","0","19","0","2","0","251","1","0","0","15","1","171","9","132","0","18","2","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0"
" 4644.17",NA,NA," 70","0.282","11","1","0","0","0","7","2","2","1","377","3","1","0","0","0","1","0","0","0","0","1","0","1","1","2","0","0","0","11","0","9","2","3","0","2","2","1","0","0","0","0","0","2","0","0","0","102","0","0","0","0","0","0","0","0","1","1","3","21","1","1","0","198","1","0","0","35","0","174","10","61","4","24","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1"
" 4912.63",NA,NA," 75","0.282","11","0","0","0","1","11","2","2","2","335","1","1","3","0","0","1","0","1","0","0","5","1","4","1","5","0","0","0","26","0","6","1","2","1","0","3","0","0","0","0","0","0","0","0","0","0","130","0","0","0","0","0","4","0","0","0","1","1","35","1","3","0","260","1","0","0","36","0","182","6","58","4","19","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 5318.86",NA,NA," 80","0.282","13","1","0","0","0","7","1","0","1","296","2","0","2","0","0","3","0","3","1","0","0","0","2","1","0","0","0","0","13","0","9","0","4","2","0","3","0","0","0","0","0","0","0","0","0","0","68","0","0","0","0","0","2","1","0","0","2","2","26","0","0","0","168","1","0","0","20","1","179","9","51","1","11","5","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 5725.09",NA,NA," 85","0.282","16","0","0","2","0","7","2","2","1","246","1","1","1","0","0","1","0","1","1","0","1","1","8","1","0","0","0","0","8","0","6","0","1","3","1","1","1","0","0","0","0","0","0","0","0","0","84","0","0","0","0","0","1","0","3","0","1","4","28","0","0","0","273","0","0","0","0","0","213","18","35","3","24","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
" 6131.33",NA,NA," 90","0.282","9","1","0","0","0","7","3","0","0","423","1","2","0","0","0","3","0","0","0","0","1","3","0","2","1","0","1","0","17","0","10","0","3","0","0","2","0","0","0","0","0","0","3","0","0","0","121","0","1","0","0","0","2","1","1","0","0","4","25","0","1","1","201","1","0","0","0","0","194","20","31","0","14","1","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0"
" 6537.56",NA,NA," 95","0.282","11","0","0","0","1","14","0","1","2","62","0","5","0","0","1","1","0","1","0","0","2","1","1","1","1","0","0","0","13","0","3","0","0","1","1","3","1","0","0","0","0","0","1","0","1","1","66","0","0","0","2","0","0","0","0","0","0","7","45","0","0","0","420","0","0","0","0","0","226","19","37","0","20","0","0","0","2","0","1","0","2","0","0","0","0","1","0","0","0"
" 6699.18",NA,NA,"100","0.282","15","0","0","1","0","1","1","1","0","16","2","7","0","0","0","0","0","1","1","0","1","2","1","1","1","0","0","0","6","0","5","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","46","0","0","0","1","0","1","0","0","0","1","6","40","0","1","0","330","0","0","0","2","1","166","15","1","0","18","0","0","0","1","0","0","0","4","0","0","0","1","0","0","0","0"
" 6860.80",NA,NA,"105","0.282","13","0","0","0","1","9","2","2","1","11","0","4","2","0","0","0","0","0","1","0","1","4","5","3","2","0","0","0","3","0","9","0","0","0","0","5","2","0","0","0","0","0","1","0","1","0","61","0","0","0","2","0","0","1","0","1","0","8","47","0","1","0","334","0","0","0","0","0","231","16","0","0","14","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1"
" 7022.42",NA,NA,"110","0.282","5","0","0","1","0","4","2","0","0","7","2","9","1","0","0","0","0","0","0","0","1","2","2","2","1","0","0","0","3","0","4","1","0","1","0","5","0","0","0","0","0","0","1","0","0","0","56","0","0","0","1","0","3","0","1","0","0","6","41","0","3","0","282","1","0","0","1","1","190","20","0","1","18","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 7184.03",NA,NA,"115","0.282","10","0","0","0","2","9","1","0","1","13","2","10","1","1","0","0","0","0","1","0","0","2","0","0","1","0","0","0","4","0","7","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","57","0","0","0","3","0","2","3","0","0","0","7","42","0","1","0","378","2","0","0","1","1","221","18","2","1","20","0","0","0","1","0","0","0","5","0","0","0","0","2","0","0","0"
" 7345.65",NA,NA,"120","0.282","9","0","0","0","0","6","0","0","1","2","1","1","1","0","0","2","0","0","2","0","0","2","0","0","1","0","0","0","8","0","6","1","0","3","2","1","1","0","0","0","1","0","1","0","0","0","73","0","0","0","0","0","0","1","0","0","0","6","35","0","0","0","372","0","0","1","6","0","192","28","18","0","18","0","0","0","2","0","0","0","5","1","0","0","0","0","0","0","0"
" 7507.27",NA,NA,"125","0.282","4","1","0","0","0","9","3","0","2","5","0","6","2","0","0","2","0","1","1","0","1","0","5","0","3","0","0","0","7","0","11","0","0","1","2","2","0","0","0","0","0","0","1","0","0","0","129","0","0","0","0","0","2","2","1","3","0","10","57","0","1","0","418","0","0","0","27","1","240","37","19","0","22","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0"
" 7751.78",NA,NA,"130","0.282","7","3","1","0","0","8","0","1","0","5","1","4","4","0","0","2","0","0","0","0","2","3","6","2","1","0","0","0","3","0","9","0","0","4","3","3","0","0","0","0","0","0","3","0","0","0","111","0","0","0","0","0","5","2","0","0","0","8","58","0","0","0","536","0","0","0","15","2","255","32","21","1","31","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
" 7996.29",NA,NA,"135","0.282","5","1","0","0","0","4","3","1","1","3","0","5","0","0","0","2","0","0","1","0","1","2","1","3","2","0","1","0","4","0","10","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","2","0","1","0","0","6","32","0","0","0","412","0","0","0","4","1","213","25","16","0","34","0","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0"
" 8240.79",NA,NA,"140","0.282","2","0","0","0","0","5","1","0","1","4","0","6","1","0","0","0","0","0","3","0","4","1","3","3","6","0","0","0","5","0","11","0","0","3","3","1","0","0","0","0","0","0","1","0","0","0","86","0","0","1","0","0","6","2","0","0","1","10","60","1","1","1","720","0","1","0","4","0","260","30","16","0","32","1","0","0","1","0","0","0","4","3","0","0","1","0","0","0","0"
" 8485.30",NA,NA,"145","0.282","1","0","0","0","0","4","3","0","0","1","0","1","2","0","0","0","0","0","5","0","1","0","2","9","3","0","0","0","3","0","12","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","1","4","0","1","12","37","0","1","0","394","0","0","0","1","2","214","22","7","0","22","0","0","0","2","1","0","0","3","1","0","0","0","0","0","0","0"
" 8609.69",NA,NA,"150","0.282","2","1","0","2","0","7","3","0","2","0","1","5","1","0","0","1","0","0","6","0","0","0","9","13","0","0","0","0","0","0","8","0","0","2","2","9","0","0","0","0","0","0","1","0","0","0","74","0","0","0","0","0","0","0","0","0","1","19","29","1","0","0","477","0","0","0","5","2","231","30","2","0","41","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0"
" 8734.07",NA,NA,"155","0.282","7","2","0","2","0","7","5","0","2","1","1","1","2","0","1","0","0","0","2","0","0","0","7","16","2","0","0","0","1","0","4","0","0","1","4","3","0","0","0","0","0","0","7","0","0","0","73","0","0","0","0","0","1","1","1","0","1","18","87","0","2","0","696","0","0","0","0","2","268","18","1","0","39","0","0","0","5","0","0","0","2","2","0","0","0","0","0","0","0"
" 8858.46",NA,NA,"160","0.282","3","1","0","2","0","10","6","0","1","6","2","0","3","0","0","0","0","0","2","0","0","0","10","13","0","0","1","0","0","0","10","1","0","2","3","6","0","0","0","0","0","0","5","0","0","0","47","0","0","0","0","0","1","0","0","2","0","15","60","0","0","0","537","0","0","0","0","7","234","21","0","1","41","1","0","0","3","0","0","0","5","1","0","0","0","0","0","0","0"
" 8982.84",NA,NA,"165","0.282","1","2","0","1","1","12","3","0","1","5","1","0","0","0","0","1","0","0","1","0","0","1","9","13","0","0","1","0","4","0","8","1","0","1","2","1","0","0","0","0","0","0","2","0","0","0","93","0","0","0","1","0","0","3","1","0","2","23","50","0","1","0","498","0","0","0","0","2","294","31","2","0","65","0","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0"
" 9107.23",NA,NA,"170","0.282","1","0","0","3","1","8","4","0","2","4","0","1","1","0","0","0","0","0","1","0","0","0","6","10","2","0","0","0","2","0","12","0","0","2","2","6","1","0","0","0","0","0","3","0","0","0","55","0","0","1","1","0","0","2","1","0","2","27","64","0","1","0","549","0","0","0","0","2","212","15","0","1","45","0","0","0","6","0","0","0","3","2","0","0","0","0","0","0","0"
" 9235.79",NA,NA,"175","0.282","0","2","0","3","1","11","5","0","1","5","0","1","0","0","0","0","0","1","5","0","0","0","7","14","4","0","0","0","2","0","17","0","0","1","1","2","0","0","0","0","0","0","4","0","0","0","48","0","0","0","0","0","0","3","0","1","0","12","51","0","1","0","402","0","0","0","0","4","237","30","0","0","43","1","0","0","1","0","1","0","4","2","0","0","0","0","0","0","0"
" 9364.36",NA,NA,"180","0.282","2","2","0","1","1","9","6","0","0","7","0","1","0","0","0","0","0","0","2","0","0","0","5","24","6","0","3","0","0","0","6","0","0","4","4","3","0","0","0","0","0","0","1","0","0","0","88","0","0","0","0","0","0","0","1","1","1","15","67","0","1","0","690","0","0","0","0","1","270","26","0","0","88","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
" 9492.92",NA,NA,"185","0.282","0","1","0","1","0","12","6","0","2","1","1","3","0","0","0","1","0","0","0","0","0","0","11","7","1","0","0","1","1","0","7","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","3","0","0","1","16","55","0","3","0","474","0","0","0","0","2","198","20","0","0","57","0","0","0","5","0","0","0","4","0","0","0","0","0","0","0","0"
" 9621.48",NA,NA,"190","0.282","2","1","0","2","0","12","6","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","2","12","7","0","1","0","2","0","4","0","0","3","0","4","1","0","0","0","0","0","4","0","0","0","43","0","0","0","0","0","0","3","0","1","0","11","62","0","1","0","476","0","0","0","0","1","185","20","1","0","65","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0"
" 9763.08",NA,NA,"195","0.282","0","0","0","0","0","11","5","0","0","4","1","3","3","0","0","1","0","0","4","0","0","0","1","9","3","0","1","0","0","0","8","0","0","1","3","5","0","0","0","0","0","0","4","0","0","0","89","0","0","0","0","0","0","0","0","1","1","9","61","0","1","0","440","0","0","0","0","2","208","29","0","0","54","0","0","0","9","0","0","0","5","1","0","0","0","0","0","0","0"
" 9904.69",NA,NA,"200","0.282","2","0","0","0","0","6","3","0","0","14","0","3","0","0","0","2","0","0","4","0","0","0","3","7","6","0","0","0","10","0","6","0","0","2","1","5","0","0","0","0","0","0","0","0","0","0","96","0","0","0","1","0","2","0","2","0","1","18","29","2","2","0","325","0","0","0","0","5","217","4","18","0","36","0","0","0","6","0","0","0","3","0","0","0","0","0","0","0","0"
"10046.29",NA,NA,"205","0.282","4","0","0","0","0","3","2","0","0","9","1","2","1","0","1","0","0","0","1","0","0","0","4","13","2","0","0","0","1","1","10","0","0","0","1","5","0","0","0","1","0","0","1","0","0","0","71","0","1","0","1","0","0","3","0","0","1","6","57","0","1","0","452","0","0","1","0","1","200","25","4","0","40","0","0","0","3","0","0","0","4","1","0","0","1","0","0","0","0"
"10187.90",NA,NA,"210","0.282","5","1","0","0","0","7","3","0","1","13","0","2","1","0","0","0","0","0","2","0","3","2","7","2","3","0","0","0","6","0","10","0","0","2","1","1","0","0","0","0","0","0","1","0","0","0","76","0","0","0","0","0","5","0","2","0","3","40","74","0","2","0","440","0","0","0","0","1","253","4","6","0","23","1","0","1","5","0","0","0","4","0","0","0","0","0","0","0","0"
"10329.50",NA,NA,"215","0.282","2","0","0","1","0","8","3","0","1","3","0","2","0","0","0","0","0","0","0","0","1","2","6","16","0","0","0","0","0","0","8","0","0","1","3","2","1","0","0","0","0","0","4","0","0","0","52","0","0","0","0","0","1","2","0","0","2","9","60","0","1","0","462","0","0","0","0","3","223","37","0","0","58","0","0","1","1","0","0","0","4","2","0","0","0","0","0","0","0"
"10471.10",NA,NA,"220","0.282","3","1","0","0","0","8","5","0","1","6","0","2","1","0","0","1","0","0","2","0","0","0","2","0","2","0","0","0","4","0","7","0","0","1","7","5","0","0","1","0","0","0","0","0","0","0","53","0","0","0","0","0","0","0","1","0","2","36","63","0","0","1","420","0","0","0","0","2","258","4","1","0","43","0","0","1","2","0","0","0","9","0","0","0","0","0","0","0","0"
"10612.71",NA,NA,"225","0.282","2","1","0","0","0","11","10","1","1","5","1","5","1","0","0","0","0","0","2","0","0","1","4","14","8","0","2","1","0","0","3","0","1","0","2","3","0","0","0","0","0","0","1","0","0","0","37","0","0","0","0","0","0","0","2","1","1","4","55","1","2","0","424","0","0","0","0","0","190","15","0","0","70","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0"
"10754.31",NA,NA,"230","0.282","2","2","0","0","1","7","16","0","2","11","1","40","0","0","0","1","0","0","2","0","0","0","1","0","2","0","0","0","2","0","8","0","0","2","0","1","2","0","0","0","0","0","2","0","0","0","24","0","0","1","0","0","0","2","0","2","1","63","96","0","2","0","158","0","0","0","0","0","124","12","0","0","90","0","0","2","1","0","0","0","0","1","0","0","0","0","5","0","0"
"10895.91",NA,NA,"235","0.282","0","0","0","0","3","10","35","0","3","8","2","13","1","0","0","3","0","0","9","0","0","0","0","0","4","0","0","0","1","0","28","0","0","0","0","2","0","0","1","0","0","0","1","0","0","1","26","0","0","0","0","0","0","2","1","0","0","56","153","0","21","1","123","0","0","0","0","0","39","9","0","0","47","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0"
"11037.52",NA,NA,"240","0.282","3","1","0","0","2","10","42","0","2","10","2","9","1","0","0","5","0","0","2","1","0","0","0","1","8","0","0","1","5","0","93","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","28","0","0","0","0","0","0","4","2","0","0","160","320","0","5","1","195","0","0","0","0","0","28","4","0","0","28","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"11179.12",NA,NA,"245","0.282","0","2","0","0","0","3","21","0","6","10","0","4","1","0","0","2","0","2","2","0","0","0","1","2","7","0","1","1","7","0","120","0","0","1","1","2","0","0","0","0","0","0","5","0","1","0","21","0","0","0","2","0","0","1","0","0","1","112","188","0","20","0","119","0","0","0","0","0","31","5","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"11320.72",NA,NA,"250","0.282","0","4","0","0","0","2","39","0","6","14","0","4","0","1","0","2","0","2","0","0","0","0","2","2","9","0","0","1","11","0","206","0","0","0","3","1","0","0","0","0","0","0","1","0","0","0","80","0","0","0","0","0","0","4","0","0","0","188","226","0","3","0","163","0","0","0","0","0","31","1","0","0","14","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0"
"11462.33",NA,NA,"255","0.282","0","1","0","0","0","5","58","0","2","23","2","9","1","0","0","2","0","0","3","0","0","0","3","1","5","0","1","1","8","0","236","0","0","1","0","3","0","0","0","0","0","1","2","0","0","1","49","0","0","0","0","0","0","2","0","0","1","178","286","0","4","0","179","0","0","0","0","0","37","3","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11603.93",NA,NA,"260","0.282","0","3","0","0","1","3","91","0","18","29","0","2","2","1","0","7","0","2","8","0","0","0","0","2","9","0","1","0","6","0","70","1","0","1","2","6","0","0","0","0","0","0","0","0","0","6","204","0","0","0","0","0","0","4","1","0","0","174","280","0","3","0","336","0","0","0","0","0","6","0","0","0","22","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"11745.54",NA,NA,"265","0.282","0","10","0","0","8","0","98","0","5","3","1","3","2","2","0","0","0","1","4","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","301","0","0","0","0","0","0","0","0","0","0","92","130","0","5","1","101","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"11887.14",NA,NA,"270","0.282","0","7","0","0","13","1","240","0","8","2","1","7","0","1","0","0","0","1","3","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","225","0","0","0","0","0","0","1","0","0","0","34","68","0","0","0","76","0","0","0","0","0","0","0","1","0","3","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0"
"12028.74",NA,NA,"275","0.282","0","12","0","0","4","0","124","0","4","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","543","0","0","0","0","0","0","0","0","0","0","36","102","0","1","0","71","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
