"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Buxus","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morus","Myriophyllum undif.","Myrtus","Nerium","Nuphar","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitis"
" 1843",NA,NA,"   95","    1","    0","    0","    0","    3","   59","   17","    1","    4","    9","    1","    0","    0","   14","    0","   12","    0","    0","    0","   26","    0","    1","    0","    0","    0","    8","    0","    7","    0","    3","    0","    1","   41","   51","    0","    0","    0","    0","   13","   18","    0","    0","    0","    1","   55","    0","    0","    0","    0","   11","    4","    0","    0","    5","    4","    1","    0","    0","    0","    0","    1","   46","   10","    0","    0","    4","  627","41697","    0","    0","    0","    0","   10","    2","    0","   14","    0","    0","    0","   14","    1","    2","    7","    9","    4","    0","   45","    1","    0","    0","    1","    0","    0","    0","    0","    0","   10","   25","    4","    0","    1","    1","    1","    2","    0","   17","    2","    4","    0","    0","    1","    1","    0","   34","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","   10"
" 2046",NA,NA,"  110","    1","    0","    0","    0","    0","   30","   19","    0","    3","    6","    4","    1","    0","   51","    3","   22","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   54","   61","    0","    0","    0","    0","   10","    4","    0","    0","    0","    0","   93","    0","    0","    0","    1","    4","    4","    0","    0","    2","    9","    0","    0","    0","    0","    1","    1","   35","    5","    0","    0","    2","  308","41697","    0","    0","    0","    0","    4","    0","    0","   13","    0","    0","    0","    0","    1","    0","    1","   12","    6","    0","   67","    1","    0","    1","    0","    0","    0","    0","    0","    0","    1","   12","    0","    1","    0","    0","    0","    1","    0","   17","    0","    1","    0","    0","    0","    0","    1","   16","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 2168",NA,NA,"  120","    1","    0","    0","    0","    0","   41","   23","    0","    5","    5","    2","    1","    2","   31","    0","   16","    1","    4","    0","   30","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","   33","   59","    2","    4","    2","    1","   16","   82","    0","    0","    0","    1","   59","    0","    1","    0","    0","    8","    6","    0","    0","    6","    6","    0","    1","    0","    1","    0","    2","   29","   35","    0","    0","    4","  638","62545","    0","    0","    1","    1","   12","    0","    0","    9","    0","    0","    0","    0","    0","    1","    5","    6","    5","    1","   75","    0","    0","    2","    0","    0","    0","    1","    0","    0","   12","   17","    4","    5","    0","    0","    0","    3","    1","   13","    0","    1","    0","    0","    0","    3","    0","  233","    0","    0","   16","    0","    1","    0","    0","    0","    3","    0","    2","    0","    0","    0","    2"
" 2282",NA,NA,"  130","    1","    0","    0","    0","    0","   28","   23","    2","    4","    6","    1","    0","    0","   35","    2","   13","    0","    0","    0","   24","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    1","   44","   28","    0","    1","    1","    0","   14","   46","    0","    0","    0","    0","   94","    0","    0","    0","    2","   11","    5","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","   45","    3","    0","    0","    5","  356","41697","    0","    0","    0","    0","    8","    0","    0","   57","    0","    0","    0","    0","    0","    3","    4","   30","    6","    0","   53","    0","    0","    0","    1","    0","    0","    0","    1","    0","    7","   14","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1"
" 2389",NA,NA,"  140","    1","    0","    0","    0","    0","   30","   29","    0","    9","    7","    3","    0","    0","   28","    2","   15","    0","    0","    0","   37","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","   42","   34","    0","    1","    1","    0","   11","   20","    0","    0","    0","    1","   69","    0","    0","    0","    1","    8","    3","    0","    0","    8","    3","    0","    0","    0","    0","    0","    0","   26","    8","    0","    0","    5","  321","41697","    0","    0","    0","    0","    6","    0","    0","   33","    0","    0","    0","    0","    0","    2","    3","   23","    6","    0","   51","    1","    0","    0","    0","    0","    0","    1","    0","    0","    9","   18","    0","    2","    0","    0","    0","    2","    1","   10","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    1","    0","    0","    0","    5"
" 2491",NA,NA,"  150","    1","    0","    0","    0","    0","   17","   36","    1","    3","    3","    3","    0","    0","   37","    2","   11","    0","    1","    0","   13","    0","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","    0","    0","   13","    0","    0","    2","    0","   20","   18","    0","    0","    0","    1","   69","    0","    0","    0","    0","    6","    0","    0","    0","    5","    3","    0","    0","    0","    1","    0","    1","   18","    6","    0","    0","   15","  268","41697","    0","    0","    0","    0","   10","    0","    0","   47","    0","    0","    0","    0","    0","    2","    2","   43","    7","    0","   77","    0","    0","    0","    4","    0","    0","    6","    0","    0","    6","   36","    2","    2","    0","    0","    0","    0","    0","   10","    0","    1","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0"
" 2588",NA,NA,"  160","    1","    0","    0","    0","    0","   15","   33","    0","    4","    1","    0","    0","    0","   14","    0","    4","    1","    1","    0","    7","    0","    1","    0","    0","    0","    2","    0","    0","    2","    0","    0","    0","   23","   11","    0","    0","    2","    0","   36","    6","    0","    0","    0","    1","   36","    0","    0","    0","    0","    3","    2","    0","    0","    5","    2","    0","    0","    0","    0","    0","    3","   15","   24","    0","    0","   10","  250","41697","    0","    0","    0","    0","   12","    0","    0","   70","    0","    0","    0","    0","    1","   10","    4","   70","    6","    0","   23","    1","    0","    0","    0","    0","    0","   11","    0","    0","    7","   48","    0","    6","    0","    0","    0","    0","    0","   29","    2","    0","    0","    0","    0","    1","    1","    4","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3"
" 2679",NA,NA,"  170","    1","    0","    0","    0","    0","   16","   35","    0","    3","    3","    1","    2","    0","   14","    2","    6","    1","    1","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    6","    4","    0","    0","    4","    0","    3","    1","    0","    0","    0","    0","   76","    0","    0","    0","    1","    7","    6","    0","    0","   10","    1","    0","    2","    0","    0","    0","    0","   12","   10","    0","    0","    6","  554","62545","    0","    0","    0","    0","   12","    0","    0","   43","    0","    0","    0","    0","    0","    2","    6","  104","    1","    0","   31","    0","    0","    0","    0","    0","    0","   10","    2","    0","   15","   80","    5","    3","    0","    0","    0","    0","    0","   16","    0","    1","    1","    1","    1","    1","    1","    0","    0","    0","    1","    0","    1","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1"
" 2763",NA,NA,"  180","    1","    0","    0","    0","    0","   39","   48","    0","    1","    2","    0","    0","    0","   20","    0","    3","    0","    1","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    1","    0","    0","    9","    5","    0","    0","    0","    0","   39","    0","    0","    0","    0","    5","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    1","    1","    7","    0","    0","    8","  140","41697","    0","    0","    0","    0","    9","    0","    0","  101","    0","    0","    0","    0","    1","    6","    3","   51","    4","    0","   67","    0","    0","    0","    0","    0","    0","    3","    2","    0","   18","   45","    4","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0"
" 2842",NA,NA,"  190","    1","    0","    0","    0","    0","   25","   32","    0","    3","    2","    0","    3","    2","   20","    1","    5","    2","    0","    1","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    2","    0","    0","    1","    0","    9","   11","    0","    0","    0","    0","   67","    0","    0","    0","    0","    8","    2","    0","    0","   16","    1","    0","    0","    0","    0","    0","    0","   10","   18","    0","    0","   17","  208","41697","    0","    0","    0","    0","    2","    0","    0","  110","    0","    0","    0","    0","    0","    3","    3","   43","    7","    0","   21","    1","    0","    1","    2","    0","    0","    1","    4","    0","   20","   43","    4","    1","    0","    0","    0","    0","    2","    4","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    3"
" 2879",NA,NA,"  195","    1","    0","    0","    0","    0","   18","   22","    0","   11","    0","    3","    0","    1","    3","    0","    1","    0","    0","    0","   10","    0","    0","    0","    0","    0","    1","    2","    0","    0","    1","    0","    1","   14","    6","    0","    0","    1","    0","   13","    2","    0","    2","    0","    0","   46","    2","    0","    0","    0","    5","    1","    0","    0","    9","    3","    0","    0","    0","    0","    0","    0","   17","    7","    0","    0","    3","  291","41697","    0","    0","    0","    0","    9","    0","    0","  101","    0","    0","    0","    6","    1","    9","    6","   59","    4","    0","   40","    4","    3","    0","    0","    2","    0","    6","    0","    0","   12","   46","   16","    0","    1","    0","    0","    0","    0","   15","   14","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    1"
" 2948",NA,NA,"  205","    1","    0","    0","    0","    1","   19","   29","    0","    8","    0","    5","    0","    1","    8","    0","    3","    0","    2","    0","    7","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","   13","    9","    0","    0","    1","    0","    4","   11","    0","    1","    0","    0","   44","    0","    0","    0","    0","    6","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    8","    5","    0","    0","    2","  262","41697","    0","    0","    0","    0","    9","    0","    0","   63","    0","    0","    0","    5","    1","    5","    7","   74","    3","    0","   39","    8","    0","    1","    0","    0","    0","   11","    0","    0","   19","   69","    9","    1","    0","    0","    0","    0","    0","   16","   11","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3"
" 2980",NA,NA,"  210","    1","    0","    0","    0","    0","   35","   31","    0","    1","    3","    3","    5","    0","   17","    1","   10","    2","    1","    0","    6","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","   35","    4","    0","    1","    0","    1","    7","    5","    0","    0","    0","    0","   68","    0","    0","    0","    0","    5","    0","    0","    0","    4","    2","    0","    2","    0","    0","    0","    1","   21","   11","    0","    0","   10","  192","41697","    0","    0","    0","    0","    1","    0","    0","   80","    0","    0","    0","    0","    0","    4","    2","   45","    5","    1","   41","    4","    0","    0","    0","    0","    0","    5","    1","    0","    9","   25","    3","    5","    0","    0","    0","    0","    0","   33","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    4"
" 3039",NA,NA,"  220","    1","    0","    0","    0","    7","   28","   24","    0","    2","    4","    0","    0","    1","    7","    0","   15","    1","    2","    0","   10","    0","    0","    0","    0","    1","    3","    0","    1","    1","    2","    0","    1","   12","   15","    0","    3","    3","    1","    9","    4","    0","    0","    0","    0","   93","    0","    0","    0","    1","    1","    0","    0","    0","    9","    5","    0","    0","    0","    0","    0","    2","   18","   26","    0","    0","    5","  648","62545","    2","    0","    0","    0","    0","    0","    0","   52","    0","    0","    0","    0","    0","    7","    2","   51","    4","    0","   39","    3","    0","    1","    0","    0","    0","    0","    0","    0","   17","   21","    0","    1","    0","    0","    0","    1","    0","   30","    0","    0","    0","    0","    9","    0","    0","    5","    0","    0","    3","    0","    1","    0","    0","    0","    2","    0","    0","    0","    1","    0","    1"
" 3092",NA,NA,"  230","    1","    0","    0","    0","    0","   44","   27","    0","    2","    5","    2","    3","    0","   20","    0","    2","    2","    1","    0","   16","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    1","   35","   12","    0","    0","    2","    0","    6","    9","    0","    0","    0","    0","  102","    0","    0","    0","    1","   10","    1","    0","    0","   11","    5","    1","    0","    0","    0","    0","    0","   18","    8","    0","    0","    9","  420","62545","    0","    0","    0","    0","    8","    0","    0","   39","    0","    0","    0","    0","    0","    5","    2","   37","    3","    0","   28","    1","    0","    0","    1","    0","    0","   39","    0","    0","   11","   20","    1","    2","    0","    0","    0","    0","    0","   45","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 3140",NA,NA,"  240","    1","    0","    0","    0","    0","   45","   23","    0","    0","    0","    1","    4","    0","    7","    0","    3","    0","    2","    0","    3","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","   30","   19","    0","    0","    2","    1","   24","    8","    0","    0","    0","    1","   74","    0","    0","    0","    0","    8","    2","    0","    0","    3","    8","    0","    0","    0","    1","    0","    1","   21","   11","    0","    0","    9","  433","62545","    0","    0","    0","    0","   12","    0","    0","   50","    0","    0","    0","    0","    0","    1","    4","   62","    5","    0","   21","    4","    0","    1","    0","    0","    0","   32","    1","    0","   31","    3","    1","    8","    0","    0","    0","    0","    0","   30","    1","    0","    0","    0","    1","    0","    1","    1","    0","    0","    0","    0","    4","    0","    0","    0","    0","    2","    0","    0","    0","    0","    2"
" 3182",NA,NA,"  250","    1","    0","    0","    0","    0","   30","   29","    0","    2","    5","    3","    2","    1","   24","    1","   10","    0","    0","    0","   16","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","   55","   15","    0","    4","    1","    0","   11","    9","    0","    0","    0","    0","   95","    0","    0","    0","    1","    4","    0","    0","    0","   11","   17","    0","    0","    0","    0","    0","    1","   35","    4","    0","    0","    9","  357","62545","    0","    0","    0","    0","    9","    0","    0","   29","    0","    0","    0","    0","    0","    6","    1","   23","    2","    0","   46","    1","    0","    0","    0","    0","    0","   27","    0","    0","   21","   15","    0","    0","    0","    0","    0","    3","    0","   41","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 3221",NA,NA,"  260","    1","    0","    0","    0","    0","   35","   39","    0","    4","    1","    2","    0","    2","   10","    2","    8","    0","    1","    0","    5","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   25","    8","    0","    1","    1","    2","   16","    5","    0","    0","    0","    0","   76","    0","    0","    0","    1","    4","    3","    0","    0","    4","    7","    0","    0","    0","    0","    0","    0","   60","    7","    0","    0","    5","  318","62545","    0","    1","    0","    0","   10","    0","    0","   53","    0","    0","    0","    0","    1","    6","    3","   35","    5","    0","   50","    2","    0","    0","    1","    0","    0","    8","    1","    0","   18","   22","    4","    1","    0","    0","    0","    1","    0","   52","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 3257",NA,NA,"  270","    1","    0","    0","    0","    0","   33","   43","    0","    1","    3","    0","    0","    1","   25","    0","    5","    1","    4","    0","    7","    0","    0","    0","    0","    0","    1","    0","    2","    1","    0","    0","    0","    9","   14","    0","    0","    2","    1","    6","   12","    0","    0","    0","    0","   78","    0","    0","    0","    1","    2","    0","    0","    0","    6","    4","    2","    1","    0","    1","    0","    0","   63","    8","    0","    0","    5","  415","62545","    1","    0","    0","    0","    2","    0","    0","   63","    0","    1","    0","    0","    0","    4","    7","   45","    4","    0","   37","    1","    0","    1","    0","    0","    0","   14","    1","    0","   26","   22","    5","    1","    0","    0","    0","    0","    2","   40","    0","    1","    0","    0","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
