"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lysimachia","Lythrum","Matthiola","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Taxus","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viburnum","Vitis","Ziziphus/Paliurus"
"3026","3175","2876"," 170","   1","   0","   3","   0","  17","   4","   0","   0","   1","   4","   0","   2","   1","  31","   1","   5","   1","   0","   1","   0","   4","   0","   2","   0","   4","   2","   0","   0","   0","   0","   3","   4","  63","   0","   0","   1","   1","   1","   0","  13"," 241","   0","   0","   9","   1","   0","   0","   0","   0","   3","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   8","   2","   0","   0","   0","   2","   1","   0","  35","   0","   3","   5"," 144","   3","   2","   0","  14","   3"," 176","   0","   2","   0","   1","   4","  11","   0","   0","   2","   0"," 154","   0","   2","   0","   0","   2","   2","   6","   0","   0","   3","   0","   0","   2","   1"
"3382","3520","3248"," 190","   1","   6","   6","   1","  14","   1","   0","   0","   4","   5","   0","   3","   3","  21","   0","   8","   5","   0","   2","   0","   1","   1","  14","   0","   6","   0","   0","   5","   0","   0","   3","   5","  33","   0","   0","   0","   0","  11","   0","   9","  23","   0","   1","   7","   1","   0","   0","   1","   0","   3","   2","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   5","   1","   0","  34","   1","   1","   2"," 184","   2","   3","   1","   8","   2","  99","   0","   2","   0","   2","   3","   7","   0","   1","   7","   0","  66","   0","   0","   0","   0","   0","   4","   2","   0","   0","   0","   1","   0","   2","   0"
"3738","3873","3593"," 210","   2","   3","   0","   0","  19","   6","   2","   3","   3","   6","   0","  10","   0","  24","   0","   5","   1","   0","   3","   2","   3","   0","  47","   0","   2","   0","   1","   3","   2","   0","   1","   5","  33","   2","   0","   0","   0","   6","   0","  12","  39","   0","   0","  10","   1","   0","   1","   3","   0","   2","   9","   0","   1","   0","   1","   0","   2","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","  36","   0","   6","   3"," 198","   3","   1","   0","  17","   2"," 116","   6","   3","   0","   0","   6","   9","   0","   0","  16","   1","  41","   0","   4","   0","   0","   6","   2","   2","   0","   0","   0","   0","   0","   5","   1"
"4145","4267","4019"," 230","   1","   1","  55","   1","  16","  15","  20","   1","   4","   0","   0","  13","   0","  40","   0","   4","   1","   0","   1","   0","   8","   1","  33","   0","  14","   9","   1","   1","   0","   0","   4","  13","  87","   1","   1","   0","   0","  30","   0","  21","  17","   0","   0","  11","   4","   0","   0","  34","   0","  11","  10","   0","   0","   0","   0","   0","   2","   0","   0","   0","  14","   2","   0","   3","   4","   1","   0","   0","  50","   0","  21","   4"," 197","  18","   0","   0"," 288","   0"," 222","   7","   4","   0","  10","  15","  11","   0","   1","  10","   0","  18","   0","   2","   0","   0","   0","   3","   3","   3","   0","   3","   0","   0","   3","   1"
"4560","4671","4447"," 250","   2","   0","   3","   2","  13","  12","   1","   2","   6","  12","   0","  13","   1","  38","   0","   8","   0","   0","   0","   0","   6","   0","   8","   0","   2","  15","   0","   1","   0","   0","   3","   7"," 260","   0","   0","   2","   0","   1","   0","  27","  57","   0","   0","   2","   1","   0","   2","   0","   1","   7","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","  22","   6","   0","   7","   0","   0","   0","  77","   1","   5","   2"," 152","   8","   4","   0","   0","   0"," 357","   2","   1","   0","   4","   7","   8","   0","   0","   1","   0","  54","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"
"4974","5085","4865"," 270","   7","   0","  64","   0","   6","   1","   0","   1","   3","   4","   0","   1","   2","  18","   0","   2","   0","   0","   3","   0","   1","   1","   2","   0","   1","   4","   0","   1","   0","   0","   4","  38","  82","   0","   0","   1","   0","   0","   0","  19","  15","   0","   0","   2","   3","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","  13","   1","   1","   0","   0","   0","   1","   0","  86","   0","   7","   1"," 113","  19","   4","   0","  60","   0"," 217","   4","   1","   0","   2","   5","   2","   3","   1","   1","   0","  29","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0"
"5388","5515","5270"," 290","  11","   0","  14","   1","  17","   5","   0","   0","   8","  10","   0","  11","   2","  47","   0","   3","   1","   0","   1","   0","   2","   0","   1","   0","   1","   6","   0","   0","   0","   0","   5","  15","  54","   0","   0","   4","   0","   3","   0","  15","   7","   0","   0","   6","  11","   0","   0","   2","   0","   2","   3","  14","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","  10","   0","   1","   1","   0","   0"," 138","   1","  10","   1","1300","   1","   2","   0","  58","   0"," 173","   2","   0","   0","   0","   5","  41","   1","   3","   8","   0"," 114","   0","   0","   0","   0","   0","   8","   3","   0","   0","   0","   0","   1","   5","   0"
"5492","5623","5368"," 295","   9","   1","   8","   3","   3","  56","   0","   0","   3","   6","   0","   0","   3","  66","   0","   9","   0","   0","   3","   0","   6","  30","   0","   0","   0","   5","   0","   0","   0","   0","  12","   5","  29","   0","   0","   0","   0","   0","   0","  13","  12","   0","   0","   8","   6","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","  18","   0","   2","   0","   2","   1","   4","   0"," 106","   3","   1","   0"," 469","   1","   1","   0","   1","   6","  66","   3","   0","   0","   0","   3"," 161","   0","   4","   2","   0","  32","   0","   0","   0","   0","   0"," 141","   3","   2","   0","   0","   0","   0","   0","   0"
"6009","6175","5852"," 320","  11","   0","   2","   0","  12","   3","   0","   0","   4","   3","   0","   2","   0"," 104","   0","   5","   0","   0","   0","   0","  26","   0","   0","   0","   0","   1","   0","   0","   0","   0","   8","  15","  33","   0","   0","   1","   0","   0","   0","  18","  11","   0","   0","  10","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","  52","   0","   0","   0","   0","   1","   0"," 136","   1","   0","   0","  84","   0","   1","   0","   1","   1"," 248","   7","   1","   0","   0","   1","   0","   0","   1","   0","   0","  65","   0","   1","   0","   4","   0","   1","   8","   0","   0","   0","   0","   0","   2","   0"
"6131","6291","5979"," 330","  25","   0","  10","   0","  19","   3","   0","   0","   0","   2","   1","   0","   4"," 125","   0","   2","   0","   0","   0","   0","  51","   0","   0","   0","   0","   2","   0","   0","   0","   0","  34","   5","  89","   0","   0","   0","   0","   0","   0","  10","   8","   2","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   8","   1","   0","   0","   0","   1","   1","   0"," 228","   0","   5","   0","  79","   0","   0","   0","   3","   0"," 410","   0","   2","   0","   2","   3","   2","   0","   2","   1","   0","  21","   3","   0","   0","   6","   1","   0","  10","   0","   0","   0","   0","   0","   0","   0"
"6319","6456","6189"," 350","  17","   1","   3","   0","   2","   2","   0","   0","   0","   5","   0","   2","   0","  37","   0","   1","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   7"," 172","   0","   0","   1","   0","   0","   0","   0","   8","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   1","   1","   0","   0","   0","   0","   0"," 147","   0","   0","   0","  26","   0","   0","   0","   2","   0","  93","   0","   0","   0","   2","   0","   1","   0","   1","   0","   0","   2","   0","   0","   0","  10","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"
"6507","6625","6393"," 370","  35","   0","  20","   0","  16","   2","   0","   2","   0","   3","   0","   0","   0"," 199","   0","   0","   0","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   7","  62","   0","   0","   1","   0","   0","   0","   3","  14","   0","   0","  21","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"," 263","   1","   2","   0","  69","   0","   0","   0","   0","   0"," 504","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   5","   0","   0","   0","   8","   0","   0","   8","   0","   0","   0","   0","   0","   4","   0"
"6695","6800","6590"," 390","  13","   0","   6","   0","  11","   0","   0","   0","   0","   2","   0","   2","   1","  89","   0","   2","   1","   0","   0","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7","   4"," 129","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","  11","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 130","   2","   2","   0","  25","   1","   0","   0","   0","   0"," 212","   1","   0","   0","   0","   1","   1","   0","   0","   1","   0","   2","   0","   0","   0","   4","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0"
"6836","6937","6736"," 405","  13","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   8","  59","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"," 127","   0","   1","   0","  33","   0","   0","   0","   7","   0","  79","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"7070","7172","6970"," 430","  20","   0","   4","   0","   5","   0","   0","   0","   1","   1","   0","   0","   2"," 121","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   1","  18","   5","  75","   0","   0","   0","   0","   0","   0","   5","   4","   0","   0","  14","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 169","   0","   1","   0","  55","   0","   1","   0","   0","   0"," 166","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","  33","   0","   0","   0","   9","   0","   0","   8","   0","   0","   0","   0","   0","   1","   0"
"7408","7512","7278"," 460","  59","   0","   6","   0","  16","   5","   0","   0","   0","  21","   0","   2","   5","  56","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   1","   0","   0","   0","  61","  86","  84","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","  45","   2","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   4","   0"," 314","   9","   4","   0","  35","   1","   3","   0","   0","   0"," 520","   0","   1","   0","   3","   8","   7","   1","   2","   1","   0","   3","   0","   1","   0","  16","   0","   0","  15","   0","   0","   0","   0","   0","   6","   0"
"8041","8171","7902"," 480","  27","   0","   0","   0","   2","   0","   0","   0","   0","  10","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   4","  14","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  16","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 185","   1","   2","   0","  11","   1","   0","   0","   0","   0"," 115","   0","   0","   0","   0","   3","   2","   0","   1","   0","   0","   2","   0","   1","   0","  16","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0"
"8833","9051","8583"," 505","   8","   0","  26","   0","  13","   0","   0","   0","   0","  17","   0","   0","   7","   6","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","  46","  23","   0","   0","   0","   0","   0","   0","   0","   6","  10","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 136","  24","   0","   0","   0","   0","   0","   0"," 128","   4","   4","   0","  78","   0","   0","   2","1608","   0"," 210","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","  11","   0","   0","   8","   1","   0","   0","   0","   0","   0","   0"
"9271","9463","9057"," 530","   2","   0","   1","   0","  10","   7","   0","   2","   9","   8","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  21","   8","  13","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   2","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","  25","   1","   0","  61","   0","   0","   0","   0","   0"," 253","   0","   0","   0","   0","   8","   0","   0","  42","   0","   0","   8","   0","   1","   0","  18","   0","   0","   8","   0","   0","   0","   0","   0","   1","   0"
"9430","9614","9235"," 540","   2","   1","   0","   0","   3","   1","   0","   1","   4","   3","   0","   5","   3","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   3","   0","   0","   1","   0","   2","   2","  17","   0","   0","   0","   0","   4","   0","   0","   6","   0","   0","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","  23","   1","   0","  67","   3","   0","   0","   0","   1"," 235","   0","   0","   0","   1","   3","   0","   0","  51","   0","   0","   3","   0","   0","   0","  11","   0","   0","  16","   0","   0","   0","   0","   0","   1","   0"
"9748","9926","9577"," 560","   1","   0","   0","   0","   2","   3","   0","   0","   0","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   1","  16","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   4","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   9","   5","   0","   0","  51","   3","   0","   0","   0","   1"," 122","   0","   0","   0","   0","   5","   0","   0","  12","   0","   0","   0","   0","   1","   0","   6","   0","   0","   9","   0","   0","   0","   0","   0","   2","   0"
"10067","10319"," 9902","  580","    1","    1","    0","    0","    3","    1","    0","    1","    4","    5","    0","    3","    5","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    4","    2","   74","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    5","   10","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   26","    4","    2","    0","   99","    1","    0","    0","    0","    0","  239","    0","    1","    0","    0","   14","    3","    0","   12","    0","    0","    4","    0","    1","    0","   11","    0","    0","    9","    0","    0","    0","    0","    0","    1","    0"
"10465","10817","10290","  605","    0","    1","    0","    0","    1","   12","   12","    0","    3","    7","    0","    8","    3","    1","    0","    3","    0","    1","    0","    0","    1","    1","    0","    0","    0","    2","    0","    0","    0","    0","    3","    7","   69","    0","    0","    0","    0","    2","    0","    0","   16","    9","    0","    1","   11","    0","    1","    0","    0","    0","   11","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   45","    0","    1","    0","  133","    0","    0","    0","    0","    0","  265","    1","    0","    0","    5","   13","    2","    0","    5","    1","    0","    5","    0","    4","    0","   13","    1","    0","   11","    1","    0","    0","    0","    0","    3","    0"
"10697","11069","10486","  620","    0","    0","    0","    0","    4","    5","    0","    0","    1","    3","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    1","   58","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    1","    1","    0","   79","    1","    0","    0","    0","    0","  152","    0","    0","    0","    0","    4","    2","    0","    3","    0","    0","    5","    0","    0","    0","    7","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0"
"10962","11136","10863","  640","    0","    0","    0","    0","    1","    3","    0","    1","    2","    8","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    8","  112","    0","    0","    1","    0","    0","    1","   13","    0","    0","    0","    0","    0","    0","    0","  400","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","   26","    0","    1","    0","    0","    0","   75","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","   13","    0","    0","    0","    6","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0"
"11330","11389","11270","  660","    1","    0","    0","    0","    0","    4","    0","    2","    2","   14","    0","    6","    4","    0","    0","    2","    0","    0","    1","    0","    0","    1","    0","    0","    0","    4","    0","    0","    0","    0","    0","    4","   21","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","  112","    0","    2","    0","    0","    3","   52","    0","    1","    0","    0","    0","    7","    1","    0","    2","    0","    3","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0"
"12418","12613","12127","  680","    1","    0","    0","    0","    0","    8","    0","    1","    3","    9","    0","    6","    2","    0","    0","    2","    0","    0","    0","    1","    0","    3","    0","    0","    0","  183","    0","    0","    0","    0","    0","    0","   95","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    9","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   22","    0","    1","    0","   50","    0","    0","    0","    0","    1","   23","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","   13","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0"
