"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Centaurea","Ceratonia","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Lonicera","Malva undif.","Myriophyllum undif.","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Primulaceae undif.","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"2508.235",NA,NA," 125.000","   8.000","  29.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","   8.000","   8.000","   3.000","  11.000","   9.000","  10.000","   3.000","   5.000","  20.000","   7.000","   8.000","   0.000","   0.000","   3.000","  26.000","   7.000","   3.000","   9.000","   7.000","  16.000","  10.000","   3.000","   3.000","  11.000","   9.000","   3.000","  23.000","   9.000","   9.000","   3.000","   3.000","  11.000","  11.000","  16.000","   3.000","  12.000","  23.000","   6.000","  10.000","   8.000","   3.000","   9.000","  10.000","   9.000","   9.000","  16.000","  16.000","   7.000","   6.000","  10.000","   8.000","   0.000","   5.000","   3.000","   3.000","   3.000","   3.000","  15.000","   7.000","   3.000","  19.000","   9.000","   0.000"
"2572.941",NA,NA," 130.000","  12.000","  35.000","   0.000","   4.000","   4.000","   0.000","   0.000","   0.000","  12.000","  12.000","   5.000","  13.000","  13.000","  14.000","   5.000","   1.000","  25.000","   3.000","  12.000","   0.000","   0.000","   5.000","  32.000","  11.000","   4.000","  11.000","  11.000","  20.000","  14.000","   4.000","   4.000","  12.000","  13.000","   4.000","  25.000","  13.000","  13.000","   5.000","   1.000","   5.000","  13.000","  20.000","   4.000","   5.000","  25.000","   2.000","  12.000","  12.000","   4.000","  13.000","  14.000","   4.000","  13.000","  20.000","  22.000","  11.000","   2.000","  12.000","  12.000","   0.000","   9.000","   5.000","   4.000","   5.000","   5.000","  22.000","  11.000","   4.000","  21.000","   4.000","   0.000"
"2637.647",NA,NA," 135.000","   9.000","  29.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","   9.000","   9.000","   3.000","   8.000","  10.000","  11.000","   3.000","   4.000","  21.000","   8.000","   9.000","   0.000","   0.000","   3.000","  26.000","   8.000","   3.000","   6.000","   8.000","  17.000","  11.000","   3.000","   3.000","   9.000","  10.000","   3.000","  20.000","  10.000","  10.000","   3.000","   4.000","  12.000","   6.000","  17.000","   3.000","   9.000","  20.000","   7.000","   7.000","   9.000","   3.000","  10.000","  11.000","   8.000","  10.000","  17.000","  17.000","   8.000","   7.000","   6.000","   9.000","   0.000","   6.000","   3.000","   3.000","   3.000","   3.000","  18.000","   8.000","   3.000","  15.000","   8.000","   0.000"
"2702.353",NA,NA," 140.000","  12.000","  40.000","   0.000","   4.000","   4.000","   0.000","   0.000","   0.000","  12.000","  12.000","   5.000","  13.000","  13.000","  14.000","   5.000","   1.000","  31.000","   3.000","  12.000","   0.000","   0.000","   5.000","  32.000","  11.000","   4.000","  11.000","  11.000","  20.000","  17.000","   4.000","   4.000","  15.000","  13.000","   4.000","  25.000","  13.000","  13.000","   5.000","   1.000","   5.000","  13.000","  20.000","   4.000","   5.000","  25.000","   2.000","  12.000","  12.000","   4.000","  13.000","  14.000","   4.000","  13.000","  20.000","  22.000","  11.000","   2.000","  12.000","  12.000","   0.000","   9.000","   5.000","   4.000","   5.000","   5.000","  31.000","  11.000","   4.000","  21.000","   4.000","   0.000"
"2780",NA,NA," 146","   9","  29","   0","   2","   2","   0","   0","   0","   9","   9","   2","  10","  10","  11","   2","   2","  27","   4","   9","   0","   0","   2","  26","   8","   2","   8","   8","  17","  14","   2","   2","  13","  10","   2","  18","  10","  10","   2","   2","   9","   9","  17","   2","   6","  21","   3","   9","   9","   2","  10","  11","   5","  10","  17","  16","   8","   3","  13","   9","   0","   6","   2","   2","   2","   2","  24","   8","   2","  17","   5","   0"
"2804",NA,NA," 152","   5","  20","   1","   1","   1","   1","   1","   1","   5","   5","   1","   6","   6","   7","   2","   8","  10","  10","   5","   1","   1","   1","  20","   4","   1","   7","   5","  13","  10","   1","   1","  10","   6","   1","  14","   6","   6","   1","   8","  22","   6","  13","   1","  15","  13","   6","   6","   5","   1","   6","   7","  16","   6","  13","  11","   4","   6","   6","   5","   1","   2","   1","   1","   1","   1","  10","   4","   1","  11","  14","   1"
"2828",NA,NA," 158","   6","  20","   8","   1","   1","  10","   9","   6","   6","   6","   1","   6","   7","   8","   6","   7","  10","  16","   6","   4","   6","   1","  21","   5","   1","   7","   8","  14","  10","   1","   1","  10","   7","   1","  14","   7","   7","   1","   7","  20","   6","  14","   1","  14","  13","   5","   6","   6","   1","   7","   8","  15","   7","  14","  12","   5","   5","   6","   6","   7","   3","   1","   1","   1","   1","  10","   5","   1","  11","  13","   8"
"2852",NA,NA," 164","   5","  16","  11","   0","   0","  13","  12","   9","   5","   5","   0","   4","   6","   7","   8","  11","   8","  23","   5","   7","   9","   0","  18","   4","   0","   5","  10","  13","   8","   0","   0","   8","   6","   0","  12","   6","   6","   0","  11","  28","   4","  13","   0","  18","  10","   9","   4","   5","   0","   6","   7","  19","   6","  13","  10","   4","   9","   4","   5","  10","   2","   0","   0","   0","   0","   8","   4","   0","   9","  17","  11"
"2876",NA,NA," 170","   6","  30","  10","   1","   1","  12","  10","   8","   6","   6","   1","   8","   7","   8","   8","  10","  21","  21","   6","   6","   8","   1","  24","   5","   1","   9","  10","  14","  14","   1","   1","  12","   7","   1","  18","   7","   7","   1","  10","  26","   8","  14","   1","  16","  15","   8","   8","   6","   1","   7","   8","  17","   7","  14","  12","   5","   8","   8","   6","   9","   3","   1","   1","   1","   1","  24","   5","   1","  15","  16","  10"
"2900",NA,NA," 176","   5","  17","  16","   0","   0","  15","  16","  15","   5","   5","   0","   6","   6","   7","  13","  15","   9","  33","   5","  11","  12","   0","  22","   4","   0","   8","  14","  13","   9","   0","   0","   8","   6","   0","  17","   6","   6","   0","  14","  38","   6","  13","   0","  24","  13","  15","   5","   5","   0","   6","   7","  23","   6","  13","  10","   4","  15","   5","   5","  14","   2","   0","   0","   0","   0","   9","   4","   0","  14","  21","  14"
"2954.657",NA,NA," 182.000","   7.000","  32.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   7.000","   7.000","   1.000","   9.000","   8.000","   9.000","   1.000","   3.000","  30.000","   5.000","   7.000","   0.000","   0.000","   1.000","  26.000","   6.000","   1.000","  10.000","   6.000","  15.000","  16.000","   1.000","   1.000","  16.000","   8.000","   1.000","  25.000","   8.000","   8.000","   1.000","   2.000","  11.000","   9.000","  15.000","   1.000","  10.000","  23.000","   5.000","   8.000","   7.000","   1.000","   8.000","   9.000","   8.000","   8.000","  15.000","  13.000","   6.000","   5.000","   8.000","   7.000","   0.000","   4.000","   1.000","   1.000","   1.000","   1.000","  29.000","   6.000","   1.000","  22.000","   8.000","   0.000"
"3009.315",NA,NA," 188.000","  10.000","  51.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","  10.000","  10.000","   2.000","  11.000","  11.000","  12.000","   2.000","   2.000","  31.000","   4.000","  10.000","   0.000","   0.000","   2.000","  31.000","   9.000","   2.000","  12.000","   9.000","  18.000","  26.000","   2.000","   2.000","  25.000","  11.000","   2.000","  29.000","  11.000","  11.000","   2.000","   1.000","   9.000","  11.000","  18.000","   2.000","   9.000","  31.000","   4.000","   9.000","  10.000","   2.000","  11.000","  12.000","   7.000","  11.000","  18.000","  17.000","   9.000","   4.000","   9.000","  10.000","   0.000","   7.000","   2.000","   2.000","   2.000","   2.000","  30.000","   9.000","   2.000","  27.000","   7.000","   0.000"
"3063.973",NA,NA," 194.000","   9.000","  54.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","   9.000","   9.000","   3.000","  10.000","  10.000","  11.000","   3.000","   3.000","  32.000","   5.000","   9.000","   0.000","   0.000","   3.000","  29.000","   8.000","   3.000","  11.000","   8.000","  17.000","  27.000","   3.000","   3.000","  26.000","  10.000","   3.000","  28.000","  10.000","  10.000","   3.000","   2.000","  11.000","  10.000","  17.000","   3.000","  10.000","  30.000","   5.000","   8.000","   9.000","   3.000","  10.000","  11.000","   8.000","  10.000","  17.000","  17.000","   8.000","   5.000","   8.000","   9.000","   0.000","   6.000","   3.000","   3.000","   3.000","   3.000","  32.000","   8.000","   3.000","  26.000","   8.000","   0.000"
"3118.63",NA,NA," 200.00","  11.00","  58.00","   0.00","   4.00","   4.00","   0.00","   0.00","   0.00","  11.00","  11.00","   4.00","  12.00","  12.00","  13.00","   4.00","   1.00","  45.00","   3.00","  11.00","   0.00","   0.00","   4.00","  33.00","  10.00","   4.00","  13.00","  10.00","  19.00","  29.00","   4.00","   4.00","  28.00","  12.00","   4.00","  30.00","  12.00","  12.00","   4.00","   1.00","   7.00","  12.00","  19.00","   4.00","   8.00","  33.00","   3.00","  10.00","  11.00","   4.00","  12.00","  13.00","   5.00","  12.00","  19.00","  20.00","  10.00","   3.00","  11.00","  11.00","   0.00","   8.00","   4.00","   4.00","   4.00","   4.00","  47.00","  10.00","   4.00","  28.00","   5.00","   0.00"
"3182.397",NA,NA," 207.000","  16.000","  54.000","   0.000","   6.000","   5.000","   0.000","   0.000","   0.000","  16.000","  16.000","   6.000","  13.000","  17.000","  18.000","   6.000","   0.000","  38.000","   1.000","  16.000","   0.000","   0.000","   5.000","  40.000","  15.000","   6.000","  15.000","  15.000","  24.000","  27.000","   6.000","   6.000","  27.000","  17.000","   5.000","  31.000","  17.000","  17.000","   6.000","   0.000","   0.000","  13.000","  24.000","   6.000","   4.000","  36.000","   0.000","  13.000","  16.000","   5.000","  17.000","  18.000","   2.000","  17.000","  24.000","  27.000","  15.000","   0.000","  13.000","  16.000","   0.000","  13.000","   6.000","   5.000","   5.000","   6.000","  37.000","  15.000","   5.000","  31.000","   2.000","   0.000"
"3246.164",NA,NA," 214.000","  14.000","  54.000","   0.000","   5.000","   4.000","   0.000","   0.000","   0.000","  14.000","  14.000","   5.000","  12.000","  15.000","  16.000","   5.000","   1.000","  38.000","   2.000","  14.000","   0.000","   0.000","   4.000","  36.000","  13.000","   5.000","  14.000","  13.000","  22.000","  27.000","   5.000","   5.000","  27.000","  15.000","   4.000","  30.000","  15.000","  15.000","   5.000","   1.000","   2.000","  12.000","  22.000","   5.000","   5.000","  35.000","   1.000","  12.000","  14.000","   4.000","  15.000","  16.000","   3.000","  15.000","  22.000","  24.000","  13.000","   1.000","  12.000","  14.000","   0.000","  11.000","   5.000","   4.000","   4.000","   5.000","  37.000","  13.000","   4.000","  30.000","   3.000","   0.000"
"3309.931",NA,NA," 221.000","   9.000","  56.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","   9.000","   9.000","   3.000","  10.000","  10.000","  11.000","   3.000","   2.000","  41.000","   4.000","   9.000","   0.000","   0.000","   3.000","  29.000","   8.000","   3.000","  12.000","   8.000","  17.000","  28.000","   3.000","   3.000","  28.000","  10.000","   3.000","  28.000","  10.000","  10.000","   3.000","   2.000","  10.000","  10.000","  17.000","   3.000","  11.000","  33.000","   3.000","  10.000","   9.000","   3.000","  10.000","  11.000","   8.000","  10.000","  17.000","  17.000","   8.000","   2.000","  11.000","   9.000","   0.000","   6.000","   3.000","   3.000","   3.000","   3.000","  42.000","   8.000","   3.000","  28.000","   6.000","   0.000"
"3373.699",NA,NA," 228.000","   8.000","  50.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   8.000","   8.000","   2.000","   8.000","   9.000","  10.000","   2.000","   5.000","  36.000","   7.000","   8.000","   0.000","   0.000","   2.000","  27.000","   7.000","   2.000","  11.000","   7.000","  16.000","  25.000","   2.000","   2.000","  25.000","   9.000","   2.000","  26.000","   9.000","   9.000","   2.000","   5.000","  15.000","   8.000","  16.000","   2.000","  15.000","  30.000","   6.000","   8.000","   8.000","   2.000","   9.000","  10.000","  13.000","   9.000","  16.000","  15.000","   7.000","   5.000","   9.000","   8.000","   0.000","   5.000","   2.000","   2.000","   2.000","   2.000","  36.000","   7.000","   2.000","  25.000","  10.000","   0.000"
"3437.466",NA,NA," 235.000","  12.000","  54.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","  12.000","  12.000","   2.000","  10.000","  13.000","  14.000","   2.000","   1.000","  40.000","   3.000","  12.000","   0.000","   0.000","   2.000","  32.000","  11.000","   2.000","  12.000","  11.000","  20.000","  27.000","   2.000","   2.000","  27.000","  13.000","   2.000","  29.000","  13.000","  13.000","   2.000","   1.000","   5.000","  11.000","  20.000","   2.000","  10.000","  33.000","   3.000","  11.000","  12.000","   2.000","  13.000","  14.000","   8.000","  13.000","  20.000","  19.000","  11.000","   2.000","  12.000","  12.000","   0.000","   9.000","   2.000","   2.000","   2.000","   2.000","  40.000","  11.000","   2.000","  29.000","   5.000","   0.000"
"3501.233",NA,NA," 242.000","   8.000","  44.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   8.000","   8.000","   2.000","   7.000","   9.000","  10.000","   2.000","   2.000","  30.000","   4.000","   8.000","   0.000","   0.000","   2.000","  26.000","   7.000","   2.000","   9.000","   7.000","  16.000","  22.000","   2.000","   2.000","  22.000","   9.000","   2.000","  24.000","   9.000","   9.000","   2.000","   2.000","   7.000","   7.000","  16.000","   2.000","  11.000","  24.000","   4.000","   7.000","   8.000","   2.000","   9.000","  10.000","   9.000","   9.000","  16.000","  15.000","   7.000","   3.000","   7.000","   8.000","   0.000","   5.000","   2.000","   2.000","   2.000","   2.000","  30.000","   7.000","   2.000","  26.000","   7.000","   0.000"
"3565",NA,NA," 249","   9","  51","   0","   4","   4","   0","   0","   0","   9","   9","   4","   9","  10","  11","   4","   4","  33","   6","   9","   0","   0","   4","  29","   8","   4","  10","   8","  17","  25","   4","   4","  25","  10","   4","  26","  10","  10","   4","   4","  10","   9","  17","   4","  13","  26","   6","   9","   9","   4","  10","  11","  11","  10","  17","  18","   8","   4","   9","   9","   0","   6","   4","   4","   4","   4","  33","   8","   4","  28","   9","   0"
"3574.045",NA,NA," 256.000","   9.000","  40.000","   0.000","   4.000","   4.000","   0.000","   0.000","   0.000","   9.000","   9.000","   4.000","   9.000","  10.000","  11.000","   4.000","   6.000","  30.000","   8.000","   9.000","   0.000","   0.000","   4.000","  29.000","   8.000","   4.000","  10.000","   8.000","  17.000","  20.000","   4.000","   4.000","  20.000","  10.000","   4.000","  26.000","  10.000","  10.000","   4.000","   5.000","  13.000","   9.000","  17.000","   4.000","  15.000","  26.000","   8.000","   9.000","   9.000","   4.000","  10.000","  11.000","  13.000","  10.000","  17.000","  18.000","   8.000","   6.000","   9.000","   9.000","   0.000","   6.000","   4.000","   4.000","   4.000","   4.000","  32.000","   8.000","   4.000","  28.000","  11.000","   0.000"
"3583.09",NA,NA," 263.00","  13.00","  51.00","   0.00","   5.00","   5.00","   0.00","   0.00","   0.00","  13.00","  13.00","   5.00","  11.00","  14.00","  15.00","   5.00","   2.00","  41.00","   3.00","  13.00","   0.00","   0.00","   5.00","  35.00","  12.00","   5.00","  11.00","  12.00","  21.00","  25.00","   5.00","   5.00","  25.00","  14.00","   5.00","  28.00","  14.00","  14.00","   5.00","   2.00","   5.00","  12.00","  21.00","   5.00","   9.00","  29.00","   3.00","  12.00","  13.00","   5.00","  14.00","  15.00","   7.00","  14.00","  21.00","  23.00","  12.00","   2.00","  11.00","  13.00","   0.00","  10.00","   5.00","   5.00","   5.00","   5.00","  41.00","  12.00","   5.00","  30.00","   6.00","   0.00"
"3592.135",NA,NA," 270.000","  11.000","  38.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","  11.000","  11.000","   2.000","   8.000","  12.000","  13.000","   2.000","   3.000","  30.000","   4.000","  11.000","   0.000","   0.000","   2.000","  29.000","  10.000","   2.000","   9.000","  10.000","  19.000","  19.000","   2.000","   2.000","  19.000","  12.000","   2.000","  23.000","  12.000","  12.000","   2.000","   3.000","   7.000","   8.000","  18.000","   2.000","  10.000","  22.000","   5.000","   8.000","  10.000","   2.000","  12.000","  13.000","   8.000","  12.000","  19.000","  17.000","  10.000","   4.000","   8.000","  10.000","   0.000","   8.000","   2.000","   2.000","   2.000","   2.000","  30.000","  10.000","   2.000","  23.000","   7.000","   0.000"
"3601.18",NA,NA," 277.00","  12.00","  41.00","   0.00","   3.00","   3.00","   0.00","   0.00","   0.00","  12.00","  12.00","   3.00","   9.00","  13.00","  14.00","   3.00","   0.00","  32.00","   1.00","  12.00","   0.00","   0.00","   3.00","  31.00","  11.00","   3.00","  12.00","  11.00","  20.00","  21.00","   3.00","   3.00","  21.00","  13.00","   3.00","  24.00","  13.00","  13.00","   3.00","   0.00","   2.00","   9.00","  19.00","   3.00","   7.00","  23.00","   2.00","   9.00","  11.00","   3.00","  13.00","  14.00","   3.00","  13.00","  20.00","  19.00","  11.00","   1.00","   9.00","  11.00","   0.00","   9.00","   3.00","   3.00","   3.00","   3.00","  32.00","  11.00","   3.00","  24.00","   1.00","   0.00"
"3610.225",NA,NA," 284.000","  14.000","  50.000","   0.000","   5.000","   4.000","   0.000","   0.000","   0.000","  14.000","  14.000","   5.000","  12.000","  15.000","  16.000","   5.000","   0.000","  39.000","   1.000","  14.000","   0.000","   0.000","   4.000","  35.000","  13.000","   4.000","  13.000","  13.000","  22.000","  25.000","   4.000","   4.000","  25.000","  15.000","   4.000","  27.000","  15.000","  15.000","   5.000","   0.000","   2.000","  12.000","  21.000","   4.000","   7.000","  26.000","   2.000","  11.000","  13.000","   4.000","  15.000","  16.000","   3.000","  15.000","  22.000","  23.000","  13.000","   1.000","  11.000","  13.000","   0.000","  11.000","   5.000","   4.000","   5.000","   4.000","  37.000","  13.000","   5.000","  29.000","   1.000","   0.000"
"3619.27",NA,NA," 291.00","  10.00","  57.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","  10.00","  10.00","   2.00","  11.00","  11.00","  12.00","   2.00","   1.00","  42.00","   4.00","  10.00","   0.00","   0.00","   2.00","  30.00","   9.00","   2.00","  12.00","   9.00","  18.00","  29.00","   2.00","   2.00","  29.00","  11.00","   2.00","  26.00","  11.00","  11.00","   2.00","   1.00","   5.00","  11.00","  17.00","   2.00","  10.00","  25.00","   4.00","  10.00","   9.00","   2.00","  11.00","  12.00","  10.00","  11.00","  18.00","  16.00","   9.00","   3.00","  10.00","   9.00","   0.00","   7.00","   2.00","   2.00","   2.00","   2.00","  42.00","   9.00","   2.00","  28.00","   5.00","   0.00"
