"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","Hypericum undif.","Ilex","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Musci","Olea t.","Onagraceae","Parnassia","Paronychieae","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Sparganium","Spergularia t.","Spermatophyta undiff. (cf. upland herbs)","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Vitis"
" 2495.00",NA,NA," 95.0","271.4285714, 0.282","0","0","13","1","0","29","2","1","0","50","1","8","0","0","0","0","0","0","2","0","0","7","2","21","21","0","0","102","0","57","1","0","0","12","5","2","0","0","1","0","0","0","83","0","0","0","0","3","4","0","0","1","0","1","0","0","18","27","0","13","2","608","0","0","0","1","172","9","0","0","23","0","0","0","0","0","1","0","4","0","0","0","0","0","0"
" 2725.00",NA,NA,"105.0","228.5714286, 0.282","0","0","21","2","0","19","7","0","0","76","1","1","1","0","0","0","0","0","1","0","0","5","4","22","6","0","0","78","0","89","0","0","9","13","4","3","0","0","2","0","0","0","74","0","0","0","0","1","6","0","0","0","0","2","0","0","30","17","0","9","2","629","0","0","0","1","235","12","2","0","10","1","0","4","0","0","3","0","3","0","0","0","0","0","0"
" 2955.00",NA,NA,"115.0","171.4285714, 0.282","0","0","30","1","0","36","1","0","0","136","0","6","3","0","0","0","0","0","1","0","0","14","4","4","12","0","0","76","0","62","0","0","5","10","2","0","0","0","0","0","0","0","80","0","0","0","0","0","7","0","0","0","0","2","0","0","22","14","0","9","0","437","0","0","0","1","140","9","2","0","28","6","0","0","0","0","2","0","6","0","0","0","0","0","0"
" 3185.00",NA,NA,"125.0","214.2857143, 0.282","0","0","19","1","0","48","2","0","0","150","2","7","0","0","0","0","0","0","1","0","0","5","5","9","9","0","0","63","0","89","1","1","4","16","7","0","0","0","0","0","0","0","66","0","0","0","0","4","3","0","0","0","0","1","0","0","23","15","0","20","0","395","2","0","0","2","154","14","0","0","9","2","0","0","0","0","1","0","5","0","0","0","0","0","0"
" 3421.67",NA,NA,"135.0","253.5714286, 0.282","0","0","20","0","0","21","3","0","0","33","0","6","1","0","0","0","0","0","0","0","0","3","3","14","7","0","0","68","0","56","0","0","4","9","9","1","0","0","1","0","0","0","48","0","0","0","0","2","3","0","0","0","0","4","1","0","18","18","0","8","0","441","0","0","0","1","170","7","1","0","23","6","0","0","0","0","3","0","4","0","0","0","0","0","0"
" 3665.00",NA,NA,"145.0","253.5714286, 0.282","0","0","16","1","0","19","1","0","0","29","0","5","0","0","0","0","0","0","1","0","0","3","5","23","12","0","0","54","0","35","0","0","3","10","6","0","0","0","0","0","0","0","36","0","0","0","0","2","0","0","0","0","0","2","3","0","14","23","0","18","1","456","1","0","0","0","200","11","0","1","11","0","0","1","0","0","0","0","6","0","0","0","0","0","2"
" 3908.33",NA,NA,"155.0","210.7142857, 0.282","0","0","14","0","0","23","4","1","0","18","0","5","0","0","0","0","0","0","1","0","0","2","2","2","13","0","0","49","0","29","1","1","3","4","1","1","0","0","0","0","0","0","43","0","0","0","0","0","3","0","0","0","0","3","0","0","11","25","1","3","1","541","0","0","0","3","140","17","0","0","7","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
" 4151.67",NA,NA,"165.0","250, 0.282","0","0","16","0","0","23","4","1","0","78","1","6","0","0","0","0","0","0","0","0","0","3","1","13","11","0","0","81","0","27","0","0","3","5","3","0","0","0","1","0","0","0","58","0","0","0","0","1","3","0","0","3","0","0","0","0","16","25","0","2","0","422","0","0","0","4","211","16","1","0","13","4","0","2","0","0","0","0","2","0","0","0","0","0","0"
" 4395.00",NA,NA,"175.0","217.8571429, 0.282","0","0","27","1","0","28","0","0","0","22","0","9","1","0","0","0","0","0","1","0","0","3","3","23","9","0","0","69","0","56","0","2","5","6","4","0","0","0","0","1","0","0","67","0","0","0","0","1","0","0","0","1","0","1","0","0","22","19","0","15","1","597","0","0","0","0","225","18","1","0","17","4","0","3","0","0","1","0","5","0","0","0","0","0","0"
" 4638.33",NA,NA,"185.0","221.4285714, 0.282","0","0","18","3","0","25","3","0","0","22","1","14","2","0","0","0","0","0","0","0","0","3","0","28","13","0","0","93","0","28","0","4","6","9","4","0","0","0","0","0","0","0","68","0","0","0","0","1","0","0","0","1","0","2","0","0","22","25","0","3","0","586","1","0","0","1","200","15","2","0","11","2","0","3","0","0","0","0","6","0","2","0","0","0","1"
" 4881.67",NA,NA,"195.0","225, 0.282","0","0","18","0","0","18","3","0","0","130","3","8","0","0","0","0","0","0","0","0","0","4","3","16","11","1","0","71","0","25","0","3","6","8","4","0","0","0","0","0","0","0","77","0","0","0","0","1","0","0","0","0","0","1","0","0","24","27","0","5","0","412","0","0","0","1","201","15","0","0","8","1","0","0","0","0","1","0","3","0","0","0","1","0","3"
" 5125.00",NA,NA,"205.0","253.5714286, 0.282","0","0","13","1","0","36","5","0","0","33","0","5","1","0","0","0","0","0","2","0","0","0","3","16","13","0","0","58","0","53","1","3","2","18","3","0","0","0","0","0","0","0","51","0","0","0","0","1","0","0","0","0","0","0","2","0","17","22","0","7","0","397","0","0","0","2","164","14","0","0","23","1","0","3","0","0","3","0","4","0","0","0","0","0","0"
" 5185.83",NA,NA,"207.5","0.282","0","0","21","0","0","50","3","0","0","60","0","10","2","0","0","0","0","1","2","0","0","2","11","50","6","0","0","53","1","80","0","2","1","25","8","0","0","0","1","0","0","0","60","0","1","0","1","2","2","0","0","1","0","5","1","0","23","24","0","1","2","403","0","0","0","0","199","0","0","0","34","0","0","1","0","0","2","2","0","0","0","0","0","0","0"
" 5246.67",NA,NA,"210.0","0.282","0","0","15","1","0","34","5","0","0","49","0","5","0","0","0","0","0","1","1","0","0","1","7","35","5","0","0","28","0","60","0","1","5","12","6","0","0","1","2","0","0","0","52","0","0","0","0","1","1","0","0","1","0","1","5","0","20","26","1","1","0","247","0","0","0","1","168","0","0","0","24","1","0","2","0","0","3","5","0","0","0","0","1","0","0"
" 5307.50",NA,NA,"212.5","0.282","0","0","23","1","0","23","1","1","0","134","0","2","0","0","0","0","0","0","0","0","0","1","4","21","4","0","0","34","0","81","0","0","1","8","7","0","0","0","0","0","0","0","52","0","0","0","0","1","4","0","0","1","0","0","2","0","15","25","0","1","0","224","0","0","0","3","163","0","1","1","25","0","1","2","0","0","1","0","0","0","0","1","0","0","0"
" 5368.33",NA,NA,"215.0","196.4285714, 0.282","0","0","17","1","0","23","5","0","0","98","0","6","1","0","0","0","0","0","0","0","0","3","0","24","14","0","0","39","0","38","1","0","2","8","0","0","0","0","1","0","0","0","56","0","0","0","0","2","0","0","1","0","0","3","1","0","23","22","0","5","4","414","0","0","0","2","262","15","2","0","23","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
" 5611.67",NA,NA,"225.0","192.8571429, 0.282","0","0","16","1","0","24","4","0","0","70","0","6","1","0","0","0","0","0","0","0","0","3","0","30","11","1","0","39","0","23","0","0","2","6","2","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","23","27","0","3","0","447","0","0","0","1","196","10","3","0","27","0","0","0","0","0","4","0","1","0","0","0","1","0","0"
" 5855.00",NA,NA,"235.0","250, 0.282","0","0","26","1","0","11","5","0","0","59","0","4","0","0","0","0","0","0","1","0","0","2","2","17","10","1","0","41","0","20","1","2","5","9","4","0","0","0","0","0","0","0","64","0","0","0","0","1","3","0","0","0","0","3","1","0","34","25","0","3","0","431","1","1","0","1","183","14","2","0","7","2","0","0","0","0","2","0","6","0","0","0","0","0","1"
" 6098.33",NA,NA,"245.0","228.5714286, 0.282","0","0","23","0","0","26","7","0","0","75","0","5","0","0","0","0","0","0","1","0","0","0","2","34","8","1","0","49","0","38","0","0","5","3","1","0","0","0","0","0","0","0","59","0","0","0","0","0","4","0","0","0","0","3","2","0","44","22","0","4","2","715","0","0","0","1","243","8","0","0","10","2","0","3","0","0","1","0","6","0","0","0","0","0","0"
" 6341.67",NA,NA,"255.0","210.7142857, 0.282","0","0","32","0","0","16","5","0","0","123","0","0","1","0","0","0","0","0","2","0","0","2","0","18","14","0","0","45","0","44","0","0","4","6","1","0","0","0","0","0","0","0","49","0","0","0","0","0","4","0","0","0","0","0","0","0","48","18","0","1","1","503","0","0","0","0","220","12","1","0","10","1","0","1","0","0","1","0","3","0","0","0","0","0","0"
" 6585.00",NA,NA,"265.0","235.7142857, 0.282","0","0","25","0","0","24","1","0","0","81","0","6","1","0","0","0","0","0","2","0","0","4","1","23","11","0","0","41","0","36","0","4","3","5","0","0","0","0","0","0","0","0","53","0","0","0","0","0","1","0","0","1","0","3","0","0","60","29","1","8","1","521","0","0","0","0","267","20","3","0","17","2","0","1","0","0","2","0","5","0","0","0","0","0","0"
" 6828.33",NA,NA,"275.0","242.8571429, 0.282","0","0","27","1","0","26","2","1","0","23","3","8","0","0","0","0","0","0","2","0","0","2","1","20","9","1","0","53","0","47","0","0","3","6","4","0","0","0","0","0","0","0","63","0","0","0","0","0","5","0","0","0","0","2","0","0","95","55","0","3","2","507","0","0","0","2","284","17","1","0","26","2","0","0","0","0","1","0","8","0","0","0","0","0","0"
" 6950.00",NA,NA,"280.0","0.282","0","0","11","0","0","16","1","0","0","7","0","8","1","0","0","0","0","0","0","0","0","2","2","9","0","0","0","17","0","21","0","1","1","2","1","0","1","0","1","0","0","0","17","0","0","0","0","0","3","0","0","1","0","1","0","0","38","29","1","0","1","13","0","0","0","0","157","0","0","0","16","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 7090.29",NA,NA,"285.0","221.4285714, 0.282","0","0","19","0","0","22","1","0","0","10","0","6","2","0","0","0","0","0","1","0","0","2","1","14","8","0","0","20","0","28","0","0","0","5","0","0","0","0","1","0","0","0","66","0","0","0","0","1","2","0","0","0","0","1","2","0","84","63","0","6","0","401","0","0","0","3","261","14","2","0","18","0","0","0","0","0","1","0","6","0","0","0","1","0","1"
" 7230.58",NA,NA,"290.0","0.282","0","0","8","1","0","10","2","0","0","11","2","1","1","0","0","0","0","0","0","0","0","0","2","7","0","0","0","3","0","9","0","1","0","3","0","0","0","0","0","0","0","0","24","0","0","0","0","0","2","0","0","0","0","0","0","0","37","41","1","0","2","121","0","0","0","0","195","0","0","0","14","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
" 7370.88",NA,NA,"295.0","253.5714286, 0.282","0","0","15","0","0","21","1","1","0","13","0","6","0","0","0","0","0","0","0","0","0","1","2","4","5","0","0","12","0","12","3","2","5","4","1","0","0","0","0","0","0","0","30","0","0","0","0","2","3","1","0","1","0","1","0","0","131","68","1","4","0","371","0","0","0","5","259","15","3","0","23","2","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 7651.46",NA,NA,"305.0","271.4285714, 0.282","0","0","14","2","0","9","5","1","0","11","0","8","1","0","0","0","0","0","2","0","0","2","2","8","9","0","0","17","0","15","1","2","5","5","0","0","0","0","0","0","0","0","53","0","0","0","0","0","1","0","0","0","0","2","0","0","189","33","0","2","0","470","0","0","0","4","360","17","0","0","16","0","0","0","0","0","0","0","3","0","0","0","0","0","1"
" 7932.04",NA,NA,"315.0","264.2857143, 0.282","0","0","20","1","0","13","5","0","0","9","0","3","0","0","0","0","0","0","2","0","0","1","1","1","9","0","0","11","0","14","0","3","9","3","0","0","0","0","0","0","0","0","40","0","0","0","0","0","1","0","0","0","0","0","0","0","265","40","0","4","1","387","0","0","0","4","413","18","1","0","20","1","0","4","0","0","0","0","6","0","0","0","0","0","1"
" 8212.62",NA,NA,"325.0","235.7142857, 0.282","0","0","3","0","0","15","4","0","0","7","0","6","1","0","0","0","0","0","2","0","0","1","2","27","11","2","0","6","0","4","0","1","4","1","0","0","0","0","0","0","0","0","33","0","0","0","0","0","1","0","0","1","0","1","0","0","155","23","0","7","0","450","0","0","0","1","351","20","0","0","23","1","0","1","0","0","0","0","4","0","0","0","0","0","0"
" 8493.21",NA,NA,"335.0","242.8571429, 0.282","0","0","4","0","0","6","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","2","0","19","15","1","0","7","0","6","0","1","0","2","0","0","0","0","0","0","0","0","20","0","0","0","0","0","1","0","0","0","0","0","0","0","134","32","0","4","0","468","0","0","0","0","255","20","0","0","23","0","0","0","0","0","1","0","2","0","0","0","0","0","0"
" 8773.79",NA,NA,"345.0","250, 0.282","0","0","5","0","0","6","9","0","0","7","0","1","0","0","0","0","0","0","0","0","0","1","1","37","19","0","0","2","0","10","0","1","2","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","1","0","1","0","0","140","23","0","0","0","376","0","0","0","0","272","21","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 9054.38",NA,NA,"355.0","196.4285714, 0.282","0","0","1","0","0","4","5","0","0","6","1","4","0","0","0","0","0","0","0","0","0","0","3","14","7","0","0","5","0","7","0","1","6","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","2","0","0","165","26","0","5","0","397","0","0","0","1","226","15","0","0","20","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
" 9334.96",NA,NA,"365.0","0.282","0","25","2","4","5","4","9","0","2","4","0","19","4","0","2","0","0","0","2","0","2","0","1","66","1","1","0","2","0","17","0","2","2","4","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","1","70","62","0","3","0","160","1","0","0","1","306","12","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 9615.54",NA,NA,"375.0","0.282","0","1","1","0","1","3","3","0","2","8","0","18","2","1","1","0","0","0","2","1","0","0","0","47","1","2","0","1","0","17","0","2","1","2","0","0","0","0","1","0","0","0","30","0","0","0","0","0","1","0","0","4","0","1","0","3","62","78","0","1","0","118","0","0","0","1","280","14","1","0","23","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
" 9896.12",NA,NA,"385.0","0.282","1","0","1","1","0","4","2","0","0","3","0","9","0","0","3","0","0","0","1","0","0","0","4","29","4","0","0","0","0","14","0","4","0","1","1","0","0","0","1","0","0","0","26","0","0","0","0","0","0","0","0","2","0","0","0","1","36","77","0","0","0","150","0","0","0","2","218","10","0","0","14","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"10036.42",NA,NA,"390.0","0.282","0","4","3","0","0","4","4","0","1","7","0","10","1","0","0","0","0","1","2","0","0","0","0","61","8","0","0","1","0","16","0","2","1","2","0","0","1","0","0","0","0","0","42","0","0","0","0","0","0","0","0","1","0","2","0","2","48","61","0","1","0","162","0","0","2","0","296","13","1","0","30","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"10176.71",NA,NA,"395.0","0.282","0","15","1","0","0","0","6","0","1","12","0","16","1","0","4","0","0","0","2","0","1","0","1","63","1","1","0","1","0","19","0","3","3","6","0","0","1","0","0","0","0","0","39","0","0","0","0","1","0","0","0","0","0","0","1","1","59","79","0","2","0","142","1","0","0","0","292","15","1","2","36","0","1","3","0","0","0","0","0","0","0","0","0","0","0"
"10467.00",NA,NA,"405.0","0.282","0","20","0","1","0","3","6","0","1","7","1","21","1","0","3","0","0","0","1","0","1","1","2","43","1","1","0","1","0","9","0","2","1","2","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","1","0","1","0","3","75","38","0","0","0","122","0","0","0","0","270","10","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10931.67",NA,NA,"415.0","0.282","0","0","3","2","1","5","10","0","1","14","0","22","2","0","3","0","0","0","1","0","0","1","3","33","4","1","0","0","0","13","0","2","2","6","0","0","0","0","0","0","0","0","20","0","0","0","0","2","0","0","0","2","0","0","0","1","68","65","0","0","0","145","0","0","0","0","245","5","2","1","44","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"11192.00",NA,NA,"420.0","0.282","0","0","1","1","1","9","6","0","1","12","1","5","0","0","6","0","0","0","1","0","1","0","2","19","2","1","0","1","0","29","0","1","1","3","0","0","0","0","1","0","0","0","24","0","0","0","0","0","0","0","0","1","1","0","0","3","114","79","1","0","0","116","0","0","0","0","213","11","2","0","55","0","1","2","0","0","1","0","0","0","0","0","0","0","0"
"11449.67",NA,NA,"425.0","0.282","0","0","1","3","0","5","7","0","3","18","1","24","2","1","6","0","0","0","4","0","0","0","1","10","5","0","0","6","0","72","1","0","2","5","1","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","1","0","1","308","102","0","0","0","136","0","0","0","0","260","14","1","0","45","1","0","1","0","0","0","0","0","1","0","0","0","0","0"
"11852.12",NA,NA,"435.0","0.282","0","0","0","1","0","4","13","0","0","13","0","11","2","0","0","0","0","1","1","0","1","0","2","3","3","0","1","1","0","26","0","1","0","2","0","0","0","0","1","0","0","0","19","0","0","0","0","0","0","0","0","1","0","0","0","0","71","88","0","0","1","89","0","0","0","0","140","12","0","0","36","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"12079.31",NA,NA,"442.0","0.282","0","0","0","3","2","3","20","0","2","2","1","4","3","0","4","0","1","1","1","1","0","0","2","0","2","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","446","58","0","1","0","57","0","0","0","0","8","1","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12822.09",NA,NA,"463.0","0.282","0","0","2","11","4","4","56","0","1","2","0","0","4","0","5","0","1","0","4","0","0","0","2","0","1","0","3","2","0","7","0","0","2","0","1","0","0","0","0","0","0","1","88","0","0","0","0","0","0","0","0","5","0","1","0","0","500","51","0","4","0","83","0","0","0","1","8","0","1","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"12877.91",NA,NA,"465.0","0.282","0","0","0","2","2","0","23","0","1","12","0","3","0","0","2","0","0","1","4","0","0","0","0","0","0","0","1","2","0","32","0","0","2","2","1","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","1","0","0","346","60","0","3","0","55","0","0","0","1","36","0","0","0","14","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
