"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Petasites","Abies","Acacia t.","Acanthus","Acer","Agrimonia","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Citrus","Clematis-type","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Ficus","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Humulus","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Menyanthes","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Protist","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trachycarpus fortunei","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valerianella","Verbena t.","Viburnum","Vitis","Zelkova"
" 1351.7060",NA,NA," 220","1",NA,"0","0","0","0","0","28","1","4","8","0","8","1","13","1","0","12","2","6","1","1","0","9","0","0","1","0","1","0","0","0","1","0","0","0","5","6","0","0","0","0","0","0","0","4","0","137","0","3","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","257","0","0","0","0","0","28","0","0","0","7","0","0","4","0","1","0","0","0","3","12","17","0","0","129","2","0","1","0","0","0","0","0","2","16","5","1","0","1","0","0","0","1","11","3","0","0","0","0","0","0","0","55","1","0","0","0","7","0","0","0","0","0","0","57","0","0","0","0","0","0"
" 1515.8600",NA,NA," 240","1",NA,"0","0","0","0","0","10","0","2","2","0","2","0","7","0","0","7","0","2","0","2","0","2","1","0","0","0","1","0","1","0","0","0","0","8","0","3","1","0","0","0","0","2","0","2","0","29","0","0","1","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","123","0","0","0","0","0","12","0","0","0","3","0","0","3","0","3","0","0","0","1","250","11","0","0","67","2","1","0","0","0","0","0","0","2","8","1","1","0","0","0","0","0","1","2","13","0","0","0","0","0","0","0","28","0","1","0","0","0","0","0","0","0","0","0","19","0","0","0","0","1","0"
" 1680.0150",NA,NA," 260","1",NA,"0","0","0","0","0","53","0","4","5","0","0","0","6","1","0","3","0","1","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","1","0","0","0","55","0","1","2","3","0","0","0","3","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","1","4","0","0","1","153","0","0","1","0","0","4","0","0","3","5","0","0","10","0","3","1","0","0","1","250","8","1","0","91","0","0","0","0","0","0","0","0","0","13","3","1","0","2","0","0","0","0","3","1","1","0","0","0","2","0","0","31","0","3","0","0","0","0","0","0","0","0","1","10","0","0","0","0","1","0"
" 1844.1700",NA,NA," 280","1",NA,"0","0","0","0","0","19","0","2","6","0","1","0","4","3","1","4","0","2","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","6","0","6","1","0","0","0","0","0","0","2","0","40","0","0","1","2","0","0","0","0","0","0","0","0","1","2","2","1","1","0","2","0","0","0","1","0","0","0","0","0","156","0","0","3","0","0","10","0","0","0","38","0","0","6","0","3","1","0","0","2","222","15","0","0","82","1","0","0","1","0","0","0","0","4","88","18","0","1","0","0","0","0","1","5","2","0","0","0","0","0","0","0","39","0","1","0","0","0","0","0","0","0","3","0","35","0","1","0","0","0","0"
" 1971.8580",NA,NA," 300","1",NA,"0","0","0","0","0","0","2","3","7","0","0","0","10","8","0","13","0","11","0","2","0","1","0","0","0","2","0","0","0","0","0","0","0","4","0","2","1","0","0","0","0","4","0","1","1","70","0","0","2","7","0","1","1","2","0","0","0","0","0","5","1","1","0","1","0","0","0","1","0","0","0","0","0","1","190","0","0","1","2","0","5","0","0","0","10","0","0","4","0","12","0","0","1","0","83","17","0","0","59","0","0","0","0","0","0","0","0","6","17","5","1","0","0","0","0","0","1","5","3","0","0","0","0","0","0","0","6","0","1","0","0","0","1","0","0","1","0","0","12","0","0","0","0","0","0"
" 2090.4290",NA,NA," 320","1",NA,"0","0","0","0","0","2","0","4","4","0","1","0","6","10","0","12","0","3","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1","8","5","0","0","0","0","0","2","0","2","0","63","0","0","0","3","0","0","1","1","0","2","0","1","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","305","0","0","0","0","0","16","0","0","0","17","0","0","10","0","0","0","0","0","3","34","5","0","0","76","1","0","0","0","0","0","0","0","7","13","3","1","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","2","0","1","0","3","0","0","0","0","0","0","1","27","0","0","0","0","0","0"
" 2209.0000",NA,NA," 340","1",NA,"0","0","0","0","0","0","0","1","2","0","2","0","1","15","0","3","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","0","2","0","2","0","40","10","0","1","6","0","0","1","1","0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","1","0","0","0","0","195","0","0","4","0","0","7","0","0","0","60","0","0","0","0","0","0","0","1","0","10","3","0","0","53","0","0","0","1","0","0","0","0","2","45","0","0","0","1","0","1","0","0","3","6","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","25","0","0","0","0","0","0"
" 2327.5720",NA,NA," 360","1",NA,"0","0","0","0","0","4","1","0","3","0","0","0","4","0","0","5","0","1","3","1","0","15","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","3","0","66","0","0","1","10","0","1","0","0","2","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","344","0","0","0","0","0","4","0","0","0","78","0","0","1","0","3","2","0","0","1","47","12","0","0","53","0","0","0","2","0","0","0","0","11","117","8","1","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","2","0","0","0","6","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
" 2386.8580",NA,NA," 370","1",NA,"0","0","0","0","0","3","1","2","4","0","2","0","2","0","0","6","0","0","0","1","0","1","0","0","0","1","0","0","0","2","0","0","0","0","3","1","2","0","0","0","0","0","0","4","0","37","0","0","0","12","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","227","0","0","0","0","0","9","0","0","0","72","0","0","10","0","1","7","0","0","0","50","5","0","0","41","0","0","0","2","0","0","0","0","5","128","17","0","0","0","0","1","0","0","6","5","0","1","0","0","1","0","0","2","0","0","0","0","1","1","0","0","0","0","1","7","0","0","0","0","0","0"
" 2505.4290",NA,NA," 390","1",NA,"0","0","0","0","0","3","2","0","4","0","0","0","2","0","0","7","0","1","1","0","0","1","0","0","0","10","0","0","0","0","0","0","0","73","1","7","0","0","0","0","0","1","0","3","0","38","0","0","0","2","0","1","0","1","2","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","202","0","0","1","0","0","7","0","0","0","56","0","0","7","0","0","3","0","1","0","37","5","0","0","26","1","0","0","0","0","0","0","0","13","66","16","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","5","0","0","1","0","1","0","0","0","44","2","0","6","0","0","0","0","0","0"
" 2624.0000",NA,NA," 410","1",NA,"0","0","0","0","0","1","1","1","9","0","2","0","5","2","0","5","0","3","1","0","0","6","0","0","0","2","0","0","0","0","0","0","0","18","1","1","3","0","0","0","0","0","0","3","0","27","0","1","1","8","0","0","0","0","1","1","0","0","0","4","0","0","0","0","0","0","0","0","0","1","2","0","0","0","284","0","0","1","0","0","28","0","0","0","50","0","1","9","0","0","3","0","1","1","5","7","0","0","106","2","0","0","1","0","0","0","0","2","19","2","0","0","0","0","0","0","0","3","5","0","0","0","0","0","0","0","21","0","0","0","0","3","0","0","0","0","4","0","43","1","0","0","0","0","0"
" 2691.7280",NA,NA," 430","1",NA,"0","0","0","0","0","4","2","1","12","0","1","0","11","0","0","5","0","3","0","1","0","23","0","0","0","4","0","0","0","0","0","1","0","7","5","10","2","0","0","0","0","2","0","2","0","39","0","7","1","8","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","234","0","0","1","0","0","25","0","0","0","28","0","0","6","0","2","1","0","2","1","12","17","0","0","148","1","0","0","8","0","0","0","0","4","23","6","0","0","0","0","1","0","3","2","8","0","0","0","0","0","0","2","32","0","1","1","2","0","0","0","0","0","7","0","79","0","0","0","0","1","0"
" 2752.6820",NA,NA," 448","1",NA,"1","0","0","0","0","15","3","2","7","0","1","0","5","3","0","3","0","5","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","12","16","2","0","0","0","0","0","1","0","0","80","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","203","0","0","2","0","0","8","0","0","0","11","0","0","9","0","0","2","0","0","1","20","11","0","1","27","0","0","0","9","1","0","0","0","7","30","9","2","0","0","0","0","0","0","2","11","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","1","0"
" 2810.2500",NA,NA," 465","1",NA,"0","0","0","0","0","0","1","0","4","0","0","0","3","0","0","5","0","0","3","3","0","5","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","3","0","36","0","0","0","3","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","128","0","0","1","0","0","5","0","0","0","65","0","0","3","0","0","2","0","0","0","57","6","0","0","26","0","0","0","1","0","139","0","0","16","97","19","0","0","0","0","1","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","6","0","0","0","0","0","0"
" 2827.1820",NA,NA," 470","1",NA,"0","0","0","0","0","0","0","2","5","0","0","0","3","0","1","4","1","0","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","4","2","4","0","0","0","0","0","1","0","3","0","54","0","0","0","7","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","335","0","0","0","0","0","16","0","0","0","84","0","0","3","0","0","2","0","0","1","51","5","0","0","47","0","0","0","0","0","88","0","0","2","96","18","0","0","0","0","1","0","1","2","1","0","0","0","0","0","0","0","13","0","0","0","4","1","0","0","0","0","0","0","13","0","0","0","0","0","0"
" 2861.0460",NA,NA," 480","1",NA,"0","0","0","0","0","0","0","5","6","0","2","0","9","1","0","3","0","2","0","3","0","6","0","0","0","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","4","0","38","0","0","0","16","0","0","0","0","0","1","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","0","0","224","0","0","3","0","1","11","0","0","0","81","0","0","11","0","0","1","0","0","0","52","10","0","0","49","2","0","0","1","0","0","0","0","9","147","21","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0"
" 2894.9100",NA,NA," 490","1",NA,"0","0","0","0","0","0","1","2","9","0","3","0","15","1","0","5","0","2","0","3","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","4","1","0","0","0","0","0","0","3","0","30","0","0","0","7","0","0","0","0","1","0","0","0","0","16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","157","0","0","1","0","0","7","0","0","0","68","0","0","4","0","2","1","0","0","1","94","10","0","0","56","0","0","0","0","2","115","0","0","8","117","35","0","0","1","0","1","0","2","4","4","0","0","0","0","0","0","1","3","0","0","0","4","0","1","0","0","0","1","3","15","0","0","0","0","0","0"
" 2952.0920",NA,NA," 500","1",NA,"0","0","0","0","0","3","2","0","5","0","2","0","4","0","0","5","0","1","0","3","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0","0","0","1","0","4","0","35","0","0","0","7","0","1","0","0","1","1","0","0","0","12","1","1","0","0","0","0","0","0","0","0","1","0","0","1","153","0","0","0","0","0","14","0","0","0","88","0","0","9","0","1","7","0","0","1","123","9","0","0","54","0","0","0","1","0","0","0","0","13","211","43","2","0","0","0","0","0","0","2","4","2","0","0","0","0","0","0","7","1","1","1","0","0","0","0","0","0","0","0","15","0","0","0","0","1","0"
" 3042.3670",NA,NA," 506","1",NA,"0","0","0","0","0","8","1","2","3","0","1","0","2","1","0","4","0","0","1","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","13","1","0","0","0","0","2","0","5","0","44","0","0","1","5","0","0","0","0","0","0","0","0","0","26","0","0","0","0","1","0","0","1","0","1","0","0","0","0","174","0","0","2","0","0","4","0","0","0","123","0","0","1","0","0","1","0","0","1","85","3","0","0","38","0","0","0","0","1","57","0","0","4","179","23","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","5","0","2","0","0","0","0","0","0","0","1","1","6","0","0","0","0","1","0"
" 3147.6880",NA,NA," 513","1",NA,"0","0","0","0","0","44","0","0","3","0","3","0","1","3","0","6","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","2","9","1","0","0","0","0","0","0","6","0","28","0","0","1","6","0","1","0","1","0","0","0","1","0","18","5","1","0","0","0","0","0","0","0","0","0","0","0","0","158","0","0","0","0","0","10","0","0","0","62","0","0","4","0","1","6","0","0","1","112","5","0","0","30","0","0","0","0","0","170","0","0","8","177","30","1","0","0","0","0","0","0","4","4","1","0","0","0","0","0","0","3","0","0","0","3","1","0","0","0","0","0","0","21","0","0","0","0","1","0"
" 3253.0100",NA,NA," 520","1",NA,"0","0","0","0","0","397","2","3","2","0","2","0","12","0","0","3","0","1","1","1","1","5","0","0","0","15","0","4","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","1","0","17","0","1","0","6","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","0","0","0","0","0","6","0","0","0","56","0","0","2","0","0","7","0","0","1","56","1","0","0","27","3","0","0","0","1","0","0","3","6","191","19","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","0","1","0","0","0","0","0","0","61","1","2","4","0","0","0","0","5","0"
" 3343.2850",NA,NA," 526","1",NA,"0","0","1","0","0","3","1","1","3","0","2","0","5","0","0","2","0","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","1","0","6","0","16","0","0","0","10","0","0","0","4","0","0","0","1","0","37","0","1","0","0","3","0","0","0","1","0","0","0","0","1","182","0","0","0","0","0","2","0","0","0","75","0","0","2","0","1","6","0","0","1","91","3","0","0","17","0","0","0","0","1","31","0","0","5","238","23","4","0","4","0","1","0","1","3","0","0","0","1","0","0","1","0","5","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","1","0"
" 3448.6060",NA,NA," 533","1",NA,"0","0","0","0","0","6","5","0","4","0","2","0","1","0","0","5","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","2","0","0","0","0","0","0","2","0","20","0","0","0","15","0","0","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0","0","1","0","0","0","0","0","142","0","1","0","0","0","11","0","0","0","75","0","0","1","0","0","1","0","1","0","145","5","0","0","34","0","0","0","1","0","45","0","0","6","189","19","1","1","2","0","1","0","0","1","1","0","0","0","0","0","0","0","4","1","0","1","2","0","0","0","0","0","0","0","11","0","0","0","0","0","0"
" 3553.9270",NA,NA," 540","1",NA,"0","0","0","0","0","5","0","2","4","0","0","0","1","0","0","2","0","0","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","28","0","0","1","7","0","1","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","0","0","2","0","0","3","0","0","0","45","0","0","2","0","0","11","0","1","1","115","5","0","0","11","0","0","0","1","0","0","0","0","2","219","20","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0"
" 3644.2020",NA,NA," 546","1",NA,"0","0","0","0","0","217","0","1","5","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","1","1","3","0","0","0","0","0","1","2","0","13","0","0","1","4","0","1","0","0","1","0","0","1","0","14","0","0","0","0","2","0","0","0","0","0","0","0","0","1","247","0","0","0","0","0","4","0","0","0","44","0","0","1","0","1","5","0","0","0","101","6","0","0","21","0","0","0","0","0","62","0","0","7","208","35","2","0","4","0","1","0","0","3","1","0","0","1","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0"
" 3734.4780",NA,NA," 552","1",NA,"0","0","0","0","0","131","0","5","3","0","0","0","0","0","0","4","1","0","1","3","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","3","0","2","0","37","0","1","0","10","0","0","1","0","0","0","0","1","0","21","0","1","0","0","0","0","0","0","0","0","0","0","0","0","189","0","0","0","0","0","3","0","0","0","79","0","0","5","0","0","10","0","0","0","209","6","0","0","30","0","0","0","0","0","141","0","0","9","155","33","0","1","0","0","0","0","1","4","2","0","1","0","0","0","0","0","21","0","0","0","3","0","0","0","0","0","0","0","7","0","0","1","0","0","0"
" 3824.7530",NA,NA," 558","1",NA,"0","0","0","0","0","1064","0","1","5","0","0","0","6","0","0","4","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","59","0","0","0","16","0","0","0","0","1","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","221","0","0","1","0","0","5","0","0","0","41","0","0","5","0","0","7","0","0","0","220","8","0","0","34","0","0","0","0","0","0","0","1","8","63","12","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","24","0","0","0","0","1","0","0","0","0","10","0","27","0","0","0","0","0","0"
