"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthoceros-type","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Galium t.","Geraniaceae undif.","Hedera","Lamiaceae undif.","Malva undif.","Monoletes","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Selaginella-type","Sparganium","Tamarix","Thymelaeaceae undif.","Triletes","Ulmus t.","Urtica t.","Vitis"
"4897",NA,NA," 380","   6","  31","   0","   2","   4","   3","  10","   1","   0","   0","   0","   0","   0","   0","   2","   1","   2","   8","  11","   0","   1","  14","   0","   0","  11","   3","   0","   0","   0","   0","   1","   1","   3","   0","   0","   0","   0","  30","   0","   5","  18","   1","  10","  88","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   2","   0","   1","   0"
"5107",NA,NA," 400","   2","  11","   0","   2","   1","   0","   9","   0","   0","   0","   1","   0","   0","   0","   1","   0","   4","   7","   7","   0","   2","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   3","   0","   0","  32","   0","   3","   6","   2","   2","  31","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   2","   0","   1","   0"
"5317",NA,NA," 420","   4","  13","   0","   3","   0","   0","  53","   0","   0","   0","   3","   0","   0","   1","   5","   1","   6","   3","   5","   0","   4","   0","   1","   0","  48","   3","   0","   0","   0","   0","   0","   0","   4","   1","   2","   0","   0","  15","   0","  17","  21","   4","   7","  63","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","  29","   0","   0","   0"
"5527",NA,NA," 440","   1","  36","   0","   4","   2","   1","  24","   1","   0","   0","   0","   0","   0","   0","   2","   0","   7","   1","   0","   0","   1","   9","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   4","   1","   6","   2","   0","  13","   0","  47","  14","   1","  10","  73","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","  50","   0","   0","   0"
"5737",NA,NA," 460","   0","   2","   0","   2","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   2","   1","   0","   0","   0","   2","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   1","   8","   3","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   3","   0","   0","   0"
"6157",NA,NA," 500","   0","  13","   0","   7","   5","   0","  23","   0","   0","   0","   0","   0","   0","   0","  13","   0","   3","   5","   6","   0","   1","   5","   0","   0","  43","   0","   0","   0","   0","   0","   0","   0","   4","   1","   3","   0","   0"," 130","   0","  13","  32","   0","   7","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","  12","   0","   0","   0"
"6367",NA,NA," 520","   7","  24","  11","   5","   8","   2","  31","   0","   0","   0","   0","   0","   0","   0","  63","   0","  12","  11","  19","   1","   2","  13","   0","   0","  35","   2","   0","   0","   0","   0","   0","   0","   6","   2","   0","   0","   0","  53","   5","  12","  55","   9","  13","  41","   1","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","  10","   0","   0","   0"
"6577",NA,NA," 540","   4","  12","  11","   4","   9","   0","  14","   1","   1","   0","   0","   0","   0","   0","   6","   2","   9","   1","  18","   7","   3","  20","   0","   0","  54","   0","   0","   0","   0","   0","   0","   0","   9","   1","   0","   1","   0","  42","   1","   5","  24","   3","  19","  31","   7","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","  14","   0","   0","   0"
"6787",NA,NA," 560","  15","   3","  14","   5","   8","   6","   4","   0","   0","   0","   0","   0","   0","   0","   8","   6","   2","   1","  14","   4","   5","  27","   0","   0","  54","   9","   0","   0","   0","   0","   0","   2","   4","   0","   0","   2","   0","  71","   0","  12","  11","   4","  16","  51","   5","   0","   1","   0","   0","   0","   0","   0","   0","  13","   0","   0","   5","   0","   1","   0"
"6997",NA,NA," 580","   2","   7","   7","   1","   3","   1","  10","   0","   0","   0","   0","   0","   0","   0","   5","   0","   5","   4","   4","   7","   1","  12","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","  31","   4","  21","  28","   4","  16","  47","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","  20","   2","   0","   0"
"7207",NA,NA," 600","   1","   4","   3","   1","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   1","   2","   0","   0","   4","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   5","   0","   0","   5","   3","   7","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"
"7417",NA,NA," 620","   3","   7","  12","   6","   4","   3","  38","   0","   0","   0","   0","   0","   0","   0","  14","   5","   5","   9","  42","   4","   2","  16","   0","   0"," 105","   5","   0","   0","   5","   0","   0","   0","   5","   0","   3","   0","   0","  37","   0","   8","  18","   4","  12","  57","   0","   2","   0","   0","   0","   0","   0","   0","   0","   8","   2","   0","   4","   0","   0","   0"
"7627",NA,NA," 640","   5","  16","   0","   7","   4","   0","  44","   0","   0","   0","   0","   0","   0","   0","   2","   6","   8","   9","  19","   0","   0","   5","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   1","   0","  41","   0","  19","  26","   8","  27","  68","   0","   0","   0","   0","   4","   0","   0","   0","   0","   6","   0","   0","   3","   0","   1","   2"
"7837",NA,NA," 660","   0","   6","   2","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   5","   5","   1","   7","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"8047",NA,NA," 680","   2","   5","   1","   0","   2","   0","   6","   0","   0","   0","   0","   0","   0","   0","   3","   0","   4","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   4","   5","   1","   4","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0"
"8215",NA,NA," 696","   0","   3","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   0","   4","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
