"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Ilex","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lythrum","Mercurialis","Myriophyllum undif.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Polypodiophyta undiff.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (trilete, verrucate)","Utricularia","Valeriana t.","Viburnum","Vitis"
" 5898",NA,NA," 856","1.9","8","0","0","2838","1","3","0","1","0","0","2","11","0","28","2","0","0","0","0","0","6","0","0","0","0","4","0","0","0","5","0","2","10","0","3","14","0","0","0","1","7","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","1","0","0","0","0","0","1","0","2","0","84","7","6","0","0","107","6","0","0","7","0","0","0","344","5","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","2","0","15","0","1","0","10","0","0","6","8","0","0","0","1","2"
" 6004",NA,NA," 864","1.9","9","0","0","4046","5","7","0","0","0","4","0","6","2","33","3","0","0","0","0","0","4","2","0","0","1","4","0","0","0","8","0","2","15","0","2","8","0","1","0","2","22","0","7","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","9","0","0","0","0","1","13","0","71","19","6","0","0","120","3","0","0","4","0","0","1","317","7","4","0","1","0","0","0","0","4","2","0","0","2","0","0","0","2","0","50","0","0","0","1","0","0","12","12","0","0","0","0","0"
" 6110",NA,NA," 872","1.7","5","0","0","742","0","8","0","0","0","0","2","5","0","30","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","8","0","2","7","0","1","11","0","0","0","1","12","0","4","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","2","0","0","0","0","0","1","0","64","13","2","0","0","104","1","0","0","4","0","0","0","366","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","22","0","0","0","5","0","0","8","8","0","0","0","0","0"
" 6216",NA,NA," 880","1.8","11","0","0","998","1","5","0","0","0","2","0","5","2","39","1","0","0","0","0","0","1","1","0","0","2","7","1","0","0","6","0","1","16","0","1","8","0","1","0","0","11","0","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","2","1","0","0","1","1","2","0","86","20","7","0","0","136","0","0","1","5","0","0","0","344","4","0","0","1","0","0","4","0","2","1","0","0","0","0","0","0","1","0","28","0","1","0","3","0","0","11","22","0","0","0","0","1"
" 6322",NA,NA," 888","1.4","12","0","0","4107","1","9","0","0","0","3","1","14","1","28","4","0","0","0","0","0","0","1","0","0","2","13","2","0","0","3","0","1","15","0","3","4","1","1","0","4","63","0","22","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","5","2","0","0","6","0","0","0","0","0","6","0","112","9","7","0","0","149","9","0","1","8","1","0","0","307","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","5","0","5","0","0","0","3","0","0","6","20","2","0","0","0","2"
" 6427",NA,NA," 896","2.6","15","0","0","5175","1","5","0","2","0","1","2","6","0","21","2","0","0","0","0","0","3","1","0","0","0","0","0","0","0","16","0","1","7","0","1","2","0","0","0","3","6","0","4","0","0","1","2","0","0","0","0","0","0","0","1","0","0","0","3","6","0","0","3","0","0","0","0","0","0","0","59","8","5","0","0","75","2","0","0","2","0","0","0","368","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","4","0","6","0","0","0","11","1","0","4","2","0","0","0","0","1"
" 6454",NA,NA," 898","2.8","6","0","0","4576","7","9","0","1","0","1","0","4","0","32","4","0","0","0","0","0","2","2","0","0","0","7","1","0","0","9","0","2","11","0","0","4","0","0","0","1","5","0","17","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","6","0","0","2","0","0","0","0","0","15","2","33","18","6","0","0","111","3","0","1","3","0","0","0","352","6","1","0","1","0","0","0","1","3","1","0","0","0","0","0","1","1","0","11","0","0","0","4","0","0","10","14","0","0","0","0","1"
" 6560",NA,NA," 906","1.4","8","0","0","5682","1","9","0","0","0","4","0","4","1","26","2","0","0","0","0","0","1","1","0","0","0","11","0","0","0","14","0","4","29","0","1","0","0","0","0","1","13","0","24","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","0","0","1","6","0","62","25","9","0","0","162","3","0","0","9","0","0","0","321","10","0","0","3","0","0","2","1","3","1","0","0","2","0","0","0","3","0","10","0","0","0","5","0","0","10","14","2","0","0","0","2"
" 6666",NA,NA," 914","2.8","15","0","0","4422","2","5","0","1","0","7","0","9","0","49","2","0","0","0","0","0","2","2","0","0","0","6","0","0","0","11","0","1","18","0","0","1","0","0","0","1","7","0","32","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","7","4","0","0","4","0","0","0","0","0","8","0","37","19","6","0","0","150","2","0","4","2","0","0","0","301","4","1","0","0","0","0","1","0","4","1","0","0","0","0","0","0","3","0","21","0","1","0","8","0","0","13","8","1","0","0","0","5"
" 6772",NA,NA," 922","1.8","23","0","0","1661","1","25","0","1","0","5","4","20","3","38","8","0","0","1","0","0","0","5","0","0","1","30","0","0","0","12","0","9","42","0","3","2","0","0","0","0","52","0","26","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","1","0","0","2","2","0","0","1","1","15","0","112","27","15","0","0","226","8","0","8","20","0","0","0","242","5","1","0","0","0","0","0","0","3","1","0","0","2","0","0","2","2","0","19","0","0","0","6","1","0","4","18","7","0","0","0","4"
" 6878",NA,NA," 930","2.0","8","0","0","3629","0","7","0","1","0","4","0","3","2","39","3","1","0","0","0","0","2","2","0","0","0","4","0","0","0","15","1","1","14","0","0","0","0","1","0","6","11","0","42","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","28","0","0","3","0","0","0","0","0","8","0","23","23","5","0","0","154","8","0","3","10","0","0","0","327","3","2","0","5","0","0","2","0","2","2","0","0","0","1","0","2","1","0","29","0","0","0","4","0","0","6","10","2","0","0","0","1"
" 7118",NA,NA," 946","2.0","6","0","0","9697","6","8","0","1","0","5","2","7","0","27","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","17","0","5","9","0","0","0","0","2","0","1","9","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","7","0","0","0","0","0","15","0","21","37","4","0","0","172","2","0","0","1","0","0","0","334","9","0","0","5","0","0","1","0","5","0","0","0","0","0","0","0","1","0","31","0","0","0","8","0","0","11","14","0","0","0","0","1"
" 7288",NA,NA," 954","1.6","6","0","0","14570","2","3","0","0","0","0","2","8","1","10","2","0","0","0","0","0","0","3","0","0","0","5","0","0","0","29","0","2","12","0","0","2","0","0","0","2","10","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","32","29","3","0","0","142","5","0","0","2","0","0","0","367","12","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","1","0","22","0","1","0","8","0","0","7","12","0","0","0","0","1"
" 7458",NA,NA," 962","1.9","11","1","1","2674","3","4","0","0","0","0","2","3","0","14","4","0","0","0","0","0","0","0","0","1","0","6","1","0","0","9","0","2","6","0","1","1","1","0","0","1","13","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","4","0","0","0","0","0","3","0","39","29","3","0","1","169","4","0","0","3","0","0","0","371","5","0","0","4","0","0","1","0","0","0","0","0","3","0","0","0","1","0","9","0","2","0","10","0","0","5","6","0","0","0","0","0"
" 7629",NA,NA," 970","1.7","15","0","0","1311","2","2","0","0","0","2","0","8","1","8","8","0","0","1","0","0","0","2","0","0","0","11","0","0","0","12","0","3","12","0","3","1","0","0","0","0","21","0","11","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","3","0","0","4","0","0","0","0","0","6","0","50","16","4","0","0","154","4","0","0","5","0","0","0","373","2","1","0","1","0","0","0","1","3","0","0","0","0","0","0","1","3","0","11","0","0","0","4","0","0","5","20","1","0","0","0","1"
" 7799",NA,NA," 978","1.7","10","0","0","13689","1","13","0","3","0","0","0","7","1","8","5","0","0","0","0","0","0","4","0","0","1","16","1","0","0","7","0","2","8","0","0","1","0","0","0","3","18","1","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","5","0","0","3","1","0","0","1","0","8","1","29","17","7","0","0","216","5","0","0","19","0","0","0","394","1","0","0","2","0","0","0","1","4","0","0","0","2","0","0","4","4","0","19","0","0","0","7","0","0","6","14","0","0","0","0","2"
" 7969",NA,NA," 986","2.0","16","0","0","6327","3","14","0","2","1","0","1","15","0","1","3","0","0","0","0","0","1","1","0","0","0","21","0","0","0","3","0","6","27","0","2","2","0","0","0","0","34","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","0","2","0","3","0","80","15","4","0","0","209","5","0","0","11","0","0","0","378","1","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","2","0","13","0","2","0","9","0","0","4","10","0","0","0","0","0"
" 8076",NA,NA," 991","1.8","10","0","0","10135","0","12","0","1","0","3","0","12","0","2","3","0","0","0","0","0","1","3","0","0","0","13","1","0","0","5","0","5","18","1","1","1","0","0","0","1","31","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","1","0","0","0","2","1","6","0","59","24","6","0","0","215","6","0","0","3","0","0","0","381","1","0","0","1","0","0","0","1","1","0","0","0","3","0","0","0","5","0","6","0","0","0","9","0","0","11","16","2","0","0","0","0"
" 8225",NA,NA," 998","1.8","2","0","0","12542","1","10","0","0","0","1","0","6","0","1","4","0","0","0","0","0","0","1","0","0","1","18","0","0","0","10","0","0","8","3","1","1","0","0","0","0","19","0","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","4","0","36","31","6","0","1","209","8","0","0","5","0","0","0","400","4","0","0","1","0","0","0","1","1","0","0","0","7","0","0","0","5","0","8","0","0","0","4","0","0","9","14","0","0","0","0","0"
" 8363",NA,NA,"1006","1.7","9","0","1","10229","1","11","0","0","0","0","0","18","1","6","4","0","0","0","0","0","0","0","0","0","0","14","0","0","0","14","0","1","11","0","1","0","0","0","0","0","9","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","5","0","47","37","8","0","0","226","6","0","0","9","0","0","0","376","5","0","0","1","0","0","0","0","1","1","0","0","5","0","0","0","2","0","10","0","1","0","5","0","1","9","8","0","0","1","0","1"
" 8507",NA,NA,"1015","1.4","12","0","0","14884","0","14","0","0","0","0","0","15","0","0","7","0","0","0","0","0","0","1","0","0","3","24","0","0","0","8","0","4","15","1","1","1","0","0","0","4","22","0","9","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","1","0","0","0","0","0","0","2","0","1","0","64","46","7","0","1","263","5","0","0","9","0","0","0","363","0","0","0","5","0","0","1","0","2","0","0","0","4","0","0","0","12","0","4","0","0","0","7","0","0","4","10","7","0","1","0","1"
" 8619",NA,NA,"1022","2.0","2","0","0","10371","3","18","0","1","0","7","0","12","2","0","11","0","0","0","0","0","0","0","0","0","0","20","0","0","0","5","0","3","29","1","5","0","1","0","0","1","12","0","16","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","14","0","0","1","0","0","0","1","3","3","0","43","38","3","0","0","356","15","0","0","9","1","0","0","382","1","0","0","0","0","0","0","0","4","1","0","0","3","0","0","0","11","0","3","0","1","0","3","0","2","10","18","2","0","0","0","1"
" 8746",NA,NA,"1030","2.0","4","0","0","15275","1","23","0","2","0","7","1","14","0","2","3","0","0","1","0","0","0","2","0","2","3","39","0","0","0","9","0","3","33","1","4","1","0","1","0","2","16","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","8","0","0","0","0","0","0","3","0","0","0","63","52","5","0","0","378","17","0","0","7","0","0","0","367","2","0","0","1","0","0","1","0","5","1","0","0","3","0","0","0","22","0","4","0","1","0","2","0","1","6","16","2","0","0","0","0"
" 8874",NA,NA,"1038","2.4","7","2","0","14805","3","24","0","1","0","6","1","15","3","2","11","0","0","0","0","0","0","6","0","0","3","33","0","0","0","5","0","8","21","1","2","1","1","3","0","3","15","0","14","0","0","0","2","0","0","1","0","2","0","0","1","0","0","1","0","13","0","0","1","0","0","0","3","0","5","1","69","52","3","0","0","391","31","0","0","16","0","0","0","338","2","1","0","0","0","0","2","0","7","0","0","0","7","0","0","0","7","0","6","0","0","1","4","0","0","6","16","2","0","0","0","2"
" 9002",NA,NA,"1046","1.3","18","0","0","27671","0","17","0","1","0","2","1","20","2","1","5","0","0","0","0","1","0","2","0","0","1","46","1","0","0","5","0","4","25","3","2","3","0","0","0","1","22","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","6","0","2","0","95","54","4","0","0","300","19","0","0","16","0","0","0","319","1","0","0","2","0","0","0","0","7","0","0","0","15","0","0","0","16","0","6","0","2","0","3","0","0","5","12","6","0","0","0","1"
" 9130",NA,NA,"1054","1.2","2","0","2","16704","1","26","0","1","0","7","0","9","3","4","4","0","0","0","0","1","0","2","0","0","2","24","1","0","0","4","0","4","24","2","1","1","0","2","0","2","9","0","12","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","31","0","0","1","0","0","0","4","1","0","0","42","104","4","0","0","386","47","0","0","6","0","0","0","465","6","2","0","0","0","0","0","1","2","1","0","0","6","0","0","1","34","0","3","0","1","0","3","0","1","14","10","1","0","1","0","0"
" 9258",NA,NA,"1062","2.1","0","0","0","1172","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0","1","3","0","0","0","22","10","0","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","8","0","0","1","0","0"
"10024",NA,NA,"1110","1.9","0","0","2","6805","4","16","0","1","0","12","0","20","8","1","3","0","0","0","0","0","0","14","0","0","4","37","0","0","0","1","0","9","34","1","3","5","0","3","0","1","1","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","0","1","0","0","0","1","0","2","0","30","47","2","0","12","887","23","0","1","1","7","0","0","177","2","0","0","4","0","0","0","0","4","0","0","0","2","0","0","1","29","0","67","0","0","0","3","2","0","9","34","0","1","0","0","0"
"10328",NA,NA,"1129","1.3","0","0","0","898","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","8","0","0","0","0","0"
