"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Ilex","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lythrum","Mercurialis","Myriophyllum undif.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Polypodiophyta undiff.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (trilete, verrucate)","Utricularia","Valeriana t.","Viburnum","Vitis"
" 1810",NA,NA," 442","1.8","0","0","0","24","4","4","0","0","0","8","0","2","2","20","1","0","0","1","0","0","5","2","0","0","1","2","0","0","0","4","0","0","3","0","0","17","0","0","0","1","4","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","0","0","0","1","47","0","9","35","2","2","0","28","0","0","0","0","0","0","0","253","39","0","5","0","0","0","0","0","0","0","0","0","2","0","0","2","1","0","9","0","0","0","0","0","0","16","22","0","0","0","0","2"
" 1810",NA,NA," 446","1.4","1","0","0","68","7","3","0","0","0","3","1","1","0","18","1","0","0","0","1","0","1","3","0","0","0","3","0","0","0","3","0","1","2","0","0","13","0","0","0","2","4","0","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","58","0","8","40","4","0","0","34","0","0","0","0","1","0","2","277","40","0","0","2","0","1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","15","2","0","0","0","0","3"
" 1811",NA,NA," 450","1.6","3","0","0","234","8","4","0","0","0","3","0","5","1","20","0","0","0","0","0","0","2","0","0","0","0","6","1","0","0","2","0","1","4","0","2","23","0","0","0","6","8","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","0","1","0","0","13","0","17","37","4","1","0","46","0","0","2","0","0","0","0","291","31","0","0","5","0","0","0","0","1","0","0","0","0","1","0","1","1","0","8","0","0","0","0","0","0","18","4","0","0","0","0","5"
" 1812",NA,NA," 458","0.8","4","1","0","0","7","5","0","0","1","3","0","5","0","22","0","0","0","0","0","0","5","2","0","0","0","0","1","0","0","3","0","0","2","0","0","9","0","0","0","2","3","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","42","0","0","0","0","20","0","8","21","6","1","0","31","0","0","0","0","1","0","0","318","39","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","13","18","0","0","0","0","1"
" 1813",NA,NA," 462","2.0","1","0","0","0","6","4","0","0","0","4","0","2","0","21","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","6","0","0","2","0","0","4","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","46","0","8","32","4","0","0","21","2","0","0","0","0","0","0","315","11","0","0","1","0","0","1","0","2","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","16","4","0","0","0","0","2"
" 1827",NA,NA," 466","1.9","2","0","0","2","8","8","0","0","0","6","1","4","0","26","1","0","0","0","0","0","2","1","0","0","1","4","1","0","0","3","0","0","3","0","0","4","0","0","0","2","3","0","5","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","1","0","0","0","40","0","0","0","0","49","0","10","15","3","0","0","39","0","0","0","0","0","0","0","319","47","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","16","10","0","0","0","0","0"
" 1853",NA,NA," 470","1.6","4","0","0","0","7","3","0","0","0","4","1","1","1","14","0","0","0","0","0","0","1","0","0","1","2","2","1","0","0","2","0","0","1","0","0","5","0","0","0","1","4","0","2","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","31","0","0","0","0","57","0","10","22","1","0","0","22","2","0","0","4","0","0","0","307","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","0","10","2","0","0","0","0","1"
" 1880",NA,NA," 474","1.8","2","0","0","0","7","3","0","0","0","4","0","1","2","21","0","0","0","0","0","0","5","2","0","0","1","1","1","0","0","8","1","0","3","0","0","6","0","0","0","2","7","0","3","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","53","0","6","22","6","0","0","18","0","0","0","1","0","0","0","273","40","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","3","0","0","0","0","1","0","9","6","0","0","0","0","2"
" 1907",NA,NA," 478","2.2","2","0","0","2","8","7","0","0","0","3","1","2","0","18","1","0","0","0","0","0","2","3","0","0","0","3","1","0","0","5","0","0","2","0","0","3","0","0","0","4","3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","1","77","0","20","18","4","0","1","26","1","0","0","1","0","0","0","295","20","0","0","0","0","0","2","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","7","6","1","0","0","0","2"
" 1934",NA,NA," 482","2.3","4","0","0","0","5","5","0","0","0","9","0","2","2","26","3","0","0","0","0","0","4","1","0","1","0","0","0","0","0","2","0","0","4","0","0","3","0","0","0","7","5","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","60","0","10","26","3","2","0","16","0","0","0","0","0","0","0","263","33","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","5","14","0","0","0","0","1"
" 1961",NA,NA," 486","1.9","2","0","0","1","1","3","0","0","0","4","0","4","0","19","1","0","0","0","0","0","9","1","0","0","0","3","1","0","0","6","0","1","1","0","0","10","0","0","0","6","4","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","46","0","0","0","0","60","0","15","22","0","0","1","14","2","0","0","0","0","0","0","313","20","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3","4","0","0","0","0","2"
" 1987",NA,NA," 490","2.8","4","0","0","0","5","4","0","0","0","4","0","1","0","40","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","2","0","0","2","0","0","6","0","0","0","1","4","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","39","0","0","0","0","50","0","6","17","3","1","0","34","1","0","0","1","0","0","0","292","33","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9","16","0","0","0","0","2"
" 2014",NA,NA," 494","2.5","4","0","0","2","3","2","0","1","0","2","1","4","1","16","0","0","0","0","0","0","4","1","0","0","1","4","1","0","0","2","0","0","3","0","1","6","0","0","0","1","4","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","49","0","0","0","0","80","0","14","17","5","2","0","15","1","0","0","0","0","0","0","288","19","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","2","14","0","0","0","0","1"
" 2041",NA,NA," 498","2.2","3","1","0","4","9","2","0","0","0","4","1","4","0","25","0","0","0","0","0","0","2","0","0","0","0","3","2","0","0","3","0","1","1","0","1","9","0","0","0","2","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","50","0","16","11","5","0","0","19","1","0","0","0","0","0","0","327","27","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","1","0","0","0","0","5","14","1","0","0","0","5"
" 2068",NA,NA," 502","2.4","5","0","0","0","7","5","0","0","0","3","0","2","0","11","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","3","0","1","3","0","0","5","0","0","0","2","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","78","0","21","18","5","1","0","23","1","0","0","2","0","0","0","358","18","0","0","0","0","0","3","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","16","0","0","0","0","1"
" 2094",NA,NA," 506","2.0","8","0","0","8","5","4","0","0","0","5","0","4","0","19","1","0","0","0","0","0","1","2","0","0","1","2","0","0","0","4","0","0","0","0","0","3","0","0","0","3","2","0","3","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","50","0","0","0","0","59","0","16","10","5","0","0","33","1","0","0","1","0","0","0","350","17","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","5","0","0","0","0","0","1"
" 2121",NA,NA," 510","2.0","5","0","0","7","5","4","1","0","0","0","1","2","1","13","0","0","0","0","0","0","8","0","0","0","1","7","2","0","0","2","0","0","6","0","0","4","0","0","0","9","5","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","57","0","21","8","1","1","0","23","1","0","0","1","0","0","0","340","10","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","1"
" 2148",NA,NA," 514","1.9","3","0","0","4","7","2","0","0","0","7","1","4","0","25","0","0","0","0","0","0","3","3","0","0","1","3","0","0","0","1","0","1","3","0","0","11","0","0","0","4","6","0","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","1","0","0","0","50","0","0","0","0","47","0","10","8","8","1","0","32","3","0","0","1","0","0","0","320","21","0","0","3","1","0","1","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","10","1","0","0","0","1"
" 2175",NA,NA," 518","1.2","0","0","0","16","8","8","0","0","0","4","0","5","0","21","1","0","0","0","0","0","3","0","0","0","2","6","0","0","0","5","0","0","5","0","0","8","0","2","0","5","1","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","35","0","0","0","0","50","0","23","9","1","0","0","29","3","0","1","2","0","0","0","303","13","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","6","0","0","0","0","0","1"
" 2188",NA,NA," 520","1.8","1","0","0","25","8","8","0","0","0","3","0","2","0","21","1","1","0","0","0","0","7","2","0","0","2","12","1","0","0","7","0","0","13","0","0","6","0","1","0","2","7","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","1","50","0","0","0","1","67","0","18","15","6","1","1","47","0","0","0","0","0","0","1","252","50","0","1","0","0","0","1","0","0","1","0","0","1","0","0","2","1","0","1","0","0","0","1","0","0","2","6","0","0","0","0","3"
" 2215",NA,NA," 524","1.0","3","0","0","34","9","7","0","0","0","3","1","5","2","18","0","0","0","0","0","0","5","0","0","0","2","7","0","0","0","1","0","1","7","0","1","8","0","0","0","3","4","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","2","0","0","1","17","0","0","0","1","79","0","29","16","5","0","0","35","2","0","0","3","3","0","0","315","7","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","5","0","0","0","1","0","0","1","10","0","0","0","0","1"
" 2242",NA,NA," 528","1.8","2","0","0","24","8","4","0","0","0","1","0","5","1","15","2","0","0","0","0","0","4","0","0","0","0","3","0","1","0","6","0","0","11","0","0","16","0","0","0","1","2","0","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","3","0","0","0","46","0","0","0","0","77","0","30","9","0","0","1","34","1","0","0","0","1","0","0","240","23","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","2","4","0","0","0","0","0"
