"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Persicaria t.","Pinus mediterranea","Pinus pinaster","Plantago","Poaceae","Polygala","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Thymelaeaceae undif.","Typha","Unknown","Viburnum"
"320",NA,NA," 50","  0","  0","  0","  0","  0","  0"," 10","  0","  2","  2","  0","  0","  0","  3"," 37","  0","  8","  4","  0","  0","  0"," 10","  0","  0","  5","  0","  0"," 12","  0","  0"," 47"," 75","  8","  0"," 10","  6","  0"
"342",NA,NA," 55","  0","  4","  0","  0","  2","  0"," 12","  0","  0","  8"," 10","  0","  4","  0"," 44","  0","  4","  0","  0","  0","  2"," 24","  0","  0","  0","  0","  0"," 12","  0","  0"," 42"," 80","  0","  0"," 12","  6","  0"
"364",NA,NA," 60","  0","  0","  0","  4","  0","  1","  6","  0","  4","  2","  2","  0","  3","  1"," 16","  0","  0","  1","  0","  1","  0","  7","  7","  4","  0","  0","  0"," 25","  0","  0"," 30"," 63","  1","  0"," 25","  3","  0"
"386",NA,NA," 65","  0","  0","  0","  5","  0","  2"," 16","  0","  2","  3","  1","  0","  2","  0"," 15","  2","  0","  0","  1","  1","  0","  2","  1"," 13","  2","  0","  1"," 26","  0","  0"," 23"," 62","  1","  0"," 26","  3","  0"
"407",NA,NA," 70","  0","  1","  4"," 10","  0","  1","  5","  0","  2","  0","  2","  0","  5","  1"," 12","  0","  3","  0","  0","  1","  0","  2","  5"," 28","  3","  0","  1"," 25","  0","  0"," 25"," 88","  0","  0"," 25","  4","  0"
"429",NA,NA," 75","  0","  0","  5"," 10","  0","  0","  5","  0","  0","  6","  7","  0","  8","  0"," 24","  2","  0","  2","  1","  0","  1","  6","  2"," 22","  1","  0","  6"," 26","  0","  2"," 33","101","  0","  1"," 26","  1","  0"
"451",NA,NA," 80","  0","  0","  2"," 10","  0","  3","  6","  0","  0","  1","  2","  0","  9","  1"," 21","  1","  0","  0","  0","  0","  1","  2","  2"," 18","  1","  0","  2"," 38","  2","  0"," 31"," 84","  0","  0"," 38","  4","  0"
"473",NA,NA," 85","  0","  2","  0"," 12","  0","  2","  4","  0","  4","  8","  4","  0","  0","  2"," 36","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  2","  0","  0"," 18","  4","  0"," 40","125","  2","  0"," 18","  0","  0"
"494",NA,NA," 90","  0","  1","  0"," 11","  0","  1","  7","  0","  0","  0","  6","  3","  0","  1"," 53","  0","  0","  1","  2","  0","  0","  2","  1"," 27","  6","  0","  1"," 19","  4","  1"," 30","131","  4","  5"," 34","  1","  0"
"516",NA,NA," 95","  0","  0","  2","  6","  1","  0","  4","  0","  1","  1","  1","  1","  1","  0"," 32","  0","  0","  3","  0","  0","  1","  0","  0"," 55","  4","  0","  1"," 19","  0","  0"," 19"," 50","  1","  3","129","  0","  0"
"538",NA,NA,"100","  0","  0","  0","  4","  0","  0","  9","  0","  2","  3","  4","  0","  0","  0"," 42","  0","  0","  0","  4","  0","  0","  0","  0"," 28","  0","  0","  2"," 10","  2","  0"," 13"," 52","  0","  0"," 63","  4","  0"
"596",NA,NA,"105","  0","  0","  2","  0","  2","  2"," 10","  0","  0","  0","  0","  2","  0","  0"," 30","  0","  0","  0","  2","  0","  0","  0","  0"," 48","  2","  0","  0"," 20","  2","  0"," 20"," 68","  0","  0"," 60","  0","  0"
"654",NA,NA,"110","  0","  0","  1","  5","  1","  1","  1","  0","  0","  1","  4","  1","  0","  0"," 25","  0","  0","  0","  0","  0","  0","  0","  0"," 32","  2","  0","  1"," 15","  1","  0"," 17"," 45","  1","  0"," 80","  2","  0"
"711",NA,NA,"115","  0","  0","  2","  8","  2","  2","  0","  0","  0","  2","  6","  2","  0","  0"," 24","  0","  0","  0","  0","  0","  0","  0","  2"," 24","  2","  0","  2"," 20","  2","  1"," 30"," 59","  2","  0"," 60","  4","  0"
"769",NA,NA,"120","  0","  2","  4","  3","  0","  0","  7","  0","  0","  1","  4","  0","  0","  0"," 40","  0","  0","  0","  0","  0","  0","  0","  5"," 10","  5","  0","  1"," 47","  0","  0"," 63"," 36","  0","  0"," 46","  1","  0"
"827",NA,NA,"125","  0","  0","  1","  9","  1","  0"," 13","  0","  1","  6","  7","  1","  1","  4"," 60","  0","  0","  0","  0","  0","  4","  3","  0"," 15","  6","  0","  8"," 30","  1","  0"," 30"," 23","  0","  1"," 75","  0","  0"
"884",NA,NA,"130","  0","  0","  0","  2","  4","  0"," 23","  0","  2","  3"," 14","  0","  4","  0","130","  0","  0","  0","  1","  0","  5","  0","  5","  2","  1","  0","  6"," 28","  0","  0"," 24"," 13","  0","  2"," 24","  4","  0"
"942",NA,NA,"135","  0","  0","  0","  2","  3","  0"," 20","  0","  1","  2"," 10","  1","  3","  0"," 90","  0","  0","  0","  0","  0","  4","  1","  4","  2","  1","  0","  5"," 25","  0","  0"," 23"," 15","  0","  1"," 22","  2","  0"
"1000",NA,NA," 140","   0","   0","   1","   2","   1","   0","  10","   0","   1","   3","  15","   0","   0","   0"," 100","   0","   0","   0","   2","   0","  71","   0","   8","   0","   5","   0","  20","  29","   0","   0","   7","  45","   0","   0","   3","   2","   0"
"1058",NA,NA," 145","   0","   0","   6","   3","   0","   0","  14","   0","   2","   5","   9","   1","   3","   0","  60","   1","   0","   0","   0","   0"," 110","   2","   6","   0","   1","   0","   5","  14","   0","   0","  18","  50","   0","   0","   7","   2","   0"
"1115",NA,NA," 150","   0","   1","   5","   2","   0","   0","  16","   0","   0","   7","   7","   0","   0","   0","  71","   0","   0","   0","   0","   0","  53","   3","   8","   0","   2","   0","   9","  35","   0","   1","  47","  94","   0","   0","   5","   6","   0"
"1173",NA,NA," 155","   0","   0","   2","   1","   0","   0","  10","   0","   0","   5","   5","   1","   0","   0","  65","   0","   0","   0","   0","   0","  50","   2","   5","   0","   1","   0","   4","  25","   0","   0","  50","  80","   0","   0","   4","   2","   0"
"1231",NA,NA," 160","   0","   2","   0","   4","   0","   0","   6","   0","   0","   4","   3","   0","   0","   0","  58","   0","   0","   0","   1","   0","  27","   4","  13","   0","   5","   0","   0","   9","   0","   5","  83"," 172","   0","   1","   0","   4","   0"
"1289",NA,NA," 165","   0","   0","   1","   3","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","  48","   0","   0","   0","   0","   0","   4","   7","  13","   0","   1","   0","   2","   3","   0","   2","  78"," 153","   2","   1","   0","   0","   0"
"1346",NA,NA," 170","   0","   0","   1","   2","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","  45","   0","   0","   0","   0","   0","   3","   8","  11","   0","   1","   0","   3","   2","   0","   0","  79"," 120","   1","   1","   0","   0","   0"
"1404",NA,NA," 175","   0","   0","   2","   1","   0","   0","   5","   0","   1","   5","   1","   0","   0","   0","  37","   0","   0","   0","   0","   0","   1","   9","  21","   1","   1","   0","   0","   9","   1","   2","  70"," 114","   3","   0","   0","   3","   0"
"1462",NA,NA," 180","   0","   0","   1","   1","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","  15","   1","   0","   0","   0","   0","   1","  13","  16","   0","   1","   0","   0","   4","   0","   0","  54","  95","   1","   0","   3","   2","   0"
"1520",NA,NA," 185","   0","   0","   1","   1","   0","   0","   4","   0","   0","   4","   3","   0","   0","   0","  30","   1","   0","   0","   0","   0","   1","  15","  15","   0","   2","   0","   0","   8","   0","   0","  68"," 100","   0","   0","   0","   1","   0"
"1577",NA,NA," 190","   0","   0","   2","  10","   0","   0","  10","   0","   3","   0","   4","   2","   0","   0","  16","   0","   0","   0","   0","   0","   0","  19","  15","   0","   0","   0","   2","   9","   0","   3","  50"," 138","  12","   3","   2","   2","   0"
"1635",NA,NA," 195","   0","   0","   2","  13","   0","   0","   4","   0","   1","   4","   2","   0","   0","   1","  10","   0","   0","   1","   0","   0","   2","   0","   2","   0","   0","   0","   0","   8","   0","   0","  35","  76","  57","   2","   0","   3","   0"
"1693",NA,NA," 200","   1","   0","   2","  21","   0","   0","   8","   0","   6","   2","   4","   0","   0","   1","  17","   4","   0","   1","   0","   5","   1","  15","  12","   1","   3","   4","   2","  62","   1","   0","  32"," 110"," 260","   1","  37","   1","   1"
"1751",NA,NA," 205","   0","   0","   2","  20","   0","   0","   7","   0","   0","   4","   2","   0","   0","   0","  30","   7","   0","   0","   0","   0","   9","   9","   7","   2","   2","   0","   2","  20","   0","   2","  80"," 104"," 210","   2","   9","   0","   0"
"1808",NA,NA," 210","   0","   0","   4","   8","   0","   0","   8","   0","   2","   1","   0","   0","   0","   0","  26","   0","   0","   0","   1","   0","   1","   2","  10","   0","   4","   0","   1","  27","   0","   0","  56","  86","  61","   0","  15","   1","   0"
"1866",NA,NA," 215","   0","   0","   3","   4","   0","   0","   5","   0","   1","   1","   2","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   2","   6","   0","   2","   0","   1","  25","   0","   2","  35","  58","  42","   0","  17","   0","   0"
"1924",NA,NA," 220","   0","   1","   2","   9","   0","   1","   3","   0","   5","   8","   6","   0","   0","   0","   8","   1","   0","   0","   1","   0","   0","   5","   7","   1","   1","  10","   1","  31","   3","   0","  46","  67","   3","   1","   5","   3","   0"
"1982",NA,NA," 225","   0","   3","   2","   7","   0","   1","   2","   0","   0","   2","   2","   0","   1","   0","   7","   1","   0","   0","   0","   0","   1","   0","   9","   1","   1","   5","   0","  12","   2","   3","  70","  96","   2","   0","   2","   0","   0"
"2039",NA,NA," 230","   0","   1","   2","   8","   1","   3","   8","   0","   0","   2","   3","   0","   0","   0","   7","   0","   0","   0","   0","   0","   4","  13","  16","   0","   1","   4","   2","  16","   0","   6","  73","  94","   3","   0","   8","   2","   0"
"2097",NA,NA," 235","   0","   0","   2","  10","   0","   8","   9","   0","   0","   4","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   2","   4","  10","   0","   2","  10","   2","  13","   4","  15","  72","  80","   2","   0","   4","   2","   0"
"2155",NA,NA," 240","   0","   0","   4","  12","   0","   0","   7","   0","   0","   6","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   1","   6","  13","   0","   4","   2","   1","  16","   0","  33","  47","  56","   0","   2","   0","   4","   0"
"2212",NA,NA," 245","   0","   0","   5","  24","   0","   2","   4","   0","   0","   5","   0","   0","   0","   0","   8","   0","   0","   2","   0","   0","   0","  11","  13","   0","   3","   1","   0","  21","   1","  28","  40","  57","   3","   0","   0","   3","   0"
"2270",NA,NA," 250","   0","   0","   2","   8","   0","   2","   6","   0","   0","   4","   0","   0","   0","   0","   8","   2","   0","   0","   0","   0","   2","  40","  16","   0","   0","   0","   2","  19","   6","  26","  22","  42","   4","   0","   0","   2","   0"
"2328",NA,NA," 255","   1","   1","   2","  16","   0","   1","   6","   0","   0","   3","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","  17","  15","   0","   4","   0","   0","  20","   4","  40","  22","  50","   3","   0","   7","   3","   0"
"2386",NA,NA," 260","   0","   0","   9","  12","   0","   0","   0","   0","   3","   3","   0","   6","   0","   6","  12","   2","   0","   0","   0","   0","   0","  21","  25","   0","   1","   7","   2","  25","   0","  48","  36","  66","   6","   0","   3","   3","   0"
"2443",NA,NA," 265","   0","   0","  14","   6","   0","   0","   2","   0","   2","   2","   0","   4","   0","   2","  15","   1","   0","   0","   0","   0","   0","   6","  25","   0","   2","  11","   1","  22","   0","  30","  32","  48","   2","   0","   1","   1","   0"
"2501",NA,NA," 270","   0","   0","  10","   9","   1","   0","   5","   0","   0","   7","   0","   0","   1","   1","   5","   0","   0","   0","   0","   0","   1","  21","  16","   0","   0","   0","   4","  22","   0","  26","  22","  56","   1","   0","   0","   0","   0"
"2559",NA,NA," 275","   2","   2","   2","  13","   0","   0","   9","   0","   3","   4","   2","   0","   3","   0","   3","   5","   0","   0","   0","   0","   0","  10","  18","   0","   2","   0","   0","  20","   2","  37","  33","  67","   2","   0","   4","   0","   2"
"2617",NA,NA," 280","   0","   0","   6","  28","   0","   0","   2","   2","   2","   2","   0","   0","   8","   0","   4","   6","   0","   0","   0","   0","   0","  16","  28","   0","   2","   0","   0","  44","   0","  32","  24","  72","   0","   0","   0","   4","   0"
"2674",NA,NA," 285","   0","   0","   0","  30","   0","   0","   2","   4","   2","   6","   0","   0","  10","   0","   6","   4","   0","   0","   0","   0","   0","  18","  32","   0","   2","   2","   0","  48","   0","  56","  22","  36","   0","   0","   0","   8","   0"
"2790",NA,NA," 295","   0","   2","   2","  26","   0","   2","   4","   0","   6","   2","   0","   0","   2","   0","  12","   0","   0","   0","   0","   0","   0","  10","  22","   0","   0","   0","   0","  36","   0","  52","  10","  40","   2","   0","   0","   4","   0"
"2848",NA,NA," 300","   0","   2","   2","  30","   0","   2","   2","   0","   4","   2","   0","   0","   4","   0","  18","   0","   0","   0","   0","   0","   0","   8","  32","   0","   2","   0","   0","  42","   4","  60","   8","  50","   2","   0","   0","   6","   0"
"2905",NA,NA," 305","   0","   0","   3","  36","   0","   0","   3","   0","  12","   6","   3","   0","   0","   0","   9","   6","   0","   0","   0","   0","   0","   9","  18","   0","   2","  12","   0","  24","   0","  60","  21","  45","   0","   0","   9","   6","   0"
"2963",NA,NA," 310","   0","   0","   2","  25","   0","   0","   2","   0","   9","   4","   2","   0","   0","   0","   6","   4","   0","   0","   0","   0","   2","   7","  12","   0","   1","   9","   0","  16","   0","  47","  15","  30","   0","   0","   6","   2","   0"
"3021",NA,NA," 315","   0","   1","   1","  21","   0","   0","   8","   0","   8","   3","   2","   0","   2","   0","   7","   0","   0","   0","   0","   0","   3","   3","  28","   0","   2","  13","   1","  42","   7","  95","  41","  52","   2","   4","  22","   2","   2"
"3079",NA,NA," 320","   0","   1","   0","  15","   0","   0","   5","   0","   7","   2","   1","   0","   1","   0","   6","   0","   0","   0","   0","   0","   2","   2","  29","   0","   1","   9","   0","  39","   3","  83","  37","  48","   1","   3","  18","   1","   1"
"3136",NA,NA," 325","   0","   1","   1","  19","   0","   0","   7","   0","   7","   0","   1","   0","   1","   0","   5","   1","   0","   0","   0","   0","   2","   2","  26","   0","   1","  14","   0","  40","   6","  90","  39","  50","   1","   2","  19","   1","   0"
"3194",NA,NA," 330","   0","   0","   1","  18","   0","   1","   8","   1","   6","   2","   1","   0","   1","   0","   5","   1","   0","   0","   0","   0","   1","   7","  18","   0","   2","  13","   0","  32","   1"," 105","  45","  52","   0","   3","  21","   2","   3"
"3252",NA,NA," 335","   0","   0","   1","  15","   0","   1","   5","   1","   3","   1","   1","   0","   1","   0","   3","   0","   0","   0","   0","   0","   1","   4","  15","   0","   1","  11","   0","  27","   1","  95","  40","  45","   0","   2","  18","   1","   1"
"3310",NA,NA," 340","   2","   1","   5","  48","   0","   0","   9","   0","   7","  10","   1","   2","   3","   0","  12","   0","   0","   0","   0","   0","   2","   7","  25","   0","   1","  14","   1","  40","   3"," 175","  36","  88","   5","   2","  38","   3","   1"
"3367",NA,NA," 345","   1","   1","   3","  35","   0","   0","   6","   0","   6","   3","   1","   1","   1","   0","   5","   0","   0","   0","   0","   0","   1","   6","  15","   0","   1","   6","   1","  10","   1"," 120","  25","  75","   2","   2","  35","   2","   1"
"3425",NA,NA," 350","   1","   1","   1","  32","   0","   0","   4","   0","   4","   1","   1","   1","   1","   0","   3","   0","   0","   0","   0","   0","   1","   4","  13","   0","   0","   3","   1","   8","   1"," 115","  20","  73","   1","   1","  30","   1","   1"
"3483",NA,NA," 355","   0","   0","   8","  16","   0","   1","   8","   0","  18","   8","   8","   2","   1","   0","   9","   0","   0","   0","   0","   0","   0","  15","  56","   0","   1","   7","   0","  36","   0"," 120","  14","  36","   2","   0","   6","   2","   1"
"3541",NA,NA," 360","   0","   4","   4","  21","   0","   0","  17","   0","  28","  10","   3","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","  18","  32","   0","   2","   3","   1","  42","   5","  88","  43","  55","   0","   0","   4","   3","   0"
"3598",NA,NA," 365","   0","   2","  12","  25","   0","   0","  27","   0","  30","  13","   5","   4","   0","   0","  18","   1","   0","   0","   0","   0","   3","  17","  64","   0","   1","   7","   2","  83","   4"," 144","  35","  98","   1","   3","   0","   6","   1"
"3656",NA,NA," 370","   0","   1","  10","  19","   0","   1","  15","   0","  20","  10","   6","   2","   1","   0","  10","   1","   0","   0","   0","   0","   1","  16","  40","   0","   2","   6","   1","  30","   2","  95","  24","  30","   1","   2","   1","   3","   0"
"3714",NA,NA," 375","   0","   1","  10","  20","   0","   1","  13","   0","  15","  10","   4","   1","   1","   0","  12","   0","   0","   0","   0","   0","   0","  15","  30","   0","   3","   1","   1","  30","   4","  88","  22","  45","   1","   2","   1","   5","   1"
"3771",NA,NA," 380","   0","   2","   9","  19","   0","   0","  14","   0","  20","   9","   3","   0","   1","   0","  13","   1","   0","   0","   0","   0","   1","  13","  25","   0","   4","   2","   2","  35","   2"," 102","  23","  50","   1","   0","   0","   5","   0"
"3829",NA,NA," 385","   0","   3","   7","  25","   0","   1","   9","   0","  13","  12","   5","   2","   0","   0","  18","   0","   0","   0","   0","   0","   0","  12","  28","   0","   4","   2","   0","  28","   0","  75","  19","  35","   0","   2","   2","   2","   0"
"3887",NA,NA," 390","   0","   0","   7","  15","   0","   1","  17","   0","  12","   8","   6","   3","   1","   0","  15","   1","   0","   0","   0","   0","   0","  10","  25","   0","   3","   1","   1","  29","   1","  92","  25","  36","   2","   0","   0","   1","   1"
"3945",NA,NA," 395","   0","   3","   8","  18","   0","   0","  12","   0","  22","   7","   2","   0","   0","   0","  10","   0","   0","   0","   0","   0","   1","  11","  19","   0","   2","   1","   0","  40","   1","  95","  20","  55","   1","   0","   1","   1","   0"
"4002",NA,NA," 400","   0","   4","   6","  30","   0","   1","  13","   0","  20","   9","   8","   4","   1","   0","  13","   0","   0","   0","   0","   0","   0","  14","  27","   0","   5","   2","   1","  62","   0"," 120","  32","  82","   1","   2","   1","   2","   0"
"4060",NA,NA," 405","   0","   1","   5","  22","   0","   0","  10","   0","  13","  10","   5","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","  16","  15","   0","   4","   2","   0","  25","   2","  82","  19","  32","   2","   0","   0","   1","   0"
"4118",NA,NA," 410","   0","   1","   3","  13","   0","   1","  11","   0","  15","  11","   3","   2","   1","   0","  10","   1","   0","   0","   0","   0","   0","  13","  18","   0","   1","   1","   2","  28","   0"," 100","  18","  50","   1","   0","   0","   4","   0"
"4176",NA,NA," 415","   0","   0","  10","  13","   0","   3","  15","   0","   3","   7","   2","   0","   0","   0","  14","   1","   0","   0","   0","   0","   5","   3","  21","   0","   4","   2","   0","  50","   2","  75","  23","  37","   0","   0","   2","   0","   3"
"4233",NA,NA," 420","   0","   1","   8","  17","   0","   1","  17","   0","   2","  10","   2","   0","   3","   0","  14","   4","   0","   0","   0","   0","   1","  19","  20","   0","   1","   3","   2","  48","   2","  61","  27","  41","   0","   3","  12","   3","   0"
"4291",NA,NA," 425","   0","   0","   4","  23","   0","   3","  18","   0","   4","  14","   3","   0","   0","   0","  11","   1","   0","   0","   0","   0","   0","  16","  32","   0","   4","   1","   4","  57","   0","  75","  27","  59","   0","   0","  12","   1","   1"
"4349",NA,NA," 430","   0","   2","   0","   6","   0","   0","   6","   0","   5","   6","   1","   0","   0","   3","  16","   4","   0","   3","   0","   0","   1","  23","  28","   0","   3","   1","   1","  21","   0","  65","   7","  40","   1","   0","  10","   0","   0"
"4407",NA,NA," 435","   0","   0","   4","  14","   0","   0","  10","   2","  10","  14","   2","   0","   0","   3","  10","  10","   0","   0","   0","   0","   0","  10","  15","   0","   1","   1","   3","  50","   3","  55","   6","  45","   0","   0","   7","   0","   0"
"4464",NA,NA," 440","   0","   0","  11","  20","   0","   0","  19","   0","  15","  20","   2","   0","   1","   2","   6","  15","   0","   1","   0","   0","   0","   6","  10","   0","   0","   0","   6","  49","   4","  50","   4","  35","   0","   2","   2","   1","   0"
"4522",NA,NA," 445","   0","   0","  18","  31","   0","   0","  22","   0","  21","  32","   1","   0","   0","   2","   4","  19","   0","   1","   1","   0","   0","   3","   9","   0","   0","   0","   7","  75","   4","  22","   3","  15","   0","   1","   3","   0","   0"
"4580",NA,NA," 450","   2","   0","  16","  30","   0","   2","  21","   0","  19","  29","   1","   0","   0","   0","   4","  12","   0","   0","   2","   0","   0","   2","   7","   1","   0","   0","   8","  71","   5","  20","   4","  16","   0","   1","   3","   1","   1"
"4638",NA,NA," 455","   4","   0","  26","  31","   0","   1","  25","   1","  21","  31","   1","   0","   0","   1","   5","  11","   0","   0","   0","   0","   0","   2","   8","   1","   0","   0","  10","  82","   7","  23","   6","  20","   0","   2","   1","   1","   0"
"4695",NA,NA," 460","   0","   0","  20","  30","   0","   0","  22","   0","  19","  29","   1","   0","   0","   0","   4","  10","   0","   2","   0","   0","   1","   1","   6","   1","   1","   1","   5","  90","   3","  25","   5","  20","   0","   1","   3","   0","   0"
"4753",NA,NA," 465","   1","   0","  19","  29","   0","   0","  24","   0","  20","  28","   0","   0","   0","   0","   3","   5","   0","   2","   0","   0","   0","   0","   7","   0","   0","   0","   4","  87","   2","  23","   6","  19","   0","   0","   3","   1","   0"
"4811",NA,NA," 470","   0","   0","  20","  35","   0","   0","  20","   1","  18","  22","   1","   0","   0","   2","   5","   7","   0","   1","   1","   0","   1","   1","   5","   1","   0","   0","  10","  85","   0","  20","   5","  17","   0","   1","   6","   0","   0"
"4869",NA,NA," 475","   0","   0","  10","  15","   0","   0","  16","   0","  10","  21","   1","   0","   0","   1","   9","   6","   0","   0","   0","   0","   1","   0","  10","   0","   1","   0","   8","  50","   1","  40","   7","  30","   1","   0","   2","   2","   0"
"4926",NA,NA," 480","   1","   0","   8","  13","   0","   0","  15","   0","   9","  10","   1","   0","   0","   0","   7","   3","   0","   0","   0","   1","   0","   1","  15","   0","   1","   1","   3","  20","   0","  62","   3","  25","   1","   0","   4","   1","   0"
"4984",NA,NA," 485","   0","   0","   0","  12","   0","   0","  17","   0","   0","  14","   0","   0","   0","   0","  12","   2","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","  22","   2","  82","   6","  30","   0","   0","   0","   0","   0"
"5042",NA,NA," 490","   0","   0","   4","  11","   0","   3","  16","   0","   8","  12","   0","   0","   0","   0","  10","   0","   0","   2","   0","   0","   0","   0","  10","   0","   0","   0","   2","  17","   2","  84","   4","  17","   0","   0","   1","   0","   1"
"5099",NA,NA," 495","   0","   0","   0","  11","   0","   0","  12","   2","   5","   9","   0","   0","   2","   0","   8","   2","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   2","  21","   0"," 100","   5","  15","   1","   0","   0","   4","   0"
"5157",NA,NA," 500","   0","   0","   3","   9","   0","   2","  10","   0","   0","   8","   2","   0","   3","   0","   5","   0","   0","   0","   0","   0","   0","   1","  10","   0","   0","   0","   3","  13","   2"," 105","   6","  24","   0","   0","   2","   2","   0"
"5215",NA,NA," 505","   0","   0","   0","  14","   0","   2","   9","   0","   0","  11","   0","   0","   0","   0","  10","   2","   0","   0","   1","   0","   1","   1","   8","   0","   0","   0","   2","  16","   2"," 120","   6","  20","   0","   0","   2","   4","   0"
"5273",NA,NA," 510","   0","   0","   6","  15","   0","   0","   9","   0","   3","  15","   0","   0","   0","   2","  10","   2","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   2","  23","   2"," 123","   4","  28","   3","   0","   4","   1","   0"
"5330",NA,NA," 515","   0","   0","   0","  12","   0","   4","   8","   0","   0","  12","   2","   0","   0","   0","  15","   2","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","  21","   1"," 111","   4","  20","   0","   0","   3","   2","   0"
"5388",NA,NA," 520","   0","   0","   0","  11","   0","   4","  10","   0","   3","  10","   0","   0","   5","   0","   8","   3","   0","   0","   0","   0","   0","   4","   8","   0","   0","   0","   0","  19","   1"," 103","   4","  13","   2","   1","   4","   0","   0"
"5446",NA,NA," 525","   0","   0","   4","  18","   0","   3","   5","   0","   0","  10","   0","   0","  10","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","  30","   0"," 123","   8","  20","   0","   0","   3","   3","   0"
