"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Galium t.","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lotus t.","Lythrum","Malva","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Viburnum","Viscum","Vitis","Ziziphus/Paliurus"
" 502"," 743"," 281"," 130","  14","   0","5964","   1","  16","  17","   0","   4","   5","  11","   2","   0","  53","   0","   8","   0","   0","   0","   0","   4","   1","   0","   4","   1","   0","   1","   0","  10","   0","  19","  30","   2","   0","   0","   0","   1","  19","  68","   0","   1","   0","   8","   3","   1","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   3","   0"," 173","   1","  14","   0","   0"," 745","   0","   9","   0","   0","   1","  13"," 158","   1","   0","   0","   0","  14","   9","   0","   0","   1"," 243","  35","   0","   0","   2","  32","   4","  28","  89","   0","   0","   0","   1","   0","   1","   1"
" 540"," 759"," 335"," 140","  15","   0"," 126","   2","   9","  63","   0","   3","   8","  13","   4","   2","  48","   1","   9","   0","   0","   0","   0","   6","   1","   0","   0","   1","   0","   1","   0","   9","   0","  27","   8","   0","   1","   0","   0","   1","  39","  13","   0","   0","   0","   8","   4","   0","   0","   0","   0","   0","   4","   0","   0","   2","   2","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   1","   0"," 191","   1","  15","   0","   0","1908","   6","  11","   0","   2","   1","   8"," 127","   2","   1","   0","   1","  58","   2","   0","   2","   2","   0","  16","   0","   0","   0","  14","   8","   4","   2","   0","   0","   0","   0","   0","   1","   0"
" 578"," 777"," 389"," 150","  24","   0","  56","   3","   3","  28","   0","   2","  20","  12","   5","   1","  17","   0"," 165","   1","   0","   0","   0","   3","   0","   0","   1","   3","   1","   0","   0","   2","   0","  16","  71","   0","   0","   0","   1","   0","  11","  10","   0","   0","   0","   5","   7","   0","   0","   0","   2","   0","   8","   8","   0","   0","   3","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0"," 235","   0","   3","   0","   0","1083","   2","   8","   0","   0","   0","   0"," 187","   0","   7","   0","   0","   7","   2","   0","   0","   0","   1","  98","   0","   1","   0","  10","   3","  76","   1","   0","   0","   0","   0","   0","   0","   0"
"616","796","442","160"," 18","  0"," 53","  0","  4"," 29","  0","  0","  6","  7","  2","  0"," 10","  0"," 34","  1","  0","  0","  0","  4","  1","  0","  0","  2","  0","  0","  0","  3","  0"," 19"," 42","  0","  0","  0","  1","  0"," 12"," 11","  0","  0","  0","  1","  0","  0","  0","  0","110","  0","  2","  0","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  1","219","  0","  6","  0","  0","821","  3","  2","  0","  0","  0","  0","151","  1","  1","  0","  1","  1","  1","  0","  1","  1","  1"," 46","  0","  1","  0","  5","  1"," 60","  0","  0","  0","  0","  0","  0","  0","  0"
"654","819","494","170"," 18","  0","149","  0","  4","  9","  0","  0","  6","  2","  0","  0"," 18","  0","153","  0","  0","  1","  0","  1","  0","  0","  0","  2","  0","  0","  0","  3","  0","  2"," 56","  1","  0","  0","  0","  0","  9","  5","  0","  0","  0","  7","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","230","  0","  2","  0","  0","339","  2","  1","  0","  0","  0","  0","218","  0"," 28","  0","  1","  7","  2","  0","  0","  0","  0"," 76","  0","  0","  0","  2","  3","100","  0","  0","  0","  0","  0","  0","  0","  0"
" 693"," 846"," 545"," 180","  19","   1","2174","   1","  29","  10","   0","   0","   8","   8","   2","   1","  70","   0","  55","   0","   0","   0","   0","   6","   0","   0","   1","   1","   0","   0","   0","  12","   0","   8","  55","   1","   1","   0","   0","   0","  11","  17","   0","   0","   0","   1","   5","   1","   0","   0","   0","   0","   5","   4","   0","   2","   0","   0","   0","   0","   4","   1","   1","   0","   0","   0","   0","   0","   0"," 177","   0","   6","   3","   0"," 519","   8","   4","   0","   0","   0","  51"," 214","   0","   7","   0","   1","   8","   9","   2","   0","   0","   7","  55","   0","   2","   2","   9","   3","  48","   2","   0","   0","   0","   0","   0","   1","   0"
" 731"," 872"," 590"," 190","   6","   0","1817","   0","   1","  10","   1","   0","   3","   0","   2","   2","  24","   1","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  10","  21","   1","   2","   0","   1","   0","   4","   8","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 120","   0","   2","   0","   0"," 457","   0","   1","   0","   0","   1","  71"," 150","   1","   2","   0","   0","   2","   4","   0","   0","   0","   1","  28","   0","   0","   0","   1","   1","  16","   3","   0","   0","   0","   0","   1","   0","   0"
" 769"," 900"," 632"," 200","   2","   0","3880","   0","  10","  14","   0","   2","   1","  13","  24","   1","  17","   0","   3","   0","   0","   0","   1","   2","   0","   0","   2","   0","   0","   0","   0","   9","   0","  11","  32","   1","   1","   0","   0","   0","  22","  22","   0","   0","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   3","   1","   0","   0","   4","   1","   1","   0","   1","   0","   0","   0","   0","  34","   2","   9","   3","   0"," 243","   9","   2","   0","   0","   0","9200","  67","   5","   1","   0","   0","   4","   7","   0","   1","   0","   3","  19","   0","   0","   2","   0","   3","   4","   1","   0","   0","   0","   0","   0","   0","   0"
" 838"," 957"," 697"," 218","   4","   0","9999","   0","  20","  10","   0","   2","   5","  14","   7","   0","  50","   0","   4","   0","   0","   0","   4","   5","   0","   0","   2","   1","   0","   0","   0","  10","   0","   4","  44","   0","   2","   0","   0","   0","  35","  13","   0","   1","   0","  11","   4","   0","   0","   1","   0","  11","   2","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  72","   1","  23","  10","   0"," 359","  15","   5","   0","   0","   0"," 150"," 172","   0","   9","   0","   0","  15","   3","   1","   0","   0","   9","  27","   0","   1","   1","   6","   0","  22","   8","   0","   0","   0","   0","   0","   3","   0"
"1038","1151"," 897"," 230","   7","   0","9007","   0","  24","  28","   0","   1","   5","  22","  14","   4","  47","   1","  26","   0","   0","   1","   6","   4","   0","   0","   3","   0","   0","   0","   0","  11","   1","  11","  81","   0","   3","   0","   1","   1","  34","  30","   0","   0","   0","   5","   2","   0","   0","   2","   0","   3","   5","   2","   1","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"," 129","   1","  11","   6","   0"," 486","  13","   4","   1","   0","   0"," 180"," 270","   0","   5","   0","   0","   8","  11","   1","   2","   2","  23","  33","   1","   1","   0","  12","   1","  24","  16","   0","   0","   0","   0","   0","   1","   0"
"1561","1671","1444"," 238","   3","   1","1935","   0","  15","  10","   1","   0","   2","   6","   7","   1","  30","   0","  10","   1","   0","   0","   4","   4","   1","   0","   3","   0","   1","   0","   0","   4","   0","   3","  60","   0","   1","   0","   0","   1","  29","  19","   0","   0","   0","   5","   6","   0","   0","   2","   1","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","  53","   0","   3","   2","   0"," 183","  10","   5","   0","   2","   0","  81"," 145","   0","   5","   0","   0","   4","  12","   0","   0","   3","   6","   8","   0","   0","   5","   2","   2","  14","   6","   0","   1","   0","   0","   0","   1","   0"
"2345","2467","2226"," 250","  11","   0","2856","   0","  83","  21","   0","   0","   5","   5","   6","   1","  52","   0","  14","   0","   0","   0","   0","   7","   1","   0","   3","   1","   0","   0","   0","   6","   0","  12","  37","   1","   1","   0","   0","   1","  22","  64","   1","   0","   0","   6","   3","   1","   0","   1","   0","   0","   5","   3","   0","   1","   8","   0","   0","   0","   1","   3","   1","   1","   0","   0","   0","   3","   0"," 190","   1","   5","   2","   0"," 333","   6","   4","   0","   0","   0"," 210"," 210","   1","   2","   0","   0","  13","  21","   1","   0","   3","  18","  26","   0","   1","   5","  11","   5","  20","  16","   0","   0","   0","   0","   0","   1","   0"
"3065","3259","2914"," 261","  11","   0"," 302","   1","   3","  22","   0","   0","   8","   4","   0","   0","  31","   1","  32","   0","   1","   0","   0","   5","   0","   1","   0","   1","   0","   0","   0","   3","   0","   8","  29","   0","   3","   0","   0","   0","  12","   6","   0","   0","   0","   7","   3","   0","   0","   1","   0","   0","   2","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 139","   0","   3","   0","   0"," 320","   2","   3","   0","   0","   0","   0"," 163","   3","   1","   0","   0","  10","   1","   0","   0","   0","   2","  16","   0","   0","   0","   0","   6","  14","   0","   0","   0","   0","   0","   0","   0","   0"
"3653","3900","3477"," 270","  10","   0"," 234","   0","  10","  38","   0","   0","  53","   4","   0","   0","  16","   0"," 162","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   3","   0","   3","  31","   0","   0","   0","   0","   0","  10","   2","   0","   2","   0","   3","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0"," 137","   0","   1","   0","   0"," 417","   0","  13","   0","   0","   0","   0"," 217","   0","   3","   0","   1","   6","   0","   0","   0","   0","   0","  64","   0","   0","   0","   2","   5","  36","   0","   0","   0","   0","   0","   0","   1","   0"
"4242","4538","4036"," 279","  15","   1"," 120","   0","   6","  12","   0","   0","   1","   1","   1","   0","  14","   1","  27","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   9"," 332","   0","   2","   0","   0","   0","   7","   3","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  64","   0","   1","   0","   0","   0","   0","   0","   0"," 189","   0","   0","   0","   0","  67","   0","   5","   0","   0","   0","   0"," 148","   1","  12","   0","   1","   1","   1","   0","   1","   0","   0"," 422","   0","   1","   0","   1","   6","  54","   1","   1","   0","   0","   0","   0","   0","   0"
"4687","4984","4483"," 290","  22","   0"," 115","   0","   6","  11","   0","   0","   0","   1","   1","   1","   6","   0","  28","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3"," 108","   0","   1","   0","   1","   0","   1","   6","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 211","   1","   2","   0","   0"," 220","   0","   2","   0","   0","   0","   0"," 102","   1","   5","   0","   0","   2","   0","   0","   0","   0","   0","  55","   0","   0","   0","  26","   4","  40","   0","   0","   0","   0","   0","   0","   0","   0"
"5033","5299","4847"," 302","  25","   0","  90","   0","  70","  24","   0","   0","   2","   3","   4","   0","  82","   2"," 215","   0","   0","   0","   0","  19","   0","   0","   1","   1","   0","   0","   0","  10","   0","  10"," 134","   1","   1","   0","   0","   0","   2","  35","   0","   0","   0","   5","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 453","   0","   5","   0","   0"," 615","   0","   5","   0","   0","   0","   0"," 471","   1","   1","   0","   0","   3","   5","   0","   0","   0","   0","  48","   1","   2","   0","   4","  18","  42","   3","   0","   0","   0","   0","   0","   0","   0"
"5263","5510","5088"," 310","  28","   1"," 188","   0","  25","  10","   0","   1","   5","   5","   1","   0","  84","   1","  67","   0","   0","   0","   0","  14","   0","   0","   6","   2","   0","   0","   0","  19","   0","   4","  82","   0","   2","   0","   0","   0","   1","   6","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0"," 329","   0","   2","   0","   0"," 115","   3","   0","   0","   0","   0","   0"," 286","   0","   2","   0","   2","   1","  15","   0","   0","   1","   0"," 132","   2","   3","   2","   2","   8","  34","   0","   0","   0","   0","   0","   0","   1","   0"
"5465","5694","5300"," 317","  38","   0"," 381","   0","  30","  18","   0","   0","   1","   4","   1","   2","  61","   1","  93","   0","   0","   0","   0","  18","   0","   0","   3","   3","   0","   0","   0","  25","   0","  13"," 100","   0","   1","   0","   0","   0","   2","  17","   0","   2","   0","   9","   1","   1","   0","   0","   0","   0","   1","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 479","   1","   4","   0","   0"," 120","   1","   8","   0","   0","   0","   0"," 317","   1","   3","   0","   0","   2","   5","   0","   0","   2","   0"," 152","   0","   3","   0","  46","  15","  40","   5","   0","   0","   0","   0","   0","   1","   0"
"5839","6005","5693"," 330","  62","   0","  44","   0","   2","   9","   0","   0","   2","   8","   3","   0","   3","   0","  28","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   3","  22","   1","   0","   0","   1","   0","   0"," 906","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 364","   0","   1","   0","   0"," 201","   0","   6","   0","   0","   0","   0","  94","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   9","   1","   3","   0","   2","   3","  30","   0","   0","   0","   0","   0","   0","   0","   0"
"6070","6208","5933"," 338","  19","   1","   9","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   3","   0","   3","  18","   0","   0","   0","   1","   0","   0","  82","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 106","   0","   0","   0","   0","  32","   1","   3","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6415","6543","6287"," 350","   2","   0","  57","   1","  18","  16","   0","   4","  32","   8","   7","   2","   5","   1","  27","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","  63","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   2","  10","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","  57","   0","   0","   0","   0"," 600","   0","   1","   0","   1","   0","   0"," 126","   0","   7","   0","   0","   3","   0","   0","   4","   2","   1"," 271","   1","   0","   0","   3","  19","  16","   2","   0","   0","   0","   0","   0","   1","   0"
"6704","6833","6580"," 360","  22","   1","4109","   0","  23","  22","   0","   1","  12","  31","   2","   4","  11","   0","  34","   0","   0","   1","   6","   3","   0","   0","   0","   2","   0","   0","   0","  27","   0","  10","  86","   0","   0","   0","   0","   0","   0","  98","   0","   0","   0","  10","   6","   0","   0","   0","   0","   0","   4","   7","   1","   1","   2","   0","   0","   0","  14","  20","   0","   0","   0","   0","   1","   1","   0"," 126","   2","   3","   0","   0"," 860","   1","  13","   0","   0","   2","   0"," 155","   0","   7","   0","   1","  15","   0","   0","   5","  14"," 107","  98","   2","   4","   0","   2","   5","  18"," 420","   0","   0","   0","   0","   0","   0","   0"
"6992","7125","6866"," 370","  29","   0"," 863","   1","  15","  31","   0","   3","   7","  17","   5","   3","  15","   0","  36","   0","   0","   0","   0","   2","   3","   0","   0","   1","   0","   0","   0","  30","   0","   6","  34","   0","   0","   0","   1","   0","   2"," 210","   0","   0","   0","  12","   4","   0","   0","   0","   0","   0","   5","  10","   0","   0","   1","   0","   0","   0","   5","  12","   0","   0","   0","   0","   0","   0","   0"," 182","   1","   3","   0","   0"," 632","   4","  15","   0","   0","   0","   0"," 208","   0","  12","   0","   0","   2","   0","   1","   1","   1","   0","  79","   1","  10","   0","   6","  12","  26","   0","   0","   0","   0","   0","   0","   0","   0"
"7280","7419","7143"," 380","  29","   0","2987","   0","  14","  11","   0","   1","   2","  18","   1","   1","  18","   0","  12","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   1","   0","  35","   0","  16","  21","   0","   0","   0","   2","   0","   1","  52","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 180","   1","   5","   0","   0"," 276","   6","  12","   0","   0","   0","   8"," 174","   0","   3","   0","   0","  12","   1","   0","   0","   0","   4","   9","   0","   5","   0","   2","  10","  18","   5","   0","   0","   0","   0","   0","   1","   0"
"7568","7759","7417"," 390","  30","   0"," 831","   1","  22","   4","   0","   0","   6","   4","   2","   0","  33","   1","  51","   0","   0","   0","   0","   5","   1","   0","   1","   2","   0","   0","   0","  11","   0","   1","  66","   0","   1","   0","   2","   0","   2","  14","   0","   0","   1","   4","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0"," 352","   0","   2","   0","   0"," 262","   0","   2","   0","   0","   0"," 108"," 226","   1","  10","   0","   0","   4","   1","   0","   0","   0","   1"," 143","   0","   2","   0","  33","   8","  60","   2","   0","   0","   0","   0","   0","   2","   0"
"7856","8074","7692"," 400","  11","   0"," 666","   0","   8","  52","   0","   0","   2","  22","   0","   3","   8","   0","  35","   0","   0","   1","   0","   1","   0","   0","   1","   2","   0","   0","   0","  18","   0","  17","  18","   0","   0","   0","   0","   0","   1","  36","   0","   0","   0","   9","   2","   0","   0","   0","   0","   0","   2","  11","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  89","   1","   1","   0","   0"," 589","   0","   9","   0","   0","   0","   0"," 118","   1","  11","   0","   0","   8","   0","   0","   2","   0","   0","  20","   1","   2","   0","   1","   9","  10","   7","   0","   0","   0","   0","   0","   0","   0"
