"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Alona rustica (type 72, HdV)","Amaranthaceae undif.","Animalia? (type 175, HdV)","Apiaceae undif.","Araneidae (type 71B, HdV)","Arcella","Archerella flavum (type 31A, HdV)","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betula/Alnus/Corylus/Myrica (type 114, HdV)","Brassicaceae","Calluna","Cannabaceae undif.","Carabidae (type 107, HdV)","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cercophora sp. (type 112, HdV)","Chaetomium sp. (type 7A, HdV)","Chara sp. Glomerus (type 764A)","Cichorieae","Cistaceae","Coniochaeta ligniaria (type 172, HdV)","Coniochaeta xylariispora (type 6A, HdV)","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Fungi (type 200, HdV)","Fungi (type 568C, HdV)","Fungi (type 729, HdV)","Gelasinospora (type 1, HdV)","Genisteae","Glomus cf. G. fasciculatum (type 207, HdV)","Gyratrix hermaphroditus","Habrotrocha angusticollis (type 37, HdV)","Hypericum undif.","Indeterminable","Invertebrata (type 52, HdV)","Invertebrata (type 88A, HdV)","Invertebrate? (type 178, HdV)","Juglans","Leucojum","Musci","Myriophyllum alterniflorum t.","Olea t.","Oribatida (type 36, HdV)","Parnassia","Pediastrum (type 900, HdV)","Pedicularis","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhabdocoela undiff.","Riccia","Rivularia-type","Rumex t.","Salix","Scheuchzeria palustris","Scrophulariaceae undif.","Sordaria-type (type 55A, HdV)","Spike","Spirogyra sp. (type 315, HdV)","Sporormiella (type 113, HdV)","Unknown (type 119, HdV)","Unknown (type 150, HdV)","Unknown (type 181, HdV)","Unknown (type 182, HdV)","Unknown (type 716, HdV)","Unknown (type 728, HdV)","Unknown (type 74, HdV)","Urtica t.","Viburnum","Zygnemataceae (type 62, HdV)","cf. Persiciospora (type 124, HdV)"
" 504",NA,NA," 37","5.10","5","1","0","0","0","0","0","0","0","0","6","7","1","0","0","0","9","0","0","0","0","0","1","0","3","0","0","0","0","5","13","37","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","121","0","0","0","250","0","0","5","3","0","76","0","2","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 554",NA,NA," 40","5.10","8","1","0","0","0","0","0","0","0","0","12","2","0","0","0","0","1","0","5","0","0","0","0","4","3","0","0","1","0","0","10","39","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","200","5","6","1","209","0","0","3","1","0","33","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 626",NA,NA," 43","5.00","9","0","0","0","0","0","0","0","0","0","15","2","0","0","0","0","2","0","2","0","0","0","0","0","4","0","0","0","0","0","8","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","228","0","0","0","210","0","0","2","0","1","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 722",NA,NA," 47","5.00","8","0","0","0","0","0","0","0","1","0","20","4","0","0","0","0","3","0","2","0","0","0","0","0","5","0","0","0","0","0","3","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","240","0","0","0","212","0","0","1","0","0","31","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 794",NA,NA," 50","5.00","10","0","0","0","0","0","0","0","0","0","23","7","0","0","2","0","7","0","8","0","0","0","0","0","6","0","0","0","0","0","13","42","0","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","1","0","0","0","0","0","0","0","255","14","0","0","257","0","0","8","0","0","37","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 913",NA,NA," 55","5.20","13","0","0","0","0","0","0","0","0","0","24","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","3","5","49","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","358","13","0","0","102","0","0","8","0","0","37","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0"
"1033",NA,NA," 60","5.10","22","0","0","0","0","0","0","0","0","0","17","7","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","5","0","38","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","385","21","0","0","35","0","0","15","0","0","23","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1105",NA,NA," 63","5.10","16","0","0","0","0","0","0","0","0","0","29","11","0","0","4","0","1","0","6","0","0","0","0","0","3","0","0","0","0","1","1","48","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","352","5","0","0","54","0","0","22","1","0","29","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1201",NA,NA," 67","5.10","9","0","0","0","0","0","0","0","0","0","7","6","0","0","1","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","4","38","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","403","18","0","0","94","0","0","19","0","0","58","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"1273",NA,NA," 70","5.20","12","1","0","0","0","0","0","0","0","0","40","8","0","0","0","0","1","7","0","0","0","0","0","3","1","0","0","0","0","0","5","40","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","356","8","0","0","70","0","0","100","0","0","17","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1345",NA,NA," 73","5.20","11","0","0","0","0","0","0","0","0","0","40","25","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","11","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","248","0","0","0","116","0","0","91","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1441",NA,NA," 77","5.00","11","0","0","0","0","0","0","0","0","0","38","10","0","0","0","0","1","1","4","0","0","0","0","4","2","0","0","0","0","7","0","31","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","342","7","0","0","62","0","0","84","1","0","23","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1513",NA,NA," 80","5.00","10","0","0","0","0","0","0","0","1","0","43","8","0","0","3","0","0","1","6","0","0","0","0","2","0","0","0","0","0","0","0","27","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","310","9","0","0","93","0","0","69","0","0","22","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1588",NA,NA," 83","5.10","2","0","0","0","0","0","0","0","0","0","42","5","0","0","0","0","0","0","0","0","0","0","0","8","2","0","0","0","0","0","0","33","0","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","373","22","0","0","47","0","0","46","0","0","13","0","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1711",NA,NA," 87","5.20","6","0","0","0","0","0","0","0","1","1","46","5","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","0","0","0","0","39","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","300","16","0","0","96","0","0","33","0","0","19","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1803",NA,NA," 90","5.00","8","0","0","0","0","0","0","0","0","0","31","6","0","0","4","0","1","2","5","0","0","0","0","1","0","0","0","0","0","0","0","61","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","315","17","0","0","65","0","0","74","1","0","19","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1842",NA,NA," 93","5.00","11","0","0","0","0","0","0","0","0","0","16","7","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","365","39","0","0","43","0","0","17","0","0","13","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1860",NA,NA," 97","5.10","8","0","0","0","0","0","0","0","0","0","19","12","0","0","3","0","2","2","6","0","0","0","0","3","0","0","0","0","0","0","0","26","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","307","34","0","0","102","0","0","17","0","0","11","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1874",NA,NA,"100","5.00","9","0","0","0","0","0","0","0","1","0","18","4","0","0","1","0","0","1","7","0","0","0","0","1","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","344","37","0","0","65","0","0","18","0","0","12","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1876",NA,NA,"103","5.00","12","0","0","0","0","0","0","0","0","0","1","10","0","0","0","0","0","0","3","0","0","0","0","1","1","0","0","0","0","0","0","28","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403","38","0","0","59","0","0","17","0","0","18","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1894",NA,NA,"107","5.00","10","0","0","0","0","0","0","0","0","0","20","7","0","0","0","0","1","0","3","0","0","0","0","2","2","0","0","0","0","0","0","32","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","397","32","0","0","41","0","0","39","0","0","17","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1908",NA,NA,"110","5.00","4","0","0","0","0","0","0","0","1","0","16","5","0","0","1","0","1","0","5","0","0","0","0","3","1","0","0","0","0","0","1","44","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","340","42","0","0","38","0","0","52","0","0","28","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1930",NA,NA,"115","5.00","8","0","0","0","1","0","0","0","0","0","11","7","0","1","2","0","1","1","4","0","0","0","0","2","3","0","0","1","1","0","0","33","0","0","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","423","45","0","0","46","0","0","27","0","0","31","0","3","2","0","0","0","1","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1953",NA,NA,"120","5.00","11","0","1","0","0","0","0","0","1","0","5","9","0","0","2","0","0","0","3","0","0","0","0","2","1","0","0","0","0","0","0","27","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","388","37","0","0","33","0","0","38","0","0","37","0","5","1","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
