"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calicotome","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cercis","Cichorieae","Cistaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fraxinus","Geranium","Hedera","Humulus","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Ononis t.","Osyris","Periploca","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Spergularia t.","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Viburnum","Vitex","Vitis","Ziziphus/Paliurus"
"3790",NA,NA," 573","   4","   1"," 219","   1","   0","   0","   1","   0","   3","   0","  15","   0","   0","   0","   0","   0","   7","   0","   0","   1","   0","   1","   0","   0","   9","   0","   0","   7","   0","   0","   1","   0","   2","   0","  11","  28","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  85","   0","   0","   0","   4","   0","   0","   0","  19","   7","   4","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   5","   0"
"3910",NA,NA," 582","   3","   0"," 195","   3","   0","   0","   2","   0","   1","   0","  45","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","  12","   0","   0","   5","   0","   0","   1","   0","   0","   0","  12","  30","   0","  16","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","  66","   0","   0","   0","   6","   0","   4","   0","  20","   7","   6","   2","   0","   1","   3","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   8","   0"
"4003",NA,NA," 589","   2","   0","  21","   1","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   9","   7","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   4","   0","   1","   0","  28","  12","   4","   6","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0"
"4083",NA,NA," 595","   1","   0","  28","   2","   1","   0","   4","   0","   2","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0","  22","   3","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  33","   0","   0","   0","   1","   0","   0","   0","  24","   8","   4","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   6","   0","   0","   0","   0","   1","   0"
"4283",NA,NA," 610","   9","   0"," 103","   8","   2","   1","   6","   0","   6","   0","   4","   0","   2","   0","   0","   0","   4","   1","   0","   2","   0","   3","   2","   0","   1","   0","   5","  15","   0","   0","   1","   2","   3","   1","  52","  10","   0","   6","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   1","   1","   0"," 104","   0","   0","   0","  22","   0","   1","   0","  57","  32","  14","   7","   1","   1","   2","   1","   4","   8","   0","   0","   0","   1","   2","   0","   0","   1","  12","   0","   0","   0","   0","   3","   0"
"4416",NA,NA," 620","   3","   0","  94","   5","   1","   0","   4","   1","   7","   1","   6","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   5","   0","   0","  11","   0","   0","   1","   0","   5","   0","  64","   6","   0","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   1","  78","   0","   0","   0","  19","   0","   0","   0","  52","  21","  21","   5","   0","   0","   0","   1","   0","   4","   0","   1","   5","   0","   0","   0","   1","   1","   8","   0","   0","   0","   0","   9","   0"
"4549",NA,NA," 630","   3","   0","  28","   1","   0","   0","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","   0","   2","   0","   0","   1","   0","   0","   0","  17","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  65","   0","   1","   0","   5","   0","   0","   0","  18","   6","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   2","   0"
"4749",NA,NA," 645","   6","   0"," 112","   2","   0","   0","   5","   0","   2","   0","   6","   0","   1","   0","   0","   0","   3","   0","   0","   1","   0","  13","   0","   0","   3","   0","   0","   8","   0","   0","   0","   0","   0","   0","  26","   2","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  50","   0","   0","   0","   7","   0","   0","   0","  33","   9","   9","   1","   2","   0","   1","   0","   2","   1","   0","   0","   0","   0","   3","   0","   1","   1","   4","   0","   0","   0","   0","  13","   0"
"4868",NA,NA," 654","   8","   0"," 121","   2","   2","   0","   1","   0","   5","   0","  20","   0","   1","   0","   0","   0","   5","   0","   0","   0","   0","   3","   1","   0","   5","   0","   0","  12","   0","   0","   1","   0","   2","   1","  36","   5","   0","   6","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","  65","   0","   2","   0","  21","   0","   0","   0","  30","   8","  14","   1","   0","   0","   0","   0","   0","   4","   0","   1","   3","   0","   2","   0","   2","   2","   6","   0","   0","   0","   0","  19","   0"
"4948",NA,NA," 660","   7","   0"," 139","   5","   2","   0","   1","   0","   2","   1","   8","   0","   3","   0","   0","   0","   4","   1","   0","   0","   0","   2","   1","   0","   7","   0","   0","  12","   0","   0","   0","   1","   5","   1","  67","   6","   0","   9","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  91","   3","   1","   0","  13","   2","   0","   0","  48","  14","  14","   2","   1","   0","   5","   0","   1","   6","   0","   0","   3","   0","   2","   0","   0","   2","   6","   1","   0","   0","   0","   7","   0"
"5041",NA,NA," 667","  18","   0","  97","   2","   0","   0","   2","   0","   2","   0","  13","   0","   2","   0","   0","   0","   4","   0","   0","   0","   0","   3","   2","   0","  14","   0","   0","  16","   0","   0","   0","   1","   5","   0","  68","   9","   0","   4","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0"," 152","   1","   2","   0","  14","   2","   0","   0","  48","  11","  19","   4","   1","   1","   0","   1","   0","   2","   1","   2","   2","   0","   0","   0","   0","   2","   6","   0","   0","   0","   0","  16","   0"
"5135",NA,NA," 674","   6","   1","  61","   3","   0","   0","   3","   0","   2","   0","  12","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   5","   1","   0","  14","   0","   0","  10","   0","   0","   2","   1","   9","   0","  95","   8","   0","   3","   0","   0","   2","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0"," 186","   1","   1","   0","  20","   0","   0","   0","  61","  21","  20","   4","   0","   0","   0","   1","   4","   7","   0","   1","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0"
