"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthaceae undif.","Acer","Aesculus","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Atraphaxis","Berberidaceae","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Capsicum-type","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Fungi","Galium t.","Gentiana t.","Hedera","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lycopodium spike","Musci","Myriophyllum undif.","Olea t.","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Pleurospermum","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rheum","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Tamarix","TetraÃ«dron","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","cf. Tsuga"
" 1746",NA,NA,"   85","    0","    0","    1","    0","    1","    7","   63","   24","  109","   26","    0","    0","    6","    1","    2","    1","    0","    0","    0","    0","    4","    0","    0","    7","    4","    1","    1","   15","    8","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    4","    2","    0","   15","    0","    1","    0","    0","    1","   11","   10","    0","    0","    0","  158","   22","    0","    4","    0","    0","    0","    0","    0","    9","   28","   11","   17","    0","    0","    0","  216","   35","29786","    0","    0","    1","    0","    0","   17","  364","    3","    0","    0","    2","   10","    2","    8","    0","    0","    0","    3","    2","    0","    8","    0","    0","    0","    0","    2","    0","    0","    0"
" 1915",NA,NA,"   93","    0","    0","    1","    0","    1","    7","   92","   17","  133","   25","    0","    0","    9","    2","    7","    0","    0","    0","    0","    0","    4","    0","    0","    3","    2","    1","    0","    9","   13","    1","    0","    1","    0","    0","    0","    2","    0","    0","    0","    9","    1","    0","   15","    0","    0","    4","    0","    0","   16","    1","    0","    0","    0","  116","   43","    0","    7","    0","    0","    0","    0","    0","    4","   24","   14","   25","    0","    0","    0","  216","   46","43774","    3","    0","    1","    1","    0","   14","  316","    4","    2","    0","    3","   20","    2","    5","    0","    0","    0","    3","    2","    0","    6","    0","    0","    0","    0","    2","    0","    1","    0"
" 2077",NA,NA,"  101","    0","    0","    0","    0","    2","    7","   80","   16","  131","   20","    0","    0","   10","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    3","    5","    0","    0","    6","    5","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   11","    1","    0","    9","    1","    0","    0","    0","    2","   26","    2","    1","    0","    0","   81","   40","    0","    2","    0","    0","    0","    0","    1","    0","   17","   11","    9","    0","    0","    0","  209","   40","55806","    4","    0","    0","    0","    0","   20","  279","    3","    3","    0","    8","   10","    0","    8","    0","    0","    0","    0","    2","    0","    5","    0","    0","    0","    0","    2","    0","    0","    0"
" 2231",NA,NA,"  109","    1","    0","    0","    0","    1","    2","  118","   10","  119","   19","    0","    0","    7","    3","    3","    0","    0","    0","    0","    0","   13","    0","    0","    2","    6","    1","    1","    7","   12","    0","    0","    2","    0","    1","    0","    0","    0","    1","    1","    8","    0","    0","    8","    0","    0","    0","    0","    1","   36","    2","    1","    0","    0","  279","   44","    0","    7","    0","    0","    0","    0","    1","    4","   11","    9","    5","    0","    0","    0","  183","   49","30339","    2","    0","    0","    0","    0","    4","  193","    4","    3","    0","    3","   25","    3","    2","    0","    0","    0","   10","    1","    0","    9","    1","    0","    0","    0","    2","    0","    0","    0"
" 2385",NA,NA,"  117","    0","    0","    0","    0","    0","    0","   39","    9","   41","   14","    0","    0","    4","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    1","    6","    0","    0","    8","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    0","    6","    0","    0","    1","    0","    0","   10","    0","    0","    0","    0","  103","    6","    0","    1","    0","    0","    0","    0","    1","    2","   11","    1","    6","    0","    0","    0","  124","   13","20342","    1","    0","    1","    0","    0","   16","   96","    1","    1","    0","    3","   11","    1","    4","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0"
" 2538",NA,NA,"  125","    0","    0","    0","    0","    0","    2","   42","    3","   89","    8","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    5","    0","    0","    5","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    8","    3","    0","    6","    0","    0","    0","    0","    2","   15","    7","    0","    0","    0","   53","    6","    0","    1","    1","    0","    0","    0","    1","    0","   18","    6","   10","    0","    0","    0","  114","   20","44091","    0","    0","    0","    0","    0","   20","   78","    0","    1","    0","    7","    9","    1","    4","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0"
" 2846",NA,NA,"  141","    0","    0","    0","    0","   42","    6","   90","   23","  139","   19","    0","    0","    7","    1","    2","    0","    0","    0","    0","    0","    3","    0","    1","    3","    5","    1","    0","    4","   10","    0","    0","    1","    1","    0","    0","    0","    0","    0","    2","    6","    0","    0","    6","    0","    0","    0","    0","    1","   33","    0","    0","    0","    0","  174","  100","    0","    3","    0","    0","    0","    0","    0","    2","   23","    6","    3","    0","    0","    0","  227","   38","26887","    1","    0","    3","    0","    0","    1","  279","    4","    0","    0","    0","   32","    2","    7","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0"
" 3000",NA,NA,"  149","    0","    0","    0","    0","    0","    3","   37","    8","   83","    7","    0","    0","    3","    0","    1","    0","    1","    0","    0","    1","    2","    0","    0","    0","    2","    1","    0","    8","    2","    0","    0","    1","    0","    0","    0","    1","    0","    0","    2","    1","    0","    0","    4","    0","    0","    0","    0","    1","   15","    0","    0","    0","    0","   49","   34","    0","    2","    0","    0","    0","    0","    0","    2","    5","    7","    3","    0","    0","    0","  102","   20","46268","    1","    0","    0","    0","    0","   17","  125","    2","    0","    0","    4","   10","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0"
" 3154",NA,NA,"  157","    0","    0","    0","    0","    2","    2","   76","    9","  107","   15","    0","    0","    9","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    2","    2","    3","    0","   17","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   60","    0","    0","    3","    0","    0","    0","    0","    2","    2","    4","    8","    1","    0","    0","    0","  153","   13","52807","    1","    1","    1","    1","    0","    9","  183","    2","    0","    0","    3","    5","    2","    4","    0","    0","    0","    3","    3","    0","    9","    0","    0","    0","    1","    0","    0","    0","    0"
" 3308",NA,NA,"  165","    0","    0","    1","    0","    2","    3","   94","   10","  153","   24","    0","    0","    7","    1","    1","    0","    0","    0","    1","    3","    6","    0","    0","    0","    6","    4","    0","    5","    9","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    6","    1","    0","   16","    0","    0","    0","    0","    2","   15","    1","    2","    0","    0","  113","   64","    0","    8","    0","    0","    0","    0","    0","    3","   21","    6","    5","    0","    0","    0","  234","   36","45676","    0","    0","    1","    0","    0","   29","  337","    0","    0","    0","    0","   16","    1","    9","    0","    0","    0","    2","    0","    0","   10","    0","    0","    0","    1","    0","    0","    0","    0"
" 3462",NA,NA,"  173","    1","    0","    1","    0","    3","    4","  107","   18","  132","   27","    0","    0","    2","    1","    2","    0","    0","    0","    0","    0","    7","    0","    0","    1","    4","    1","    0","   10","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    9","    0","    0","   18","    0","    0","    1","    0","    5","   25","    1","    1","    0","    0","  199","  148","    1","    4","    3","    1","    0","    0","    2","    5","   17","    6","    3","    0","    0","    0","  280","   51","56916","    2","    0","    4","    0","    0","    8","  389","    4","    2","    0","    4","    8","    1","    9","    0","    0","    0","    4","    1","    0","   11","    0","    0","    0","    2","    2","    0","    0","    0"
"  3615",NA,NA,"   181","     0","     0","     0","     0","     0","     1","    55","    10","    45","    10","     0","     0","     2","     0","     0","     0","     0","     0","     0","     0","     4","     0","     0","     1","     0","     0","     0","     4","     6","     0","     0","     0","     0","     0","     0","     1","     0","     0","     0","     5","     1","     0","     5","     0","     0","     0","     0","     2","     6","     0","     0","     0","     0","    22","   297","     0","     6","     0","     0","     0","     0","     2","     0","     3","     2","     0","     0","     0","     0","   125","    21","106218","     1","     0","     0","     0","     0","     5","   166","     0","     1","     0","     3","     2","     2","     4","     0","     0","     0","     0","     0","     0","     2","     0","     0","     0","     0","     0","     0","     0","     0"
" 3769",NA,NA,"  189","    0","    0","    2","    0","    0","    1","   45","    9","   79","   12","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    5","    3","    4","    9","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","   13","    0","    0","    1","    0","    1","   11","    1","    0","    0","    0","   47","  250","    0","    1","    0","    0","    0","    0","    1","    0","   19","    4","    1","    0","    0","    0","  122","   12","52783","    0","    0","    0","    0","    0","   20","  108","    1","    0","    0","   10","   13","    1","    5","    0","    0","    0","    1","    0","    0","    5","    0","    0","    0","    0","    3","    0","    0","    0"
" 3923",NA,NA,"  197","    0","    0","    0","    0","    3","    3","   32","    2","   41","   25","    0","    0","    3","    0","    1","    0","    0","    0","    0","    1","    4","    0","    0","    2","    0","    0","    1","    5","    2","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    4","    1","    0","    7","    0","    0","    0","    0","    5","   12","    0","    1","    0","    0","   70","   66","    0","    1","    0","    0","    0","    0","    4","    4","    2","    0","    1","    0","    0","    0","  137","   19","32255","    0","    0","    1","    0","    0","    0","  137","    2","    1","    0","    1","   17","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    2","    0","    0","    0"
" 4167",NA,NA,"  205","    1","    0","    0","    0","    0","    1","   24","    4","   42","   23","    0","    0","   11","    0","    2","    0","    0","    0","    0","    3","    4","    0","    0","    4","    7","    1","    0","    5","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   12","    0","    0","    2","    0","    0","    0","    1","    2","    0","    0","   96","    0","    0","    4","    0","    0","    0","    0","    0","    3","   26","   10","    4","    0","    0","    0","  185","   32","38279","    4","    0","    0","    0","    0","    4","  345","    0","    2","    0","    4","    6","    0","    3","    0","    0","    0","    5","    0","    0","    3","    0","    0","    1","    0","    0","    0","    1","    0"
" 4500",NA,NA,"  213","    0","    0","    1","    0","    1","    2","   31","   14","   22","   17","    0","    0","   12","    0","    2","    1","    0","    0","    0","    2","    4","    0","    0","    5","    4","    2","    1","    6","    8","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    5","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","  120","    0","    0","    6","    0","    0","    0","    0","    1","    1","   33","   12","    1","    0","    0","    0","  150","   44","30159","    0","    0","    0","    0","    0","    4","  348","    5","    1","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0"
" 4833",NA,NA,"  221","    0","    1","    3","    0","    0","   10","   48","   15","   65","   27","    0","    0","   13","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    5","    6","    1","    2","    3","   10","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   11","    0","    0","    0","    0","    2","   33","    1","    0","    0","    0","  222","  953","    0","    6","    0","    0","    0","    0","    1","    3","   67","   20","    2","    0","    0","    0","  165","   59","22475","    2","    0","    0","    0","    0","   18","  393","    1","    1","    0","    6","   14","    0","    0","    0","    0","    0","    6","    2","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0"
" 5167",NA,NA,"  229","    0","    0","    0","    0","    1","    2","   44","   18","   95","   23","    0","    0","   12","    2","    0","    0","    0","    0","    1","    0","    8","    0","    1","    0","    1","    4","    1","   12","   13","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   10","    0","    0","    0","    0","    3","   32","    0","    1","    0","    0","  373"," 1151","    0","    4","    0","    0","    0","    0","    2","    9","   10","    2","    0","    0","    0","    0","  156","   43","21647","    0","    1","    2","    0","    0","    6","  305","    8","    0","    0","    7","   16","    0","    7","    0","    0","    0","    5","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0"
" 5500",NA,NA,"  237","    0","    0","    0","    0","    1","    0","   30","    6","   56","   12","    0","    0","    9","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    3","    6","    2","    0","    3","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","  133","    0","    0","    1","    0","    0","    0","    0","    1","    3","    9","    5","    3","    0","    0","    0","   89","   16","16068","    0","    0","    1","    0","    0","   14","  140","    3","    0","    0","    2","    8","    1","    2","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    2","    0","    0","    0"
" 5833",NA,NA,"  245","    0","    0","    1","    0","    0","    1","   39","   30","   76","   32","    0","    0","    8","    2","    1","    1","    0","    0","    0","    0","    4","    0","    0","    6","    3","    3","    0","    6","    8","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","   21","    0","    0","    0","    0","    1","   30","    1","    0","    0","    0","  251"," 1906","    0","    1","    0","    0","    0","    0","    2","    1","   12","    7","    4","    0","    0","    0","  159","   34","14770","    1","    0","    1","    0","    0","   12","  254","    5","    1","    0","    5","   12","    1","    2","    1","    0","    0","    3","    1","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0"
" 6154",NA,NA,"  253","    4","    0","    1","    0","    1","    0","   40","   17","   77","   19","    0","    0","    9","    0","    2","    1","    0","    0","    0","    2","    1","    0","    0","    2","    3","    1","    2","    4","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","   15","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   72","    0","    0","    1","    0","    0","    0","    0","    1","    0","    3","   12","    2","    0","    0","    0","  132","   29","42844","    2","    0","    0","    0","    0","    7","  241","    0","    0","    0","    0","    7","    2","    2","    0","    1","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0"
" 6462",NA,NA,"  261","    0","    0","    0","    0","    2","    1","   39","    6","   94","   26","    0","    0","   11","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    1","    3","    1","    0","    7","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    7","    0","    0","    0","    0","    1","   12","    0","    0","    0","    0","   81","  235","    0","    0","    0","    0","    0","    0","    1","    1","    3","    6","    3","    0","    0","    0","  107","   18","30283","    1","    0","    4","    0","    0","    7","  139","    4","    0","    0","    3","    5","    0","    4","    0","    0","    0","    1","    1","    0","    3","    0","    0","    0","    2","    1","    0","    0","    0"
" 6769",NA,NA,"  269","    0","    0","    0","    0","    0","    2","   46","   10","  121","   28","    0","    0","   19","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    6","    4","    2","    1","    6","    7","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    1","    1","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  131","    0","    0","    3","    0","    0","    0","    0","    0","    2","    3","   12","    2","    0","    0","    0","  192","   31","23832","    2","    0","    0","    0","    1","    6","  175","    3","    0","    0","    0","    1","    1","    5","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0"
" 7077",NA,NA,"  277","    0","    0","    0","    0","    0","    0","   26","    9","   69","   28","    0","    0","   15","    0","    1","    0","    0","    0","    1","    0","    2","    0","    0","    0","    5","    0","    0","    1","    4","    0","    0","    6","    0","    0","    0","    1","    0","    0","    2","    3","    0","    0","    8","    0","    0","    0","    0","    1","   20","    0","    0","    0","    0","   90","  104","    0","    0","    0","    0","    0","    0","    0","    1","    1","    9","    0","    0","    0","    0","  115","   16","29139","    2","    0","    2","    0","    0","   14","  101","    2","    2","    0","    6","    4","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    3","    2","    0","    0","    0"
" 7385",NA,NA,"  285","    1","    0","    0","    0","    0","    2","   66","   22","  110","   30","    0","    0","   18","    0","    1","    1","    0","    0","    0","    0","    2","    0","    0","    3","    6","    3","    1","    3","    7","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   23","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  274","    0","    0","    2","    0","    0","    0","    0","    0","    1","   10","   12","    1","    0","    0","    0","  211","   36","26654","    3","    0","    0","    1","    0","    3","  182","    1","    0","    0","    1","    3","    2","    2","    0","    0","    0","    5","    0","    0","    5","    0","    0","    1","    1","    0","    0","    0","    0"
" 7673.0",NA,NA,"  292.5","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","   47.0","    7.0","   59.0","   39.0","    0.0","    0.0","   16.0","    0.0","   10.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    4.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    6.0","   28.0","    0.0","    1.0","    0.0","    0.0","  176.0","  634.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    2.0","    2.0","    1.0","    0.0","    0.0","    0.0","  145.0","   18.0","13620.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","  100.0","    5.0","    1.0","    0.0","    2.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
" 8000",NA,NA,"  301","    0","    0","    2","    0","    5","    1","   37","   12","   56","   15","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    3","    5","    5","    0","    0","    5","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","   16","    0","    0","    0","    0","    3","   26","    0","    1","    0","    0","   71","   79","    0","    1","    0","    0","    0","    0","    2","    2","    2","    6","    5","    0","    0","    0","  203","   23","35072","    1","    0","    0","    0","    0","    2","   58","    2","    0","    0","    4","   10","    1","    2","    0","    0","    0","    2","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0"
" 8265",NA,NA,"  309","    0","    0","    0","    0","    3","    0","   75","   36","  147","   61","    0","    0","   23","    1","    1","    0","    0","    0","    0","    0","    9","    0","    0","   10","   25","    4","    0","    1","    9","    0","    0","   15","    0","    0","    0","    1","    0","    0","    1","    1","    0","    1","   15","    0","    0","    0","    0","    3","   33","    1","    0","    0","    0","  286","  523","    0","    3","    0","    0","    0","    0","    3","    0","    5","   12","    1","    0","    0","    1","  287","   38","24203","    7","    0","    0","    0","    1","    1","  111","    7","    0","    0","    1","    4","    1","    6","    0","    0","    0","    0","    0","    0","    7","    1","    0","    0","    0","    1","    0","    0","    0"
