"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Euphorbia t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geranium","Hedera","Heliotropium","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Leontice","Linum t.","Lonicera","Loranthus","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nitraria","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Periploca","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rheum","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viola","Viscum","Vitis","Ziziphus/Paliurus","Zygophyllum t."
"8426",NA,NA,"1285","   0","1390","   0","   0","  38","   0","   0","   0","  15","   0","  25","   0","   3","   0","   0","   5","   0","   0","   0","   0","   1","   1","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","  11","   2","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   5","   0","   2","   0"," 163","   6","   0","   0","   3","   0","   0","  16"," 391","   6","   0","   0","   0","   0","   3","   4","   0","   1","   2","   0","  11","   2","   0","   0","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0"
"8647",NA,NA,"1310","   0"," 285","   0","   0","  41","   0","   0","   5","  31","   1","  38","   0","   3","   1","   0","   8","   0","   1","   0","   0","   2","   2","   0","   2","   4","   0","   0","   0","   0","   0","   0","   0","  16","   4","   0","   0","   2","   0","   1","   5","   1","   4","   5","   0","   0","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","  14","   0","   0","   2","   0","   0","   1","   0","   0","   4","   3","   0","   0","   0","   0","   0","   1","   1","   3","   7","   1","   3","   0"," 154","   9","   4","   0","   0","   0","   0","  24"," 440","   9","   0","   0","   0","   2","   3","  12","   0","   0","   1","   1","  31","   0","   0","   0","   0","   0","   0","   3","   0","  18","   0","   0","   0","   6","   0","   0"
"8824",NA,NA,"1330","   0","1096","   0","   0","  26","   0","   0","   6","  16","   1","  19","   0","   1","   0","   0","   7","   0","   0","   0","   0","   1","   4","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","  34","   8","   1","   0","   1","   0","   1","   1","   0","  10","   6","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   2","   0","   0","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","   0","   3","   4","  16","   2","  14","   1"," 188","   6","   2","   0","   0","   0","   0","  37"," 373","   4","   0","   1","   0","   2","  10","  23","   1","   0","   4","   1","  14","   0","   1","   1","   0","   0","   1","   2","   0","  16","   0","   0","   0","   7","   0","   0"
"8912",NA,NA,"1340","   0"," 814","   1","   0","  35","   0","   0","   2","  34","   0","  26","   0","   4","   0","   0","  15","   0","   1","   0","   0","   2","   5","   0","   0","   1","   4","   0","   0","   0","   0","   2","   0","  53","   3","   0","   0","   1","   0","   1","   5","   0","   3","   6","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","  17","   0","   1","   1","   0","   0","   2","   0","   2","  23","   0","   0","   1","   1","   0","   0","   0","   0","   3","  18","   2","   6","   0"," 222","   9","   3","   0","   0","   0","   0","  17"," 439","  17","   0","   0","   0","   1","   4","   5","   0","   1","   1","   0","  35","   0","   0","   1","   0","   0","   0","   2","   0","  14","   2","   0","   0","   4","   0","   0"
"9125",NA,NA,"1360","   1","2449","   0","   1","  59","   0","   0","  11","  36","   0","  32","   4","  15","   0","   0","   9","   0","   1","   1","   0","   1","  12","   0","   2","   7","  13","   0","   0","   0","   0","   3","   0","  51","   6","   0","   0","   2","   0","   4","   0","   1","   9","   4","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   1","  15","   3","   0","   0","   0","   0","   0","   0","   2","   3","  12","   5","  26","   0"," 342","  12","   2","   0","   1","   0","   0","  33"," 384","  15","   3","   2","   0","   1","  16","  24","   0","   1","   0","   0","  19","   0","   1","   4","   0","   0","   0","   2","   0","  18","   3","   0","   0","  10","   0","   1"
"9500",NA,NA,"1390","   0"," 191","   0","   0","  24","   0","   0","   5","  42","   0","  16","   0","   8","   0","   0","  11","   0","   1","   0","   0","   0","   5","   0","   0","   4","  19","   0","   0","   0","   0","   2","   0","  35","   3","   2","   0","   0","   0","   2","   1","   1","   9","   5","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   8","   0","   2","   4","   0","   0","   1","   0","   0","   7","   0","   1","   0","   0","   0","   0","   0","   3","   8","   8","   5","   8","   0"," 269","   5","   4","   0","   0","   0","   0","  22"," 300","  14","   0","   1","   0","   1","  14","  10","   0","   2","   1","   2","  17","   0","   1","   3","   0","   0","   0","   2","   0","  28","   3","   0","   0","   4","   0","   0"
" 9875",NA,NA," 1420","    0","20310","    1","    0","   38","    0","    2","   10","   31","    0","   20","    0","    3","    2","    0","    7","    0","    2","    0","    0","    0","    3","    0","    1","    1","   11","    0","    0","    0","    0","    0","    0","   32","    2","    1","    0","    2","    0","    1","    4","    0","    7","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    8","    0","    1","    2","    0","    0","    0","    0","    0","   15","    1","    1","    0","    0","    0","    0","    0","    0","    3","    2","   12","    4","    0","  203","    8","    1","    0","    0","    0","    0","   10","  154","   15","    0","    0","    0","    2","   17","   10","    0","    0","    3","    0","   17","    0","    0","    4","    0","    0","    0","    8","    0","   12","    0","    0","    0","    7","    0","    0"
"10154",NA,NA," 1450","    0","   34","    0","    0","   60","    0","    0","    9","   58","    1","   86","    0","    9","    0","    0","    8","    0","    0","    2","    0","    1","    2","    0","    0","    8","    4","    1","    0","    0","    0","    0","    1","   32","    2","    0","    0","    1","    0","    0","    1","    0","    4","   12","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    7","    1","    0","    0","    0","    0","    9","    1","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","  276","   10","   14","    0","    0","    0","    0","   19","  193","   17","    0","    1","    0","    1","    2","   18","    0","    0","    0","    1","   64","    0","    1","    1","    0","    0","    0","    1","    0","   30","    0","    0","    0","    3","    0","    0"
"10346",NA,NA," 1475","    2","   13","    0","    1","  100","    0","    1","    8","   45","    4","   84","    0","    7","    0","    1","    8","    0","    0","    2","    0","    6","    6","    0","    2","    4","    5","    0","    0","    0","    1","    3","    0","   55","    3","    0","    0","    3","    0","    5","    2","    0","   19","    8","    0","    0","    0","    0","    1","    0","    1","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   17","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    2","    4","    0","    0","    0","    0","  253","   21","   21","    0","    0","    0","    0","    3","  122","   18","    0","    0","    0","    0","    2","   29","    0","    1","    2","    0","   69","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","    1","    0","    0"
"10462",NA,NA," 1490","    0","    1","    0","    0","   40","    0","    0","    3","   18","    1","   28","    0","    2","    0","    0","   10","    0","    0","    2","    0","    1","    6","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","   33","    0","    1","    0","    2","    0","    2","    0","    0","    5","    3","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","  117","    2","    4","    0","    1","    0","    0","    3","   59","   13","    0","    0","    0","    2","    1","    7","    1","    0","    0","    0","   32","    1","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0"
"10538",NA,NA," 1500","    0","   34","    0","    0","   46","    0","    0","    3","   31","    2","   31","    0","    3","    0","    0","   18","    0","    1","    1","    0","    4","    6","    0","    2","    5","    6","    0","    0","    0","    0","    0","    0","   35","    1","    0","    0","    1","    0","    1","    2","    1","    6","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    2","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    1","    0","    0","  151","   10","    9","    1","    1","    0","    0","    5","   55","   13","    0","    0","    0","    1","    0","   13","    0","    0","    1","    0","   35","    0","    0","    1","    0","    0","    0","    2","    0","   26","    0","    0","    0","    0","    0","    0"
"10769",NA,NA," 1530","    0","    6","    0","    0","   83","    0","    1","    0","   29","    5","   52","    0","    2","    0","    0","   14","    0","    0","    0","    0","    2","    5","    0","    1","    8","    0","    0","    0","    0","    0","    0","    0","   51","    2","    1","    0","    3","    0","    1","    2","    1","    7","    4","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    1","    3","    0","  209","   14","    9","    0","    0","    0","    0","    3","  100","   28","    0","    1","    0","    0","    2","   14","    0","    1","    3","    0","   58","    0","    0","    0","    0","    0","    0","    0","    0","   18","    0","    0","    2","    0","    0","    0"
"10846",NA,NA," 1540","    1","    0","    0","    0","   64","    0","    0","    6","   33","    0","   42","    0","    0","    0","    0","    6","    0","    0","    1","    0","    0","    9","    0","    0","    3","    2","    0","    0","    0","    0","    0","    0","   25","    2","    0","    0","    2","    0","    0","   18","    0","    4","    4","    0","    1","    0","    0","    1","    0","    1","    1","    1","    0","    0","    0","    2","    1","    1","    0","    0","    0","    0","   25","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","  109","    8","   10","    0","    0","    0","    0","    2","   60","   19","    0","    0","    0","    0","    0","    6","    1","    1","    0","    0","   48","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0"
"11077",NA,NA," 1570","    0","  351","    0","    1","   72","    0","    0","    9","   92","    4","  100","    0","   17","    1","    0","   33","    1","    0","    7","    0","    6","   10","    0","    1","   10","   23","    0","    0","    0","    0","    7","    0","   74","    0","    2","    0","    2","    1","    5","    1","    0","   16","   12","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","   30","    0","    1","   12","    3","    1","    0","    0","    0","    0","    1","    1","    6","    2","    5","    3","    0","  385","   38","   18","    0","    2","    0","    2","   14","  216","   59","    2","    1","    0","    1","    3","   34","    0","    2","    1","    0","   54","    4","    2","    0","    0","    1","    0","    1","    0","   54","    0","    0","    0","    2","    0","    0"
"11231",NA,NA," 1590","    2","    1","    0","    0","   24","    0","    0","    4","   20","    1","   32","    0","    4","    0","    0","   16","    1","    0","    1","    0","    1","    7","    0","    1","    0","    3","    0","    1","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    2","    0","    6","    7","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    1","    7","    0","    1","    0","    0","  150","    6","    8","    0","    0","    1","    0","    2","   45","   33","    0","    0","    0","    0","    0","   16","    1","    0","    0","    0","   25","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0"
"11308",NA,NA," 1600","    2","    4","    0","    0","   40","    0","    0","    7","   29","    2","   44","    0","   10","    0","    0","   14","    0","    0","    1","    0","    1","    3","    0","    1","    3","    3","    0","    0","    0","    0","    1","    0","   58","    0","    1","    0","    0","    1","    3","    0","    0","    7","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    4","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    8","    0","    1","    1","    0","  196","   10","   11","    0","    2","    0","    0","    3","   69","   56","    0","    0","    0","    1","    1","   16","    0","    1","    0","    0","   37","    0","    2","    0","    0","    0","    0","    2","    1","   12","    0","    0","    0","    0","    0","    0"
"11400",NA,NA," 1612","    0","    7","    0","    0","   15","    0","    0","    2","   22","    0","   33","    0","    6","    0","    0","   12","    0","    0","    0","    0","    3","    3","    0","    1","    5","    6","    0","    0","    0","    0","    0","    0","   48","    0","    0","    0","    2","    0","    0","    2","    0","    6","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    7","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    3","    6","    0","    1","    0","    0","  104","   10","    9","    0","    1","    0","    0","    0","   57","   32","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","   41","    0","    0","    0","    0","    0","    0","    1","    0","   24","    0","    0","    0","    0","    0","    0"
"11500",NA,NA," 1625","    0","   12","    0","    0","   23","    0","    0","    2","   22","    1","   28","    0","    1","    0","    0","   10","    0","    0","    2","    0","    3","    5","    1","    1","    6","   11","    1","    0","    1","    0","    1","    0","   50","    0","    0","    0","    1","    0","    6","    1","    0","    9","    4","    0","    0","    0","    0","    1","    0","    4","    2","    1","    1","    0","    1","    0","    1","    0","    0","    1","    1","    0","   11","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    1","    8","    0","    4","    1","    0","  179","   16","    8","    0","    1","    0","    0","    0","   64","   48","    0","    0","    0","    0","    0","   15","    0","    2","    0","    0","   36","    0","    0","    0","    1","    0","    0","    0","    0","   22","    1","    0","    0","    1","    0","    0"
