"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Euphorbia t.","Fabaceae Undif.","Fraxinus","Geranium","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Lauraceae","Lycopodium spike","Mercurialis","Olea t.","Ostrya","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Phoenix t.","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Scrophulariaceae undif.","Tamarix","Thymelaeaceae undif.","Typha","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllum t."
"1790",NA,NA," 259","   1","   1"," 310","   0","   3","   0","  80","   0","  40","   0","   8","   0","   0","   6","   0","   0","   4","   1","  40","   1","   0","   0","   7","   0","   0","   2","   0","   0","   0","   0","   2","   4","   1","   1","   0"," 335","   0","  65","   0","   0","   2","   3","   3","   0","  22","  12","  51","   0","  90","  14","   0","   0","   3","  10","   4","   0","   5","   8","   8","   0","   0","   2","   0","   7","   3","   2","   3","   0","   0","   3"
"1970",NA,NA," 282","   0","   0"," 313","   0","   7","   0","  57","   0","  56","   0","  13","   0","   0","   5","   0","   0","   4","   0","  16","   2","   0","   0","   9","   0","   0","   7","   1","   3","   0","   0","   0","   9","   0","   0","   0"," 480","   0","  90","   0","   0","   4","   0","   1","   0","  19","   9","  22","   1","  73","   9","   1","   0","  16","  15","   5","   0","   4","   5","   5","   2","   0","   0","   0","   2","   4","   4","   0","   2","   1","   4"
"2190",NA,NA," 312","   0","   1"," 330","   0","  15","   0","  53","   0","  59","   0","  17","   0","   0","   8","   0","   0","   3","   1","  26","   2","   0","   0","   7","   0","   8","   3","   0","   3","   0","   0","   1","   6","   0","   1","   0"," 372","   0","  33","   0","   0","   0","   0","   1","   0","   2","  13","  27","   0","  70","  10","   0","   0","  28","  38","   4","   0","   9","   1","   7","   2","   0","   1","   0","   6","   2","   0","   4","   0","   0","   2"
"2410",NA,NA," 334","   0","   0"," 355","   1","   7","   0","  48","   0","  54","   1","  20","   0","   0","  13","   0","   0","   4","   0","  54","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0"," 275","   0","  26","   1","   0","   4","   3","   2","   0","   8","   4","  22","   0","  76","   3","   1","   0","  12","  11","   0","   0","   5","   2","   6","   2","   0","   1","   0","   2","   3","   1","   0","   1","   1","   1"
"2620",NA,NA," 349","   0","   0"," 230","   1","   7","   0","  31","   0","  57","   0","  13","   3","   0","  11","   0","   0","   7","   0"," 140","   0","   0","   0","   3","   0","   0","   8","   0","   0","   0","   0","   0","   2","   0","   0","   0"," 388","   0","  24","   1","   0","   0","   1","   0","   0","   5","   3","   6","   0","  40","   1","   2","   0","  11","   8","   1","   0","   1","   1","   3","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0"
"2830",NA,NA," 363","   0","   0"," 264","   0","   1","   0","  19","   3","  65","   0","  21","   1","   0","   8","   0","   0","   6","   0","  87","   0","   0","   0","   0","   0","   0","   9","   1","   0","   0","   0","   0","  17","   0","   0","   0","  72","   0","  13","   0","   0","   2","   1","   0","   0","   1","   2","   5","   0","  16","   2","   0","   0","   1","   3","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0"
"3120",NA,NA," 387","   0","   0"," 265","   0","   7","   0","   9","   1","  58","   0","  12","   2","   0","   5","   0","   0","   4","   0","  84","   0","   0","   0","   2","   0","   0","  10","   0","   0","   0","   0","   0","   8","   0","   1","   0"," 135","   0","  10","   0","   0","   3","   3","   0","   0","   5","   1","  19","   0","  27","   2","   0","   0","   4","   4","   2","   0","   2","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1"
"3340",NA,NA," 428","   0","   0"," 180","   0","  12","   0","  17","   1","  30","   0","   7","   0","   0","   0","   0","   0","   4","   0","  81","   0","   0","   1","   6","   0","   0","   3","   0","  12","   0","   0","   0","   8","   0","   0","   0"," 138","   0","  18","   0","   0","   2","   4","   0","   3","   6","  12","  24","   0","  61","   2","   0","   0","  66","  11","   4","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"3550",NA,NA," 458","   0","   0"," 228","   0","   5","   0","  23","   2","  30","   0","  13","   0","   0","   2","   0","   0","   6","   0","  45","   2","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","  10","   0","   0","   0"," 110","   0","  25","   1","   0","   0","   0","   4","   0","   1","   9","  11","   0","  23","   0","   0","   0","  32","   2","   1","   0","  11","   1","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"3680",NA,NA," 482","   0","   0"," 173","   0","   9","   0","  23","   0","  62","   0","  22","   0","   0","  15","   0","   0","   6","   0"," 108","   0","   0","   0","   4","   0","   0","   5","   0","   0","   0","   1","   0","  17","   0","   1","   0"," 208","   0","  46","   0","   0","   0","   1","   0","   0","   2","   2","   8","   0","  29","   4","   0","   0","  35","  21","   2","   1","   2","   1","   1","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"
"3820",NA,NA," 507","   0","   0"," 185","   0","   4","   0","  13","   0","  73","   0","   9","   0","   0","  10","   0","   0","   3","   0","  65","   1","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","  21","   0","   0","   0"," 165","   0","  37","   0","   1","   0","   1","   0","   0","   2","   1","   6","   0","  33","   4","   0","   0","  21","   5","   3","   0","   2","   1","   4","   1","   0","   0","   1","   2","   0","   0","   1","   0","   0","   0"
"3970",NA,NA," 532","   0","   0"," 151","   0","  11","   0","  10","   0","  60","   0","  10","   0","   0","   4","   0","   0","   0","   0","  66","   1","   0","   0","   5","   0","   0","   6","   0","   0","   1","   0","   0","  14","   0","   2","   0"," 184","   0","  63","   0","   0","   0","   3","   3","   0","   3","   5","   9","   0","  30","   3","   1","   0","  26","  14","   0","   0","   3","   0","   1","   0","   0","   0","   2","   2","   0","   2","   0","   0","   0","   0"
"4120",NA,NA," 570","   0","   0"," 255","   0","   4","   0","   9","   0","  40","   0","   6","   0","   1","  10","   0","   0","   7","   0","  21","   0","   0","   0","   4","   0","   0","   4","   0","   0","   0","   0","   0","   7","   0","   0","   0"," 131","   0"," 175","   1","   0","   0","   5","   4","   0","   2","   8","  18","   0","  32","   2","   0","   0","  46","   9","   3","   0","   6","   0","   4","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2"
"4310",NA,NA," 596","   0","   0"," 290","   0","   5","   0","   5","   3","  57","   0","   5","   0","   0","   0","   0","   0","   6","   0","  60","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","  21","   0","   0","   0","  95","   0","  40","   0","   0","   0","   1","   0","   0","   4","   7","   1","   0","  17","   2","   0","   0","  18","   4","   0","   0","   2","   3","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0"
"4480",NA,NA," 620","   0","   0"," 262","   0","   7","   0","  50","   3","  32","   0","   8","   0","   0","   4","   0","   0","   5","   0","  61","   1","   0","   0","   0","   0","   1","  11","   0","   2","   0","   0","   0","  16","   0","   0","   0","  72","   0","  42","   0","   0","   1","   1","   0","   0","   1","   0","  13","   0","  11","   3","   0","   0","  11","   0","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4670",NA,NA," 645","   0","   0"," 138","   0"," 165","   0","  14","   0","  35","   0","   8","   1","   0","   2","   0","   0","   2","   0","  21","   0","   0","   0","   0","   0","   2","   2","   0","  14","   0","   0","   1","  28","   0","   0","   0"," 147","   0","  41","   0","   0","   5","   0","   0","   1","   1","   4","   4","   0","  33","   0","   0","   0","  28","  11","   5","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"4880",NA,NA," 669","   1","   0"," 122","   0","  19","   0","  15","   0","  31","   0","  15","   0","   0","  10","   0","   0","   9","   0","  19","   1","   0","   0","   2","   0","   4","   4","   0","   0","   0","   0","   0","  18","   0","   0","   0"," 173","   0","  64","   0","   0","   3","   0","   2","   6","   3","   0","  27","   0","  68","   9","   0","   0","  43","   8","   5","   0","  19","   1","  12","   2","   1","   3","   0","   2","   0","   0","   0","   0","   0","   5"
"5100",NA,NA," 697","   0","   0"," 235","   0","  10","   0","  12","   0","  49","   0","  11","   1","   0","  10","   0","   0","   1","   0","  35","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   9","   0","   0","   0","  68","   0","  29","   0","   0","   4","   0","   0","   0","   1","  10","  13","   0","  36","   0","   0","   0","  19","   1","   1","   0","   6","   1","   6","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"5410",NA,NA," 746","   0","   0"," 174","   0","   9","   0","  13","   0","  56","   0","  13","   0","   0","   3","   0","   0","   3","   0","  44","   0","   0","   0","   4","   0","   1","   3","   0","   3","   0","   0","   0","  17","   0","   2","   0"," 139","   0","  69","   0","   0","   5","   0","   0","   2","   4","   8","  12","   0","  34","   2","   0","   0","  26","   4","   1","   0","   2","   0","   4","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"
"5570",NA,NA," 773","   0","   0"," 231","   0","   8","   0","  12","   1","  77","   0","  32","   3","   0","  11","   0","   0","  11","   0","  71","   0","   0","   0","   0","   0","   0","   7","   0","   1","   0","   0","   1","  17","   0","   1","   0"," 105","   0","  20","   0","   0","   1","   1","   0","   0","   1","   1","  12","   0","  16","   2","   0","   0","  13","   4","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"5740",NA,NA," 800","   0","   0"," 134","   0","   9","   0","  13","   0","  46","   0","   8","   1","   0","   6","   0","   0","   8","   0","  87","   1","   0","   0","   4","   0","   0","   4","   0","   0","   0","   0","   1","   7","   0","   0","   0"," 155","   0","  52","   0","   0","   9","   1","   5","   0","   2","   1","  11","   0","  47","   2","   0","   0","  23","   5","   1","   0","   3","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"5950",NA,NA," 837","   0","   0"," 257","   0","   8","   0","  22","   0","  67","   1","  14","   0","   0","   9","   0","   0","   8","   0","  81","   0","   0","   1","   5","   0","   1","   2","   0","   4","   0","   0","   1","  12","   0","   0","   0"," 221","   0","  57","   0","   0","   0","   1","   2","   0","   2","   5","  20","   0","  44","   6","   0","   0","  29","   2","   1","   0","  10","   0","   2","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0"
"6090",NA,NA," 885","   0","   0"," 230","   0","   4","   0","  19","   0","  84","   0","  13","   5","   0","  13","   0","   0","   8","   0","  90","   1","   0","   0","   2","   0","   0","   4","   0","   3","   0","   0","   0","  10","   0","   1","   0"," 150","   0","  45","   0","   1","   0","   0","   4","   0","   2","   5","  11","   0","  40","   3","   0","   0","  22","   4","   1","   0","   5","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6230",NA,NA," 935","   0","   0"," 160","   0","  10","   1","  42","   0","  37","   0","  16","   6","   0","  11","   0","   0","   3","   0","  80","   0","   0","   0","   3","   0","   1","   4","   0","   3","   0","   0","   0","  10","   0","   2","   0"," 230","   0","  93","   0","   0","   0","   0","   5","   0","   7","   5","  12","   0","  37","   5","   1","   0","  21","   7","   0","   0","   4","   1","   9","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"
"6380",NA,NA," 986","   0","   0"," 200","   0","   1","   0","  12","   0","  68","   0","  23","   0","   0","   9","   0","   0","   4","   0"," 110","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","  12","   0","   0","   0"," 154","   0","  17","   0","   1","   0","   1","   1","   1","   0","   0","   5","   0","  18","   1","   1","   0","   2","   3","   2","   0","   2","   1","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"6510",NA,NA,"1036","   0","   0"," 200","   0","   6","   0","  39","   0","  80","   0","  16","   2","   0","  11","   0","   0","   1","   0"," 145","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  23","   0","   0","   0"," 111","   0","  17","   2","   0","   0","   3","   1","   0","   0","   0","  10","   0","  18","   2","   1","   0","   5","   3","   1","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"6620",NA,NA,"1086","   0","   0"," 177","   0","   9","   0","  23","   0","  81","   0","  21","   4","   0","   6","   0","   0","   6","   0"," 147","   0","   0","   0","   1","   0","   1","   2","   0","   1","   0","   2","   0","  24","   0","   0","   0"," 251","   0","   9","   0","   0","   2","   0","   1","   0","   1","   0","   0","   0","   6","   1","   0","   0","   1","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0"
"6740",NA,NA,"1138","   0","   0"," 261","   0","   6","   0","   3","   0","  71","   0","   8","   1","   0","   7","   0","   0","   4","   0"," 114","   0","   0","   0","   1","   0","   0","   3","   0","   1","   0","   0","   0","  17","   0","   0","   0"," 136","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   4","   0","  10","   1","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6850",NA,NA,"1189","   0","   0"," 144","   0","   7","   0","   0","   3","  74","   0","  10","   3","   0","   0","   0","   0","   9","   0"," 147","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  20","   0","   1","   0"," 131","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   7","   0","   8","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"6960",NA,NA,"1239","   0","   0"," 174","   0","   9","   0","   4","   1","  52","   0","   6","   2","   0","   5","   0","   0","   8","   0"," 189","   0","   0","   0","   3","   0","   0","   1","   1","   0","   0","   0","   0","  15","   0","   0","   0"," 136","   1","   0","   0","   0","   0","   1","   0","   0","   1","   1","   8","   0","  23","   1","   0","   0","   5","   0","   3","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7085",NA,NA,"1294","   0","   0"," 168","   0","  11","   0","   7","   0","  80","   0","  14","   0","   0","   5","   0","   0","   7","   0"," 243","   0","   0","   0","   3","   0","   0","   2","   0","   1","   0","   0","   0","  16","   0","   0","   0"," 241","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   4","   0","  19","   2","   0","   0","   6","   2","   2","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"7190",NA,NA,"1342","   0","   0"," 238","   0","   8","   0","  24","   0","  64","   0","  13","   4","   0","   7","   0","   0","   9","   0","  99","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","  19","   0","   0","   0"," 183","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   2","   0","   0","   7","   0","   1","   0","  13","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7300",NA,NA,"1392","   0","   0"," 164","   0","   6","   0","   7","   0","  75","   0","   9","   3","   0","   6","   0","   0","   6","   0"," 188","   1","   0","   0","   4","   0","   0","   4","   0","   0","   0","   0","   0","  21","   0","   0","   0"," 167","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   8","   0","  22","   2","   0","   0","   2","   1","   0","   0","   4","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"7415",NA,NA,"1443","   1","   0"," 157","   0","   4","   0","  10","   0","  65","   0","  15","   0","   0","   7","   0","   0","   1","   0"," 131","   0","   0","   0","  13","   1","   0","   3","   0","   0","   0","   0","   0","  19","   0","   0","   0"," 286","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  25","   3","   0","   0","   7","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0"
"7530",NA,NA,"1493","   0","   0"," 150","   0","   2","   0","   8","   0","  41","   0","  14","   1","   0","   0","   0","   0","   4","   0"," 122","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   1","   0"," 277","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","  18","   3","   0","   0","   7","   2","   0","   0","   1","   0","   1","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","   0"
"7640",NA,NA,"1543","   0","   0"," 317","   0","   6","   0","  13","   0","  63","   0","  12","   0","   0","  11","   0","   0","   2","   0","  57","   0","   0","   0","   9","   0","   0","  12","   0","   3","   0","   0","   0","   5","   0","   0","   0"," 307","   0","   0","   0","   0","   0","   0","   0","   0","   2","   5","  10","   0","  26","   4","   0","   0","  20","   1","   0","   0","   0","   1","   5","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"7750",NA,NA,"1593","   0","   0"," 247","   0","   5","   0","  13","   0","  53","   0","  23","   0","   0","   3","   0","   0","   1","   0","  65","   1","   0","   0","  11","   1","   1","   6","   0","   2","   0","   1","   0","   3","   0","   0","   0"," 155","   1","   1","   0","   0","   0","   1","   0","   0","   1","   5","  15","   0","  41","   6","   0","   0","  17","   3","   0","   0","   3","   0","  10","   0","   0","   0","   2","   2","   0","   0","   1","   0","   0","   0"
"7860",NA,NA,"1640","   1","   0"," 245","   0","  11","   0","  11","   0","  52","   0","  25","   0","   0","   3","   0","   0","   2","   0"," 103","   0","   0","   0","  11","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 283","   0","   2","   0","   0","   0","   0","   0","   0","   3","   3","  10","   0","  58","   6","   0","   0","  31","   2","   1","   0","   3","   0","   8","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0"
"8080",NA,NA,"1673","   0","   0"," 205","   0","   4","   0","  13","   0","  43","   0","  16","   0","   0","   3","   0","   0","   5","   0","  44","   0","   0","   0","   1","   1","   0","  20","   0","   1","   0","   1","   0","  13","   0","   0","   0"," 245","   0","   2","   0","   0","   1","   0","   0","   0","   2","   5","  14","   0","  60","   4","   0","   0","  16","   7","   1","   0","   9","   0","   3","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1"
"8330",NA,NA,"1710","   0","   0"," 209","   0","  12","   0","  15","   0","  41","   1","  19","   1","   0","  11","   0","   0","   4","   0","  51","   1","   1","   0","   4","   0","   0","  14","   0","   2","   0","   0","   0","   9","   0","   1","   0"," 174","   0","   2","   0","   0","   4","   0","   0","   0","   1","   2","  22","   0","  60","   5","   0","   0","  13","   2","   2","   0","  14","   0","  11","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0"
"8480",NA,NA,"1732","   0","   0"," 251","   0","  11","   0","  19","   0","  33","   0","  19","   2","   0","  11","   0","   0","   2","   0","  60","   1","   0","   0","   3","   0","   0","   7","   0","   1","   0","   0","   0","  11","   0","   2","   0"," 228","   0","   3","   0","   0","   1","   0","   0","   0","   2","   3","  13","   0","  90","  10","   0","   0","  28","   3","   1","   0","  25","   3","  14","   0","   0","   0","   0","   1","   3","   1","   1","   0","   0","   0"
"8660",NA,NA,"1759","   0","   0"," 217","   0","   4","   0","  25","   1","  26","   0","   6","   1","   0","   5","   0","   0","   5","   0","  35","   0","   1","   0","   5","   0","   1","   5","   0","   1","   0","   1","   0","  15","   0","   2","   0"," 197","   0","   2","   0","   0","   3","   1","   0","   0","   0","   6","  19","   0"," 115","  20","   0","   0","  36","   5","   5","   0","  44","   3","   8","   0","   0","   1","   0","   1","   0","   2","   1","   0","   0","   0"
"8850",NA,NA,"1787","   1","   0"," 230","   0","   7","   0","  18","   0","  33","   0","  16","   0","   0","   6","   0","   0","   4","   0","  74","   0","   0","   0","   7","   0","   0","   5","   0","   1","   0","   0","   0","   5","   0","   1","   0"," 137","   0","   2","   0","   0","   1","   1","   0","   0","   1","   2","  15","   0","  65","   8","   0","   0","  31","   2","   4","   0","   7","   0","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1"
"9060",NA,NA,"1819","   0","   1"," 196","   0","   4","   0","   9","   0","  33","   0","  14","   1","   0","   2","   0","   0","   1","   0"," 117","   1","   0","   0","   2","   0","   0","   6","   0","   1","   0","   1","   1","   7","   0","   1","   0"," 147","   0","   0","   0","   0","   4","   0","   0","   0","   1","   1","   8","   0","  45","   6","   0","   0","  11","   1","   2","   0","  11","   0","   5","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0"
"9250",NA,NA,"1847","   0","   0"," 189","   0","  12","   0","  25","   0","  28","   0","   9","   0","   0","   4","   0","   0","   2","   0","  43","   0","   0","   0","   2","   0","   1","   2","   0","   0","   0","   0","   0","   7","   0","   0","   0"," 116","   0","   2","   0","   0","   5","   1","   1","   0","   1","   4","  19","   0","  90","  10","   0","   0","  36","  10","   2","   0","   4","   2","  17","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0"
"9440",NA,NA,"1875","   0","   0"," 260","   0","   7","   0","  26","   1","  31","   0","  16","   1","   0","   1","   0","   0","   3","   0","  65","   0","   1","   0","   3","   0","   0","   6","   0","   1","   0","   0","   0","   9","   0","   0","   0"," 197","   0","   1","   0","   1","   1","   0","   0","   0","   1","   2","   8","   0","  50","  12","   1","   0","  24","   2","   3","   0","  10","   2","   4","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0"
