"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anthemideae","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fagus","Fern","Fraxinus","Galium t.","Hedera","HippophaÃ«","Indeterminable","Olea t.","Ostrya","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus undif.","Rhamnaceae undif.","Rumex t.","Salix","Sanguisorba t.","Taxus","Thalictrum","Tilia","Ulmus t.","Unknown","Viburnum","Vitis"
"3815","4187","3451"," 170","  43","   1","  53","   1","   0","   1","   1","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   6","   0","   0","   0","   8","   0","   7","   0","   2","   0","   2","   0","  20","   0","   0","   1","   0","   1","   9","   0","  71","   0","   0","   1","   0","   5","   0","   1","   5","   1","   0","   1"
"4392","4755","4037"," 190","  39","   3","  23","   1","   0","   1","   2","   0","   2","   0","   0","   0","   9","   0","   1","   0","   0","   8","   0","   1","   0","  12","   3","   5","   1","   2","   0","   3","   0","  17","   0","   0","   2","   0","   1","   8","   0"," 105","   0","   0","   0","   0","   0","   0","   3","   4","   1","   1","   2"
"4680","5040","4321"," 200","  44","   0","  97","   2","   1","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   7","   0","   0","   0","   7","   3","   3","   0","   3","   0","   1","   1","  14","   0","   0","   4","   0","   0","   5","   0","  73","   1","   0","   0","   0","   1","   0","   1","   2","   2","   0","   2"
"5545","5931","5159"," 230","  28","   1","  56","   3","   0","   0","   0","   0","   1","   0","   0","   0","  11","   0","   0","   0","   0","  11","   0","   1","   0","   7","   1","   6","   0","   1","   0","   3","   1","  29","   0","   0","   1","   0","   2","   8","   0","  86","   0","   0","   0","   0","   0","   0","   2","   5","   1","   0","   2"
"6121","6542","5700"," 250","  28","   1","  53","   0","   0","   0","   0","   0","   2","   0","   0","   0","   4","   0","   1","   0","   0","   8","   1","   1","   0","   8","   4","  10","   0","   0","   0","   1","   0","  18","   0","   0","   1","   1","   2","   7","   0","  70","   0","   0","   0","   0","   3","   0","   0","   2","   1","   0","   0"
"6410","6849","5967"," 260","  25","   1"," 111","   1","   0","   1","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  11","   0","   1","   0","   6","   1","   2","   0","   2","   0","   0","   0","  21","   0","   0","   1","   0","   5","   5","   0"," 109","   0","   0","   0","   0","   8","   0","   1","   2","   4","   0","   1"
"6698","7159","6233"," 270","  19","   2"," 102","   1","   0","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   3","   0","  11","   0","   4","   0","   3","   0","   3","   0","  14","   0","   0","   1","   0","   3","   1","   1"," 100","   0","   0","   0","   0","   3","   0","   0","   2","   1","   0","   1"
"7274","7787","6760"," 290","  30","   3","   9","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  18","   0","   1","   1","  10","   7","  10","   0","   0","   0","   3","   0","  25","   0","   0","   2","   0","   2","  12","   0"," 113","   0","   0","   0","   0","   0","   1","   1","   6","  18","   1","   1"
"7767","8254","7280"," 310","   8","   1","  33","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  13","   0","   1","   0","   2","   2","   7","   0","   2","   0","   1","   0","  38","   0","   0","   1","   1","   2","   9","   0","  83","   0","   1","   0","   0","   0","   0","   3","   7","   3","   0","   0"
"8176","8585","7790"," 330","   5","   1","  38","   1","   0","   4","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","  24","   0","   1","   0","  10","   0","   9","   0","   5","   0","   0","   0","  80","   0","   0","   3","   1","   1","  15","   0"," 158","   0","   0","   0","   0","   0","   0","   5","  29","   1","   2","   0"
"8584","8966","8231"," 350","   0","   2","  38","   0","   0","   3","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","  28","   0","   3","   0","   6","   0","  10","   1","   0","   0","   2","   1","  27","   0","   0","   3","   0","   0","  23","   0"," 103","   0","   0","   1","   0","   0","   0","   3","  11","   1","   2","   2"
"8993","9384","8603"," 370","   1","   3","  30","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   1","   0","   0","   4","   1","  19","   0","   1","   0","   1","   0","  40","   0","   0","   3","   1","   4","  26","   1"," 168","   0","   2","   2","   0","   0","   0","   2","  17","   0","   1","   2"
"9401","9855","8940"," 390","   6","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  57","   0","   2","   0","   6","   3","  17","   0","   3","   0","   3","   1","  23","   0","   0","   1","   0","   1","  20","   0"," 206","   0","   0","   1","   0","   1","   0","   1","  10","   2","   0","   1"
" 9606","10104"," 9097","  400","    0","    2","    3","    0","    0","    3","    1","    0","    1","    0","    0","    0","    1","    0","    0","    1","    0","   24","    0","    2","    0","    1","    0","   15","    0","    6","    0","    1","    0","   18","    0","    0","    2","    1","    0","    9","    0","  124","    0","    1","    0","    0","    0","    0","    4","   14","    2","    1","    2"
" 9700","10179"," 9217","  410","    3","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   33","    0","    1","    0","    7","    2","    9","    0","    1","    0","    1","    0","   12","    0","    0","    1","    2","    0","   18","    0","  127","    0","    3","    0","    1","    0","    0","    0","   11","    0","    1","    0"
" 9842","10294"," 9393","  425","    1","    5","    3","    2","    0","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   44","    0","    0","    0","   10","    0","    7","    0","    2","    0","    3","    0","   11","    0","    0","    0","    0","    2","   17","    0","  158","    0","    0","    3","    0","    0","    0","    8","    7","    6","    3","    1"
"10031","10450"," 9620","  445","    0","    3","    1","    4","    0","    3","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","   35","    0","    0","    0","    9","    0","   15","    1","    3","    0","    4","    0","    5","    0","    0","    1","    0","    0","   12","    0","  153","    0","    1","    8","    0","    0","    0","    8","   10","    2","    0","    3"
"10221","10613"," 9838","  465","    0","    3","    3","    4","    0","    7","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","   44","    0","    2","    0","    9","    1","   21","    0","    2","    0","    8","    0","    5","    0","    0","    2","    0","    3","   22","    0","  164","    0","    0","    5","    0","    0","    0","    6","   23","    2","    0","    1"
"10410","10779","10045","  485","    0","    1","    1","    0","    0","    2","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   27","    1","    3","    0","    5","    1","   15","    0","    3","    0","    4","    0","    0","    0","    0","    5","    0","    0","   18","    0","  152","    0","    0","    7","    0","    0","    0","    1","   21","    6","    2","    0"
"10505","10869","10144","  495","    0","    2","    1","    1","    1","    4","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    1","    0","    2","    1","   15","    0","    3","    0","    0","    0","    1","    2","    0","    4","    0","    0","   34","    0","  163","    0","    1","    2","    0","    0","    1","    0","   23","    2","    1","    0"
"10836","11215","10449","  530","    0","    0","    0","    2","    1","    3","    3","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","   11","    0","    0","    0","    7","    0","    8","    0","    4","    0","    3","    0","    0","    0","    0","    5","    1","    0","    9","    0","  169","    0","    0","    1","    0","    0","    0","    0","   13","    2","    2","    0"
"10930","11320","10527","  540","    0","    0","    2","    0","    1","    6","    0","    0","    4","    1","    0","    0","    0","    0","    1","    3","    0","   10","    0","    0","    1","    8","    2","   10","    0","    5","    0","    3","    0","    0","    1","    0","    5","    0","    2","   23","    0","  253","    0","    1","    5","    0","    0","    0","    6","   24","    5","    4","    0"
"11120","11547","10684","  560","    0","    0","    1","    3","    0","    5","    0","    0","   12","    0","    0","    0","    0","    1","    0","    2","    1","    5","    1","    6","    1","    2","    3","    7","    0","    1","    0","    4","    0","    0","    0","    0","   16","    0","    4","   57","    2","  287","    0","    7","    2","    0","    0","    0","    9","   16","    4","    3","    0"
"11309","11784","10842","  580","    0","    0","    1","    6","    0","    4","    2","    0","    7","    0","    0","    0","    0","    1","    0","    1","    0","    1","    2","    2","    0","    3","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","   39","    1","  187","    0","    2","    4","    0","    0","    0","    5","    9","    0","    1","    0"
"11498","12021","10987","  600","    0","    0","    1","    1","    0","    3","   18","    0","   25","    0","    0","    0","    0","    3","    0","    2","    0","    0","    2","    0","    0","    3","    0","    3","    1","    0","    0","    1","    0","    0","    0","    0","   12","    0","    0","   98","    0","  222","    0","   12","    0","    0","    0","    0","    3","    2","    3","    2","    0"
"11731","12171","11305","  610","    1","    0","    0","    0","    0","    4","    5","    0","   35","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    1","    0","    1","    1","    0","    2","    0","    1","    1","    0","    0","    0","    0","    9","    0","    0","   40","    0","  190","    0","    0","    1","    0","    0","    1","    2","    1","    1","    0","    0"
"12080","12437","11702","  625","    0","    1","    1","   10","    1","    4","   33","    1","   58","    1","    0","    0","    0","    0","    1","    1","    0","    0","    1","    2","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","   64","    0","  160","    0","    1","    0","    0","    0","    1","    2","    4","    1","    1","    0"
"12313","12704","11928","  635","    0","    1","    3","    6","    2","    1","   24","    1","   21","    0","    0","    1","    0","    1","    1","    2","    1","    0","    2","    0","    1","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","   16","    0","    0","   31","    0","  193","    0","    0","    2","    0","    0","    0","    3","    5","    2","    1","    0"
"12546","13005","12092","  645","    0","    2","    0","    0","    0","    2","    5","    0","   12","    0","    0","    0","    0","    0","    1","    1","    0","    2","    1","    3","    0","    8","    0","    9","    1","    0","    0","    2","    0","    0","    0","    0","    8","    0","    0","   26","    0","  152","    0","    2","    1","    0","    0","    0","   22","    8","    7","    0","    0"
"12861","13315","12402","  655","    0","    3","    3","    1","    0","    1","   18","    2","   27","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","   12","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   20","    0","  189","    0","    0","    3","    4","    0","    3","   17","    3","    1","    0","    0"
"13258","13645","12862","  665","    0","    2","    0","    4","    1","    4","   14","    2","   39","    0","    0","    0","    0","    1","    1","    1","    0","    4","    3","    1","    0","   27","    0","   20","    0","    0","    0","    0","    0","    1","    2","    0","    9","    0","    1","   67","    0","  172","    0","    3","    2","    0","    0","    1","   27","    7","    2","    2","    0"
"14054","14454","13630","  685","    0","    2","    0","    6","    1","    4","   12","    3","   72","    1","    0","    0","    0","    1","    0","    2","    0","    0","    1","    2","    0","   20","    0","    3","    4","    0","    0","    0","    0","    0","    0","    0","   15","    0","    3","  106","    0","  127","    0","    8","    3","    0","    0","    1","    0","    4","    3","    1","    0"
"13656","14019","13275","  675","    0","    1","    0","    1","    2","    0","   11","    0","   58","    0","    0","    0","    0","    0","    0","    3","    0","    2","    0","    4","    2","   15","    1","    1","    2","    0","    0","    1","    0","    0","    0","    1","   17","    0","    0","   52","    0","  119","    0","    1","    6","    1","    0","    1","   21","    1","    4","    1","    0"
"14253","14687","13795","  690","    0","    1","    3","    7","    1","    3","   16","    0","   49","    0","    0","    0","    0","    0","    0","    1","    0","    1","    1","    3","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    2","  121","    0","   92","    0","    2","    0","    0","    0","    0","    0","    5","    0","    1","    0"
"14451","14932","13959","  695","    0","    3","    1","    7","    1","    3","   20","    0","   21","    0","    0","    0","    0","    0","    0","    1","    0","    2","    3","    3","    0","    2","    0","    0","    5","    1","    0","    3","    0","    0","    1","    0","   18","    0","    2","  125","    0","   74","    0","    2","    3","    0","    0","    0","    0","    2","    2","    1","    0"
"14650","15185","14115","  700","    1","    0","    0","    3","    0","    0","   14","    1","   37","    0","    0","    0","    0","    1","    0","    1","    0","    2","    2","    3","    0","    7","    0","    1","    1","    0","    2","    0","    0","    0","    0","    0","   12","    0","    1","  100","    0","   92","    0","    4","    6","    0","    0","    1","    0","    2","    6","    1","    0"
"14849","15439","14261","  705","    1","    0","    0","   31","    5","    5","   60","    1","    3","    2","    0","    0","    0","    2","    2","    1","    1","    0","    2","    4","    0","    2","    0","    0","    1","    0","    2","    1","    0","    0","    0","    1","    8","    0","    3","  118","    0","    8","    0","    1","    1","    0","    0","    0","    0","    0","    6","    0","    0"
"15048","15695","14402","  710","    0","    0","    1","    9","    0","    9","   12","    1","   68","    0","    0","    0","    0","    0","    0","    1","    0","    0","    5","    2","    2","    1","    0","    1","    3","    0","    0","    2","    0","    0","    0","    0","    8","    0","    0","  147","    0","   28","    0","    1","    5","    0","    0","    0","    0","    1","    3","    0","    0"
"15247","15951","14537","  715","    0","    0","    0","    1","    2","    9","    9","    2","   53","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    0","    1","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","  120","    0","   14","    1","    1","    2","    0","    0","    0","    0","    1","    3","    0","    0"
"15843","16730","14924","  730","    0","    0","    1","    4","    1","    8","   29","    1","   94","    1","    0","    1","    0","    1","    1","    1","    1","    1","    6","    2","    1","    2","    0","    0","    5","    0","    1","    0","    0","    0","    0","    0","   30","    0","    0","  152","    0","   14","    0","    3","    5","    0","    0","    1","    0","    3","    2","    0","    0"
"16241","17253","15178","  740","    0","    0","    0","   20","    5","    6","   55","    1","   22","    0","    0","    0","    0","    0","    0","    1","    1","    0","   23","    4","    2","    4","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","   20","    0","    0","  125","    0","   14","    0","    1","    4","    0","    0","    1","    0","    0","    0","    0","    0"
"16638","17780","15432","  750","    0","    0","    0","   20","    1","    4","   47","    2","   17","    1","    0","    1","    0","    1","    2","    5","    2","    0","   30","    5","    2","    4","    0","    0","    2","    0","    1","    0","   38","    0","    0","    0","    9","    0","    0","  146","    0","   16","    0","    2","    1","    0","    0","    1","    0","    0","    1","    0","    0"
"17433","18846","15944","  770","    0","    0","    0","    1","    3","    3","   68","    0","    3","    0","    0","    0","    0","    1","    0","    0","    2","    0","   65","   16","    1","    0","    0","    0","    4","    0","    1","    3","    0","    0","    0","    0","   13","    0","    3","  106","    0","    6","    0","    2","    1","    0","    0","    1","    0","    0","    3","    0","    0"
"18229","19920","16457","  790","    0","    0","    1","   22","    0","    1","   67","    1","    3","    1","    0","    2","    0","    0","    0","    0","    2","    0","   32","    4","    2","    0","    0","    0","    6","    0","    0","    3","    0","    0","    0","    1","   16","    0","    3","   85","    0","    2","    0","    3","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"18626","20459","16716","  800","    0","    0","    1","   32","    7","    5","  105","    1","    2","    1","    0","    0","    0","    3","    0","    2","    4","    0","   64","    7","    2","    3","    0","    0","    1","    0","    4","    9","    0","    0","    0","    0","   17","    0","    0","  104","    0","    4","    0","    1","    0","    0","    0","    1","    0","    0","    6","    0","    0"
"19422","21538","17232","  820","    0","    0","    0","   41","    4","    1","  101","    0","    3","    2","    0","    0","    0","    5","    0","    3","    4","    0","   35","    3","    2","    3","    0","    0","    1","    0","    2","    1","    0","    0","    0","    0","   21","    0","    2","   88","    0","    1","    1","    4","    0","    0","    0","    0","    0","    0","    5","    0","    0"
"20217","22621","17748","  840","    0","    0","    0","   21","    2","    3","   67","    0","    1","    3","    0","    0","    0","    0","    0","    0","    1","    0","   41","    2","    2","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    0","   17","    0","    2","   68","    0","    1","    0","    0","    1","    1","    0","    3","    0","    0","    0","    0","    0"
"21012","23705","18262","  860","    1","    0","    0","   10","    1","    0","   51","    1","    0","    1","    0","    2","    0","    1","    0","    2","    5","    0","   27","    6","    0","    1","    0","    0","    5","    0","    2","    0","    0","    0","    0","    1","   85","    0","    2","  124","    0","    6","    0","    0","    0","    0","    0","    3","    0","    0","    3","    0","    0"
"21807","24788","18775","  880","    0","    0","    0","   12","    3","    3","   58","    2","    0","    1","    0","    0","    0","    1","    0","    0","    3","    0","   23","    9","    1","    2","    0","    0","    7","    0","    2","    1","    0","    0","    0","    0","   54","    0","    6","  158","    0","    2","    0","    1","    0","    0","    0","    3","    0","    0","   10","    0","    0"
"22642","25925","19311","  901","    0","    0","    0","    6","    1","    1","   41","    2","    3","    0","    0","    0","    0","    2","    0","    1","   11","    0","   27","   14","    2","    0","    0","    0","    4","    0","    2","    1","    0","    0","    0","    0","   39","    0","    2","   94","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0"
"23398","26954","19800","  920","    0","    0","    0","    3","    5","    2","   28","    2","    0","    0","    0","    0","    0","    1","    0","    1","    5","    0","   47","    2","    1","    0","    0","    0","    4","    0","    0","    2","    0","    0","    0","    0","   35","    0","    3","   83","    0","    3","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0"
"24193","28038","20312","  940","    1","    0","    0","    9","    4","    0","   57","    0","    0","    0","    0","    0","    0","    4","    0","    1","    7","    0","   59","    6","    0","    1","    0","    0","    3","    0","    2","    0","    0","    0","    0","    0","   27","    0","    1","  124","    0","    2","    0","    2","    0","    0","    0","    3","    0","    0","    2","    0","    0"
"24988","29122","20824","  960","    0","    0","    0","    4","    4","    3","   37","    1","    4","    0","    0","    2","    0","    0","    0","    2","    3","    0","   37","    0","    0","    1","    0","    0","    6","    0","    3","    2","    0","    0","    0","    0","   46","    0","    2","  160","    0","    4","    0","    1","    0","    0","    0","    4","    0","    0","    0","    0","    0"
"25783","30206","21334","  980","    0","    0","    1","    7","    1","    2","   69","    4","    0","    0","    0","    0","    0","    0","    1","    1","    9","    0","   55","    7","    2","    0","    0","    0","    5","    0","    2","    2","    0","    0","    0","    0","   45","    0","    5","  138","    0","    2","    0","    2","    0","    0","    0","    2","    0","    0","    1","    0","    0"
"26579","31289","21843"," 1000","    0","    0","    0","    2","    4","    2","   39","    1","    3","    0","    0","    1","    0","    1","    0","    1","    5","    0","   34","    7","    0","    1","    0","    0","    7","    0","    1","    1","    0","    0","    0","    3","  114","    0","    5","  107","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0"
"27374","32373","22354"," 1020","    2","    2","    0","    6","    2","    0","   44","    0","    3","    2","    0","    0","    0","    3","    0","    2","    1","    0","   36","    7","    0","    1","    0","    0","    4","    1","    2","    4","    0","    0","    0","    0","   77","    0","    3","  116","    0","    3","    0","    1","    0","    0","    0","    1","    0","    1","    1","    0","    0"
"28169","33458","22864"," 1040","    0","    0","    0","   27","   11","    2","  116","    1","    0","    1","    0","    1","    0","    0","    0","    2","    9","    0","   18","    1","    0","    2","    0","    0","    6","    0","    1","    0","    0","    0","    0","    2","   35","    0","    7","  108","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0"
"28964","34541","23374"," 1060","    0","    0","    2","    8","    5","    5","   67","    2","    3","    0","    0","    2","    0","    1","    1","    3","    9","    0","   43","   11","    0","    3","    0","    1","    4","    0","    1","    2","    0","    0","    1","    0","   52","    0","   10","  117","    0","    2","    0","    2","    0","    0","    0","    4","    0","    0","    3","    0","    0"
"29760","35625","23885"," 1080","    8","    0","    2","   16","    7","    3","   98","    1","    2","    1","    0","    3","    1","    5","    0","    1","    6","    0","   15","    4","    0","    2","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","   30","    0","    6","   93","    0","   11","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"30555","36710","24396"," 1100","    4","    0","    2","   12","    7","    2","   65","    1","    1","    0","    0","    1","    1","    3","    0","    2","    3","    0","   17","    4","    0","    2","    0","    0","    1","    0","    3","    3","    0","    0","    0","    0","   27","    0","    3","   93","    0","   11","    0","    3","    0","    0","    0","    3","    0","    0","    6","    1","    0"
"31350","37794","24907"," 1120","    0","    0","    0","   27","    2","    5","  104","    2","    1","    0","    0","    0","    0","    2","    0","    0","    1","    0","    8","    2","    2","    0","    0","    0","    7","    0","    2","    2","    0","    0","    0","    0","   29","    0","    2","   94","    0","    3","    0","    1","    0","    0","    0","    4","    0","    0","    0","    0","    0"
"32145","38878","25416"," 1140","    0","    0","    0","    5","   10","    0","   30","    5","    0","    0","    0","    1","    0","    3","    0","    0","    5","    0","   14","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","   96","    0","    2","   80","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"32940","39962","25926"," 1160","    0","    0","    0","    5","    2","    2","   41","    1","    0","    1","    0","    1","    0","    0","    2","    0","    0","    0","   29","    3","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","   79","    0","    2","   54","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    6","    0","    0"
"33736","41045","26434"," 1180","    0","    0","    0","    4","    6","    0","   36","    0","    1","    1","    0","    2","    0","    2","    0","    0","    3","    0","   24","    2","    1","    2","    0","    0","    5","    0","    1","    4","    0","    0","    0","    3","   61","    0","    0","   81","    0","    1","    0","    1","    0","    1","    0","    1","    0","    0","    6","    0","    0"
"34531","42130","26944"," 1200","    1","    0","    4","   12","    2","    2","   50","    1","    0","    0","    0","    1","    1","    2","    0","    0","    4","    0","   79","    1","    1","    2","    0","    0","    2","    1","    0","    3","    0","    1","    0","    1","   31","    0","    2","  134","    0","    8","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"35326","43214","27454"," 1220","    0","    0","    0","    1","    5","   40","    0","    1","    2","    0","    0","    0","    0","    5","    1","    2","    2","    0","   65","    0","    0","    2","    0","    0","    4","    0","    3","    5","    0","    0","    0","    0","   18","    0","    5","   84","    0","    5","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0"
"36121","44299","27964"," 1240","    0","    1","    0","    2","    1","   13","   24","    1","    7","    1","    0","    1","    0","    4","    0","    1","    0","    0","   81","    8","    1","    4","    0","    0","    9","    0","    3","    3","    0","    0","    0","    2","   29","    0","    2","  119","    0","    6","    0","    1","    4","    0","    0","    8","    0","    0","    5","    0","    0"
"36917","45382","28473"," 1260","    1","    0","    1","   26","    7","    8","  105","    2","    0","    1","    0","    0","    0","    2","    1","    5","    8","    0","    5","    2","    1","    0","    0","    0","    5","    0","    1","    2","    0","    0","    0","    2","   13","    0","    7","  143","    0","    0","    0","    5","    3","    0","    0","    0","    0","    0","    2","    0","    0"
"38109","47009","29237"," 1290","    1","    0","    2","   16","    4","    3","   86","    0","    1","    2","    0","    1","    0","    3","    0","    1","    3","    0","   33","    6","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    8","    0","    1","  103","    0","    1","    0","    1","    1","    0","    0","    2","    0","    0","    5","    0","    0"
"38507","47551","29491"," 1300","    6","    0","    5","   39","    3","    4","   91","    0","    2","    0","    0","    2","    1","    4","    1","    2","    0","    0","   25","    4","    1","    3","    0","    0","    1","    0","    1","    1","    0","    0","    0","    2","   17","    0","    0","  103","    0","    7","    0","    2","    0","    0","    0","    4","    0","    1","    9","    0","    0"
"39302","48635","30000"," 1320","    1","    0","    0","    8","    7","    4","   67","    3","    0","    0","    0","    4","    0","    5","    1","    4","    6","    0","   14","    1","    3","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","   34","    0","    2","  145","    0","    4","    1","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0"
