"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Alchemilla t.","Algae","Algae (type 146, HdV)","Algae (type 170, HdV)","Algae (type 601, HdV)","Algae? (type 225, HdV)","Algae? (type 229, HdV)","Alismataceae","Alnus","Alona rustica (type 72, HdV)","Amaranthaceae undif.","Animalia (type 532, HdV)","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Bactrodesmium-type (type 502, HdV)","Betula","Betulaceae undif.","Boraginaceae undif.","Brachysporium (type HdV-359)","Brassicaceae","Bryophyta (type 340, HdV)","Butomus","Buxus","Callitriche","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Caryospora","Castanea","Cedrus","Centaurea","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Clasterosporium caricinum (type 126, HdV)","Closterium idiosporum-type (type 60, HdV)","Coniochaeta ligniaria (type 172, HdV)","Copepoda (type 179, HdV)","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Diporotheca rhizophila (type 143, HdV)","Elatine","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Fungi (type 11, HdV)","Fungi (type 120, HdV)","Fungi (type 123, HdV)","Fungi (type 145, HdV)","Fungi (type 17, HdV)","Fungi (type 174, HdV)","Fungi (type 20, HdV)","Fungi (type 204, HdV)","Fungi (type 312, HdV)","Fungi (type 324, HdV)","Fungi (type 350, HdV)","Fungi (type 361, HdV)","Fungi (type 364, HdV)","Fungi (type 367, HdV)","Fungi (type 411, HdV)","Fungi (type 55, HdV)","Fungi (type 83, HdV)","Fungi (type 8B, HdV)","Fungi (type 92, HdV)","Fungi (type 970, HdV)","Fungi (type 972, HdV)","Galium t.","Gentiana t.","Geranium","Glomus cf. G. fasciculatum (type 207, HdV)","Glyptotendipes pallens group (type 509, HdV)","Hedera","Hydrocharitaceae","Hypericum undif.","Indeterminable","IsoÃ«tes","Jasminum","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lycopodium spike","Lythrum","Malva undif.","Monoletes","Morella","Myriophyllum undif.","Neurospora crassa (type 55C, HdV)","Nymphaea","Olea t.","Orchidaceae","Papaver t.","Parnassia","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Pleospora sp. (type 3B, HdV)","Poaceae","Poaceae (Cerealia-type)","Podospora sp./Zopfiella sp. (type 466, HdV)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhabdocoela (type 353, HdV)","Rhamnus","Rosaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sordariaceae? (type 205, HdV)","Sporormiella (type 113, HdV)","Syringa","Tamarix","Tetraploa aristata (type 89, HdV)","Thalictrum","Thymelaeaceae undif.","Tilia","Trapa natans","Trichocladium opacum (type 10A, HdV)","Triletes","Typha","Ulmus t.","Unknown (type 119, HdV)","Unknown (type 128, HdV)","Unknown (type 150, HdV)","Unknown (type 159, HdV)","Unknown (type 181, HdV)","Unknown (type 222, HdV)","Unknown (type 492, HdV)","Unknown (type 519, HdV)","Unknown (type 69, HdV)","Urtica t.","Ustilago","Ustulina deusta (type 44, HdV)","Utricularia","Valerianaceae undif.","Viburnum","Vitex","Vitis","Ziziphus/Paliurus","cf. Richonia variospora (type 140, HdV)","charcoal"
" 260",NA,NA," 42"," 5.034","5","0","245.30869","0","0","0","0","0","2","1","0","6","0","0","0","1","0","16","0","0","0","0","61.32716","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","17","0","0","61.32716","0","0","0","0","0","15","0","64","0","0","0","2","0","0","1","0","0","0","0","24.53086","0","0","0","0","0","0","0","0","24.53086","0","245.3086","0","0","0","24.53086","0","0","0","0","0","0","0","0","12.26543","0","0","0","0","10","0","0","0","0","0","0","0","0","2","0","1","0","0","0","6","2","0","0","0","0","0","0","1","0","22","0","2","0","69","0","0","0","0","0","0","0","0","6","1","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","47","0","12.26543","0","159.4506","12.26543","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 297",NA,NA," 47"," 7.076","4","0","399.21433","0","0","0","0","0","8","0","0","9","0","1","0","8","0","13","0","2","0","0","88.71429","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","34","1","0","0","0","0","0","2","0","2","0","34","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","828","0","0","0","0","0","1","0","0","14.78571","0","1","0","0","13","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","2","0","0","0","0","0","0","3","0","47","0","1","0","62","1","0","0","0","0","0","0","0","6","4","0","1","3","0","0","0","1","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","2","0","0","73","0","59.14286","0","44.35714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 326",NA,NA," 51","14.027","6","0","545.43812","0","0","0","0","0","26","1","0","4","0","1","0","9","0","21","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","10","0","0","34","0","0","10.29128","0","0","0","0","0","0","0","16","0","0","0","6","0","0","0","1","0","0","1","0","0","0","10.29128","0","0","0","0","0","0","0","0","0","10.29128","123.4954","20.58257","0","0","0","0","0","0","0","0","0","0","1","2","0","17","0","0","2","0","1","0","0","0","2","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","8","0","0","0","106","2","0","0","0","0","0","0","0","6","7","1","1","2","0","0","1","0","0","0","0","1","0","1","0","2","10.29128","0","0","0","0","0","0","0","0","0","0","142","1","30.87385","20.58257","123.4954","0","0","0","51.45642","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 370",NA,NA," 57"," 7.270","3","0","194","0","0","0","0","0","47","0","0","4","0","0","1","8","0","10","2","1","1","0","0","1","1","0","0","0","0","0","0","5","0","0","0","7","0","0","44","1","0","6","0","0","0","0","0","3","0","27","0","0","3","5","0","5","2","2","0","0","0","0","0","22","0","0","0","0","0","0","0","0","4108","0","0","0","340","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","5","0","22.5","0","21","0","118","0","0","1","0","0","0","0","0","16","7","4","1","9","0","0","1","1","0","0","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","1","155","0","59","4","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
" 399",NA,NA," 61"," 5.665","3","0","23","0","0","0","0","0","15","0","0","8","0","3","0","4","0","15","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","11","0","0","45","0","0","2","0","2","2","0","0","1","0","19","0","0","0","5","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","40","0","0","0","40","0","0","0","10","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","11","0","0","2","47","3","0","0","0","0","0","0","0","5","11","2","2","0","1","0","0","0","0","0","0","2","0","0","0","1","6","0","0","0","0","0","0","0","1","0","1","70","0","7","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 448",NA,NA," 64"," 3.460","4","0","25","0","4","0","0","0","16","1","2","5","0","4","0","2","0","2","0","0","1","0","0","2","1","0","0","0","0","0","1","6","0","0","0","0","2","0","17","1","0","2","0","1","0","0","2","2","0","13","0","0","0","2","0","8","1","2","0","0","2","0","0","13","0","0","3","0","0","0","0","0","0","1","0","0","45","1","4","0","24","0","4","0","0","57","0","0","0","0","37","0","0","2","1","0","0","0","0","0","2","14","0","0","0","0","1","0","1","0","0","1","1","0","0","2","6","26","1","108","0","11","3","1","0","1","0","2","4","8","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","5","119","0","13","6","0","0","3","0","1","0","0","15","0","0","0","0","0","0","0","0","0","0"
" 485",NA,NA," 66"," 7.515","3","0","145.5","0","0","0","0","0","0","0","0","10","0","0","0","7","0","5","0","0","2","0","0","0","97","0","0","0","0","0","0","0","0","0","0","5","0","0","34","1","0","0","0","0","0","0","0","0","0","12","0","0","0","2","0","0","0","0","0","0","1","0","0","0","48.5","0","0","0","0","0","0","0","8536","0","0","0","291","0","0","0","0","0","3","0","0","0","0","1","0","0","7","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","3","3","49","0","0","0","39","0","0","0","0","0","0","0","0","9","8","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6","239","0","291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 521",NA,NA," 68"," 3.500","1.5","0","20","0","43","1","1","0","10","0","4","3","0","2","0","1","0","4","1","0","0","1","0","2","0","0","0","1","3","0","0","3","0","0","0","0","0","0","25","1","0","0","2","4","0","0","1","1","0","14","0","0","0","2","0","3","1","1","0","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","53","0","0","0","135","0","1","0","1","47","0","0","0","0","10","0","0","0","1","1","0","0","0","0","0","13","0","0","3","0","2","0","0","0","0","0","4","2","0","7","4","14","0","72","0","24","0","0","0","0","2","0","8","4","5","0","2","0","1","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","6","91","0","2","7","0","0","1","0","0","5","0","5","3","0","0","0","0","1","1","0","1","0"
" 594",NA,NA," 72"," 3.440","5.5","0","58","0","4","4","0","0","0","9","0","4","0","1","0","1","0","6","0","2","0","0","0","0","2","0","0","0","0","0","3","12","1","0","0","0","0","0","16","1","0","0","0","4","0","0","0","2","0","13","1","0","2","1","0","7","0","3","0","0","0","0","0","14","0","0","5","0","0","0","0","0","0","0","0","0","66","5","1","0","25","0","3","0","0","47","0","0","0","0","14","0","0","0","0","0","1","0","0","0","0","6","0","0","15","4","1","0","2","0","0","1","0","0","0","7.5","3","14","0","60","0","3","1","1","0","1","0","0","4","4","3","0","0","1","0","1","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","0","0","2","4","64","3","16","17","0","0","0","0","1","0","0","8","0","0","0","1","0","0","0","0","0","0"
" 666",NA,NA," 76"," 7.380","4","0","302.8571","0","0","0","0","0","4","1","0","2","0","0","0","6","0","17","0","2","4","0","0","1","0","0","0","0","0","2","0","3","0","0","0","2","0","0","22","3","0","0","0","0","0","0","0","1","0","20","1","0","1","7","0","1","0","1","0","0","0","0","0","4","12.67532","0","0","0","0","0","0","0","532.3636","0","0","0","98.72727","1","0","0","0","0","2","0","0","0","0","0","0","0","19","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","17","0","6","0","49","0","0","0","0","0","0","0","0","12","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","5","219","0","380.2597","12","91.72727","0","0","0","12.67532","0","0","3","0","0","0","0","0","0","0","0","0","0"
" 757",NA,NA," 81"," 5.090","0","0","69.036578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.030488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.030488","0","0","0","0","0","0","0","0","14.21341","0","0","0","8.121951","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.2439","0","0","0","6.091464","4.060976","0","0","0","0","0","0","0","0","0","0","0","0"
" 775",NA,NA," 82"," 3.470","0","0","120","0","8","52","0","0","0","2","0","8","0","2","0","2","0","6","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","28","0","0","0","0","12","0","0","0","18","0","32","0","0","0","2","0","2","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","276","4","0","0","48","0","2","0","0","86","0","0","0","0","20","2","0","2","0","0","0","0","0","0","0","14","0","0","2","2","0","0","0","0","0","0","4","0","0","8","0","16","2","84","0","6","0","0","0","0","0","2","4","6","4","0","0","4","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","8","134","0","20","18","2","0","0","0","0","8","0","2","8","0","0","2","0","0","2","0","0","0"
" 848",NA,NA," 86"," 7.419","1","0","222.51351","0","0","0","0","0","0","0","0","2","0","4","0","4","0","9","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","8","0","0","0","0","0","0","0","0","2","0","24","0","0","0","7","0","4","0","0","0","0","0","0","0","5","6.810811","0","0","0","0","0","0","0","374.5946","0","0","0","186.2703","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","54","0","1","0","55","1","0","0","0","0","0","0","0","10","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","4","159","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 939",NA,NA," 91"," 6.283","7","0","536.72177","6.033386","0","0","0","0","0","2","0","2","0","0","0","5","0","12","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","11","1","0","0","0","0","0","1","0","3","0","6","0","0","0","12","0","3","1","0","0","0","0","0","0","2","17.61685","0","0","0","0","0","2.516693","0","0","0","0","0","127.6677","0","0","0","0","5.033386","0","0","0","2.516693","0","0","0","0","26","0","0","1","0","2","1","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","2","0","0","19.5","3","1","0","152","0","0","0","0","0","0","0","0","8","5","6","1","2","0","0","0","0","0","0","0","0","0","0","1","1","5","0","0","0","0","0","0","1","0","0","0","117","0","5.033386","14","179.6852","5.033386","0","0","264.2528","2.516693","27.68362","0","0","0","0","1","0","0","0","0","0","0"
" 993",NA,NA," 94"," 6.691","7","0","9","3","0","0","0","0","0","1","0","10","0","1","0","2","0","15","0","8","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","17","0","0","18","0","0","0","0","0","0","0","0","3","0","22","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","5","0","50","0","0","0","50","0","0","0","0","0","0","0","0","9","3","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","1","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1066",NA,NA," 98"," 2.770","1.5","1","46","0","4","8","2","0","0","2","0","2","0","4","0","3","0","6","0","0","1","0","0","3","0","0","0","1","0","1","0","4","0","2","0","2","0","0","7","0","0","0","0","0","0","0","0","19","0","13","0","1","2","2","0","5","1","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","4","0","0","0","0","12","0","0","0","0","27","4","1","0","0","3","0","0","0","0","1","3","0","0","1","0","2","0","3","0","0","1","1","3","0","12.5","1","9","0","52","0","1","1","4","0","0","0","1","16","10","18","0","4","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","15","0","12","33","4","13","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0"
