"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Agrimonia","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Ficus","Fraxinus","Fungi","Genisteae","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Mercurialis","Myriophyllum spicatum/verticillatum t.","Olea t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Searsia","Secale","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitis"
" 662.32",NA,NA,"100","1","0","0","0","157","0","4","0","1","0","4","0","2","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","201","1","0","0","0","2","0","0","0","14","0","0","2","0","0","0","0","0","0","0","160","0","1","1","0","0","0","0","0","0","0","0","0","0","0","198","0","0","0","0","0","1","3","0","0","0","0","0","1","0","32","0","0","0","2","0","0","70","2","26","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
" 730.76",NA,NA,"110","1","0","0","0","94","0","4","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","1","1","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","192","0","0","0","0","0","0","13","0","2","0","0","0","0","3","51","4","0","0","0","0","0","52","6","24","1","0","2","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 802.60",NA,NA,"120","1","0","0","0","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","292","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","280","0","0","0","0","0","1","0","0","0","0","0","0","0","1","48","0","0","0","1","0","0","39","3","2","1","0","0","0","0","1","0","0","0","0","0","0","1","2","0","2","0","0","0","2","1","1","0","0","0","0"
" 868.01",NA,NA,"130","1","0","0","0","176","0","2","0","0","0","11","0","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","8","0","0","0","1","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","7","0","0","0","143","0","0","0","0","0","0","0","0","0","0","0","0","0","3","67","2","0","0","38","0","0","6","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
" 936.64",NA,NA,"140","1","1","0","0","101","2","2","0","2","0","2","1","3","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","42","3","0","0","0","0","1","0","0","41","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","2","2","0","0","175","0","0","0","0","1","0","7","0","0","0","0","0","0","2","43","5","0","0","26","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0"
"1082.82",NA,NA,"160","1","0","0","0","6","4","2","0","5","0","18","3","5","0","8","1","4","1","3","0","0","11","0","0","5","4","0","0","0","8","11","0","0","2","2","4","0","0","11","0","0","1","0","2","0","0","0","0","0","21","0","13","0","0","0","0","0","0","0","0","0","0","0","0","390","0","0","0","0","9","0","4","0","0","0","0","1","0","14","272","16","0","0","3","0","0","117","5","20","5","0","0","1","1","5","0","0","0","0","0","0","1","37","0","4","0","0","7","0","0","0","0","0","0","0"
"1142.51",NA,NA,"170","1","0","0","0","12","1","5","0","2","0","14","0","1","2","8","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","0","2","15","0","0","1","0","1","0","0","4","0","0","0","56","0","0","0","0","2","0","38","0","0","0","0","0","1","3","73","5","0","0","18","0","0","168","9","46","0","0","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"1222.92",NA,NA,"180","1","0","1","0","13","1","1","0","5","0","7","2","0","0","4","0","1","0","3","0","0","11","0","1","2","0","0","0","0","1","6","0","0","2","0","2","0","0","7","0","0","0","0","0","0","0","0","0","2","4","0","1","0","5","0","11","0","0","0","0","2","11","0","2","57","0","0","1","0","6","0","70","0","1","0","0","1","0","1","82","1","0","0","0","0","0","265","9","99","1","0","0","1","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","0","99","0","0","0","0","0"
"1410.39",NA,NA,"190","1","0","0","0","10","1","7","0","14","0","18","0","1","0","16","0","1","0","6","0","0","0","0","0","0","2","0","1","0","0","5","2","0","0","0","2","0","0","1","0","0","0","0","1","0","0","1","0","0","2","0","0","1","0","0","0","0","0","0","0","3","0","0","0","37","0","0","0","0","0","2","61","0","1","0","0","0","2","3","59","2","0","0","5","0","0","162","4","28","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","17","0","0","0","0","0"
"1629.95",NA,NA,"200","1","0","1","0","5","3","1","1","9","0","14","8","3","0","6","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","1","0","0","0","0","1","9","0","0","0","2","0","7","1","0","0","0","0","2","0","0","30","0","0","1","0","1","2","22","0","0","0","0","0","0","2","35","0","0","1","0","0","0","289","14","123","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","1","43","2","0","0","0","0"
"1837.92",NA,NA,"210","1","0","0","0","2","1","2","0","5","0","17","0","1","0","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","2","0","1","0","0","1","0","0","0","24","0","0","0","0","5","11","28","0","0","0","0","0","0","1","45","0","0","0","0","0","0","242","8","42","4","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","0","21","0","0","0","0","0"
"2051.18",NA,NA,"220","1","0","0","0","1","1","1","0","5","0","10","1","1","0","6","1","1","1","3","0","0","3","0","0","2","0","0","0","0","0","4","1","0","2","0","1","0","0","7","0","1","0","0","3","0","0","0","0","1","8","0","0","0","4","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","2","10","4","0","0","1","0","1","0","1","32","1","0","0","0","0","0","260","20","213","4","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","2","0","0","0","0"
"2472.41",NA,NA,"240","1","0","0","0","1","4","0","0","3","0","17","2","2","1","14","1","0","0","3","0","0","3","0","0","2","1","0","0","0","0","6","0","0","1","2","3","0","0","16","0","1","0","0","1","0","0","0","0","0","10","0","1","0","1","1","0","12","0","0","0","0","0","0","0","109","0","0","2","0","2","1","17","0","1","2","0","0","0","2","38","2","0","0","0","0","0","283","25","141","8","1","0","1","1","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","0","0","0","0"
"2692.97",NA,NA,"250","1","2","0","0","1","1","6","0","22","2","19","0","1","9","68","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","67","0","0","0","0","1","0","0","14","0","0","0","0","9","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","1","0","0","0","230","0","0","0","0","0","1","9","0","0","0","0","0","0","3","77","1","0","0","0","0","0","76","2","26","0","2","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3112.06",NA,NA,"270","1","0","1","0","0","0","1","0","9","0","17","0","3","6","11","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","26","1","0","0","0","1","0","0","9","1","0","0","0","0","0","0","0","0","0","7","0","4","0","0","0","0","0","0","0","0","1","0","0","0","377","0","0","0","0","0","0","5","0","2","0","0","0","0","0","32","1","0","0","0","1","0","155","3","31","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"3497.33",NA,NA,"290","1","0","0","0","0","0","0","0","12","0","6","0","0","1","8","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","18","0","0","0","0","2","0","0","6","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","406","0","0","0","0","0","0","7","0","1","0","0","1","0","0","8","0","0","0","0","0","1","87","2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3689.97",NA,NA,"300","1","0","0","0","0","1","0","0","7","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","8","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","354","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0","0","58","1","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4075.30",NA,NA,"320","1","0","0","0","0","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","7","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","2","0","0","511","0","0","0","0","0","0","12","0","1","0","0","0","0","0","8","0","0","0","4","0","0","42","2","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"5597.10",NA,NA,"399","1","0","1","0","0","1","0","0","22","0","14","0","0","2","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","8","2","0","0","0","1","0","0","12","1","0","0","0","0","0","0","2","1","1","5","0","5","2","0","0","0","1","0","0","0","0","0","0","0","462","0","1","0","0","1","0","47","0","7","0","0","0","0","1","46","0","2","0","18","0","0","160","11","53","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","2","0","0","2","1","14","1","0","1","0","0"
