"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Abutilon t.","Acer","Acorus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geraniaceae undif.","Geranium","Hedera","HippophaÃ«","Hippuris","Hydrocharitaceae","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Lonicera","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Nymphoides","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Pediastrum divergens","Pediastrum longicorne","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Viburnum","Viscum","Vitis","Ziziphus/Paliurus","cf. Lycopodium"
"5960","6229","5692"," 170","   0","   1","   0","   0","   1","   3","   2","  20","   0","   6","  29","   9","   0","   9","   0","  62","   0","  11","   0","   0","   0","   0","   0","   0","   0","   4","   0","   6","   3","   0","   0","   0","   0","  28","   2","  40","   0","   0","   1","   2","   0","   0","   0","   1","   0","  16","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","  55","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  13","   0","   3","   0","   0","  77","   1","  28","   0","   0","   0","   0","   0"," 268","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  44","   0","   0","   4"," 238","   0","   0","   0","   0","   0","   1","   0","   0"
"6431","6666","6189"," 180","   3","   0","   0","   0","   0","   2","   5","   9","   0","   7","  24","   6","   0","   5","   0"," 138","   0","   4","   0","   0","   0","   0","   1","   0","   9","   3","   0","   6","   2","   0","   0","   0","   0","  63","   1","  25","   0","   0","   3","   2","   0","   0","   8","   0","  10","  84","   0","   0","   6","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","  59","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  30","   1","   2","   0","   0"," 125","   7","  36","   0","   0","   0","   0","   0"," 112","   2","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  18","   0","   0","   1","  44","   0","   0","  21","  20","   0","   0","   0","   0","   0","   2","   0","   0"
"6901","7126","6641"," 190","  19","   0","   2","   0","   5","  13","   5","  20","   0","   3","  16","  14","   0","  15","   0","  86","   0","  14","   9","   0","   0","   0","   0","   0","   7","  13","   0","   7","  17","   0","   0","   0","   0","  34","   3"," 146","   0","   0","   0","   0","   0","   0","   4","   3","   0","  18","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  44","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  60","   9","   7","   0","   0"," 461","  10","  21","   0","   0","   1","   0","   0"," 316","   1","   3","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","  26","   0","   0","   4","  23","   0","   1","  16"," 210","   0","   0","   0","   0","   0","   1","   0","   0"
"7136","7369","6841"," 195","   8","   0","   0","   0","  26","   6","   3","  15","   0","   0","   5","   7","   0","  10","   1","  19","   0","   8","   1","   0","   0","   0","   0","   0","   4","   2","   0","   2","   4","   0","   0","   0","   0","  19","   3"," 120","   0","   0","   0","   0","   0","   0","   3","   1","   0","  11","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29","   1","  31","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","   0","  25","   4","   3","   0","   0"," 218","   4","   2","   0","   1","   1","   0","   0"," 197","   0","   3","   0","   0","   0","   5","   3","   0","   1","   0","   2","   0","   0","   8","   0","   0","   2","   9","   0","   0","  11","  30","   0","   0","   0","   1","   0","   2","   0","   0"
"7687","7922","7370"," 205","   2","   0","   1","   0","   6","   0","  21","  11","   0","   4","  12","  12","   0","  13","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","  43","   7"," 192","   0","   0","   1","   2","   0","   0","   0","   1","   0","  34","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  61","   0","  13","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  59","   0","   0","   0","   0"," 443","  14","   0","   0","   0","   0","   0","   0"," 167","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   7","   0","   0","   0","  93","   0","   0","  21"," 276","   0","   0","   0","   0","   0","   1","   0","   0"
"8003","8234","7713"," 210","   3","   0","  10","   0"," 337","   0","   9","  17","   0","   3","   6","   5","   0","   9","   0","   3","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   5","   1","   0","   0","   0","   0","  21","   2","  17","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  32","   0","   4","   0","   0","   0","   0","   0","   0","   0","  56","   1","   0","   0","   0","  55","   5","   3","   0","   0"," 457","  17","   1","   0","   0","   0","   0","   0"," 250","   0","   0","   0","   1","   0","   2","   1","   0","  22","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   0","  33","  86","   1","   0","   0","   0","   0","   0","   0","   0"
"8634","8864","8376"," 220","   5","   0","   3","   0","  98","   0","  19","  24","   0","  14","  10","  16","   0","   8","   0","   1","   0","   6","   0","   0","   0","   1","   0","   0","   1","   3","   0","   3","  12","   0","   0","   0","   0","  48","   9","  18","   1","   0","   1","   1","   0","   0","   1","   0","   0","   1","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  13","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  46","  23","   0","   0","   0"," 819","  16","   1","   0","   1","   0","   0","   0"," 461","   0","   3","   0","   0","   1","   2","   2","   0","  23","   0","   0","   0","   0","   4","   0","   0","   0","  37","   0","   0","  31"," 110","   0","   0","   1","   0","   0","   2","   0","   0"
"9265","9504","9001"," 230","   3","   0","   3","   0","  28","   1","   6","  37","   0","   2","   9","   8","   0","   7","   0","   3","   0","   4","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","  10","   0","   0","   0","   0","  29","   3","  94","   0","   0","   3","   0","   0","   0","   1","   1","   0","   5","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  28","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  33","  17","   3","   0","   0"," 422","  15","   1","   0","   0","   1","   0","   0"," 432","   1","   2","   0","   0","   1","   4","   1","   0","  18","   0","   0","   0","   1","   4","   0","   0","   0","  30","   0","   0","  12","  48","   0","   0","   1","   0","   0","   0","   0","   0"
"10212","10492"," 9887","  245","    3","    0","    1","    0","  151","    0","   14","   74","    0","   16","   13","   12","    0","    7","    3","    7","    0","   20","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    7","    0","    0","    0","    0","   25","    9","  126","    1","    0","    3","    0","    0","    0","    0","    3","    4","    2","    0","    0","    1","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   16","   95","    0","   14","    0","    0","    0","    0","    1","    0","    2","    0","    3","    0","    1","    0","   52","   23","    5","    0","    0","  696","   18","    5","    0","    6","    0","    0","    0","  620","    3","    1","    0","    0","    1","   31","    0","    0","   31","    0","    0","    0","    0","    9","    0","    0","    4","   18","    0","    0","   26","  210","    0","    0","    0","    0","    0","    1","    0","    0"
"10528","10822","10172","  250","    1","    0","    2","    0","   54","    1","   13","   74","    0","   12","   15","   18","    0","   12","   10","    1","    0","    8","    1","    0","    0","    0","    0","    0","    2","    1","    0","    3","    7","    0","    0","    0","    0","   18","   10","   38","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    5","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   44","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   23","   64","    3","    0","    0","  538","   21","    3","    0","    1","    0","    0","    0","  547","    1","    1","    0","    0","    0","   57","    1","    0","   35","    0","    0","    0","    0","   28","    0","    0","    3","    5","    0","    0","   19","   48","    0","    0","    0","    0","    0","    3","    0","    0"
"11159","11577","10743","  260","    2","    0","    2","    0","   28","    2","   12","   50","    0","    8","   23","   43","    0","   19","    8","    2","    1","    4","    2","    0","    0","    0","    0","    0","    1","    5","    0","    8","   14","    0","    0","    0","    0","   14","   13","   77","    0","    0","   10","    0","    0","    1","    0","    1","    1","    8","    0","    0","    2","    7","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   34","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","   31","   10","    4","    0","    0","  604","    3","    8","    0","    7","    0","    0","    0","  389","    1","    2","    0","    0","    0","   64","    0","    0","    5","    0","    0","    0","    0","   46","    0","    0","    2","    6","    1","    1","   17","   28","    0","    0","    0","    0","    0","    0","    0","    0"
"11790","12286","11316","  270","    3","    0","    1","    0","   18","    1","    3","   45","    0","    2","   13","   46","    0","    4","    2","    0","    0","    6","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    2","    5","   31","    0","    0","    8","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   35","    3","    0","    0","    0","  307","    0","    5","    0","    1","    0","    0","    0","  209","    1","    0","    0","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","  100","    0","    0","    0","    0","    0","    1","    3","   52","    0","    0","    0","    0","    0","    0","    0","    0"
"12334","12610","12032","  280","   13","    0","    1","    0","   19","    4","    4","   37","    0","    3","    3","   58","    0","    2","    0","    2","    1","    5","    1","    0","    0","    0","    0","    0","    1","    6","    0","    1","    1","    0","    0","    0","    0","    4","    2","   52","    0","    0","    2","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   56","    0","    0","    0","    0","  244","    1","    4","    0","    5","    0","    0","    1","  106","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  100","    0","    0","    2","    0","    0","    2","    0","   34","    0","    0","    0","    0","    0","    0","    0","    0"
"12847","13181","12399","  290","   41","    0","    2","    0","  129","    3","    7","  122","    0","    4","   15","  163","    0","   19","    8","    6","    0","   16","    1","    0","    0","    0","    0","    0","   13","    3","    0","    6","    8","    0","    0","    0","    0","    2","    5","  109","    0","    0","    8","    0","    0","    0","    0","    0","    0","   35","    0","    2","    1","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","  198","    2","    7","    0","    0","  321","    3","    3","    0","    0","    0","    0","    9","  135","    0","   17","    0","    0","    0","    3","    1","    0","    1","    0","    0","    0","    0","   48","    0","    0","    6","    0","    0","    0","    6","   54","    0","    0","    0","    0","    0","    0","    0","    0"
"13583","13913","13150","  305","   67","    0","    0","    0","    5","    2","    2","   65","    0","   11","   12","  140","    0","   11","    6","    7","    0","    4","    0","    0","    0","    0","    0","    0","   11","    5","    0","    5","    6","    0","    0","    0","    0","    5","    0","  116","    0","    0","    6","    1","    0","    0","    0","    1","    0","   21","    0","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","   23","    1","    1","    0","    0","    0","    0","    0","    0","    1","    1","    1","    0","    0","    0","  247","    3","    2","    0","    0","  251","    0","    6","    0","    2","    0","    0","    0","  112","    0","    4","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    2","    1","    0","    4","   11","   68","    0","    0","    0","    0","    0","    0","    0","    0"
"14074","14407","13650","  315","   24","    0","    2","    0","   78","    0","    1","  129","    0","   17","   20","  238","    0","   16","   14","    3","    0","   27","    0","    0","    0","    0","    2","    0","   14","    8","    1","    6","    6","    2","    0","    0","    0","   10","    0","   77","    0","    0","    3","    0","    0","    0","    0","    5","   15","   41","    1","    2","    0","   34","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   45","    1","    3","    0","    0","    0","    0","    0","    0","    5","   25","    1","    0","    0","    0","  171","    0","   21","    0","    0","  604","    4","   16","    0","    0","    0","    0","   91","  124","    0","   28","    0","    0","    1","    3","    0","    0","    1","    0","    0","    0","    0","   20","    0","    0","    7","    1","    1","    1","    3","   90","    0","    0","    0","    0","    0","    0","    0","    0"
"14565","14901","14148","  325","   22","    0","    0","    0","    0","    0","    2","   51","    0","    5","    4","  116","    0","   10","   11","    7","    0","    8","    0","    1","    0","    0","    1","    0","    5","    5","    0","    3","    5","    0","    0","    0","    0","    3","    0","   60","    0","    0","    2","    0","    0","    0","    5","    1","    0","   17","    0","    1","    0","   16","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   21","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","   87","    0","   13","    0","    0","  240","    2","    2","    0","    8","    0","    0","    0","   55","    0","   16","    0","    0","    0","    4","    1","    0","    0","    0","    1","    0","    0","   10","    0","    0","    4","    1","    0","    0","    2","   12","    0","    0","    0","    0","    0","    0","    0","    0"
"14810","15148","14396","  330","   16","    0","    1","    0","   27","    1","    2","   48","    0","    6","    5","   77","    0","    6","    3","    3","    0","    8","    0","    0","    0","    1","    0","    0","   10","    6","    0","    2","    6","    2","    0","    0","    0","    2","    2","   68","    0","    0","    1","    0","    0","    0","    0","    1","    0","   21","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   14","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    1","    1","    0","    0","   56","    0","   11","    0","    0","  197","    5","    5","    0","    7","    0","   12","   17","   55","    0","   14","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    6","    0","    1","    8","    0","    0","    2","    2","   12","    0","    0","    0","    0","    0","    0","    0","    0"
