"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Hypericum elodes","Hypericum undif.","Ilex","Lamiaceae undif.","Ligustrum","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Olea t.","Parnassia","Paronychieae","Pedicularis","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"140",NA,NA," 80","0.9, 1","0","1","0","3","2","4","1","0","0","1","0","0","0","0","1","30","0","0","0","2","33","0","0","1","0","1","3","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","176","0","0","1","0","0","0","0","0","111","0","1","125","1","55503.48","0","0","1","0","0","18","4","5","0","0","0","1","0","2","0","0","0","2","1","0","0","0","0","0","1","0","0","0"
"158",NA,NA," 84","0.7, 1","0","0","0","1","3","3","1","0","0","3","1","0","0","0","0","34","0","0","0","3","32","0","0","5","0","1","3","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","2","153","0","0","3","5","0","0","0","0","80","1","3","127","0","81309.86","0","0","7","0","0","20","3","9","0","0","0","0","1","3","1","1","0","1","1","0","0","0","3","0","4","0","0","0"
"177",NA,NA," 88","0.7, 1","0","0","0","3","5","4","0","0","4","3","0","1","0","0","0","36","0","0","0","3","17","0","0","5","0","0","6","0","0","0","25","1","2","0","0","0","0","0","0","0","0","0","0","285","0","0","1","6","0","0","0","0","83","0","0","155","1","46160.81","0","0","2","0","0","15","3","9","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","2","0","0","0"
"198",NA,NA," 92","0.9, 1","0","0","0","3","1","6","1","0","2","3","0","0","5","0","1","31","0","0","0","0","21","0","0","1","0","0","1","0","0","4","11","1","0","0","0","0","0","0","0","0","0","0","1","241","0","0","0","3","0","0","0","0","85","0","1","124","0","39379.23","0","1","7","0","0","14","5","5","0","0","0","1","0","3","0","0","1","2","2","0","0","0","0","0","0","0","1","0"
"220",NA,NA," 96","0.6, 1","0","0","0","3","5","3","0","0","2","1","1","0","3","0","0","23","2","0","0","3","21","0","0","2","0","0","4","0","1","0","0","3","3","0","0","0","0","0","0","2","0","0","2","180","0","0","3","7","0","0","0","0","75","0","3","145","1","81147.5","0","1","2","0","0","14","1","0","0","0","0","0","0","7","0","0","0","1","0","0","0","0","0","0","4","0","0","2"
"245",NA,NA,"100","0.6, 1","0","0","1","0","1","3","3","0","1","1","0","0","0","1","0","26","1","0","0","5","17","0","0","7","0","0","2","0","0","0","28","1","0","0","0","0","0","0","0","0","0","0","1","218","0","0","2","14","0","0","0","1","67","0","7","142","1","64875.46","1","2","2","0","0","13","4","0","0","0","0","0","0","9","0","0","0","1","0","0","0","0","0","0","3","1","0","0"
"271",NA,NA,"104","0.7, 1","0","0","1","3","1","6","0","0","2","1","2","0","3","0","0","23","0","0","0","3","27","0","0","1","0","0","4","0","0","2","8","0","5","0","0","0","0","0","0","0","0","0","2","233","0","0","1","0","0","0","1","0","87","1","2","120","2","51515.91","0","0","2","1","0","12","5","3","0","0","0","0","0","5","0","0","0","1","3","0","0","0","2","0","4","0","2","0"
"299",NA,NA,"108","0.6, 1","1","0","0","3","3","7","1","0","0","6","0","0","4","0","0","35","0","0","0","4","31","0","0","6","0","0","3","0","0","1","16","1","1","0","0","0","0","2","0","0","0","0","4","280","0","0","4","12","0","0","1","0","81","0","0","121","1","52000.64","0","0","6","0","0","12","2","1","0","1","0","0","0","2","0","0","0","1","0","0","0","0","1","0","6","0","1","1"
"328",NA,NA,"112","0.6, 1","1","0","0","2","2","7","1","0","3","6","0","0","0","1","0","19","1","0","0","3","42","0","0","10","0","0","3","0","0","0","9","2","1","0","0","0","0","0","0","0","0","0","1","217","0","0","1","6","0","0","0","0","81","0","1","113","1","64747.05","0","1","1","0","0","31","8","0","0","0","0","0","1","4","0","0","0","1","0","0","0","0","0","0","6","0","0","0"
"358",NA,NA,"116","0.6, 1","0","0","2","6","2","5","1","1","2","2","0","0","4","0","0","18","0","0","0","2","29","0","0","4","0","0","2","0","2","1","1","2","2","0","0","0","1","0","0","0","0","0","0","330","0","0","2","1","0","0","0","0","107","0","0","88","2","43419.18","0","1","5","1","0","34","5","12","0","0","0","0","0","4","0","0","0","1","1","0","0","0","0","0","2","0","0","0"
"373",NA,NA,"118","0.7, 1","0","0","1","0","3","3","1","0","2","0","1","0","0","0","2","14","0","0","1","3","57","0","0","4","1","0","3","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","1","187","0","0","3","2","1","0","0","0","95","0","0","106","1","65463.53","0","0","3","0","0","49","7","2","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"402",NA,NA,"122","0.6, 1","0","0","0","4","5","7","1","0","1","1","0","1","0","0","0","18","0","0","0","3","34","0","0","7","1","0","3","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","256","0","0","0","1","0","0","1","0","80","0","3","97","2","56332.3","0","1","3","2","0","56","3","4","0","0","1","0","1","2","0","0","0","1","1","0","0","0","6","1","4","0","0","0"
"417",NA,NA,"124","0.6, 1","1","0","0","0","2","5","0","0","2","0","0","1","2","0","0","22","2","0","2","1","41","0","1","10","1","0","2","0","0","1","7","4","0","0","0","0","0","0","0","0","0","0","2","220","0","0","1","6","0","0","0","0","115","0","3","63","3","64918","0","0","4","0","2","47","3","6","0","0","0","1","1","4","0","0","0","1","1","0","1","0","1","0","6","1","0","0"
"432",NA,NA,"126","0.6, 1","0","0","0","1","0","8","2","0","1","3","0","1","0","0","0","20","1","0","0","2","45","0","0","1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","200","0","0","2","0","0","0","1","0","112","0","0","78","2","71873.5","0","0","1","0","0","59","4","5","0","1","1","0","0","2","0","1","0","2","0","0","0","0","0","0","3","0","0","0"
"447",NA,NA,"128","0.7, 1","0","0","1","1","4","3","1","0","0","0","0","1","0","0","0","15","2","1","0","3","31","0","0","0","0","0","5","0","0","1","1","4","0","0","0","0","0","0","0","1","0","0","2","183","0","0","2","0","0","0","0","0","98","0","6","73","0","66677.23","1","0","2","0","0","61","8","5","0","0","2","1","0","5","0","1","0","3","0","0","0","0","3","0","8","0","0","0"
"462",NA,NA,"130","0.6, 1","0","1","0","1","2","9","1","0","1","2","0","1","5","0","0","22","0","0","0","5","46","0","0","3","0","0","4","1","1","1","7","0","0","0","0","0","0","0","1","0","0","0","0","285","0","0","1","0","0","1","0","0","84","0","1","90","1","50112.14","0","2","2","0","0","62","1","4","0","1","1","0","0","0","0","0","0","2","1","0","0","0","3","0","6","0","0","0"
"476",NA,NA,"132","0.6, 1","0","0","0","3","6","9","1","0","1","0","0","0","1","0","0","24","0","0","2","2","44","0","0","6","2","0","4","0","0","2","2","1","2","0","0","0","0","0","0","0","0","0","2","248","0","0","1","3","0","0","0","0","83","0","0","98","1","56466.7","0","0","3","0","0","30","7","4","0","0","2","0","2","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"491",NA,NA,"134","0.6, 1","0","0","0","3","2","6","3","0","1","1","0","0","2","0","0","25","0","0","1","2","63","1","0","4","1","0","3","0","1","1","7","1","0","0","0","0","0","0","0","0","0","0","1","220","0","1","0","1","0","0","0","0","83","0","3","92","1","66393.41","0","1","3","1","0","55","8","5","1","0","0","0","2","2","0","0","1","0","0","0","1","0","4","1","7","0","0","0"
"506",NA,NA,"136","0.7, 1","1","0","0","4","2","11","3","0","2","6","1","0","0","0","0","14","0","0","2","4","69","0","0","10","1","0","2","0","0","0","3","1","1","0","0","1","0","0","0","0","0","0","0","317","0","0","1","1","0","0","0","0","102","0","1","71","1","38993.43","0","0","2","0","0","58","2","8","0","0","0","0","0","3","0","0","0","1","0","0","1","0","4","0","2","1","0","0"
"521",NA,NA,"138","0.7, 1","0","0","1","3","5","3","1","0","1","1","0","1","0","0","0","15","3","0","1","4","46","0","0","3","0","0","0","0","1","1","5","3","4","0","1","0","0","0","0","0","0","0","2","187","0","0","3","1","1","0","1","0","88","0","1","78","0","66101.16","0","1","4","0","0","67","7","6","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","6","0","0","0"
"536",NA,NA,"140","0.7, 1","0","0","1","5","0","6","0","1","2","1","1","1","2","0","0","17","2","0","1","6","56","0","0","5","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","2","184","0","0","1","0","0","0","0","0","98","0","2","72","2","65450.82","0","1","1","0","0","55","10","5","0","0","0","0","0","4","0","0","0","0","1","0","1","0","0","0","10","0","0","0"
"551",NA,NA,"142","0.6, 1","0","0","0","1","1","8","1","0","1","1","0","1","1","0","0","18","2","0","0","7","32","0","0","3","0","0","0","0","0","1","7","4","0","0","0","0","0","0","0","0","0","0","1","229","0","0","1","4","0","0","0","0","93","0","2","80","0","63379.08","0","1","3","1","0","64","7","3","0","0","0","0","0","6","0","0","0","1","2","0","0","0","0","0","6","0","0","0"
"565",NA,NA,"144","0.6, 1","0","0","3","8","3","7","0","0","2","0","0","3","1","0","1","10","0","0","1","0","35","0","0","4","0","0","3","0","1","0","5","2","2","0","0","0","0","0","0","0","0","0","1","272","0","0","1","2","0","0","1","0","103","0","2","79","3","54552.94","0","0","6","2","0","57","6","5","0","0","2","2","2","3","0","0","0","0","1","0","0","0","1","0","9","0","0","0"
"580",NA,NA,"146","0.6, 1","0","0","1","8","4","10","1","0","1","1","0","1","1","0","0","9","1","0","1","7","19","0","0","1","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","1","419","0","0","0","1","2","0","0","0","54","0","1","84","0","27777.73","0","1","5","0","0","42","2","4","0","0","0","0","0","4","0","0","0","0","0","0","0","0","4","0","16","0","0","0"
