"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Malva","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Vitis"
"5283","5442","5115"," 900","   0","   0","   0","   2","   4","  36","   4","   1","  48","   0","   0","   0","   0","   0","   5","  10","   0","   0","   7","   9","   7","   0","  12","  14","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","  12","   0","  52","  25","   1","  13","   0","  12","   2","   2","   0","   0","   0","   0","   0","   0","   0","   7","   0","   1","   1","   0","   0","  13","   1"
"5330","5480","5171"," 910","   0","   0","   0","   5","   3","  29","   3","   0","  52","   0","   0","   0","   0","   0","   4","  15","   0","   0","   1","   7","  10","   0","   4","   6","   0","   4","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","  26","   0","   0","   0","   1","  13","   1","  41","  35","   2","   9","   0","   5","   3","   3","   0","   0","   0","   0","   2","   0","   0","   6","   0","   0","   0","   0","   0","  13","   0"
"5377","5520","5226"," 920","   0","   0","   0","   6","   3","  26","   3","   0","  49","   0","   0","   2","   0","   0","   9","   7","   0","   0","   7","   1","  26","   0","   5","   6","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","  13","   0","  62","  37","   1","  38","   0","   1","   6","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  17","   0"
"5425","5561","5281"," 930","   0","   0","   0","   3","   5","  23","   2","   3","  35","   0","   0","   0","   0","   0","   3","   9","   0","   0","   5","   0","  15","   0","   1","   3","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","  87","   0","   0","   0","   0","   3","   0","  80","  37","   2","  14","   0","   2","   7","   7","   0","   0","   0","   0","   3","   0","   0","   6","   0","   0","   0","   0","   0","   8","   3"
"5472","5605","5335"," 940","   0","   0","   0","   5","   3","  19","   2","   1","  48","   0","   0","   0","   0","   0","   3","   3","   0","   0","   4","   0","  11","   0","   4","   1","   0","   2","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  72","   0","   0","   0","   0","   6","   0","  59","  31","   3","  14","   0","   2","  10","   1","   0","   0","   0","   0","   6","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0"
"5519","5647","5386"," 950","   1","   0","   0","   2","   6","  10","   2","   3","  34","   0","   0","   0","   0","   0","   7","   7","   0","   0","  12","   0","   2","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  94","   0","   0","   0","   0","   9","   0","  86","  21","   3","  10","   0","   1","   6","   2","   0","   0","   0","   0","   3","   0","   0","   2","   1","   0","   1","   0","   0","   7","   0"
"5566","5693","5437"," 960","   0","   0","   0","   4","   2","  27","   2","   2","  50","   0","   0","   3","   0","   0","  10","   3","   0","   0","   5","   1","   8","   0","   5","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","  10","   2","  52","  36","   3","  41","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  27","   0"
"5614","5740","5485"," 970","   0","   0","   0","   1","   6","  26","   0","   1","  40","   0","   0","   0","   0","   0","   6","   5","   1","   0","   3","   1","   9","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","  13","   0","  70","  37","   2","  67","   0","   0","   5","   2","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0"
"5661","5789","5533"," 980","   0","   0","   0","   5","   2","  26","   5","   1","  27","   0","   0","   0","   0","   0","   2","   7","   0","   0","   0","   2","   1","   0","   4","   7","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","  37","   0","   0","   0","   0","   4","   0","  24","  14","   1","  60","   0","   2","   3","   4","   0","   0","   0","   0","   4","   0","   0","   3","   0","   0","   0","   0","   1","   9","   0"
"5708","5840","5582"," 990","   2","   0","   0","   2","   0","   6","   0","   5","  42","   1","   0","   0","   0","   0","  10","   3","   0","   0","   2","   0","   1","   0","   4","   2","   0","   1","   0","   0","   3","   0","   0","   2","   0","   1","   0","   0","  30","   0","   0","   0","   0","  13","   0","  54","  25","   0","  25","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   1"
"5755","5893","5629","1000","   0","   0","   0","   6","   3","  30","   2","   2","  20","   1","   0","   1","   0","   0","   1","   1","   0","   0","   4","   6","   0","   0","   2","   4","   1","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","  79","   0","   0","   0","   2","   6","   0","  63","  17","   0","  10","   0","   0","   4","   5","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","  21","   2"
"5803","5947","5673","1010","   0","   0","   0","   0","   8","  29","   1","   1","  25","   0","   0","   3","   0","   0","   6","   4","   0","   0","   1","   8","   1","   0","   3","   6","   0","   0","   1","   0","   4","   0","   0","   1","   0","   0","   0","   0","  31","   0","   0","   0","   0","  14","   0","  53","   7","   0","  11","   0","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   4"
"5850","6003","5712","1020","   0","   0","   0","  19","   6","   9","  13","   2","   6","  11","   0","  49","   0","   0","   0","   0","   0","   0","  22","  43","   0","   0","  12","   6","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   1","  42","   0","   8","  17","   0","   1","   0","   0","  36","  19","   0","   0","   0","   0","   1","   0","   0","   7","   1","   0","   0","   0","   2","   2","   0"
"5875","6027","5739","1030","   0","   0","   0","  10","   1","   2","   7","   0","   1","   1","   0","  26","   0","   0","   0","   0","   0","   0","  12","  41","   1","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   3","   0","   0","   0","   0","  39","   0","   1","   8","   0","   0","   0","   1","  30","  14","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","   2","   0"
"5900","6051","5765","1040","   0","   0","   0","  15","   4","   6","   3","   4","  18","   7","   0","  61","   0","   0","   0","   0","   0","   0","  24","  53","   0","   0","  20","   9","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   6","   0","   0","   1","   0","  55","   0","   1","  14","   0","   0","   0","   0","  29","  45","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","  11","   0"
"5925","6075","5792","1050","   0","   0","   1","   3","   4","  22","   3","   2","  55","   2","   0","   5","   0","   0","   7","   3","   5","   0","   0","   9","   5","   0","   8","   2","   0","   5","   0","   0","   3","   0","   0","   3","   0","   0","   0","   0","  60","   0","   0","   0","   4","  13","   0","  89","  12","   4","   2","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   2","   0","  53","   2"
"6050","6193","5923","1100","   0","   0","   0","  10","   5","   2","  11","   0","   3","   3","   0","  63","   0","   0","   0","   0","   0","   0","  14","  47","   0","   0","  13","   8","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","  42","   0","   0","   7","   0","   0","   0","   0","  26","  13","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   5","   0"
"6088","6229","5962","1115","   2","   0","   0","  19","   5","   4","   9","   2","   6","   4","   0","  63","   0","   0","   2","   0","   1","   0","  35","  60","   3","   0","  15","   9","   0","   0","   6","   1","   0","   0","   0","   4","   0","   0","   0","   0","  10","   0","   0","   0","   3","  47","   2","   4","  13","   2","   0","   1","   0","  43","  24","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   1","   3","   1","   9","   1"
"6125","6264","6001","1130","   1","   0","   1","  10","   7","   6","   5","   2","  18","   6","   0"," 129","   1","   0","   0","   0","   2","   0","  33","  68","   1","   0","  13","  13","   0","   0","   5","   0","   0","   1","   0","   5","   0","   0","   0","   0","   5","   0","   0","   0","   4","  40","   0","   3","  16","   1","   1","   0","   0","  44","  34","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   1","   1","   1","  17","   0"
"6163","6300","6040","1145","   2","   0","   1","  13","  13","  10","  13","   1","  14","   6","   1"," 146","   0","   0","   0","   0","   0","   0","  29"," 196","   4","   0","  16","   8","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","  10","   0","   0","   1","   1","  57","   0","   0","  14","   0","   1","   3","   0","  51","  30","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   1","   1","   2","   5","   0"
"6200","6335","6079","1160","   1","   0","   0","  11","   7","  14","   2","   1","  19","   4","   1","   6","   0","   0","   0","   2","   0","   0","   6","   5","   1","   0","   4","   6","   0","   1","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0"," 394","   0","   0","   0","   2","  17","   0","  56","  11","  23","   1","   0","   0","  19","  31","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   1","   1","   2","   5","   6"
"6238","6371","6118","1175","   0","   0","   1","  21","  17","  12","   3","   1","  25","   1","   2","  42","   0","   0","   0","   1","   0","   0","  15","  37","   4","   0","   3","   7","   0","   1","   4","   0","   0","   2","   0","   2","   0","   0","   0","   0","  32","   0","   0","   0","   2","  42","   1","   5","  48","   1","   2","   1","   1","  40","  25","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   1","   2","   3","   1"
"6275","6406","6157","1190","   0","   0","   0","   7","   2","  25","   2","   0","  17","   1","   0","   0","   1","   0","   0","   1","   0","   0","   4","   3","   1","   0","   1","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 160","   0","   0","   0","   1","   2","   0","  30","  11","   3","   2","   0","   0","   6","  12","   0","   0","   0","   0","   2","   0","   0","   5","   0","   0","   1","   1","   0","   2","   3"
"6313","6442","6196","1205","   0","   0","   0","  17","   3","   9","  14","   0","  19","   6","   1"," 114","   3","   0","   1","   0","   0","   0","  27","  26","   1","   0","   8","  10","   0","   1","   1","   0","   0","   0","   0","   3","   1","   0","   0","   0","   5","   0","   0","   0","   1","  54","   2","   2","  27","   0","   0","   0","   1","  41","  42","   0","   0","   0","   0","   1","   0","   0","  24","   0","   0","   1","   3","   0","   5","   0"
"6350","6479","6236","1220","   0","   0","   0","  13","   4","   6","   6","   5","  40","   5","   0","  45","   0","   0","   1","   1","   3","   0","  22","  27","   2","   0","  14","  14","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   2","   0","   0","   0","   0","  56","   1","   1","   7","   0","   0","   0","   1","  15","  18","   1","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   2","   0","  21","   0"
"6388","6515","6275","1235","   1","   0","   1","  12","   4","   9","   6","   0","  16","   6","   0"," 156","   0","   0","   1","   0","   2","   0","  23","  63","   0","   0","   6","   8","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","  10","   0","   0","   0","   0","  45","   0","   2","   9","   0","   0","   0","   1","  44","  30","   0","   0","   0","   0","   3","   0","   0","   9","   0","   0","   0","   3","   3","   5","   0"
"6425","6550","6313","1250","   0","   0","   0","  19","   2","  10","   8","   1","  13","   3","   0"," 179","   0","   0","   2","  11","   0","   0","  39","  45","   0","   0","  16","  14","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   1","   0","  10","   0","   0","   0","   0","  16","   0","   4","   8","  11","   0","   0","   0","  23","  20","   0","   2","   0","   0","   3","   0","   0","  15","   0","   0","   1","   1","   2","   2","   0"
"6463","6586","6352","1265","   0","   0","   0","  11","   5","   5","   9","   0","   4","  11","   0"," 105","   0","   0","   0","   0","   0","   0","  34","  24","   0","   0","   9","   6","   0","   2","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   0","   0","   0","  19","   0","   2","   9","   3","   0","   0","   0","  37","  38","   0","   0","   0","   0","   1","   0","   0","  19","   0","   2","   0","   7","   2","   5","   0"
"6500","6622","6391","1280","   1","   0","   1","  16","   5","   7","   0","   0","   8","   0","   1"," 101","   0","   0","   0","   0","   0","   0","  33","  74","   1","   0","  10","   6","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   0","   1","   1","  30","   3","   3","  18","   1","   0","   0","   0","   6","  21","   0","   0","   0","   0","   0","   1","   0","   6","   0","   2","   1","   3","   1","  10","   1"
"6538","6657","6429","1295","   0","   0","   1","  10","   6","   8","   2","   0","   6","   4","   0","  94","   0","   0","   0","   0","   1","   0","  23","  53","   3","   0","   9","   2","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   5","   2","   0","   0","   0","  25","   0","   2","   7","   2","   0","   0","   1","  15","  29","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   1","   2","   2"
"6575","6693","6468","1310","   0","   0","   2","   4","   4","  20","   7","   1","  15","   5","   0"," 241","   0","   0","   0","   0","   0","   0","   7","  43","   1","   0","  12","   3","   0","   2","   0","   0","   1","   0","   0","   9","   0","   0","   0","   0","  13","   1","   0","   0","   0","  15","   0","   0","   5","   0","   0","   0","   0","   3","  14","   0","   0","   0","   0","   0","   0","   0","  13","   0","   2","   0","   1","   0","  12","   0"
"6613","6729","6507","1325","   0","   0","   1","  10","   1","  11","   7","   1","  19","   1","   0"," 119","   0","   0","   0","   0","   0","   0","  19","  48","   1","   0","  11","  22","   0","   1","   3","   0","   0","   0","   0","   5","   0","   0","   0","   0","   9","   0","   0","   0","   0","  31","   0","   1","   5","   0","   0","   1","   1","  17","  30","   0","   0","   0","   0","   1","   0","   0","   9","   0","   1","   1","   1","   0","   5","   0"
"6650","6765","6545","1340","   0","   1","   1","  11","   1","   7","   6","   1","   4","   5","   0"," 135","   0","   0","   0","   0","   0","   0","  33","  61","   0","   0","  12","   8","   0","   4","   0","   0","   0","   0","   0","   8","   1","   0","   0","   0","   4","   0","   0","   0","   1","  30","   0","   3","   4","   1","   0","   0","   0","  37","  31","   0","   1","   0","   1","   0","   0","   0","  13","   0","   0","   1","   1","   0","   0","   0"
"6688","6801","6584","1355","   0","   0","   8","   5","   1","   7","   1","   0","   3","   0","   0"," 186","   0","   0","   0","   0","   0","   0","   9","  30","   0","   0","   6","   1","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   9","   0","   0","   8","   0","   0","   0","   0","   6","  11","   0","   0","   0","   0","   0","   0","   0","  52","   0","   1","   1","   2","   0","   6","   1"
"6725","6837","6623","1370","   0","   0","   4","   2","  28","   7","   2","   0","   5","   1","   0"," 175","   0","   0","   0","   0","   2","   0","  14","  20","   3","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","  13","   0","   0","  10","   0","   0","   0","   0","   6","   9","   0","   0","   0","   0","   0","   0","   0","  41","   0","   0","   0","   2","   0","   2","   0"
"6800","6909","6700","1400","   1","   0","   1","   6","   2","  20","   7","   0","  10","   3","   0"," 197","   0","   0","   0","   0","   0","   0","  23","   5","   2","   0","   7","   2","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","  18","   1","   1","  12","   0","   0","   0","   0","   4","  14","   0","   0","   0","   0","   0","   0","   0","  74","   0","   2","   0","   0","   0","   7","   0"
"6888","6993","6789","1435","   0","   0","   3","   3","   2","  11","   3","   0","  26","   1","   1"," 171","   0","   0","   2","   0","   0","   0","  27","  20","   2","   0","   5","   0","   0","   2","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","  22","   0","   1","   6","   2","   0","   0","   1","   4","  22","   0","   0","   1","   0","   0","   0","   0","  40","   0","   4","   0","   0","   1","  11","   0"
"6975","7077","6879","1470","   0","   0","   3","   5","   3","  31","   9","   0","  20","   3","   0"," 172","   0","   0","   1","   0","   0","   0","  47","  22","   2","   0","   3","   3","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   9","   0","   1","   0","   1","   2","  13","   0","   0","   0","   0","   0","   1","   0","  30","   0","   2","   2","   0","   0","   8","   0"
"7063","7161","6968","1505","   0","   0","   2","   2","   2","  13","   3","   0","  18","   1","   0"," 319","   0","   0","   1","   0","   0","   0","  24","  14","   0","   0","   7","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  13","   1","   0","   5","   1","   0","   0","   3","   8","  10","   1","   0","   0","   0","   0","   0","   0","  21","   0","   1","   1","   0","   1","  13","   0"
"7151","7246","7058","1540","   0","   0","   1","   1","   4","  13","   2","   0","  11","   0","   0"," 210","   0","   0","   1","   0","   0","   0","  20","  20","   0","   0","   6","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   4","   3","   0","   0","   2","   2","  10","   0","   0","   0","   0","   0","   0","   0","  13","   0","   1","   0","   0","   1","  14","   0"
"7238","7331","7146","1575","   0","   0","   1","   0","   2","  30","   5","   0","   9","   2","   0"," 146","   0","   0","   0","   1","   0","   0","  25","  15","   0","   0","   8","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","  10","   0","   0","   8","   1","   0","   0","   1","   9","  18","   0","   0","   0","   0","   0","   0","   0","  45","   0","   2","   1","   0","   0","   9","   0"
"7326","7417","7235","1610","   0","   0","   3","   1","   2","  35","   4","   0","  21","   1","   0"," 188","   0","   0","   0","   0","   1","   0","  50","  14","   0","   0","  11","   7","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   1","   1","   9","   3","   1","   2","   0","  18","  16","   1","   0","   0","   0","   0","   0","   0","  42","   0","   0","   1","   1","   5","  14","   0"
"7413","7503","7323","1645","   0","   0","   3","   2","   1","  18","   1","   1","  24","   2","   0"," 221","   0","   0","   1","   0","   0","   0","  41","  20","   0","   0","   5","   6","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","  13","   0","   2","  11","   1","   0","   1","   0","  13","  12","   2","   0","   0","   0","   0","   0","   0","  34","   0","   2","   1","   0","   1","   6","   0"
"7501","7590","7411","1680","   0","   0","   1","   6","   2","  34","   2","   0","  28","   1","   1"," 256","   0","   0","   0","   0","   0","   0","  52","  22","   0","   0","  11","   9","   0","   7","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   2","   0","   0","   0","   2","  21","   0","   3","  14","   2","   0","   0","   0","  15","  28","   2","   0","   0","   0","   0","   0","   0","  55","   0","   2","   0","   0","   3","   9","   0"
"7551","7639","7461","1700","   0","   0","   4","   1","   1","  17","   1","   0","  12","   0","   0"," 173","   0","   0","   0","   0","   1","   0","  28","  20","   0","   0","   6","   6","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","  13","   0","   1","   4","   1","   0","   0","   3","   8","  14","   0","   0","   0","   0","   0","   0","   0","  32","   0","   0","   1","   0","   1","   6","   0"
"7626","7714","7537","1730","   0","   0","   0","   8","   4","  35","  12","   0","  21","   1","   0"," 294","   0","   0","   0","   0","   0","   0","  43","  19","   3","   0","   9","  13","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   1","  23","   1","   1","  17","   3","   2","   0","   1","   9","  21","   0","   1","   0","   0","   0","   1","   0","  43","   0","   3","   2","   0","   2","  13","   0"
"7701","7789","7613","1760","   0","   0","   2","   2","   1","  24","   2","   0","  12","   2","   0"," 270","   0","   0","   0","   0","   0","   0","  51","  19","   1","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","  41","   0","   8","  13","   1","   0","   0","   1","  20","  26","   0","   2","   0","   0","   0","   0","   0","  39","   0","   1","   1","   2","   2","  13","   0"
"7776","7864","7689","1790","   0","   0","   2","   4","   5","  41","   5","   1","  11","   2","   0"," 250","   0","   0","   0","   0","   0","   0","  77","  15","   0","   0","  14","   4","   0","   4","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   1","   0","   0","   0","  16","   0","   8","  23","   2","   0","   0","   1","  17","  25","   0","   0","   0","   0","   0","   0","   0","  27","   0","   3","   0","   1","   2","   9","   0"
"7851","7938","7764","1820","   0","   0","   0","   3","   1","  21","   3","   0","   6","   0","   0"," 243","   0","   0","   0","   0","   0","   0","  30","  15","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   5","   9","   0","   1","   0","   2","   6","  18","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   3","   0","   0","   4","   0"
"7926","8014","7839","1850","   0","   1","   0","   3","   7","  34","   6","   1","  24","   1","   1"," 284","   0","   0","   3","   0","   1","   0","  47","  20","   0","   0","  12","   3","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","  13","   0","   3","  15","   0","   0","   0","   1","  17","  26","   0","   0","   0","   1","   0","   0","   0","  17","   0","   1","   3","   0","   8","   3","   0"
