"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Hypecoum","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"2523","2703","2347"," 150","   0","   0","   0","   0"," 175","   1","   6","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  23","   0","   1","   0","   3","   0","   0","   0","   0","  41","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"
"2857","3029","2693"," 180","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  13","   0","   2","   0","   4","   0","   0","   0","   0","  80","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1"
"3302","3463","3150"," 220","   0","   0","   0","   0","   0","   2","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","  19","   0","   0","   0","   7","   1","   0","   0","   0","  15","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"3748","3896","3604"," 260","   0","   0","   0","   0","  13","   1","  15","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","  70","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   3","   0","   0","   0","   0","  98","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0"
"4304","4441","4169"," 310","   0","   0","   0","   0","   2","   3","  25","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   1","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  58","   1","   3","   0","   4","   1","   0","   0","   0","  15","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0"
"5084","5208","4946"," 380","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   3","   0","   0","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 131","   0","   0","   0","   1","   0","   0","   0","   0"," 127","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0"
"5529","5654","5387"," 420","   0","   0","   0","   0","   8","   1","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   2","   6","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 107","   0","   1","   0","   8","   3","   0","   1","   0"," 488","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","   0","   0","   0"
"5975","6102","5823"," 460","   0","   0","   0","   0","  11","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  11","   1","   0","   0","   5","   0","   0","   0","   0","  19","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"
"6420","6584","6252"," 500","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  58","   0","   0","   0","   6","   1","   0","   0","   0","  18","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"
"6866","7048","6687"," 540","   1","   0","   0","   0","  33","   1","  14","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","  19","   1","   0","   0","   0","   0","   2","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","  96","   2","   2","   0","  49","   1","   1","   0","   0","   9","   1","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0"
"7088","7278","6900"," 560","   0","   0","   0","   0","   4","   8","  17","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","  23","  21","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   2","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","  53","   5","   1","   0"," 124","   6","   0","   0","   0","   4","   5","  16","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   7","   0","   0","   0"
"7200","7393","7006"," 570","   0","   0","   0","   0","   5","   5","  12","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  67","  19","   0","   0","   0","   0","   0","   7","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","  72","   3","   0","   0","  83","   2","   0","   0","   0","   1","   3","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0"
"7249","7432","7062"," 590","   0","   0","   0","   0","  49","   5","  21","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","  22","   6","   0","   0","   0","   0","   2","   3","   0","   0","   0","   2","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","  77","   4","   1","   0","  50","   9","   1","   0","   0","  12","   4","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"7273","7449","7088"," 600","   1","   0","   0","   0"," 131","  22","  77","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","  66","  15","   1","   0","   1","   0","   8","  73","   0","   0","   7","   2","   0","   3","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","  15","   0","   0","   4","  88","  11","   3","   0","  58","  19","   1","   0","   0","   1","  14","  69","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1"
"7298","7467","7116"," 610","   0","   0","   0","   0","  32","  13","  38","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","  47","  15","   0","   0","   0","   0","   2","  51","   0","   0","   8","   0","   1","   3","   0","   0","   2","   0","   0","   0","   1","   1","   0","   0","   0","   0","  10","   0","   0","   1","  72","   8","   0","   0","  77","  13","   0","   1","   0","   0","  11","  32","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"7322","7486","7144"," 620","   0","   0","   0","   0"," 108","   8","  15","   0","   6","   0","   0","   0","   0","   0","   0","   0","   3","  45","  10","   0","   2","   0","   0","   1","  19","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   1"," 120","   0","   1","   0","  40","   3","   0","   0","   0","   2","  18","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0"
"7347","7507","7172"," 630","   1","   0","   0","   0"," 138","   8","  23","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","  77","  12","   0","   0","   0","   0","   5","  15","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   4","   1","   0","   0","   0","   0","  12","   0","   4","   4","  75","  14","   0","   0","  44","  12","   0","   0","   0","   0","   3","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   3","   0","   0","   0"
"7371","7529","7199"," 640","   0","   0","   0","   2"," 551","   7","  53","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","  26","   7","   0","   0","   2","   0","   5","  31","   0","   0","   1","   2","   0","   1","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   8","   0","   1","   2","  64","  47","   0","   0","  39","   8","   0","   0","   0","   1","  11","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0"
"7396","7552","7228"," 650","   0","   0","   0","   0","  47","  12","  41","   0","   7","   0","   0","   0","   0","   0","   0","   0","   1","  49","   3","   0","   0","   0","   0","   3","  25","   0","   0","   5","   0","   1","   3","   0","   0","   2","   0","   0","   0","   1","   1","   0","   0","   0","   0","   7","   0","   1","   4","  48","  19","   3","   0","  59","   4","   1","   0","   0","   1","  12","  37","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","  10","   0","   0","   0"
"7420","7572","7255"," 660","   0","   0","   0","   1"," 225","  13","  35","   0","  14","   0","   0","   0","   0","   0","   1","   0","   4","  39","   4","   0","   0","   0","   0","   2","  26","   0","   1","  10","   2","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   1","  91","   4","   0","   0","  20","   1","   2","   0","   0","   2","   8","  44","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   6","   0","   0","   0"
"7445","7589","7283"," 670","   0","   0","   0","   1"," 378","  16","  59","   0","  13","   0","   0","   2","   0","   0","   1","   2","   0","  61","   2","   0","   0","   1","   0","   6","  32","   0","   0","  48","   1","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   2","  89","  24","   2","   0","  49","  11","   0","   0","   0","   3","  24","  34","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   1","   0","   0","   1"
"7469","7608","7311"," 680","   0","   0","   0","   0"," 208","  22","  56","   0","  26","   0","   0","   0","   0","   0","   0","   0","   0","  72","   7","   0","   0","   0","   0","   1","  20","   0","   0","  30","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   1","   2"," 106","   1","   0","   0","  74","  22","   0","   1","   0","   1","  36","  67","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","  16","   0","   0","   0","   0","   1","   0","   0","   1"
"7494","7633","7338"," 690","   1","   0","   0","   0"," 638","  11"," 103","   0","   7","   1","   0","   1","   1","   0","   0","   0","   0","  34","   2","   0","   0","   0","   0","   4","  41","   0","   0","  11","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  27","   0","   1","   4","  88","   4","   0","   0","  47","   8","   0","   0","   0","   3","  23","  57","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   2","   0","   0","   1"
"7518","7657","7364"," 700","   0","   0","   0","   2"," 189","  17","  30","   0","   9","   1","   0","   0","   0","   1","   0","   0","   1","  21","   1","   0","   0","   0","   0","   6","  19","   0","   1","  17","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29","   1","   2","   2","  83","  10","   2","   0","  49","  12","   0","   0","   0","   0","  24","  96","   5","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   9","   0","   0","   0","   1","   2","   0","   0","   0"
"7542","7682","7391"," 710","   0","   0","   0","   2"," 410","   9","  52","   0","   7","   0","   0","   0","   0","   0","   0","   0","   2","  26","   2","   0","   0","   1","   0","   1","  38","   0","   0","  10","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","  66","  39","   1","   0","  41","   2","   1","   1","   0","   2","  17","  26","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   1","   0","   0","   1"
"7567","7707","7417"," 720","   0","   0","   0","   0"," 109","  13","  32","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","  25","   1","   0","   0","   0","   0","   1","  20","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","  14","   0","   0","   4","  48","  28","   0","   0","  45","   7","   1","   0","   0","   0","  14","  33","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   3","   0","   2","   1","   0","   0","   0","   1","   0","   0","   0"
"7591","7732","7443"," 730","   0","   0","   2","   0"," 156","  16","   8","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","  41","   2","   0","   0","   0","   0","   0","  20","   0","   0","  10","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   1","  74","  10","   1","   0","  57","   8","   1","   0","   0","   1","  10","  35","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   3"
"7763","7917","7614"," 800","   0","   0","   0","   0"," 270","  17","  27","   0","  10","   0","   0","   0","   0","   0","   0","   0","   4","  35","   9","   0","   0","   1","   0","   6","  14","   0","   0","  15","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","  15","   0","   2","   6","  86","   9","   0","   0","  19","   7","   1","   0","   0","   2","  14","  49","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   3","   0","   0","   1"
"7787","7944","7638"," 810","   0","   0","   0","   1"," 696","  29","  34","   0","  14","   0","   0","   0","   0","   2","   1","   0","   6","  72","   6","   2","   0","   0","   0","   1","  36","   0","   0","  20","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   1"," 118","   0","   2","   0","  41","   0","   2","  11","   0","   4","   9","  48","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   1","   8","   0","   0","   0"
"7812","7970","7662"," 820","   0","   0","   0","   1","  69","  20","   8","   0","  11","   1","   0","   0","   0","   0","   0","   0","   7","  68","   7","   0","   1","   0","   0","   1","  40","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   1","   1","   1"," 141","   2","   3","   0","  27","   0","   1","   5","   0","   4","   6","  23","   0","   2","   1","   0","   1","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  12","   0","   0","   2"
"7836","7997","7686"," 830","   0","   0","   0","   0"," 274","  28","  11","   0","  16","   0","   0","   1","   0","   0","   0","   0","   0","  43","  12","   0","   0","   0","   0","   1","  29","   0","   0","  24","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   2","   1","   4"," 106","   7","   0","   1","  53","   4","   3","   3","   0","   3","   7","  51","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   7","   0","   0","   1"
"7861","8025","7710"," 840","   0","   0","   0","   0","   0","  24","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   1","  29","   4","   0","   0","   0","   0","   3","  26","   0","   0","  22","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","  16","   2","   0","   2","  54","   9","   0","   0","  31","   6","   1","   0","   0","   2","   8","  49","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   1","   0","   4","   0","   0","   2"
"7885","8052","7734"," 850","   0","   0","   0","   0"," 463","  35","   4","   0","   5","   0","   0","   1","   1","   0","   0","   0","   6","  33","   5","   0","   0","   1","   0","   7","  10","   0","   0","  26","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","  93","   4","   0","   0","  27","   5","   1","   0","   0","   2","  11","  46","   1","   1","   4","   1","   0","   0","   0","   0","   0","   0","   2","   0","   4","   0","   0","   0","   0","   5","   0","   0","   1"
"7910","8079","7757"," 860","   0","   1","   0","   1"," 506","  27","   4","   0","   9","   2","   0","   0","   0","   0","   0","   0","   1","  27","   6","   0","   1","   1","   0","   0","   8","   0","   0","  19","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   1"," 144","   5","   1","   0","  28","   3","   1","   1","   0","   5","   7","  31","   3","   0","   1","   0","   0","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","   1","   0","   6","   0","   0","   0"
"7934","8108","7782"," 870","   0","   0","   0","   1"," 602","  19","   6","   0","   7","   0","   0","   0","   0","   0","   1","   0","   5","  30","   9","   0","   0","   0","   0","   1","   8","   0","   0","  19","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   3"," 131","   3","   0","   0","  49","   1","   1","   0","   0","   1","  18","  45","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","   0","   0"
"7959","8136","7805"," 880","   0","   0","   0","   2","  74","  20","   2","   0","  15","   1","   0","   0","   0","   0","   1","   1","   0","  37","   9","   0","   0","   1","   0","   0","  17","   0","   0","  12","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   3","  73","   2","   0","   0","  72","  15","   1","   1","   0","   2","   5","  38","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   1","  13","   0","   0","   1"
"7983","8165","7829"," 890","   0","   0","   0","   1","  70","  14","  18","   0","  19","   2","   0","   1","   0","   0","   1","   0","   0","  29","   9","   0","   0","   1","   0","   4","  13","   0","   0","  20","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   2","  84","   3","   0","   0","  70","   9","   1","   0","   0","   8","  12","  39","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0","   0"
"8008","8194","7852"," 900","   1","   0","   0","   3"," 213","  12","   7","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   9","   3","   0","   0","   1","   0","   4","   6","   0","   0","   5","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   6","  65","  26","   1","   0","  55","  19","   3","   0","   0","   1","  23","  66","   6","   1","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   5","   0","   0","   2","   0","   2","   0","   0","   1"
"8032","8223","7875"," 910","   0","   0","   0","   2","  24","  15","  19","   0","   8","   0","   0","   0","   1","   1","   0","   0","   1","   8","   2","   0","   0","   0","   0","   1","  13","   0","   0","   6","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   2","  33","   7","   0","   0","  84","  14","   0","   0","   0","   0","  22","  58","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1"
