"Depth (cm) (rounded)","Depth (cm) [original]","Acacia t.","Acanthaceae undif.","Alchornea","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Arecaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardiospermum","Carpinus","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Chionanthus","Cichorieae","Cissus t.","Cleome","Combretaceae","Commiphora","Corylus","Crossandra","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Enicostema","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fraxinus","Grewioideae","Hyphaene t.","Hypoestes t.","Icacinaceae","Indeterminable","Indigofera","Ixora","Justicia t.","Lamiaceae undif.","Lannea","Lawsonia","Leonotis","Leptaulus","Maerua","Malva undif.","Meliaceae undif.","Mitracarpus","Mitriostigma","Monoletes","Myriophyllum undif.","Nauclea","Nitraria","Nyctaginaceae","Ocimum","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Potamogeton","Pouchetia","Proteaceae","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Salvadora","Searsia","Sesbania","Sherbournia","Spondias","Syzygium t.","Tamarix","Tribulus","Triletes","Typha","Uapaca","Utricularia","Vitis","Ziziphus/Paliurus"
" 490.00"," 490.02","   3.00","   0.00","   0.00","   0.00","  66.00","   0.00","   0.00","   1.00","   6.00","  12.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  16.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   3.00","   0.00","   1.00","   0.00"," 689.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   7.00","   2.00","   0.00","   0.00","   0.00","2083.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   1.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00"," 258.00","   0.00","   0.00","   0.00","   1.00"
" 490.10"," 490.08","   3.00","   0.00","   0.00","   0.00","  37.00","   0.00","   1.00","   0.00","   1.00","   6.00","   3.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00"," 503.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   2.00","   1.00","   2.00","   0.00","1020.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 119.00","   0.00","   0.00","   0.00","   1.00"
" 490.20"," 490.17","   3.00","   1.00","   0.00","   0.00","  39.00","   0.00","   1.00","   0.00","   3.00","   7.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   1.00","   0.00","   0.00"," 495.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   3.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   2.00","   0.00","   0.00","   0.00","1937.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 135.00","   0.00","   0.00","   0.00","   3.00"
" 490.30"," 490.28","   3.00","   0.00","   0.00","   0.00","  36.00","   0.00","   1.00","   0.00","   2.00","  13.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   9.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00"," 535.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","  10.00","   1.00","   0.00","   1.00","   0.00","2110.00","   2.00","   0.00","   0.00","   0.00","   1.00","   2.00","   1.00","   0.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 104.00","   1.00","   0.00","   0.00","   2.00"
" 490.3"," 490.3","   2.0","   2.0","   0.0","   0.0","  41.0","   0.0","   0.0","   1.0","   2.0","  12.0","   0.0","   1.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0"," 557.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   8.0","   2.0","   0.0","   0.0","   0.0","1374.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0"," 139.0","   0.0","   0.0","   0.0","   2.0"
" 490.4"," 490.4","   0.0","   0.0","   0.0","   0.0","  61.0","   0.0","   1.0","   0.0","   6.0","  15.0","   0.0","   0.0","   4.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","1432.0","   0.0","   0.0","   0.0","   0.0","   1.0","   5.0","   0.0","   2.0","   0.0","   6.0","   2.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   2.0","   1.0","   0.0","   0.0","3182.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0"," 412.0","   0.0","   0.0","   0.0","   3.0"
" 490.50"," 490.47","   6.00","   0.00","   0.00","   0.00","  44.00","   0.00","   0.00","   0.00","   1.00","  11.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","  11.00","   0.00","   2.00","   0.00"," 866.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   1.00","   0.00","   0.00","   2.00","   2.00","   1.00","   0.00","   7.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  14.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   4.00","   0.00","   2.00","   0.00","   0.00","2158.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 316.00","   0.00","   0.00","   0.00","   1.00"
" 490.50"," 490.55","   2.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   5.00","  17.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","1382.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   2.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  28.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   3.00","   0.00","   1.00","3163.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   9.00"," 405.00","   0.00","   0.00","   0.00","   1.00"
" 490.80"," 490.79","   6.00","   1.00","   0.00","   0.00","  33.00","   0.00","   0.00","   0.00","  10.00","  16.00","   0.00","   1.00","  29.00","   0.00","   2.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   3.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","1309.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   4.00","   0.00","   2.00","   2.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  17.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   2.00","   0.00","   0.00","3796.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00"," 388.00","   0.00","   0.00","   0.00","   1.00"
" 490.80"," 490.84","   0.00","   0.00","   0.00","   0.00","  37.00","   0.00","   0.00","   0.00","   1.00","  10.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00"," 656.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","1869.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00"," 314.00","   0.00","   0.00","   0.00","   2.00"
" 491.00"," 490.99","   6.00","   0.00","   1.00","   0.00","  46.00","   0.00","   0.00","   0.00","  10.00","  10.00","   0.00","   0.00","   3.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   1.00","   1.00","   0.00","   0.00","   4.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","2093.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   2.00","   0.00","  11.00","   5.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  39.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   2.00","   0.00","   0.00","   2.00","   2.00","   1.00","   0.00","   0.00","5362.00","   2.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00"," 617.00","   0.00","   0.00","   0.00","   0.00"
" 491.10"," 491.12","  14.00","   1.00","   0.00","   0.00"," 198.00","   0.00","   0.00","   0.00","  23.00","  63.00","   5.00","   0.00","   0.00","   1.00","   0.00","   6.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","  38.00","   1.00","   0.00","   0.00","   0.00","   1.00","   3.00","   0.00","  50.00","   0.00","   0.00","   0.00","1750.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   1.00","   1.00","   1.00","   5.00","   1.00","   0.00","   0.00","   4.00","   2.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  14.00","   3.00","   0.00","   0.00","   0.00","4579.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   4.00","   0.00","   7.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00"," 672.00","   0.00","   0.00","   0.00","   9.00"
" 491.20"," 491.16","   1.00","   0.00","   0.00","   0.00","  21.00","   0.00","   0.00","   0.00","   0.00","   6.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00"," 246.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00"," 876.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","1078.00","   0.00","   1.00","   0.00","   0.00"
"491.30","491.28","  1.00","  0.00","  0.00","  0.00"," 31.00","  0.00","  0.00","  0.00","  4.00","  6.00","  0.00","  0.00","  0.00","  0.00","  1.00","  3.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  1.00","  1.00","  0.00","  0.00","  2.00","  0.00","  0.00"," 31.00","  0.00","  0.00","  0.00","511.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 20.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  0.00","  0.00","  9.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  9.00","  1.00","  0.00","  1.00","  0.00","988.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00"," 10.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","217.00","  0.00","  0.00","  0.00","  0.00"
