"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cicuta virosa","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Nymphaea","Olea t.","Onagraceae","Papaver t.","Parnassia","Paronychieae","Pedicularis","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potentilla t.","Primula","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Robinia","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Unknown","Valerianella","Viola","Vitis"
"  872.34",NA,NA," 65.0","0.282","29","1","0","2","60","0","0","5","0","2","28","6","53","6","3","0","15","7","0","5","0","1","0","0","12","3","452","0","0","0","89","0","0","0","61","0","0","3","10","2","15","0","0","0","0","1","0","0","0","582","0","0","0","1","0","2","0","0","7","0","0","0","4","0","0","4","2","0","2","17","0","97","6","663","9","0","0","14","0","0","181","33","10","0","0","0","15","0","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","1"
"  940.21",NA,NA," 75.0","0.282","13","0","0","0","8","0","0","5","0","3","15","4","26","3","0","0","0","0","0","2","0","0","0","0","11","0","163","0","0","0","89","0","0","0","41","0","0","0","8","4","6","0","0","0","0","0","0","0","0","425","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","4","0","0","1","10","0","22","3","432","0","0","0","11","0","0","139","5","21","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
" 1008.07",NA,NA," 85.0","0.282","12","0","0","0","9","0","0","2","0","2","6","1","9","0","0","0","3","0","0","1","0","0","0","0","2","1","29","1","0","0","60","0","0","0","26","0","0","1","4","0","8","0","0","0","0","0","0","2","0","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","3","0","14","0","139","1","1","0","4","0","0","55","0","4","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 1042.00",NA,NA," 90.0","0.282","15","2","0","0","10","0","0","1","0","0","10","5","36","4","0","0","2","6","1","1","0","0","0","0","11","9","28","0","1","0","30","0","0","0","43","0","0","0","4","11","4","2","0","0","0","0","0","0","0","78","0","0","0","3","0","0","0","0","1","0","0","0","1","0","0","2","0","0","7","4","0","43","1","719","1","0","0","5","0","1","48","1","11","0","0","0","17","1","0","0","1","0","1","0","4","0","0","0","0","0","0","0","0","0"
" 1149.43",NA,NA," 95.0","0.282","5","0","0","2","12","0","0","12","0","1","12","0","27","3","0","0","5","8","1","6","0","0","0","0","4","4","8","0","0","0","74","0","0","0","36","0","0","0","8","7","12","0","0","0","1","1","0","0","0","283","0","0","0","1","0","0","1","0","2","0","0","0","1","0","0","3","1","0","6","6","0","42","0","2001","7","0","0","6","0","0","78","27","23","0","0","0","8","0","0","0","4","0","0","0","7","0","0","0","0","0","0","0","0","0"
" 1256.86",NA,NA,"100.0","0.282","16","0","0","0","13","0","0","3","0","1","18","1","39","8","0","0","6","3","0","2","0","1","0","3","20","51","14","0","1","0","75","0","0","0","62","0","0","1","21","15","6","2","0","0","2","1","0","0","0","145","0","2","0","1","1","0","0","0","2","0","0","0","3","0","0","10","3","0","3","22","1","55","0","3491","3","0","1","7","0","0","142","3","8","0","1","0","25","0","0","0","1","0","0","0","8","0","0","2","0","0","0","0","0","0"
" 1364.29",NA,NA,"105.0","0.282","26","0","0","5","17","0","0","9","0","1","25","0","22","7","5","0","5","0","1","4","0","0","0","0","10","9","2","0","0","0","145","0","0","0","65","1","0","1","17","8","10","0","0","0","0","0","0","0","0","369","0","0","0","1","0","1","0","0","4","0","0","0","6","0","0","10","7","0","2","33","0","53","5","4797","4","0","0","25","0","0","239","3","12","0","3","0","12","3","0","0","2","0","0","0","6","0","0","0","0","1","0","0","0","0"
" 1579.14",NA,NA,"115.0","0.282","25","2","0","1","20","0","0","4","0","1","20","2","26","6","1","0","8","9","4","6","0","0","0","0","1","22","3","0","0","0","106","0","0","0","82","0","0","2","18","7","2","1","0","0","0","0","0","0","0","435","0","0","0","0","0","1","0","0","8","0","0","0","4","0","0","5","1","0","26","13","2","73","6","3190","15","0","0","13","0","0","172","25","90","0","0","1","8","0","0","0","1","1","0","0","13","0","0","0","0","2","0","0","0","0"
" 1794.00",NA,NA,"125.0","0.282","14","1","0","1","12","0","0","4","0","1","21","2","18","4","0","0","5","2","2","3","0","0","0","0","8","10","10","0","0","0","51","0","0","0","49","0","1","2","13","4","8","0","0","0","0","0","0","0","0","247","0","0","0","0","0","1","0","0","2","0","0","0","3","0","0","12","2","0","4","23","1","44","2","2427","8","0","0","6","0","0","117","16","20","0","0","0","10","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0"
" 2008.86",NA,NA,"135.0","0.282","25","0","0","7","25","0","0","2","0","1","14","2","9","4","0","0","12","0","6","3","0","0","0","2","13","8","5","0","0","0","77","0","0","0","50","1","0","1","11","7","13","0","0","0","0","0","0","0","0","191","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","6","2","0","9","22","0","72","4","834","0","0","0","4","0","0","120","4","17","0","0","0","2","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0"
" 2223.71",NA,NA,"145.0","0.282","33","0","0","2","30","0","0","8","0","0","26","1","14","7","0","0","7","0","0","8","0","0","0","5","19","16","11","0","1","0","126","0","0","0","83","0","0","7","16","8","8","0","0","0","0","0","0","0","0","233","0","0","0","0","0","0","0","1","3","0","0","0","7","0","0","10","0","0","32","55","0","129","8","1065","7","3","0","8","0","0","190","10","37","0","0","2","18","0","0","0","8","0","0","0","23","0","0","1","0","0","0","0","0","0"
" 2438.57",NA,NA,"155.0","0.282","26","0","0","1","12","0","0","7","0","3","32","3","28","3","0","0","8","0","1","5","0","0","0","3","15","9","4","0","1","0","98","0","0","0","88","0","0","1","19","6","13","1","0","0","0","1","0","0","0","229","0","0","0","0","0","3","0","0","1","1","0","0","4","0","0","13","3","0","15","38","2","70","9","985","17","0","0","8","0","0","120","12","35","0","0","2","20","0","0","0","6","0","0","0","18","0","0","0","0","0","0","0","0","0"
" 2546.00",NA,NA,"160.0","0.282","20","3","0","0","19","0","0","10","0","4","27","2","14","1","0","0","4","0","1","4","0","0","0","1","13","14","8","0","0","0","59","0","0","0","61","0","0","0","9","17","7","0","0","0","2","1","0","1","0","81","0","0","0","0","0","2","0","0","1","0","0","0","2","0","0","4","2","0","11","15","0","73","1","956","0","0","0","4","0","0","121","6","23","0","0","0","25","1","0","0","8","0","0","0","15","0","0","0","1","1","0","0","0","0"
" 2718.00",NA,NA,"165.0","0.282","53","0","0","1","26","0","0","11","1","5","56","6","83","5","0","0","12","0","0","5","0","0","0","1","16","2","19","0","0","0","180","0","0","0","163","1","0","3","10","13","20","0","0","0","0","1","0","1","0","192","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","11","4","1","36","47","0","100","7","965","29","1","0","11","0","0","315","12","20","0","5","5","24","0","0","1","4","0","0","0","25","0","0","0","0","0","0","1","0","0"
" 2890.00",NA,NA,"170.0","0.282","27","0","0","1","29","0","0","1","0","3","18","0","11","0","0","0","5","0","2","1","0","1","0","1","22","3","7","0","0","1","55","0","1","0","98","0","0","0","8","11","5","0","0","0","2","0","0","0","0","46","0","0","0","0","0","3","0","0","0","0","0","0","4","0","0","2","4","0","14","10","0","51","0","557","0","1","0","3","0","0","89","8","2","0","1","1","17","0","0","1","0","0","1","0","10","0","0","1","0","0","0","0","0","1"
" 3062.00",NA,NA,"175.0","0.282","38","1","0","0","34","0","0","3","0","2","40","1","9","5","0","0","6","0","1","5","0","0","0","13","16","4","10","0","0","0","80","1","0","0","187","0","0","0","17","8","11","0","0","0","0","0","0","0","0","87","0","1","0","0","0","2","0","0","5","0","0","0","2","0","0","5","1","0","38","14","0","56","9","772","15","1","0","10","0","0","198","15","7","0","0","0","22","0","0","0","13","0","0","0","7","0","2","0","0","1","0","0","0","0"
" 3406.00",NA,NA,"185.0","0.282","9","0","0","0","31","0","0","3","0","2","57","4","22","1","1","0","4","0","1","3","0","0","0","0","4","0","9","0","0","0","26","0","0","0","122","0","0","0","1","3","6","1","0","0","0","0","0","3","0","116","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","9","2","0","14","20","1","36","1","716","12","0","0","8","0","0","149","5","4","0","0","4","9","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
" 3750.00",NA,NA,"195.0","0.282","28","0","0","0","49","0","0","2","1","5","37","9","31","2","0","0","14","0","0","3","0","0","0","3","8","7","12","0","1","0","74","0","0","0","96","0","0","0","7","4","15","1","0","0","0","0","0","0","0","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","4","0","8","41","0","32","3","567","28","0","0","2","0","0","189","1","3","0","0","5","12","0","0","0","0","0","0","0","11","0","1","0","0","0","0","0","0","0"
" 4094.00",NA,NA,"205.0","0.282","37","0","0","0","79","0","0","2","0","0","36","3","42","1","0","0","14","0","0","4","0","0","0","6","8","10","11","0","0","0","102","0","0","0","73","0","0","2","9","7","15","0","0","0","0","0","0","0","0","110","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","14","0","2","37","49","2","37","8","813","15","0","0","6","0","0","273","18","4","0","0","6","21","0","0","0","1","0","0","0","1","0","0","2","0","1","0","0","0","0"
" 4438.00",NA,NA,"215.0","0.282","12","1","0","0","38","0","0","5","0","0","37","4","23","0","0","0","12","0","0","0","0","0","0","0","8","4","8","0","0","0","43","0","0","0","53","0","0","1","2","4","16","1","0","0","0","0","0","0","1","92","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","3","0","10","25","0","23","3","250","17","0","0","6","0","0","167","5","2","0","0","5","12","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
" 4782.00",NA,NA,"225.0","0.282","7","2","0","0","13","0","0","1","0","0","24","7","3","0","0","0","2","0","0","0","0","0","0","0","1","3","5","0","0","0","33","0","0","0","34","0","0","1","5","1","1","1","0","0","0","0","0","0","0","44","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10","16","0","12","2","198","26","0","0","2","0","0","80","7","1","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 4954.00",NA,NA,"230.0","0.282","20","0","0","1","19","0","0","1","0","0","37","0","3","2","0","0","1","0","0","0","0","0","0","0","22","2","2","0","0","0","21","0","0","0","64","1","0","0","9","9","1","0","0","0","0","0","0","0","0","50","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","6","2","1","16","13","0","11","2","531","0","0","0","5","0","0","130","4","1","0","2","0","21","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
" 5107.80",NA,NA,"235.0","0.282","37","0","0","1","23","0","0","4","1","3","72","11","5","0","0","0","22","0","0","1","0","0","0","5","15","10","0","0","0","0","71","0","0","1","134","0","0","1","7","36","5","2","0","0","0","0","0","0","0","158","0","1","0","0","0","1","0","0","6","0","0","0","2","0","0","8","2","0","28","72","1","26","5","804","14","0","0","6","0","0","287","22","9","1","1","9","33","0","0","1","6","0","0","0","7","0","0","0","0","0","0","0","0","0"
" 5415.40",NA,NA,"245.0","0.282","26","0","0","0","40","0","0","5","2","6","94","15","7","2","0","0","15","0","0","0","0","0","0","0","17","6","7","0","0","0","20","0","0","0","159","0","0","1","15","2","7","0","0","2","0","0","0","1","0","101","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","6","2","0","34","30","0","25","1","530","16","0","0","3","0","0","203","6","1","0","0","4","23","0","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0"
" 5723.00",NA,NA,"255.0","0.282","22","0","0","0","38","0","0","3","1","1","154","8","6","1","0","0","10","0","0","0","1","1","0","0","1","0","1","0","0","0","20","0","0","0","82","0","0","0","1","3","6","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","5","2","0","17","29","0","11","1","184","18","0","0","2","0","0","143","4","1","0","0","0","10","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
" 6030.60",NA,NA,"265.0","0.282","23","0","0","0","43","0","0","3","0","5","130","10","29","3","0","0","12","0","1","1","0","0","0","0","15","3","16","0","0","0","27","0","0","0","108","0","0","1","6","8","11","2","1","0","0","0","0","0","0","155","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","11","1","0","23","50","0","13","3","569","25","0","0","5","0","0","227","13","15","0","1","0","32","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
" 6338.20",NA,NA,"275.0","0.282","25","1","0","1","22","0","0","3","0","1","84","7","10","2","0","0","7","0","0","1","0","0","0","1","12","2","14","0","1","0","25","0","0","0","59","0","0","2","6","14","6","0","0","1","0","0","0","1","0","72","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","5","2","1","19","44","0","6","1","327","10","0","0","1","0","0","219","4","3","0","0","2","16","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
" 6492.00",NA,NA,"280.0","0.282","28","0","0","0","38","0","0","0","0","0","243","10","10","0","0","0","12","0","0","2","0","0","0","2","16","0","3","0","0","0","9","0","0","0","69","0","1","1","7","6","11","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","1","22","34","0","9","0","587","0","0","0","1","0","0","146","4","0","0","1","0","32","0","0","1","0","0","0","0","4","0","0","0","0","1","0","0","0","0"
" 6685.50",NA,NA,"285.0","0.282","26","0","0","0","42","0","0","4","1","2","652","17","9","0","0","0","20","0","2","0","0","2","0","1","12","0","4","0","0","0","18","0","0","0","96","0","0","1","7","4","3","0","1","0","0","1","0","1","0","131","0","0","0","0","0","0","0","0","4","0","0","0","3","0","0","6","1","0","29","54","1","9","3","256","9","1","0","0","1","0","279","6","2","0","0","5","37","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" 7072.50",NA,NA,"295.0","0.282","45","1","0","0","43","0","0","2","0","3","751","27","17","1","0","3","22","0","0","1","0","0","0","0","18","1","7","0","0","0","23","0","0","0","94","0","0","1","3","14","5","0","0","0","0","0","0","0","0","116","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","5","0","1","28","88","0","5","3","464","24","0","0","1","0","0","331","5","4","0","0","0","73","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 7459.50",NA,NA,"305.0","0.282","9","0","0","0","10","0","0","0","0","2","220","7","5","0","0","0","6","0","0","0","0","0","0","0","8","0","0","0","0","0","6","0","0","0","36","0","0","0","0","3","2","0","0","0","0","0","0","0","0","58","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","13","41","0","4","3","105","10","0","0","0","0","0","129","5","3","0","1","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 7846.50",NA,NA,"315.0","0.282","18","0","0","0","16","0","0","0","0","2","248","5","5","1","0","0","5","0","0","0","0","0","0","0","5","2","0","0","0","0","6","0","0","0","49","0","2","1","1","2","2","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","3","0","0","23","61","0","6","0","120","16","0","0","1","0","0","170","6","1","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 8040.00",NA,NA,"320.0","0.282","29","1","0","1","31","1","0","2","1","1","365","9","8","1","0","0","10","0","0","1","0","0","1","1","17","0","2","0","0","0","13","0","1","0","95","0","2","0","5","12","1","0","0","0","2","0","0","0","0","53","0","0","1","0","0","0","0","0","1","0","0","0","2","0","0","7","0","3","39","53","0","10","3","131","0","0","0","3","0","0","236","8","0","0","3","1","47","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
" 8233.50",NA,NA,"325.0","0.282","22","0","0","0","16","0","0","1","1","5","154","10","7","0","0","0","17","0","0","2","0","0","0","0","16","2","5","0","0","0","7","0","0","0","63","0","0","0","5","12","3","0","0","1","0","0","0","0","0","62","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","10","0","0","25","157","1","16","5","245","26","0","0","2","0","0","293","3","2","0","1","0","42","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 8427.00",NA,NA,"330.0","0.282","23","0","0","1","22","0","0","5","0","3","125","13","16","2","0","0","16","0","0","2","0","0","0","1","18","8","2","0","1","0","9","0","0","0","132","0","1","1","7","7","4","0","0","0","2","0","0","0","0","38","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","3","45","62","0","7","0","290","0","0","0","3","0","0","239","17","0","0","1","0","78","3","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 8620.50",NA,NA,"335.0","0.282","16","1","0","0","16","0","0","1","1","6","20","11","5","0","0","0","18","0","0","1","0","0","0","2","4","2","3","0","0","0","15","1","0","0","80","0","0","0","1","5","5","0","0","1","0","0","0","1","0","83","0","0","0","0","0","1","0","0","2","0","0","0","4","0","0","2","0","0","102","149","0","14","8","226","17","0","0","0","0","0","201","7","16","0","0","3","28","0","1","0","0","0","0","1","0","0","2","1","0","0","2","0","0","0"
" 8814.00",NA,NA,"340.0","0.282","16","2","0","0","18","0","0","4","0","0","16","7","15","3","0","0","24","0","0","1","0","0","0","0","20","2","6","0","1","0","7","0","0","0","71","0","0","1","10","9","3","0","1","0","1","0","0","0","0","44","0","0","0","0","0","1","0","0","2","0","0","0","12","0","0","5","0","1","74","102","0","13","1","430","0","0","0","6","0","0","233","22","0","0","1","0","90","1","0","1","2","0","2","0","1","0","0","0","1","0","0","0","0","0"
" 9007.50",NA,NA,"345.0","0.282","9","0","0","0","14","0","0","0","0","1","5","7","11","1","0","0","11","0","1","3","0","0","0","0","6","1","1","0","0","0","5","0","0","0","57","1","0","2","3","2","1","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","7","0","0","37","73","0","3","1","193","0","0","0","0","0","0","160","8","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 9201.00",NA,NA,"350.0","0.282","6","0","0","1","27","0","1","2","0","1","4","8","14","4","0","0","12","0","0","0","0","0","0","2","20","2","4","0","0","0","5","0","0","0","48","0","0","0","5","3","1","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","2","0","0","0","6","1","0","5","0","3","55","78","0","6","0","526","1","0","0","6","0","0","213","47","1","0","0","1","96","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0"
" 9336.15",NA,NA,"355.0","0.282","3","1","0","0","11","0","0","2","0","0","4","1","9","0","0","0","11","0","0","3","0","0","0","1","10","3","5","0","0","0","8","0","0","0","23","0","0","2","3","2","1","0","1","0","0","0","0","0","0","59","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","5","2","0","52","103","0","0","0","218","0","0","0","0","0","0","193","12","1","0","0","0","75","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 9471.30",NA,NA,"360.0","0.282","4","1","0","1","18","0","0","3","0","3","3","4","11","1","0","0","4","0","0","3","0","0","0","1","8","10","5","0","0","0","6","0","0","0","12","0","0","3","4","4","0","0","0","0","0","0","0","1","0","24","0","0","0","0","0","0","0","0","3","0","0","0","7","0","0","8","0","0","25","72","0","6","0","291","1","0","0","1","0","0","228","51","0","0","1","0","99","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 9606.45",NA,NA,"365.0","0.282","3","1","0","1","9","0","0","4","0","0","2","0","17","0","0","0","3","0","0","1","0","0","0","0","8","26","2","0","0","0","2","0","0","0","15","0","0","0","4","4","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","47","93","0","2","0","187","0","0","0","2","0","0","147","30","0","0","0","0","82","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0"
"10065.75",NA,NA,"368.0","0.282","4","1","0","0","6","0","0","10","0","1","6","1","6","2","0","0","3","0","0","4","0","0","0","0","6","25","4","0","1","0","0","0","0","0","13","0","0","0","4","1","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","2","0","2","44","44","0","3","0","256","0","0","0","1","0","0","219","15","1","0","0","0","114","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
