"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geranium","Hedera","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Myriophyllum undif.","Olea t.","Ononis t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (>50 Âµm)","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhus coriaria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Thalictrum","Tilia","Trifolium t.","Typha","Urtica t.","Vitis"
" -2.4",NA,NA,"104.1","  0.0","219.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  1.0"," 23.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 48.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 17.0"," 15.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  1.0","  7.0","  0.0","  4.0"," 35.0","  1.0","  0.0","  0.0","  0.0","  4.0"," 85.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"  2.3",NA,NA,"113.8","  0.0"," 24.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  2.0","  5.0"," 12.0","  1.0","  0.0","  4.0","  0.0","  0.0","  2.0"," 40.0","  1.0","  3.0","  3.0","  0.0","  0.0"," 18.0"," 13.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  2.0","  3.0","  3.0"," 12.0"," 29.0","  1.0","  0.0","  0.0","  0.0"," 13.0"," 59.0","  3.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
" 14.9",NA,NA,"123.5","  0.0","112.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  3.0","  3.0"," 25.0","  3.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 35.0","  0.0","  2.0","  4.0","  0.0","  0.0"," 14.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  4.0","  6.0","  0.0","  0.0","  0.0","  3.0","  3.0","  5.0"," 41.0","  3.0","  1.0","  0.0","  0.0"," 10.0"," 71.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  3.0","  0.0"
" 27.5",NA,NA,"133.2","  0.0"," 64.0","  0.0","  0.0","  6.0","  0.0","  0.0","  1.0","  3.0"," 26.0","  6.0","  0.0","  1.0","  0.0","  0.0","  1.0"," 63.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  6.0","  1.0","  0.0","  1.0","  3.0","  7.0"," 12.0"," 19.0","  0.0","  2.0","  0.0","  0.0"," 14.0"," 99.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0"
" 39.7",NA,NA,"142.9","  0.0"," 19.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  5.0"," 25.0","  4.0","  0.0","  4.0","  0.0","  0.0","  1.0"," 32.0","  2.0","  0.0","  5.0","  0.0","  0.0"," 12.0","  1.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0"," 14.0","  0.0","  0.0","  1.0","  4.0","  2.0"," 10.0"," 36.0","  0.0","  2.0","  0.0","  0.0"," 10.0"," 87.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"
" 51.9",NA,NA,"152.6","  0.0"," 65.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  2.0","  7.0"," 15.0","  5.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 46.0","  0.0","  4.0","  2.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  1.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  8.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 11.0"," 26.0","  1.0","  0.0","  0.0","  0.0"," 15.0"," 55.0","  3.0","  8.0","  0.0","  0.0","  0.0","  2.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0"
" 64.2",NA,NA,"162.3","  2.0"," 48.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  4.0"," 12.0","  4.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 48.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 18.0"," 14.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  4.0","  5.0","  0.0"," 11.0"," 23.0","  0.0","  0.0","  0.0","  0.0"," 11.0"," 83.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
" 76.1",NA,NA,"172.0","  0.0"," 41.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  1.0","  6.0"," 21.0","  2.0","  0.0","  1.0","  0.0","  0.0","  1.0"," 48.0","  0.0","  1.0","  3.0","  0.0","  0.0"," 19.0","  2.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 34.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  7.0","  0.0","  0.0","  1.0","  1.0","  1.0","  8.0"," 22.0","  0.0","  1.0","  0.0","  0.0"," 12.0"," 57.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"166.0",NA,NA,"181.6","  0.0"," 43.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  1.0","  3.0"," 17.0","  2.0","  0.0","  6.0","  0.0","  0.0","  2.0"," 47.0","  0.0","  2.0","  2.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  6.0","  0.0","  0.0","  2.0","  2.0","  2.0","  5.0"," 37.0","  2.0","  0.0","  0.0","  0.0","  7.0"," 72.0","  1.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0"
" 392.5",NA,NA," 203.5","   0.0","1857.0","   0.0","   0.0","  10.0","   0.0","   0.0","   3.0","   7.0","  15.0","   3.0","   0.0","   5.0","   0.0","   0.0","   2.0","  44.0","   0.0","   1.0","   5.0","   0.0","   0.0","  17.0","   8.0","   0.0","   0.0","  10.0","   1.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   8.0","   0.0","   0.0","   4.0","  11.0","   0.0","   4.0","  37.0","   1.0","   0.0","   0.0","   0.0","   8.0","  75.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0"
"468.9",NA,NA,"213.5","  2.0"," 47.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  1.0","  5.0"," 19.0","  3.0","  0.0","  3.0","  0.0","  0.0","  1.0"," 73.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  5.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  7.0","  0.0","  0.0","  0.0","  1.0","  8.0","  6.0"," 30.0","  0.0","  0.0","  0.0","  0.0","  6.0"," 84.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"
"539.9",NA,NA,"223.5","  0.0"," 29.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  4.0"," 28.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 42.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 26.0","  3.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  9.0","  0.0","  0.0","  1.0","  3.0","  1.0","  3.0"," 21.0","  0.0","  0.0","  0.0","  0.0"," 13.0"," 82.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0"
"618.4",NA,NA,"233.5","  0.0"," 42.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  1.0","  4.0"," 20.0","  2.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  4.0","  2.0","  0.0","  0.0"," 25.0","  4.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  1.0","  3.0","  0.0"," 12.0"," 31.0","  2.0","  0.0","  0.0","  0.0"," 11.0"," 58.0","  3.0","  3.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"
"688.4",NA,NA,"243.5","  1.0"," 37.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  1.0","  8.0"," 20.0","  8.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 41.0","  0.0","  0.0","  4.0","  0.0","  0.0"," 17.0","  4.0","  0.0","  0.0","  5.0","  1.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0","  4.0","  4.0"," 12.0"," 26.0","  0.0","  0.0","  0.0","  0.0"," 13.0"," 76.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"
"735.3",NA,NA,"254.0","  0.0"," 21.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  2.0","  4.0"," 20.0","  1.0","  0.0","  4.0","  0.0","  0.0","  2.0"," 54.0","  0.0","  2.0","  1.0","  0.0","  0.0"," 33.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  5.0","  0.0","  0.0","  1.0","  4.0","  0.0"," 12.0"," 33.0","  0.0","  0.0","  0.0","  0.0","  9.0"," 55.0","  0.0","  6.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"781.2",NA,NA,"263.5","  0.0"," 48.0","  0.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  9.0"," 22.0","  2.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 36.0","  1.0","  0.0","  1.0","  0.0","  0.0"," 18.0","  6.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 11.0"," 39.0","  0.0","  0.0","  0.0","  0.0"," 14.0"," 76.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"829.8",NA,NA,"273.5","  0.0","  9.0","  0.0","  0.0"," 18.0","  0.0","  0.0","  1.0","  2.0"," 23.0","  5.0","  0.0","  6.0","  0.0","  0.0","  1.0"," 39.0","  2.0","  1.0","  1.0","  0.0","  0.0"," 19.0","  2.0","  0.0","  0.0","  4.0","  0.0","  2.0","  0.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  7.0","  0.0","  0.0","  1.0","  2.0","  0.0"," 12.0"," 33.0","  0.0","  2.0","  0.0","  0.0"," 17.0"," 63.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"878.5",NA,NA,"283.5","  0.0"," 25.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  3.0"," 24.0","  2.0","  0.0","  8.0","  0.0","  0.0","  0.0"," 35.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 16.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  2.0","  4.0","  3.0","  8.0"," 33.0","  0.0","  0.0","  0.0","  0.0"," 10.0"," 83.0","  0.0"," 16.0","  0.0","  0.0","  0.0","  0.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0"
"927.4",NA,NA,"293.5","  0.0"," 43.0","  0.0","  0.0","  9.0","  0.0","  0.0","  5.0","  0.0"," 23.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0"," 77.0","  0.0","  4.0","  0.0","  0.0","  0.0","  9.0","  4.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  9.0","  0.0","  0.0","  1.0","  6.0","  1.0"," 11.0"," 23.0","  1.0","  0.0","  0.0","  0.0"," 15.0"," 69.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"976.4",NA,NA,"303.5","  0.0"," 22.0","  0.0","  1.0"," 12.0","  0.0","  0.0","  1.0","  2.0"," 10.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 58.0","  1.0","  1.0","  4.0","  0.0","  1.0"," 22.0","  3.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  7.0","  1.0","  8.0"," 39.0","  0.0","  0.0","  0.0","  0.0"," 14.0"," 72.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  2.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
