"Depth","Lezine et al 2017 Calibrated radiocarbon years BP","Hagenia","Acacia t.","Aerva type","Aeschynomene","Aizoaceae t.","Albizia","Alchornea","Algae","Amaranthaceae undif.","Andrachne","Animalia","Anthemideae undif.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Arthrocaulon-type","Asteroideae undif.","Avicennia","Balanites","Barbeya","Blepharis","Boraginaceae undif.","Brassicaceae","Caesalpinioideae undiff.","Calligonum","Capparaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Cassia","Caucanthus","Cedrus","Celosia type","Celtis","Centaurea","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Dipterygium glaucum","Dodonaea","Elaeis","Ephedra","Erica t.","Eriosema","Erodium","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Fern","Gentiana t.","Geranium","Heliotropium","Justicia t.","Kohautia","Lamiaceae undif.","Lotus t.","Macaranga","Maerua","Maytenus","Melastomataceae","Moltkiopsis","Monoletes","Monsonia","Morella","Neurada","Nyctaginaceae","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Pistacia","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Protist","Psoralea","Rapanea","Resedaceae undiff.","Rhizophora","Rosaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Sorindeia","Spergularia t.","Syzygium t.","Tamarindus","Tamarix","Tephrosia","Tintinnid","Tribulus","Trichodesma","Typha","Unknown","Urtica t.","Vahlia","Verbena t.","Vitaceae undif.","Ziziphus/Paliurus","Zygophyllum t."
"260.5","--/3032/--",NA,"0","0","0","0","0","0","2","114","0","0","3","0","0","51","19","2","0","0","0","0","0","0","0","0","0","17","0","0","0","1","2","0","0","0","0","0","0","2","1","0","3","23","2","2","0","3","0","0","0","4","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","1","0","16","1","0","0","0","196","0","0","1","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","2","0","1","149","0","0","0","0","0","0"
"275.5","--/3256/--",NA,"0","0","0","0","0","0","0","82","0","0","0","0","0","38","6","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","21","3","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","15","0","0","0","0","434","0","0","0","14","0","0","0","0","0","0","1","0","0","0","0","0","1","0","16","3","0","1","84","0","0","0","0","0","0"
"280.5","--/3331/--",NA,"2","1","0","0","0","0","0","157","0","0","1","1","0","45","7","3","7","0","0","0","1","1","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","7","0","1","0","28","4","1","0","1","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","14","2","0","0","0","295","0","0","2","41","0","0","0","0","0","0","0","1","0","1","0","0","0","0","22","6","0","0","164","0","0","0","0","0","0"
"290.5","--/3480/--",NA,"1","4","0","0","0","0","0","133","0","0","2","3","0","39","16","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","5","0","0","0","24","5","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","176","0","0","4","21","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","37","1","0","0","1","0","0"
"299.5","--/3614/--",NA,"0","0","0","0","0","0","0","151","0","2","0","1","0","46","16","5","4","0","0","0","0","1","0","3","0","1","0","0","0","0","0","0","3","0","1","0","0","6","0","1","0","21","4","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","6","0","0","0","0","131","1","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","77","2","0","0","0","0","0"
"305.5","--/3764/--",NA,"1","0","0","0","0","0","0","114","0","0","1","0","0","43","7","2","1","0","0","2","0","0","0","6","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","1","15","2","0","0","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","7","0","0","0","0","260","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","0","0","187","0","0","0","0","0","1"
"310.5","--/3993/--",NA,"1","0","0","1","0","0","0","134","0","1","0","0","0","46","6","3","3","0","0","0","0","1","0","3","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","22","5","1","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","0","3","0","0","0","0","218","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","39","0","0","0","0","0","0"
"315.5","--/4223/--",NA,"2","0","0","0","0","0","1","86","0","5","1","0","0","16","8","6","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","13","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","16","0","0","0","0","603","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","4","0","0","59","0","0","0","0","1","0"
"320.5","--/4452/--",NA,"1","0","0","1","0","0","0","138","0","0","0","0","0","42","10","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","5","0","0","0","17","0","4","0","2","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","1","23","1","0","0","0","388","0","0","3","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","4","0","0","94","1","0","0","0","1","1"
"325.5","--/4682/--",NA,"0","0","0","1","1","0","0","82","0","9","3","0","0","38","14","3","1","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","7","2","0","0","25","2","2","0","2","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","10","2","0","0","0","535","0","0","1","48","0","0","0","0","0","0","0","0","0","1","0","0","0","0","18","4","0","2","96","2","0","0","0","0","1"
