"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Alchornea","Amaranthaceae undif.","Annonaceae","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Araliaceae undif.","Artemisia","Asteraceae","Balanites","Betula","Bombax","Borreria t.","Brassicaceae","Bridelia","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Chrozophora","Chrysobalanus t.","Cissampelos","Clematis-type","Combretaceae","Commiphora","Connaraceae","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Euphorbiaceae undif.","Faboideae Undif.","Fern-Lycopodiaceae","Ficus","Hymenocardia","Hyphaene t.","Indeterminable","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Menispermaceae undif.","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nyctaginaceae","Nymphaea","Olea t.","Phoenix t.","Phyllanthus undif.","Piliostigma","Poaceae","Podocarpus","Polygala","Polygonum t.","Rubiaceae undif.","Salvadora","Securinega  t.","Sideroxylon t.","Spergularia t.","Syzygium t.","Triletes","Typha","Uapaca","Vernonieae","Vitex","Ximenia","Ziziphus/Paliurus"
"4569.737"," 150.000","   0.000","   0.000","  33.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","  94.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  94.000","   1.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 346.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   7.000","   2.000","   0.000","   0.000","   0.000","   0.000"
"4772.75"," 155.00","   0.00","   0.00","  26.00","   8.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","  68.00","   5.00","   0.00","   1.00","   0.00","   1.00","   0.00","  92.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 390.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   7.00","   3.00","   0.00","   0.00","   0.00","   0.00"
"4975.763"," 160.000","   0.000","   0.000","  21.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","  59.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  87.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 304.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   1.000","   4.000","  11.000","   0.000","   0.000","   0.000","   0.000"
"5178.776"," 165.000","   0.000","   0.000","  30.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","  65.000","   2.000","   0.000","   2.000","   0.000","   0.000","   1.000","  68.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","  16.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000"," 361.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   2.000","   7.000","   0.000","   0.000","   0.000","   0.000"
"5381.789"," 170.000","   1.000","   0.000","  15.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   2.000","  81.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000"," 183.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  20.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000"," 329.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","  19.000","   0.000","   1.000","  11.000","   0.000","   0.000","   0.000","   0.000"
"5587.167"," 175.000","   0.000","   0.000","  16.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   1.000","   0.000","  13.000","   0.000","   0.000","  56.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  96.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","  23.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000"," 323.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   0.000","   3.000","  21.000","   0.000","   1.000","   0.000","   0.000"
"5768.506"," 179.000","   0.000","   0.000","  16.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   7.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","   0.000","  52.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","  87.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 239.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  40.000","   1.000","   2.000","  21.000","   0.000","   0.000","   0.000","   0.000"
"5904.51"," 182.00","   0.00","   0.00","  27.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   9.00","   0.00","   2.00","  73.00","   7.00","   0.00","   7.00","   0.00","   0.00","   0.00"," 285.00","   0.00","   1.00","   0.00","  11.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   3.00","   1.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00"," 329.00","   0.00","   0.00","   0.00","   3.00","   3.00","   0.00","   0.00","   0.00","  26.00","   1.00","   1.00","  26.00","   0.00","   2.00","   0.00","   0.00"
"6085.85"," 186.00","   1.00","   0.00","  15.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   8.00","   0.00","   0.00","  69.00","   3.00","   1.00","   3.00","   0.00","   0.00","   2.00"," 109.00","   0.00","   1.00","   0.00","  12.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 339.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   1.00","   0.00","  32.00","   0.00","   2.00","   0.00","   2.00"
"6221.854"," 189.000","   0.000","   0.000","  24.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  10.000","   0.000","   0.000","   1.000","   0.000","   0.000","  16.000","   0.000","   1.000","  81.000","   1.000","   0.000","  35.000","   0.000","   1.000","   0.000"," 164.000","   0.000","   0.000","   0.000","  14.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   5.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000"," 429.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  23.000","   0.000","   0.000","  35.000","   0.000","   0.000","   0.000","   0.000"
"6403.192"," 193.000","   2.000","   0.000","  24.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   2.000","   0.000","  17.000","   0.000","   0.000"," 118.000","   3.000","   0.000","   4.000","   0.000","   0.000","   1.000"," 160.000","   0.000","   2.000","   0.000","   8.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   3.000","   0.000","   0.000","   3.000","   0.000"," 277.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  27.000","   0.000","   1.000","  31.000","   0.000","   1.000","   0.000","   0.000"
"6539.197"," 196.000","   0.000","   0.000","  18.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","  73.000","   3.000","   0.000","   1.000","   0.000","   1.000","   0.000"," 148.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 379.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","  35.000","   1.000","   0.000","   0.000","   0.000"
"6720.536"," 200.000","   1.000","   0.000","  12.000","   3.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","  74.000","   4.000","   0.000","   2.000","   0.000","   0.000","   0.000","  87.000","   0.000","   0.000","   0.000","  12.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 319.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","  36.000","   0.000","   2.000","   0.000","   0.000"
"6856.54"," 203.00","   0.00","   0.00","  22.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","  19.00","   0.00","   2.00","  84.00","   7.00","   0.00","   1.00","   0.00","   1.00","   0.00"," 248.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00"," 290.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  48.00","   0.00","   0.00","  29.00","   0.00","   3.00","   0.00","   0.00"
"7037.878"," 207.000","   0.000","   0.000","  20.000","   5.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   2.000","   0.000","   8.000","   0.000","   1.000","  56.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","  80.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000"," 329.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  29.000","   0.000","   5.000","  17.000","   0.000","   0.000","   0.000","   0.000"
"7173.883"," 210.000","   0.000","   0.000","  19.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   4.000","   0.000","   2.000","   0.000","   1.000","  92.000","   5.000","   0.000","   3.000","   0.000","   0.000","   0.000"," 137.000","   0.000","   0.000","   0.000","   8.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 346.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","  20.000","   0.000","   1.000","  30.000","   0.000","   4.000","   0.000","   0.000"
"7355.222"," 214.000","   0.000","   0.000","  20.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   1.000","  83.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","  82.000","   1.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000"," 316.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","  20.000","   0.000","   1.000","  26.000","   0.000","   6.000","   0.000","   0.000"
"7491.226"," 217.000","   0.000","   0.000","  45.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   2.000","  74.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000"," 104.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   1.000","   5.000","   0.000"," 316.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  28.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000"
"7672.565"," 221.000","   0.000","   0.000","  50.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   1.000","   0.000","   3.000","   0.000","   5.000","  60.000","   3.000","   1.000","   0.000","   0.000","   1.000","   1.000","  94.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000"," 320.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  31.000","   0.000","   3.000","  21.000","   0.000","   0.000","   0.000","   0.000"
"7808.569"," 224.000","   0.000","   0.000","  46.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   0.000","   1.000","  67.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  92.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000"," 350.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   1.000","   4.000","   7.000","   0.000","   4.000","   0.000","   0.000"
"8035.243"," 229.000","   0.000","   0.000","  16.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   1.000","  62.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  90.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000"," 279.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   2.000","  27.000","   0.000","   0.000","   0.000","   0.000"
"8171.247"," 232.000","   0.000","   0.000","  25.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","  12.000","   0.000","   3.000","  75.000","   2.000","   0.000","  10.000","   0.000","   1.000","   0.000","  62.000","   0.000","   2.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   6.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000"," 309.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","  26.000","   0.000","   4.000","  23.000","   0.000","   2.000","   0.000","   0.000"
"8352.586"," 236.000","   0.000","   0.000","  32.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   5.000","   0.000","   8.000","  51.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 113.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000"," 356.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   9.000","   0.000","   2.000","  13.000","   0.000","   1.000","   0.000","   0.000"
