"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Glomus cf. G. fasciculatum","Lamiaceae undif.","Malva","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete)","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Riccia undiff.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sordaria undiff.","Tamarix","Thymelaeaceae undif.","Unknown (type 181, HdV)","Urtica t."
NA,NA,NA,"   9","   0","  57","   1","   0","   0","   0","   0","   3","   1","   0","   0","   0","1176","   0","   0","   1","   0","  99","   0","   0","   1","   0","   0","   0","   0","   1","   2","   0","  42","   0","   1","   0","   2","   3","   0","   1","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"  24","   0","  77","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","2418","   0","   0","   4","   0","  67","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","  23","   0","   0","   4","  11","   3","   0","   0","   0","   0","   1","   6","   0","   1","   6","   0","   0","   2","   0","   0","   0"
NA,NA,NA,"  22","   0","  69","   0","   0","   0","   0","   6","   0","  11","   0","   0","   0","2002","   0","   0","   6","   0","  45","   0","   0","   0","   2","   6","   2","   0","  11","   0","   0","  16","   0","   0","   1","   7","   0","   0","   0","   0","   4","   0","   7","   0","   0","   0","   0","   0","   2","   8","   0","   0"
NA,NA,NA,"   2","   0","  92","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","1185","   3","   2","   4","   0"," 128","   0","   0","   2","   1","   3","   4","   4","   0","   0","   0","  68","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0"
NA,NA,NA,"  6","  0"," 51","  0","  0","  2","  0","  0","  0","  2","  1","  1","  0","565","  2","  0","  3","  0"," 18","  0","  1","  0","  0","  1","  0","  0","  2","  1","  0"," 81","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  1","  3","  0","  0","  0","  0"
NA,NA,NA,"  23","   2"," 155","   0","   0","   3","   0","   3","   0","   5","   0","   0","   0","1900","   0","   0","   0","   0"," 148","   0","   2","   0","   9","   0","   0","   0","   6","   0","   0","  13","   0","   0","   0","   2","   0","   0","   0","   0","   2","   1","   8","   2","   0","   0","   0","   0","   1","   4","   5","   0"
NA,NA,NA,"  26","   3","  16","   1","   0","   0","   0","   1","   0","   7","   0","   0","   0","1411","   0","   0","   6","   0","  75","   0","   1","   0","   2","   1","  17","   0","   1","   0","   3","  16","   0","   0","   9","   3","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0"
NA,NA,NA,"  30","   0","  84","   1","   0","   0","   0","  13","  12","  17","   0","   0","   0","1120","   0","   0","   8","  13","  22","   0","  20","   0","   0","   2","  29","   0","   0","   7","   0","  45","   0","   0","   1","  13","   0","   0","   0","   8","   0","   1","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0"
NA,NA,NA," 32","  0"," 70","  0","  0","  0","  4","  0","  0","  3","  6","  0","  1","360","  0","  4","  1","  0","384","  0","  6","  0","  1","  4","  2","  0","  0","  0","  0"," 26","  0","  3","  0","  2","  0","  0","  1","  1","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0"
NA,NA,NA,"  31","   0","  63","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","1700","   1","   0","   3","   0","  90","   0","   0","   1","   0","   1","   1","   0","   0","   2","   0","  31","   0","   1","   1","   3","   3","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   2"
NA,NA,NA,"  1","  0","177","  0","  1","  1","  0","  0","  0","  4","  2","  0","  0","800","  4","  3","  0","  0"," 70","  0","  0","  0","  0","  2","  1","  3","  0","  1","  1","137","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  9","  5","  0","  2","  2","  0","  0","  0","  0","  0"
NA,NA,NA," 33","  0"," 94","  0","  0","  0","  0","  1","  0","  2","  1","  0","  0","832","  0","  0","  2","  0"," 41","  0","  1","  2"," 44","  1","  1","  0","  0","  0","  0"," 18","  0","  0","  0","  2","  2","  2","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  1","  4","  5","  0"
NA,NA,NA," 36","  2"," 33","  1","  0","  1","  0","  2","  0","  1","  0","  0","  0","444","  0","  0","  2","  0"," 23","  0","  0","  0","  0","  1","  2","  0","  2","  2","  0"," 99","  0","  0","  1","  3","  0","  0","  0","  3","  2","  0","  2","  0","  0","  2","  0","  0","  2","  0","  0","  0"
NA,NA,NA," 10","  0","187","  0","  0","  1","  0","  1","  1"," 10","  0","  2","  0","741"," 30","  0","  4","  0"," 58","  0","  0","  0","  1","  1","  1","  0","  1","  4","  0"," 30","  0","  2","  1","  4","  0","  0","  5","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 15","  0"," 47","  0","  0","  0","  0","  1","  0","  5","  3","  0","  0","798","  0","  0","  2","  3"," 55","  0","  6","  0","  0","  7","  3","  0","  3","  0","  0"," 13","  0","  0","  1","  2","  0","  0","  2","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  1","  0","  5"
NA,NA,NA,"  44","   0","  26","   1","   0","   0","   0","   2","   0","   2","   1","   0","   0","2700","   1","   0","   4","   0","  94","   0","   1","   1","   0","   1","   1","   0","   1","   0","   1","  20","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   2","   0","   2","   0","   0","   0","   0","   2","   2"
NA,NA,NA," 20","  0"," 93","  1","  0","  0","  0","  7","  0","  1","  8","  0","  0","213","  0","  0","  7","  2"," 45","  0","  2","  0","  2","  1","  2","  0","  3","  0","  0","  8","  0","  5","  0","  4","  0","  0","  0","  0","  7","  0","  3","  3","  0","  0","  1"," 45","  1","  0","  6","  7"
NA,NA,NA,"   0","   0","2272","   2","   0","   0","   0","   2","   0","   5","   2","   0","   0"," 401","   0","   0","   8","   0","  28","   0","   7","   0","  95","   4","   2","   0","  13","   0","   8","  35","   0","   0","  13","   6","   3","   0","   0","   0","  20","   2","  17","   0","  13","   0","   0","   2","  13","   0","   1","   0"
NA,NA,NA," 17","  0","113","  0","  0","  0","  0","  5","  3","  1","  5","  0","  0","115","  0","  0","  1","  0"," 20","  0","  4","  2","  5","  1","  2","  0"," 13","  2","  3","  5","  0","  3","  1","  4","  0","  0","  0","  0","  2","  0","  8","  1","  1","  0","  3","  0","  4","  0","  0","  3"
NA,NA,NA,"  29","   0","  62","   1","   1","   0","   0","   0","   0","   3","   9","   0","   0","4352","   2","   0","  13","   9","  52","   0","  17","   0","  29","   2","   1","   0","   1","  13","   1","  21","   0","   0","   1","  12","   0","   0","   0","   0","   4","   1","   2","   0","   2","   0","   1","   0","   2","   0","   1","  13"
NA,NA,NA,"  21","   0","  19","   1","   1","   1","   0","   4","   1","   2","   1","   0","   0","1170","   2","   1","   4","   0","  47","   0","   4","   0","   1","   2","   6","   0","   0","   3","   0","   5","   3","   3","   1","   3","   0","   0","   0","   0","   1","   1","   3","   0","   0","   1","   2","   3","   1","   0","   0","   2"
NA,NA,NA," 28","  0"," 13","  1","  1","  2","  0","  0","  0","  2","  1","  0","  0","300","  2","  1","  3","  0"," 67","  0","  1","  4","  2","  1","  1","  0","  2","  1","  1"," 42","  0","  0","  2","  3","  0","  0","  0","  2","  3","  0","  1","  0","  1","  1","  1","  0","  1","  1","  1","  0"
NA,NA,NA," 11","  0"," 35","  1","  2","  2","  0","  1","  1","  2","  1","  0","  0","714"," 13","  2","  2","  0"," 33","  0","  1","  2","  1","  2","  2","  0","  3","  2","  2"," 35","  0","  2","  1","  3","  0","  0","  0","  0","  1","  1","  5","  0","  1","  1","  2","  0","  1","  0","  0","  0"
NA,NA,NA,"19"," 0","43"," 1"," 1"," 1"," 0"," 7"," 1"," 0"," 2"," 1"," 0","85"," 3"," 2"," 2"," 0","13"," 0"," 8"," 0"," 0"," 2"," 1"," 0"," 2"," 2"," 1","23"," 0","13"," 1"," 4"," 0"," 0"," 1"," 0"," 0"," 1"," 4"," 3"," 2"," 2"," 2"," 0"," 3"," 1"," 0"," 6"
