"Depth (cm) [cm]","Sample Age (cal yr AD) [cal yr AD]","Acacia t.","Acalypha","Acanthaceae undif.","Adansonia digitata","Adenium","Aerva type","Aeschynomene","Afzelia","Aizoaceae t.","Albizia","Alchornea","Algae","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anacardium","Animalia","Anthemideae undif.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Brassicaceae","Bridelia","Calligonum","Caperonia","Cardiospermum","Cardueae undif.","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celosia type","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Cissus t.","Citrus","Clausena","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cyperaceae","Daniellia","Detarium","Dialium","Dichrostachys","Elaeis","Ephedra","Eriosema","Erodium","Euphorbia t.","Fabaceae Undif.","Faidherbia albida","Fern","Fern-Lycopodiaceae","Ficus","Flabellaria","Gomphrena t.","Grewioideae","Heliotropium","Hymenocardia","Hypoestes t.","Indeterminable","Ipomoea","Isoberlinia","Ixora","Keetia","Kohautia","Lamiaceae undif.","Lannea","Lepidagathis","Lepistemon","Lophira","Lotus t.","Macaranga","Maerua","Mallotus","Meliaceae undif.","Mineral","Mitracarpus","Mitragyna/Hallea","Monoletes","Monoletes orn̩e","Morelia","Nauclea","Nymphaea","Olea t.","Parkinsonia","Pavetta","Petaloid monocot","Phoenix t.","Phyla t.","Phyllanthus maderaspatensis","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Prosopis t.","Protist","Psydrax","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Salvadora","Sapotaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tamarindus","Tamarix","Tapinanthus","Tetracera alnifolia","Tiliacora","Treculia","Tribulus","Trilepisium","Triletes","Tuberculodinium vancampoe","Typha","Uapaca","Unknown","Urtica t.","Vangueria","Zanthoxylum","Ziziphus/Paliurus","charcoal"
"119.5","1694.757","2","0","0","0","0","1","0","0","1","0","0","14","0","2","0","0","0","0","3","2","0","0","0","2","1","0","0","2","0","0","0","1","1","0","0","0","0","3","1","0","1","0","0","0","0","0","22","0","1","0","39","0","0","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","2","0","12","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","245","0","0","0","0","0","0","42","0","0","0","0","0","0","0","6","2","0","0","1","0","0","0","1","0","0","0","0","5","7","4","0","0","1","0","0"
"129.5","1658.579","3","0","0","0","0","4","0","0","1","0","1","10","0","11","1","0","0","0","1","2","0","0","1","1","1","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","15","0","3","0","39","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","7","0","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0","3","6","2","2","0","0","5","0","0","2","0","0","0","0","1","8","193","0","0","1","5","0","3","78","1","0","0","0","0","1","0","3","4","0","0","2","0","0","0","0","0","0","2","0","5","2","12","2","0","0","0","0"
"139.2","1622.402","3","0","0","0","0","8","0","0","0","0","1","5","0","15","1","0","0","0","5","0","0","0","0","0","7","0","0","4","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","11","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","2","4","2","0","0","1","0","0","0","1","0","0","0","0","0","0","173","0","0","0","10","0","0","95","0","0","0","1","1","2","0","6","0","5","0","0","0","0","0","0","1","0","1","0","1","0","6","0","1","0","0","0"
"149.5","1586.224","1","0","0","0","0","1","0","0","0","0","1","2","0","5","0","0","0","0","8","1","0","0","2","0","8","2","0","0","1","0","0","0","1","1","0","0","0","6","0","0","0","0","0","0","0","0","9","1","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","1","0","0","0","1","0","0","0","1","0","0","0","0","0","145","1","0","0","2","0","1","148","0","0","0","0","0","1","0","1","2","3","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","1","0","0"
"159.5","1550.046","1","0","0","0","1","8","0","0","0","0","1","15","1","16","1","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","7","0","0","0","38","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","14","0","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","2","8","2","0","0","0","2","0","0","0","0","0","0","0","1","0","182","0","0","1","1","0","0","55","0","0","3","0","0","0","0","4","3","2","0","1","0","0","0","1","0","0","1","0","6","7","4","0","0","0","0","0"
"169.5","1513.869","0","0","0","0","0","3","0","0","0","0","0","6","0","14","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","30","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","111","0","0","0","2","0","0","31","0","0","1","0","0","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","0"
"179.5","1477.691","0","0","0","0","0","3","0","0","0","0","1","20","0","5","1","0","0","0","3","1","1","0","0","0","2","1","0","3","0","0","0","0","2","3","0","0","0","1","0","0","0","0","0","0","1","0","8","0","0","1","37","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","1","0","17","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","2","0","0","0","2","1","0","0","0","0","0","3","0","0","0","229","0","1","1","14","0","0","53","0","0","0","0","0","0","0","2","6","1","0","2","0","0","0","0","0","0","1","0","5","2","0","0","0","1","0","0"
"189.5","1441.514","0","0","0","0","0","4","0","0","0","0","0","2","0","7","1","0","0","0","1","1","0","0","1","2","3","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","0","0","21","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","141","0","0","0","12","0","0","51","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","4","2","0","0","0","1","0","0"
"199.5","1405.336","1","0","0","0","0","5","0","0","0","0","1","8","0","13","3","0","0","1","1","3","0","0","0","0","0","3","0","0","1","0","0","0","2","1","0","0","0","4","0","0","0","0","0","0","0","0","12","0","1","0","48","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","2","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","2","1","0","0","0","0","0","0","0","0","0","190","0","0","0","4","0","0","64","0","0","0","0","0","0","0","2","1","0","0","3","0","0","0","0","0","1","0","0","17","5","10","0","0","0","0","0"
"209.5","1369.158","1","1","0","0","0","4","0","0","2","0","1","14","0","7","0","0","0","0","1","0","0","0","1","5","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","5","0","0","0","50","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","2","0","0","0","0","0","0","0","0","1","209","0","0","0","10","0","0","46","2","1","0","0","0","1","0","3","6","4","0","0","0","1","0","0","0","0","1","2","2","1","6","0","0","0","0","0"
"219.5","1332.981","3","0","0","0","0","5","0","1","0","0","2","13","0","3","3","0","0","0","1","1","0","0","0","2","1","0","0","0","1","0","0","1","2","1","0","0","0","3","0","0","1","0","0","0","0","0","19","0","0","0","37","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","179","0","1","0","10","1","0","48","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","2","2","6","3","4","0","0","0","0","0"
"229.5","1296.803","4","0","0","0","0","5","0","0","1","0","3","12","0","10","4","0","0","0","5","5","0","0","0","2","4","3","0","1","0","0","0","0","1","2","0","0","0","4","0","0","1","0","0","0","1","0","7","0","2","0","48","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","7","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","4","1","1","0","0","2","2","0","0","1","0","0","0","0","0","0","185","0","0","1","8","0","0","70","0","0","0","0","1","1","0","1","7","0","2","1","0","0","0","0","0","0","2","0","6","6","4","0","0","0","0","0"
"249.5","1224.448","4","0","0","0","0","6","0","0","1","0","1","6","0","15","2","0","0","0","0","2","0","0","0","1","0","1","0","0","1","0","0","0","1","2","0","0","0","3","0","0","0","0","0","0","2","0","17","0","0","0","50","0","0","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","15","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","202","0","0","0","12","0","0","64","1","0","0","1","2","1","0","4","1","0","0","2","0","0","0","0","0","0","2","0","7","5","4","0","0","0","0","0"
"269.5","1152.093","1","0","0","0","0","2","0","0","0","0","0","7","0","9","4","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","3","1","0","0","0","2","0","0","0","0","0","0","0","0","6","0","2","0","50","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","2","0","1","0","0","13","0","1","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0","4","0","0","3","0","1","0","0","0","0","0","0","0","0","1","243","0","0","0","11","0","0","66","0","0","0","0","0","1","0","7","4","0","0","4","0","0","0","0","0","0","1","0","6","4","2","0","0","0","1","0"
"279.5","1115.915","0","0","0","0","0","5","0","0","0","0","0","18","0","14","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","1","0","34","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","8","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","1","6","0","0","0","0","1","1","0","0","0","0","0","0","1","0","206","0","0","0","6","0","0","38","0","0","1","1","0","1","1","1","2","2","0","0","1","0","0","0","0","0","0","0","6","5","4","0","0","0","0","0"
"299.5","1043.560","0","0","0","0","0","18","0","0","1","0","1","7","0","16","1","0","0","1","2","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","9","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","1","5","4","0","0","0","2","0","0","2","0","0","0","0","0","0","159","0","0","0","14","0","0","59","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","1","0","11","4","2","0","0","0","0","0"
"329.5","1009.234","4","0","0","0","0","5","0","0","0","0","2","13","0","12","2","0","0","1","4","2","0","1","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","43","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","1","0","11","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","165","0","0","1","5","0","0","58","0","0","0","0","0","1","0","2","2","2","0","0","0","0","0","0","0","0","0","0","5","5","4","0","0","0","0","0"
"349.5","1007.551","1","0","0","0","0","8","0","0","0","0","0","13","0","6","1","1","0","4","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","8","0","0","0","39","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","26","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","207","0","0","0","10","0","1","70","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","11","2","6","0","0","0","0","0"
"379.5","1005.028","1","0","0","0","0","8","0","0","0","0","1","12","0","3","1","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","7","0","0","1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","5","3","0","0","0","1","0","0","0","0","0","0","0","0","0","211","0","0","0","12","0","0","57","0","0","0","0","0","0","0","2","3","1","0","0","1","0","1","0","0","0","0","0","10","4","0","0","0","0","0","0"
"399.5","1003.346","2","0","0","0","0","13","0","0","0","0","3","22","0","10","0","0","0","0","1","1","0","0","0","5","0","1","1","0","0","0","0","1","2","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","54","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","14","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","2","0","1","1","3","0","0","0","0","1","0","0","0","1","196","0","0","0","6","0","2","63","0","0","2","2","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","3","9","6","4","1","0","0","0","0"
"449.5","1001.411","0","0","0","0","0","18","0","0","0","0","1","4","0","10","4","0","0","1","1","2","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","3","3","0","1","0","0","0","0","0","0","11","0","0","0","55","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","3","0","0","0","0","0","1","0","0","0","0","1","5","1","0","0","3","0","0","1","2","0","0","0","0","0","5","130","0","0","0","17","0","0","58","0","0","0","2","1","0","0","2","30","3","0","0","0","0","0","0","0","0","0","0","9","2","2","0","0","1","0","0"
