"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Calligonum","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Lonicera","Loranthus","Lycopodium spike","Malva undif.","Mercurialis","Musci","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, indeterminable)","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Quercus pro parte","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Sparganium","Stuckenia-type","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Unknown (trilete, reticulate)","Urtica t.","Viburnum","Vitis"
NA,NA,NA,"270","2","0","5","39","0","0","0","10","17","78","0","18","2","0","0","0","1","6","1","0","0","111","52","2","0","6","0","0","15","0","1","96","0","0","0","4","19","0","6","0","6","0","0","0","35","0","0","1","0","0","0","3507","0","3","0","0","0","34","0","0","80","0","121","7","57","0","50","93","0","1","0","0","103","9","0","7","0","6","1","3","0","0","48","3","0","0","0","2","0","0","0","0","3","0","0","0","0"
NA,NA,NA,"213","0","0","7","22","0","3","0","5","3","14","3","7","0","0","0","0","0","3","0","3","0","14","12","0","0","3","0","0","7","0","0","32","1","1","2","1","7","0","8","1","0","0","1","2","2","1","2","6","0","0","0","327","0","7","0","0","0","70","0","2","104","0","148","23","41","0","1","51","0","2","1","1","97","18","0","2","0","1","1","2","0","0","17","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
NA,NA,NA,"239","1","0","6","35","0","1","0","5","2","15","1","12","1","0","0","0","1","4","1","0","0","51","18","2","0","1","0","4","7","0","0","22","0","0","3","0","11","0","3","0","0","1","0","0","5","0","0","5","0","0","0","705","0","10","0","0","0","32","0","0","79","0","202","58","32","3","1","71","6","1","0","0","70","30","0","1","0","3","2","4","0","0","14","1","1","0","1","1","2","1","0","2","0","0","0","0","0"
NA,NA,NA,"149","1","0","5","149","0","5","1","14","3","27","0","7","5","0","0","0","0","2","1","0","0","126","0","2","0","2","0","16","13","0","2","48","1","0","0","4","18","0","2","0","0","1","1","0","10","0","0","2","0","0","0","384","1","9","0","0","0","9","0","5","10","0","172","221","45","1","1","90","6","1","0","2","69","18","0","2","0","2","0","2","0","0","41","1","0","0","1","1","2","0","0","0","0","0","0","0","0"
NA,NA,NA,"140","0","0","2","143","0","3","0","8","1","32","0","10","1","0","0","0","0","5","0","1","0","104","10","4","0","4","0","9","4","0","0","48","2","0","1","1","14","0","4","0","1","0","1","0","19","0","2","1","1","0","0","206","0","8","0","0","0","12","0","1","13","0","141","215","46","0","2","97","6","0","2","0","60","10","0","2","0","3","1","6","0","0","31","1","0","0","0","1","2","1","0","0","0","0","0","0","0"
NA,NA,NA,"129","0","0","1","140","0","2","0","17","2","37","1","11","2","0","0","2","0","2","0","0","0","84","4","5","0","3","0","27","11","0","1","52","0","0","0","9","15","0","9","0","0","0","0","0","8","0","1","7","1","0","0","242","0","11","0","0","0","16","0","0","8","1","199","190","52","0","1","100","0","1","1","4","68","21","0","3","1","1","0","6","0","0","34","1","0","1","0","1","0","0","1","0","1","0","0","0","2"
NA,NA,NA,"205","2","0","9","26","0","3","1","13","3","23","2","18","4","0","0","0","0","1","0","1","0","45","16","1","0","9","1","10","11","0","3","50","0","0","4","3","7","0","4","0","0","1","0","0","13","0","0","10","0","0","0","518","0","14","0","0","0","33","0","0","143","0","296","45","51","0","0","71","2","1","0","0","113","28","0","5","0","1","2","6","0","0","28","0","0","1","0","1","2","1","0","1","1","0","0","0","0"
NA,NA,NA,"210","0","0","8","35","0","1","0","6","0","11","3","18","2","0","0","2","1","1","0","0","0","42","10","0","0","7","0","5","10","1","2","68","1","0","0","2","7","3","2","0","0","3","1","1","15","0","2","8","0","0","0","295","0","9","0","0","0","39","0","3","117","1","204","39","44","0","0","65","3","2","1","1","85","43","4","3","0","0","3","6","0","0","22","4","0","1","0","0","0","0","0","0","2","0","0","0","0"
NA,NA,NA,"171","0","0","4","137","0","1","0","10","1","18","0","12","5","0","1","0","0","4","1","1","0","62","6","1","0","3","0","0","7","0","0","30","0","0","2","6","13","0","7","0","0","0","0","0","3","0","0","7","2","0","0","221","0","4","0","0","0","26","1","4","40","0","242","108","29","0","0","79","0","1","0","5","112","19","0","7","3","1","1","4","0","0","17","1","1","1","0","0","0","0","0","0","1","0","0","1","0"
NA,NA,NA,"124","0","0","2","91","0","3","0","7","1","24","1","5","4","0","0","3","1","4","1","0","0","115","6","0","1","5","0","37","14","0","0","18","0","1","1","1","9","0","5","0","0","0","0","0","6","0","0","1","0","0","0","391","0","7","0","0","0","17","1","5","17","0","168","127","43","4","0","104","5","0","0","9","52","19","0","6","2","2","2","8","1","0","24","2","0","1","0","0","0","1","0","0","1","0","0","0","3"
NA,NA,NA,"169","1","0","10","138","1","2","0","9","1","20","0","22","3","0","1","1","1","2","1","0","1","91","12","0","0","11","0","36","6","0","3","40","0","0","0","2","8","0","5","0","0","0","0","0","28","0","0","2","1","0","2","140","0","9","1","0","0","38","0","2","28","0","307","205","53","1","0","93","2","0","0","12","130","44","0","3","1","1","1","3","0","0","19","0","0","0","0","0","2","1","0","0","4","0","1","0","1"
NA,NA,NA,"164","1","0","8","180","0","5","0","17","1","28","2","31","1","1","0","2","1","6","1","0","0","126","16","2","1","6","0","34","7","0","2","66","0","0","2","5","13","0","4","0","1","1","0","0","20","0","2","3","1","0","0","248","0","2","0","0","0","35","2","6","15","0","319","206","64","3","1","123","1","0","0","9","124","60","0","5","0","6","3","5","0","0","35","1","0","0","0","0","0","0","0","0","2","0","0","0","1"
