"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Amaranthaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Buxus","Caryophyllaceae undif.","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fern","Fraxinus","Fungi","Genisteae","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Rhamnus","Riccia","Salix","Spermatophyta undiff. (trees/shrubs)","Taxus","Thymelaeaceae undif.","Typha","Ulmus t."
"1403.5",NA,NA," 15","0","35","6","0","7","8","0","0","0","2","1","8","1","8","15","4","0","0","0","36","0","0","8","3","5","152","0","0","0","0","12","301","0","7","15","0","0","17","14","26","5","4","0","5","0","0","0","2"
"1420.6",NA,NA," 16","0","58","8","1","11","11","1","0","0","0","0","4","0","14","12","1","0","0","0","29","0","0","2","2","4","149","0","0","5","0","7","289","0","5","16","0","0","11","7","23","0","13","0","1","0","0","0","0"
"1438.0",NA,NA," 17","0","60","8","2","5","4","1","5","0","0","0","5","2","21","28","2","0","0","3","59","0","0","10","0","9","158","0","0","0","0","13","326","0","3","23","0","0","5","12","25","2","0","0","3","0","0","0","1"
"1455.2",NA,NA," 18","0","39","8","0","16","3","0","0","0","1","0","6","0","10","16","3","0","0","0","25","3","0","5","0","12","171","0","0","2","0","10","295","0","0","26","0","0","7","16","19","0","11","0","3","0","0","6","0"
"1472.0",NA,NA," 19","0","41","5","1","22","7","0","0","0","0","0","3","1","21","17","2","0","0","0","13","2","0","17","1","10","158","0","0","3","0","3","337","3","5","26","0","0","11","9","23","1","0","0","3","0","0","6","0"
"1488.8",NA,NA," 20","0","70","3","3","21","6","0","5","0","0","0","5","0","20","12","6","0","0","0","29","0","0","12","2","8","154","0","0","2","0","10","364","0","5","25","0","0","12","13","28","2","0","0","2","0","0","5","0"
"1506.0",NA,NA," 21","0","23","4","0","19","4","0","0","0","0","0","4","2","18","21","5","0","0","3","30","0","0","11","0","4","154","0","0","0","0","9","309","0","0","31","0","0","6","12","30","0","3","0","0","0","0","0","2"
"1523.0",NA,NA," 22","0","38","12","0","11","5","0","1","0","0","0","10","0","14","19","4","0","0","0","15","2","0","10","1","3","150","0","0","0","0","3","292","0","4","33","0","0","11","14","28","0","0","2","2","0","0","3","1"
"1539.8",NA,NA," 23","1","69","8","1","21","5","0","1","0","0","0","3","2","26","14","3","0","0","5","18","0","1","4","0","11","150","0","0","0","0","7","347","0","0","38","0","0","20","9","27","0","2","0","0","0","0","4","0"
"1556.1",NA,NA," 24","2","55","8","0","7","3","1","0","0","0","1","5","0","15","18","0","0","0","0","9","0","0","13","1","9","150","0","0","1","0","8","383","0","5","18","0","0","7","10","40","0","1","0","1","0","0","8","2"
"1572.5",NA,NA," 25","3","80","2","0","6","4","2","3","0","2","2","2","1","21","9","1","0","0","0","10","0","0","8","2","5","139","0","0","0","0","10","338","2","0","19","0","2","9","15","22","1","3","2","3","0","0","9","1"
"1589.9",NA,NA," 26","0","58","1","0","16","10","0","0","0","0","0","4","0","16","16","1","0","0","0","15","0","0","9","0","7","145","0","0","1","0","16","300","0","0","32","0","4","11","10","32","0","0","2","0","0","0","4","0"
"1607.4",NA,NA," 27","0","55","2","0","11","9","0","2","0","0","0","5","2","17","14","1","0","0","0","15","2","0","12","0","7","156","0","0","1","0","9","342","0","0","11","0","0","10","16","21","0","0","1","2","0","0","8","2"
"1624.9",NA,NA," 28","2","63","1","1","11","5","0","0","0","0","0","9","0","15","12","5","0","0","0","23","0","0","13","0","4","157","0","0","1","0","15","344","0","0","21","0","0","5","13","31","0","3","2","0","0","0","6","1"
"1642.4",NA,NA," 29","0","33","0","2","13","5","0","0","0","0","0","2","0","9","9","9","0","0","5","30","0","0","10","0","8","147","0","0","2","2","15","333","0","0","32","0","0","11","9","21","0","0","2","0","0","0","4","0"
"1659.9",NA,NA," 30","0","45","9","2","12","8","0","3","0","0","0","8","1","10","11","2","0","0","0","28","0","0","11","1","4","150","0","0","1","2","7","307","0","4","31","0","0","21","15","22","0","0","1","0","0","0","5","0"
"1677.0",NA,NA," 31","0","55","6","1","4","4","0","0","0","0","0","7","0","13","12","4","0","0","0","31","1","0","7","0","9","151","0","0","0","0","17","360","1","3","40","0","4","6","12","16","0","3","0","1","0","0","4","0"
"1694.1",NA,NA," 32","1","43","6","1","13","9","0","2","0","0","0","3","1","11","16","3","0","0","0","15","0","0","9","0","3","151","0","0","0","0","8","350","0","4","21","0","5","0","12","27","0","2","2","0","0","0","8","0"
"1728.8",NA,NA," 34","0","29","4","0","17","5","1","0","0","0","3","2","1","12","15","1","0","0","0","13","0","0","3","0","9","153","0","0","0","0","7","366","0","1","20","0","0","12","7","26","0","0","1","1","0","0","6","2"
"1746.0",NA,NA," 35","0","38","6","0","10","9","0","0","0","0","0","5","0","14","10","2","0","0","3","17","0","0","5","0","7","144","0","0","0","0","14","332","0","2","9","0","0","0","14","25","0","0","1","0","0","0","4","3"
"1762.9",NA,NA," 36","0","39","3","0","17","5","0","0","0","0","0","6","2","14","11","2","0","0","0","21","0","0","13","0","4","170","0","1","0","0","8","358","0","0","19","0","5","5","11","25","2","0","2","2","0","0","4","2"
"1780.1",NA,NA," 37","0","75","6","0","14","4","0","3","0","0","0","7","0","13","21","3","0","0","0","31","0","0","9","0","5","155","0","0","0","0","9","321","0","0","10","0","5","16","7","22","0","0","0","0","0","0","3","0"
"1797.0",NA,NA," 38","0","48","5","0","5","3","0","0","0","0","0","7","1","21","20","3","0","0","0","12","0","0","6","0","4","160","0","0","0","0","7","354","2","0","33","0","6","2","12","18","0","0","1","0","0","0","5","0"
"1813.9",NA,NA," 39","0","38","4","1","17","3","0","3","0","0","0","4","1","10","13","2","0","0","2","11","0","0","7","4","3","161","0","0","1","0","11","323","1","0","35","0","4","12","5","27","0","0","2","0","0","0","6","1"
"1830.4",NA,NA," 40","0","44","4","2","18","9","0","0","0","0","0","3","2","17","9","2","0","0","2","30","0","0","15","0","6","166","0","0","2","0","13","375","0","3","36","0","0","10","16","25","0","0","1","0","0","0","4","0"
"1847.4",NA,NA," 41","0","41","5","2","7","12","2","0","0","0","0","8","0","10","8","3","0","0","0","20","0","0","3","3","6","146","0","0","0","0","7","309","0","2","27","0","0","10","8","20","0","0","1","2","0","0","4","2"
"1881.6",NA,NA," 43","2","59","2","0","12","7","0","3","0","0","0","11","0","13","17","3","0","0","0","32","0","0","9","0","7","167","0","0","0","0","16","377","0","4","21","0","0","9","8","27","0","1","0","0","0","0","3","0"
"1915.6",NA,NA," 45","1","58","5","0","12","5","0","0","0","0","0","5","2","14","21","2","0","0","2","23","0","0","7","0","6","150","0","0","0","0","5","328","0","5","25","0","0","20","13","21","0","0","0","0","0","0","5","0"
"1969.0",NA,NA," 48","1","44","4","0","14","3","1","0","0","0","0","4","0","15","30","1","0","0","0","24","0","0","8","0","5","163","0","3","0","1","13","380","0","0","22","0","3","21","13","26","0","0","1","1","0","0","4","0"
"2003.3",NA,NA," 50","0","28","3","1","15","6","0","2","0","0","0","5","0","13","28","2","0","0","0","18","0","0","11","0","5","139","0","0","1","0","14","363","0","2","40","0","0","7","12","19","0","0","2","0","0","0","2","0"
"2038.0",NA,NA," 52","0","31","4","0","8","5","0","1","0","0","0","4","2","12","17","5","0","0","0","17","0","0","11","0","5","150","0","0","0","2","5","346","0","3","41","0","0","0","18","13","0","0","1","0","0","0","8","1"
"2072.8",NA,NA," 54","2","33","4","1","10","4","0","0","0","0","0","5","0","32","16","4","0","0","0","22","0","0","10","0","4","150","0","0","0","1","12","361","0","4","24","0","3","3","15","25","0","0","3","0","0","0","9","0"
"2107.4",NA,NA," 56","0","46","11","0","19","3","0","3","0","0","0","9","0","10","15","1","0","0","2","11","0","0","3","0","5","150","0","0","0","1","4","339","0","5","27","0","3","4","9","21","0","2","4","0","0","0","5","2"
"2141.6",NA,NA," 58","0","77","10","0","15","12","0","0","0","2","0","8","2","18","11","2","0","0","0","13","0","1","4","1","4","150","0","0","1","0","13","337","0","6","28","0","2","12","12","19","0","0","1","0","0","0","9","0"
"2176.1",NA,NA," 60","0","67","1","1","14","11","1","1","0","2","0","12","0","19","12","3","0","0","0","21","0","0","17","1","3","162","0","4","1","0","8","332","0","3","31","0","4","15","18","28","0","0","1","1","0","0","9","3"
"2209.7",NA,NA," 62","0","64","12","2","16","4","0","2","0","0","0","3","0","10","16","3","0","0","2","17","0","0","5","2","3","166","0","0","1","3","14","342","0","4","33","0","3","11","10","18","0","0","2","0","0","0","0","0"
"2243.7",NA,NA," 64","0","71","5","0","21","5","0","1","0","0","0","14","2","17","21","3","0","0","0","13","0","0","8","0","4","163","0","0","2","1","8","379","0","0","45","0","5","0","7","27","0","0","1","0","0","0","0","0"
"2277.8",NA,NA," 66","0","38","10","0","13","11","0","1","0","0","0","5","0","5","9","2","0","0","0","14","0","0","9","0","3","160","0","0","1","2","8","306","0","0","31","0","4","12","13","23","0","0","1","0","0","0","2","0"
"2312.6",NA,NA," 68","0","34","3","0","15","10","0","0","0","0","0","9","0","13","17","3","0","0","0","12","0","0","10","0","2","148","0","0","0","0","10","354","0","0","35","0","6","15","11","23","0","0","0","0","0","0","3","0"
"2347.5",NA,NA," 70","0","45","7","0","9","8","0","1","0","0","0","11","3","12","28","2","0","0","0","11","0","0","12","0","9","155","0","0","4","0","11","322","0","3","22","0","9","0","10","21","0","0","0","0","0","0","4","0"
"2364.6",NA,NA," 71","0","59","5","2","13","9","0","0","0","0","0","8","0","15","18","3","0","0","2","30","0","0","13","0","5","150","0","0","1","0","11","309","0","4","37","0","4","0","15","21","0","0","1","0","0","0","3","2"
"2381.9",NA,NA," 72","1","37","4","3","11","9","0","2","0","0","0","8","0","14","15","6","0","0","0","28","0","0","10","1","8","150","0","0","0","0","12","355","4","5","31","0","10","0","19","25","0","0","1","0","0","0","5","0"
"2399.3",NA,NA," 73","0","61","12","2","15","7","0","0","0","0","0","4","0","21","25","5","0","0","0","27","0","0","12","1","7","150","0","0","0","0","10","342","3","3","27","0","2","12","13","19","0","0","0","0","0","0","4","0"
"2416.6",NA,NA," 74","0","66","10","0","16","6","0","2","0","0","0","9","1","13","20","3","0","0","0","31","0","0","11","0","2","153","0","0","2","0","16","360","3","3","22","0","12","11","12","26","0","0","1","0","0","0","6","0"
"2433.5",NA,NA," 75","0","48","5","0","11","3","0","0","0","0","0","9","0","16","10","4","0","0","0","22","0","0","9","0","9","150","0","0","1","2","7","399","2","4","33","0","4","4","18","21","0","0","1","0","0","0","7","0"
"2450.8",NA,NA," 76","0","51","5","0","11","4","0","1","0","0","0","7","0","19","11","3","0","0","2","23","0","0","9","0","7","149","0","0","0","0","9","321","1","9","37","0","4","5","12","24","0","0","0","0","0","0","9","2"
"2468.1",NA,NA," 77","0","61","3","2","10","4","0","0","0","0","0","6","1","5","19","6","0","0","0","31","0","0","16","0","2","150","0","0","0","0","10","347","0","0","42","0","3","3","12","13","0","0","0","0","0","0","3","1"
"2485.4",NA,NA," 78","0","70","2","3","5","12","0","2","0","0","0","6","1","6","14","5","0","0","0","18","0","0","12","1","3","157","0","4","1","0","9","304","0","0","45","0","2","5","5","22","0","0","0","0","0","0","9","1"
"2502.8",NA,NA," 79","0","40","1","4","10","10","0","0","0","0","0","5","1","19","23","4","0","0","0","9","0","0","3","2","6","153","0","3","1","0","15","348","0","0","13","0","7","0","11","18","0","0","1","0","0","0","0","2"
"2520.0",NA,NA," 80","1","53","0","1","12","8","0","0","0","0","0","2","0","7","14","1","0","0","0","14","0","0","0","0","3","137","0","3","0","0","14","367","1","0","11","0","5","0","17","31","0","0","3","0","0","0","5","0"
"2536.7",NA,NA," 81","0","60","0","0","14","3","0","1","0","0","0","3","0","12","13","2","0","0","0","24","0","0","16","0","4","141","0","2","1","0","13","310","2","0","22","0","4","0","11","19","0","0","2","0","0","0","4","0"
"2553.7",NA,NA," 82","0","62","3","1","8","7","0","2","0","0","0","4","0","9","24","2","0","0","1","21","0","0","12","0","4","144","0","5","2","1","9","335","0","3","23","0","8","2","10","21","0","0","1","0","0","0","6","0"
"2570.7",NA,NA," 83","1","55","4","0","9","4","0","0","0","0","0","4","0","16","35","2","0","0","2","23","0","0","11","0","5","150","0","0","1","0","10","350","0","4","27","0","4","12","11","19","0","0","2","0","0","0","6","0"
"2587.9",NA,NA," 84","0","54","7","0","9","3","0","2","0","0","0","5","3","4","12","0","0","0","0","17","0","0","8","0","4","150","0","0","0","0","12","321","0","4","18","0","0","10","10","16","0","0","2","0","0","0","8","2"
"2604.8",NA,NA," 85","0","63","5","1","16","3","0","0","0","0","0","8","3","11","9","1","0","0","0","15","0","0","9","0","6","150","0","0","0","2","15","333","3","0","29","0","3","0","17","30","0","0","0","0","0","0","7","3"
"2621.2",NA,NA," 86","0","39","2","3","13","4","0","3","0","0","0","9","0","17","19","2","0","0","2","16","0","0","15","0","5","150","0","2","0","3","18","298","0","0","19","0","4","11","10","23","0","0","2","0","0","0","2","1"
"2637.6",NA,NA," 87","1","33","2","0","10","3","0","3","0","0","0","9","2","20","18","2","0","0","2","31","0","0","9","1","6","150","0","0","1","0","8","321","0","0","49","0","5","5","6","21","0","0","2","0","0","0","7","4"
"2654.0",NA,NA," 88","0","40","3","0","11","2","1","0","0","0","0","5","0","17","28","0","0","0","0","22","0","0","3","2","7","144","0","0","2","0","16","358","0","0","30","0","5","5","10","21","0","0","2","1","0","0","9","0"
"2670.4",NA,NA," 89","0","83","2","0","12","10","1","0","0","0","0","12","0","5","25","1","0","0","2","22","0","0","3","0","6","143","0","0","0","4","6","338","0","0","41","0","3","4","17","27","0","0","0","1","0","0","2","1"
"2686.9",NA,NA," 90","0","44","1","0","14","9","1","1","0","0","0","3","1","15","10","3","0","0","0","16","0","1","5","0","7","148","0","1","1","2","18","327","2","1","40","0","4","0","7","22","0","0","0","1","0","0","9","2"
"2703.2",NA,NA," 91","0","64","0","1","4","8","0","4","0","0","0","10","0","13","11","2","8","0","0","15","0","0","11","0","6","158","0","0","1","3","9","399","1","1","38","0","2","6","16","17","0","0","1","0","0","0","8","1"
"2720.0",NA,NA," 92","0","33","0","2","10","6","0","0","0","0","0","7","0","10","12","1","0","0","0","16","0","0","9","0","5","150","0","0","1","0","17","326","1","2","13","0","2","7","10","26","0","0","2","0","0","0","4","1"
"2737.3",NA,NA," 93","0","38","2","1","14","7","0","5","0","0","0","4","0","11","21","2","0","0","1","12","0","0","5","0","5","146","0","2","1","3","15","349","3","3","23","0","1","19","19","29","0","0","0","0","0","0","5","2"
"2754.3",NA,NA," 94","0","48","1","0","13","5","0","0","0","0","0","2","1","8","35","2","0","0","0","31","0","0","7","0","3","150","0","3","2","2","14","290","2","2","30","0","1","0","18","27","0","0","2","0","0","0","7","0"
"2771.6",NA,NA," 95","0","15","1","1","11","5","0","0","0","0","0","10","5","9","22","1","0","0","0","30","0","1","8","0","5","169","0","4","2","0","27","311","0","0","25","0","0","0","21","28","0","0","1","0","0","0","8","0"
"2791.6",NA,NA," 96","5","18","1","0","6","5","0","5","0","0","0","4","7","10","21","2","0","0","2","33","0","1","12","0","4","178","0","2","3","2","16","389","0","0","21","0","9","0","28","17","0","0","2","0","0","0","9","0"
"2812.1",NA,NA," 97","4","45","2","1","7","5","0","5","0","0","0","7","3","7","11","3","0","0","5","15","0","0","7","0","3","170","0","0","4","3","32","323","4","5","41","0","7","1","32","25","0","0","1","0","5","0","11","1"
"2833.0",NA,NA," 98","3","90","3","0","5","4","1","3","0","0","0","7","6","7","33","1","0","0","6","15","0","0","8","0","4","170","0","2","5","2","20","351","2","6","44","0","8","12","26","18","0","0","0","1","5","0","11","2"
"2853.8",NA,NA," 99","2","49","2","0","18","5","0","0","0","0","0","4","3","20","14","2","0","0","0","14","0","0","9","0","6","170","0","3","0","2","17","298","0","3","38","0","2","6","29","24","0","0","0","0","0","0","12","1"
"2874.5",NA,NA,"100","0","80","3","2","11","7","0","4","0","0","0","4","0","28","9","2","0","0","0","12","0","0","11","0","1","190","0","0","2","5","1","289","0","4","48","0","9","0","15","19","0","0","2","0","0","0","5","2"
"2904.9",NA,NA,"101","0","47","2","0","29","8","0","0","0","0","0","5","3","16","17","3","0","0","0","21","0","0","12","1","9","190","0","0","2","0","1","270","2","3","36","0","4","0","8","21","0","0","1","0","0","0","5","4"
"2935.6",NA,NA,"102","0","67","10","0","12","8","0","1","0","0","0","6","0","22","19","0","4","0","0","16","0","0","1","1","4","167","0","0","3","0","2","275","3","0","33","0","9","12","5","17","0","0","0","0","0","0","9","5"
"2966.2",NA,NA,"103","0","49","7","1","11","4","0","0","0","0","0","5","5","18","12","0","7","0","0","21","0","0","11","2","6","178","0","2","4","7","0","290","2","0","32","0","8","0","10","16","0","0","2","0","0","0","9","2"
"2997.3",NA,NA,"104","0","40","4","2","10","3","0","0","0","0","0","5","2","21","21","3","0","0","0","9","0","0","0","0","7","170","0","3","1","6","5","283","1","2","35","0","3","0","10","18","0","0","1","0","0","0","3","3"
"3028.2",NA,NA,"105","0","60","8","1","18","7","0","2","0","0","0","3","2","19","22","2","0","0","0","11","0","0","8","0","5","150","0","5","0","3","4","308","0","0","33","0","2","0","14","15","0","0","2","0","0","0","9","0"
"3083.6",NA,NA,"106","0","71","11","0","12","5","0","3","0","0","0","6","0","17","17","0","0","0","0","20","0","0","5","0","7","150","0","3","0","4","10","271","2","0","27","0","4","0","8","17","0","0","1","0","0","0","8","0"
"3139.4",NA,NA,"107","0","58","3","0","13","6","0","3","0","0","0","5","0","16","7","1","0","0","0","22","0","0","14","0","6","155","0","7","2","4","12","284","4","0","26","0","5","0","10","20","0","0","3","0","0","0","7","1"
"3194.7",NA,NA,"108","0","48","2","0","19","1","0","0","0","0","0","3","0","16","4","0","0","0","0","30","0","0","9","0","5","143","0","0","1","0","9","277","2","2","36","0","6","0","6","19","0","0","0","0","0","0","6","2"
"3304.9",NA,NA,"110","0","33","3","1","16","2","0","0","0","0","0","7","3","18","9","1","0","0","0","15","0","0","8","0","2","156","0","0","0","0","10","270","0","0","26","0","6","1","9","27","0","0","0","0","0","0","5","0"
"3422.0",NA,NA,"112","2","71","10","1","15","6","2","1","0","0","0","6","0","14","16","2","5","0","0","18","0","0","12","0","3","150","0","9","1","0","5","304","0","0","16","0","4","2","13","34","0","0","0","2","0","0","5","0"
"3539.2",NA,NA,"114","0","29","7","0","11","11","0","0","0","0","0","8","1","19","27","2","5","0","0","21","0","1","5","0","2","149","0","0","4","5","4","288","0","0","16","0","6","5","11","20","0","0","1","0","0","0","5","0"
"3653.5",NA,NA,"116","0","44","3","1","13","10","0","0","0","0","0","8","2","15","8","0","1","0","0","11","0","0","8","0","0","171","0","1","3","0","2","279","1","2","17","0","3","16","12","28","0","0","2","0","0","0","4","0"
"3765.3",NA,NA,"118","0","28","2","0","18","9","0","4","0","0","0","3","3","13","7","1","0","0","1","19","0","1","5","1","0","150","0","2","2","0","8","290","2","0","21","0","7","25","8","12","0","0","1","0","0","0","9","1"
"3930.4",NA,NA,"121","0","42","1","0","12","6","0","0","0","0","0","5","0","23","10","0","0","0","0","28","0","1","6","0","0","150","0","0","0","3","9","325","2","0","25","0","6","0","11","22","0","0","2","0","0","0","8","2"
"4038.9",NA,NA,"123","3","37","4","0","19","5","2","5","0","0","0","2","2","16","9","0","0","0","0","23","0","0","4","1","5","140","0","4","5","6","7","264","3","0","35","0","5","0","15","17","0","0","0","2","0","0","8","0"
"4147.4",NA,NA,"125","0","56","6","1","20","5","0","3","0","0","0","7","6","21","8","0","0","0","0","34","0","0","9","0","4","148","0","5","3","4","6","289","4","0","34","0","4","0","9","16","0","0","1","0","0","0","7","0"
"4244.0",NA,NA,"127","0","47","5","1","17","5","0","2","0","0","0","2","3","22","7","4","0","0","0","35","0","0","12","1","3","150","0","3","2","6","7","278","0","3","39","0","9","21","12","15","0","0","2","0","0","0","8","0"
"4387.5",NA,NA,"130","0","38","7","1","10","4","0","2","1","0","0","6","0","29","16","3","0","0","0","11","0","0","4","0","0","151","0","3","3","3","13","324","3","0","31","0","6","7","5","19","0","0","1","0","0","0","6","0"
"4456.1",NA,NA,"132","0","82","4","0","3","7","0","4","0","0","0","4","3","35","8","2","0","0","0","16","0","1","9","1","0","150","0","5","4","4","7","329","5","0","44","0","10","12","6","24","0","0","0","0","0","0","5","2"
"4524.8",NA,NA,"134","0","66","2","0","6","6","0","3","0","0","0","5","1","23","7","0","1","0","0","27","0","2","8","1","0","150","0","9","1","5","5","398","3","0","32","0","5","13","10","23","0","0","2","0","0","0","4","3"
"4558.6",NA,NA,"135","2","45","0","1","6","5","0","6","0","0","0","5","5","15","6","0","0","0","0","29","0","1","11","0","0","160","0","4","0","4","11","289","5","1","55","0","6","5","5","19","0","0","3","0","0","0","9","1"
"4586.3",NA,NA,"136","0","63","0","2","4","2","0","5","1","0","0","4","2","8","5","1","0","0","2","21","0","0","7","0","2","165","0","5","7","3","6","288","4","2","26","0","7","6","13","15","0","0","3","0","0","0","12","4"
"4614.5",NA,NA,"137","0","29","2","3","2","4","0","5","0","0","0","4","0","0","7","2","0","0","0","21","0","0","7","0","3","167","0","3","3","6","4","253","3","3","21","0","5","7","9","12","0","0","1","0","0","0","11","5"
"4642.8",NA,NA,"138","0","80","1","0","3","10","1","4","0","0","0","0","3","5","26","0","0","0","0","34","0","0","7","0","0","180","0","3","2","5","5","280","5","2","19","0","5","0","9","29","0","0","2","1","0","0","3","2"
"4670.7",NA,NA,"139","0","77","0","2","0","8","0","3","0","0","0","5","5","6","5","0","0","0","0","21","0","0","9","0","0","150","0","2","5","3","6","277","2","3","26","0","6","0","8","21","0","0","2","0","0","0","5","3"
"4698.3",NA,NA,"140","0","55","0","0","4","4","0","0","1","0","0","1","3","0","5","0","0","0","0","25","0","1","11","0","0","150","0","7","4","2","17","299","0","0","27","0","7","0","12","15","0","0","1","0","0","0","10","4"
"4731.4",NA,NA,"141","0","47","0","2","3","9","0","1","1","0","0","2","5","0","3","0","0","0","0","11","0","1","12","0","0","150","0","0","0","2","7","295","0","0","38","0","3","0","7","20","0","0","2","0","0","0","9","3"
"4764.2",NA,NA,"142","0","38","0","0","5","6","0","5","0","0","0","2","6","3","4","0","0","0","0","36","0","2","6","0","0","150","0","3","2","5","13","321","5","0","31","0","3","0","37","5","0","0","1","0","0","0","8","3"
"4796.7",NA,NA,"143","2","60","0","2","0","5","0","3","0","0","0","4","6","0","23","1","0","0","0","16","0","0","1","0","0","155","0","4","3","2","11","254","3","0","41","0","8","5","21","0","0","0","1","0","0","0","7","2"
"4829.1",NA,NA,"144","1","52","0","0","4","2","0","8","0","0","0","3","4","6","17","2","4","0","3","14","0","0","12","1","0","160","0","5","0","1","20","264","4","0","33","0","8","5","30","5","0","0","2","0","0","2","5","1"
"4861.5",NA,NA,"145","0","57","0","0","3","9","0","4","0","0","0","2","8","2","12","0","12","0","0","16","0","1","9","0","0","150","0","6","6","2","10","288","5","3","42","0","7","5","19","5","0","0","5","0","0","1","3","1"
"4907.8",NA,NA,"146","0","58","0","1","2","4","0","6","1","0","0","3","5","3","9","0","3","0","0","19","0","1","7","0","0","150","0","5","6","3","9","279","0","4","18","0","9","0","36","7","0","0","2","0","0","0","6","2"
"4954.0",NA,NA,"147","0","80","0","1","0","3","0","7","2","0","0","4","6","0","7","0","3","0","0","25","0","2","10","0","2","156","0","4","9","5","17","294","4","2","27","0","3","0","22","8","0","0","4","0","0","0","3","3"
"4999.6",NA,NA,"148","3","77","1","0","0","2","0","5","1","0","0","3","8","0","9","0","3","0","2","22","0","0","9","1","0","170","0","3","7","3","21","302","0","5","33","0","3","0","17","8","0","0","3","0","0","0","4","1"
"5043.9",NA,NA,"149","0","67","0","0","0","7","0","5","0","0","0","2","3","9","7","0","5","0","3","21","0","1","7","2","0","150","0","5","10","5","16","291","5","0","34","0","4","7","38","8","0","0","2","0","0","0","8","6"
"5088.4",NA,NA,"150","1","49","0","0","0","13","0","5","0","0","0","1","7","5","5","0","13","0","2","33","0","1","6","0","0","153","0","5","2","4","13","270","1","0","32","0","4","0","40","4","0","0","3","0","0","0","7","3"
"5137.1",NA,NA,"151","2","85","0","1","3","4","0","7","1","0","0","2","7","2","5","0","2","0","0","13","0","2","6","1","0","144","0","6","5","1","11","288","5","3","27","0","5","0","24","0","0","0","1","0","1","0","1","4"
