"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Indeterminable","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morella","Olea t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Spergularia t.","Tamarix","Taraxacum","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Vitis"
" 2695",NA,NA,"  45","3.5","0","0","0","2","6","0","0","0","0","7","0","3","1","0","1","0","0","0","0","0","1","3","1","0","0","1","0","0","3","0","0","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","964","21358","0","0","0","4","0","0","0","1","0","90","0","1","0","5","0","0","0","0","0","0","27","23","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","0","0","0"
" 2769",NA,NA,"  47","4.5","0","0","0","2","6","0","2","0","0","3","0","1","1","0","3","0","1","0","0","0","2","25","0","1","0","1","0","0","3","1","0","0","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1353","21358","0","0","0","0","0","0","0","0","0","245","2","1","0","1","0","0","0","0","0","0","20","12","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
" 2993",NA,NA,"  53","3.0","0","0","0","0","4","1","1","0","0","2","0","3","0","0","3","0","0","0","0","0","0","14","0","2","0","0","0","0","3","0","0","3","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1656","21358","0","1","0","1","0","0","0","0","0","193","3","0","0","6","0","0","0","0","0","0","23","9","9","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","2","0","0","1"
" 3127",NA,NA,"  57","3.0","0","0","0","2","2","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","14","0","1","0","0","0","1","1","0","0","2","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1688","21358","0","0","0","1","0","0","0","0","0","109","2","0","0","3","0","0","0","0","0","1","6","6","3","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","7","0","0","0"
" 3321",NA,NA,"  63","3.0","0","0","0","0","2","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","19","0","1","0","0","0","0","4","0","0","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1589","21358","0","0","0","2","0","0","0","0","0","174","0","0","0","3","0","0","0","0","0","0","14","6","4","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","2","0","0","0"
" 3451",NA,NA,"  67","4.5","0","0","0","0","6","0","0","0","0","3","0","1","2","0","1","0","0","0","2","0","1","23","1","0","0","0","0","1","3","0","0","1","6","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1444","21358","0","0","0","2","0","0","0","1","0","152","3","1","0","5","0","0","0","0","0","2","19","8","2","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","3","0","0","0"
" 3645",NA,NA,"  73","3.0","0","0","0","0","6","0","0","0","0","7","0","3","0","0","3","0","0","0","0","0","1","19","2","1","0","0","0","0","5","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1282","21358","0","0","0","3","0","0","0","0","0","206","5","1","0","4","0","0","0","0","0","2","17","6","5","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","7","0","0","0"
" 3775",NA,NA,"  77","4.0","0","0","0","0","9","0","1","0","0","3","0","2","0","0","0","1","1","0","0","0","0","18","0","2","0","0","0","2","2","0","0","1","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","819","21358","0","0","0","3","0","0","0","0","0","161","4","0","0","3","0","0","0","0","0","1","26","12","2","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","4","0","0","0"
" 3969",NA,NA,"  83","3.0","0","0","0","0","4","0","0","0","0","4","0","1","0","0","1","0","2","0","1","0","2","20","0","1","0","0","0","0","1","0","0","2","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1034","21358","0","1","0","3","0","0","0","0","0","181","5","1","0","2","0","0","0","0","0","0","24","17","1","0","0","0","0","1","0","0","0","0","5","0","0","1","0","0","0","2","0","0","0"
" 4099",NA,NA,"  87","3.5","0","0","0","0","7","0","0","0","0","1","1","3","0","0","2","0","0","0","1","0","0","11","0","1","0","0","0","0","2","0","0","2","4","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","889","21358","0","0","0","2","0","0","0","0","0","222","6","0","1","9","0","0","0","0","0","2","22","17","2","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","8","0","0","0"
" 4293",NA,NA,"  93","4.0","0","0","0","0","2","0","0","0","0","1","3","1","0","0","2","0","0","0","0","0","0","16","0","2","0","1","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1414","21358","0","0","0","2","0","0","0","1","0","313","1","1","0","3","0","0","0","0","0","2","21","8","8","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","0","0","0"
" 4410",NA,NA,"  97","5.0","0","0","0","0","7","0","1","0","0","4","0","5","0","0","2","0","0","0","0","0","1","11","0","2","0","0","0","0","1","0","0","2","7","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","6","0","0","0","1204","21358","0","0","0","0","0","0","0","1","0","148","7","1","0","2","0","0","0","0","0","0","26","23","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","4","0","0","0"
" 4533",NA,NA," 103","3.5","0","0","0","1","5","0","0","0","0","0","1","5","0","0","0","0","1","0","2","0","1","15","0","2","0","0","0","0","5","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","2952","21358","0","0","0","0","0","0","0","0","0","206","3","4","0","2","0","0","0","0","0","4","19","12","8","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
" 4614",NA,NA," 107","4.0","0","0","0","0","11","0","1","0","0","3","1","2","0","0","1","0","0","0","0","0","1","14","0","2","0","0","0","0","5","0","0","1","6","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2025","21358","0","0","0","4","0","0","0","1","0","165","1","1","0","6","0","0","0","0","0","4","29","12","4","0","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","5","0","0","0"
" 4736",NA,NA," 113","8.0","0","0","0","0","7","0","0","0","0","1","0","4","0","0","1","0","0","0","0","0","0","5","1","3","0","0","0","0","5","0","0","2","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","3499","37160","0","0","0","1","0","0","0","1","0","121","3","2","1","2","0","0","0","0","0","1","16","19","1","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","11","0","0","0"
" 4818",NA,NA," 117","8.0","0","0","0","0","11","0","0","0","0","1","0","3","0","0","1","0","0","0","1","0","1","7","1","1","0","1","0","0","2","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2584","37160","0","0","0","3","0","0","0","1","0","68","5","1","0","3","0","0","0","0","0","1","13","18","3","0","0","0","1","0","0","0","0","0","8","0","1","0","0","0","0","14","0","0","0"
" 4940",NA,NA," 123","3.0","0","0","0","0","2","0","0","0","0","2","0","4","0","0","0","0","1","0","0","0","0","14","2","3","0","0","0","0","2","0","0","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1825","21358","0","0","0","0","0","0","0","0","0","140","1","0","0","3","0","0","0","0","0","1","14","10","4","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","5","0","0","0"
" 5021",NA,NA," 127","4.5","0","0","0","1","6","0","1","0","0","6","1","5","0","0","1","0","0","0","0","0","0","4","0","1","0","0","0","0","4","0","0","2","11","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","701","21358","0","0","0","1","0","0","0","2","0","111","3","0","0","1","0","0","0","0","0","1","25","14","3","0","0","0","0","0","0","1","0","0","15","0","0","0","0","0","1","5","0","1","0"
" 5144",NA,NA," 133","3.5","0","0","0","0","3","0","0","1","0","4","0","3","0","0","0","0","3","0","0","0","0","15","0","1","0","0","0","1","3","0","0","2","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","1741","21358","0","1","0","3","0","0","0","5","0","219","4","1","0","1","0","0","0","0","0","1","21","13","2","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","5","0","0","0"
" 5225",NA,NA," 137","4.0","0","0","0","1","3","0","1","0","0","0","1","3","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","2","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","965","21358","0","0","0","1","0","0","0","1","0","144","9","1","0","6","0","0","0","0","0","0","27","11","2","1","0","0","1","0","0","1","0","0","11","0","0","0","0","0","0","1","0","1","0"
" 5347",NA,NA," 143","3.5","0","0","0","0","7","0","0","0","0","3","0","3","0","0","4","0","0","0","0","0","0","11","4","1","0","0","0","0","4","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2499","21358","0","0","0","5","0","0","0","3","0","242","7","1","1","2","0","0","0","0","0","0","20","7","3","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","9","0","0","1"
" 5429",NA,NA," 147","3.0","0","0","0","0","9","0","0","0","0","2","0","2","0","0","1","0","0","0","0","0","0","3","0","4","0","0","0","0","4","0","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1473","21358","0","0","0","1","0","0","0","0","0","124","8","0","0","5","0","0","0","0","0","1","34","15","1","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","3","0","0","1"
" 5551",NA,NA," 153","2.0","0","0","0","0","3","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","3","0","0","1","6","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","1356","21358","0","0","0","0","0","0","0","1","0","114","8","0","0","5","0","0","0","0","0","1","35","12","8","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
" 5632",NA,NA," 157","3.5","0","0","1","1","2","0","3","0","0","0","0","2","0","0","1","0","1","0","0","0","0","8","0","2","0","0","0","1","6","0","0","3","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2020","21358","0","0","0","4","0","0","0","0","0","173","7","2","0","3","0","0","0","0","0","0","27","14","5","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","6","0","0","0"
" 5755",NA,NA," 163","3.0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","2","0","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","1963","21358","0","0","0","2","0","0","0","0","0","120","4","1","0","3","0","0","0","0","0","1","25","8","1","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","0","0","0"
" 5836",NA,NA," 167","3.5","1","0","0","1","1","0","4","0","0","1","0","5","0","0","0","0","2","0","0","0","0","17","1","5","0","1","0","0","3","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1752","21358","0","0","0","0","0","0","0","1","0","274","1","1","1","4","0","0","0","0","0","1","30","17","3","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","3","0","0","0"
" 5958",NA,NA," 173","3.5","1","0","0","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","6","0","0","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1735","21358","0","0","0","2","0","0","0","1","0","128","2","1","0","9","0","0","0","0","0","0","30","9","4","1","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","6","0","0","0"
" 6040",NA,NA," 177","4.0","0","0","0","1","2","0","0","0","0","1","2","5","0","0","0","0","0","0","0","0","0","12","1","0","0","1","0","1","1","0","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","1037","21358","0","0","0","2","0","0","0","2","0","127","5","2","0","5","1","0","0","0","0","1","37","9","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","7","0","0","0"
" 6170",NA,NA," 183","3.0","0","0","0","1","4","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","1","8","0","1","0","0","0","0","4","0","1","1","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3527","21358","0","0","0","0","0","0","0","0","0","221","2","0","0","1","0","0","0","0","0","1","29","13","7","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","3","0","0","0"
" 6258",NA,NA," 187","4.5","0","0","0","0","1","1","1","0","0","0","0","4","0","0","1","0","1","0","0","0","0","16","0","3","0","0","0","0","4","0","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1545","21358","0","0","0","1","0","0","0","0","0","117","7","1","0","3","0","0","0","0","0","3","28","13","2","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","4","0","0","0"
" 6390",NA,NA," 193","4.0","1","0","0","0","5","0","0","0","0","2","0","2","0","0","0","0","0","0","1","0","0","11","1","0","0","0","0","1","4","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2832","21358","0","0","0","0","0","0","0","1","0","238","3","1","0","1","0","0","0","0","0","0","35","13","4","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","3","0","0","0"
" 6478",NA,NA," 197","3.5","0","0","0","1","5","0","0","0","0","4","0","4","0","0","1","0","1","0","0","0","1","6","0","0","0","1","0","1","3","0","0","2","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","1400","21358","0","0","0","1","0","0","0","0","0","112","5","0","0","5","0","0","0","0","0","0","31","15","3","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","10","0","0","1"
" 6610",NA,NA," 203","5.0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","1","0","1","0","0","1","0","0","2","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","2290","21358","0","0","0","0","0","0","0","0","0","101","2","2","0","7","0","0","0","0","0","0","24","11","3","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","2","0","0","0"
" 6698",NA,NA," 207","3.0","0","0","0","1","6","0","0","1","0","2","0","3","1","0","1","0","0","0","0","0","0","6","0","0","0","2","0","0","8","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","594","21358","0","0","0","9","0","0","0","1","0","77","7","0","0","3","0","0","0","0","0","0","34","14","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1"
" 6786",NA,NA," 211","4.0","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","2","0","0","0","0","8","0","1","0","1","0","1","7","0","0","1","2","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","523","21358","0","0","0","7","0","0","0","2","0","125","6","0","0","8","0","0","0","0","0","0","24","16","3","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
" 6830",NA,NA," 213","3.5","0","0","0","0","7","1","2","0","0","2","0","4","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","9","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","980","21358","0","1","0","1","0","0","0","0","0","162","3","1","0","2","0","0","0","0","0","1","29","12","8","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","9","0","0","0"
" 6962",NA,NA," 219","3.5","0","0","0","0","2","0","1","0","0","1","1","4","0","0","1","0","0","0","1","0","0","9","0","1","0","0","0","0","8","0","0","3","2","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1402","21358","0","0","0","1","0","0","0","1","0","111","4","1","0","7","0","0","0","0","0","0","28","13","2","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","6","0","0","1"
" 7050",NA,NA," 223","3.0","0","0","0","0","8","0","0","0","0","2","0","3","0","0","1","0","0","0","0","0","1","8","0","0","0","0","0","0","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","322","21358","0","0","1","0","0","0","0","0","0","181","10","1","0","4","0","0","0","0","0","0","32","27","6","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","6","0","0","0"
" 7138",NA,NA," 227","3.5","0","1","0","1","6","0","0","0","0","2","1","4","0","0","2","0","1","0","0","0","0","7","0","0","0","1","0","0","8","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1348","21358","0","0","2","6","0","0","0","0","0","132","3","0","0","2","0","0","0","0","0","0","29","22","5","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0"
" 7270",NA,NA," 233","3.5","0","0","0","0","6","0","0","0","0","5","0","3","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","1","4","0","0","4","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1610","21358","0","0","0","2","0","0","0","1","0","166","3","1","0","4","0","0","0","0","0","0","18","11","3","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","11","0","0","1"
" 7358",NA,NA," 237","3.0","0","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","1","0","1","1","0","11","0","1","0","1","0","0","5","0","0","1","4","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","2547","21358","0","0","0","2","0","0","0","2","0","242","7","2","0","11","0","0","0","0","0","1","43","13","2","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","1","2","0","0","0"
" 7529",NA,NA," 243","4.0","0","0","0","0","5","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","13","0","1","0","1","0","1","7","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1918","21358","0","0","0","2","0","0","0","1","0","227","1","3","0","3","0","0","0","0","0","0","24","15","2","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","10","0","0","0"
" 7649",NA,NA," 247","3.5","0","0","0","2","4","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","13","0","2","0","1","0","0","3","0","0","1","2","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","1750","21358","0","0","0","1","0","0","0","1","0","243","2","0","0","3","0","0","0","0","0","1","45","10","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","7","0","0","0"
" 7768",NA,NA," 251","2.5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","16","0","2","0","0","0","0","6","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2081","21358","0","0","0","3","0","0","0","0","0","297","4","1","0","2","0","0","0","0","0","0","38","12","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","9","0","0","0"
" 7947",NA,NA," 257","5.0","0","0","0","0","3","0","0","1","0","0","0","1","1","0","1","0","1","0","0","0","0","11","0","1","0","2","0","0","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1120","21358","0","0","1","3","0","0","0","1","0","282","3","1","0","5","0","0","0","0","0","0","46","6","5","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","12","0","0","0"
" 8126",NA,NA," 263","3.5","0","1","0","1","3","0","1","0","0","0","0","4","0","0","0","0","0","0","0","1","0","8","0","2","0","0","0","0","5","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1086","21358","0","0","0","4","0","0","0","0","0","187","5","0","0","0","0","0","0","0","0","0","28","19","5","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","4","0","0","0"
" 8245",NA,NA," 267","3.5","0","0","0","0","4","1","1","0","0","1","0","2","0","0","4","0","1","0","2","0","0","12","1","1","0","0","0","1","5","0","0","2","4","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","11","1","0","0","1615","21358","0","0","0","1","0","0","0","1","0","267","0","1","0","1","0","0","0","0","0","0","37","24","7","1","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","1","0","0","1"
