"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betulaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fagus","Fraxinus","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Spermatophyta undiff. (cf. upland herbs)","Spike","Tilia","Tracheophyta undiff. (aquatic plants)","Ulmus t.","Unknown"
"2449",NA,NA," 396","   6","   0","   0","   1","   5","   1","   1","  13","   3","   1","   2","   0","   5","   0"," 157","   0","   1","   0","   0","   4","  49","   0","   2","  56","   0","  43","   3","   1","   0","   0","   3","  87","   0","   2","   1","   6"
"2499",NA,NA," 404","  14","   0","   0","   0","   1","   1","   0","  11","   2","   0","   0","   0","   1","   1"," 150","   0","   0","   0","   3","   0","  51","   0","   0","  34","   0","  45","   0","   1","   0","   0","   1"," 133","   0","   0","   0","  24"
"2600",NA,NA," 420","  12","   0","   1","   3","   2","   1","   3","  17","   7","   6","   0","   1","   2","   0"," 183","   0","   0","   1","   4","   2","  45","   0","   2","  83","   1","  29","   1","   0","   1","   0","   5"," 100","   0","   6","   0","  18"
"2701",NA,NA," 436","  17","   0","   0","   5","   5","   0","   1","   5","   0","   4","   1","   4","   4","   0","  51","   0","   2","   0","   1","   0","  35","   0","   1"," 161","   2","  12","   1","   0","   0","   0","   7"," 112","   0","   4","   0","  40"
"2801",NA,NA," 452","  16","   0","   2","   3","   7","   2","   9","   4","   1","   2","   3","   6","   6","   2","  49","   0","   0","   0","   0","   0","  56","   0","   2"," 146","   0","  21","   1","   1","   0","   0","   5","  74","   0","   0","   0","  12"
"2852",NA,NA," 460","  18","   0","   0","  10","  21","   0","   4","   4","   3","  22","   9","  18","  10","   2","  28","   0","   0","   1","   0","   1","  48","   0","   2"," 223","   0","  17","   5","   2","   0","   0","  15","  70","   0","   5","   1","  50"
"2902",NA,NA," 468","   7","   1","   1","   5","  17","   0","   7","   7","   0","   8","   4","  10","   1","   0","  32","   1","   0","   4","   0","   1","  38","   4","   7"," 214","   3","  19","   7","   2","   0","   0","   7","  93","   0","   0","   0","  84"
"3003",NA,NA," 484","  19","   0","   2","   2","   3","   3","   9","  10","   0","  11","   2","   6","   3","   2","  50","   0","   1","   0","   0","   1","  67","   0","   2"," 112","   1","  14","   2","   3","   1","   0","   3"," 132","   0","   2","   0","  20"
"3053",NA,NA," 492","  12","   0","   0","   0","   5","   1","   7","   3","   0","   7","   1","   3","   5","   0","  74","   0","   0","   0","   2","   0","  35","   1","   1"," 118","   3","   7","   1","   3","   0","   0","   3","  78","   0","   2","   0","  34"
"3103",NA,NA," 500","  12","   0","   2","  11","  10","   0","   6","   5","   0","  22","   6","  14","   2","   0","  13","   0","   0","   0","   0","   0","  51","   2","   3"," 141","   4","  11","   5","   6","   0","   0","   3"," 225","   0","   5","   0","  64"
"3141",NA,NA," 506","   8","   0","   2","  13","  11","   0","   0","   4","   0","  12","   2","   7","   7","   0","  38","   0","   0","   0","   1","   1","  37","   1","   0"," 144","   3","  10","   2","   0","   0","   0","   0"," 215","   0","   2","   2","  18"
"3206",NA,NA," 516","   8","   0","   3","  10","  20","   3","   3","   8","   2","  14","   5","   9","   6","   0","  21","   0","   1","   1","   0","   2","  45","   2","   4"," 156","   2","   6","   0","  11","   1","   0","  14"," 179","   0","   7","   1","  50"
"3312",NA,NA," 532","   4","   1","   2","   9","   5","   1","   1","  12","   3","   3","   5","   6","   6","   0","  15","   0","   1","   0","   0","   2","  50","   0","   0","  96","   4","  37","   0","   3","   0","   0","   7"," 133","   1","   9","   2","  36"
"3365",NA,NA," 540","   9","   1","   1","   1","   2","   1","   5","  22","   5","   8","   3","   5","   5","   0","  28","   0","   1","   0","   4","   3","  30","   1","   0"," 204","   1","  33","   4","  16","   0","   0","  11"," 253","   0","  29","   0","  34"
"3472",NA,NA," 556","  10","   3","   0","   3","   1","   0","   2","  19","   3","   1","   5","   3","   4","   1","  23","   0","   1","   0","   2","   1"," 129","   0","   3"," 109","   1","  37","   0","   7","   0","   1","   5"," 171","   0","  19","   1","   0"
"3525",NA,NA," 564","  17","   3","   0","   1","   4","   0","   2","  19","   1","   0","   0","   2","   6","   1","  45","   0","   4","   2","   0","   1","  97","   0","   2","  87","   0","  30","   0","   8","   0","   0","   5","  55","   0","  38","   2","   2"
"3578",NA,NA," 572","  15","   1","   1","   1","   3","   2","   0","  22","   3","   1","   0","   0","   5","   1","  35","   0","   3","   0","   0","   2","  83","   0","   2"," 115","   2","  22","   3","   6","   0","   2","   5","  65","   0","  27","   1","  14"
"3658",NA,NA," 584","   6","   1","   2","   0","   3","   0","   4","  11","   1","   1","   2","   1","   4","   0","  82","   0","   2","   1","   0","   1"," 101","   0","   2","  98","   0","  37","   3","  14","   0","   1","   6"," 128","   1","  34","   1","  10"
"3738",NA,NA," 596","  21","   0","   2","   3","   6","   3","   1","  27","   2","   1","   2","   2","   2","   0","  21","   0","   0","   0","   0","   6","  66","   1","   1","  53","   0","  35","   0","   2","   1","   0","   4","  44","   0","   2","   1","  10"
"3844",NA,NA," 612","  11","   1","   0","   1","   6","   2","   3","   9","   2","   2","   0","   3","  10","   0","  40","   0","   2","   1","   0","   0","  58","   0","   2"," 102","   0","  10","   3","  10","   0","   0","   3"," 122","   0","   4","   1","  16"
"3950",NA,NA," 628","   4","   0","   4","   2","   8","   2","   2","  13","   0","   6","   4","   2","   2","   0","  35","   0","   0","   3","   1","   1","  46","   0","   1","  81","   0","  20","   8","   5","   0","   0","   2","  86","   0","   4","   1","  10"
"4057",NA,NA," 644","   6","   0","   0","   1","   8","   2","   2","   5","   1","   2","   0","   2","   5","   1","  41","   0","   8","   0","   0","   0","  42","   0","   0","  92","   1","  17","   3","   4","   1","   0","   1"," 120","   0","   8","   0","  16"
"4163",NA,NA," 660","   1","   2","   1","   3","   0","   0","   2","  21","   0","   4","   2","   0","   3","   0","  64","   0","   1","   0","   0","   2","  43","   2","   0"," 114","   3","  14","   0","  10","   0","   0","   8","  99","   0","  11","   0","  12"
"4269",NA,NA," 676","   7","   0","   1","   0","   4","   3","   5","  22","   4","   3","   1","   1","   3","   0","  14","   0","   2","   0","   0","   1","  80","   0","   1","  87","   3","  30","   0","   0","   0","   0","   6","  76","   1","   8","   2","  36"
"4309",NA,NA," 682","   8","   0","   2","   5","   9","   2","   3","  19","   3","   2","   6","   4","   3","   0","  46","   0","   1","   0","   3","   4","  48","   0","   3"," 122","   4","  22","  29","  22","   0","   2","   3","  83","   2","   7","   0","  40"
"4369",NA,NA," 692","   5","   2","   1","   1","   3","   0","   2","   8","   0","  13","   3","   2","   7","   1","  25","   0","   0","   0","   0","   1","  23","   0","   1","  89","   2","  14","   0","   1","   1","   0","   6","  28","   2","  11","   1","  38"
"4421",NA,NA," 708","   2","   1","   1","   4","   3","   3","   1","   4","   0","   5","   1","   2","   3","   0","  12","   0","   1","   0","   0","   0","  51","   0","   1","  79","   2","  11","   1","  22","   0","   0","   6","  68","   2","   7","   0","  10"
"4579",NA,NA," 756","  13","   0","   1","   4","   3","   2","   0","  27","   5","   2","   1","   1","   4","   0","  31","   0","   1","   0","   1","   2","  45","   0","   0"," 100","   1","  24","   2","   8","   0","   0","   1","  94","   0","   8","   1","  30"
"4632",NA,NA," 772","  12","   0","   1","   2","   2","   0","   4","  24","   2","   2","   2","   0","   7","   0","  27","   0","   0","   0","   0","   2","  47","   0","   2","  83","   0","  32","   1","  17","   1","   0","   4","  58","   0","   4","   1","  26"
"4684",NA,NA," 788","   6","   1","   2","   1","   1","   0","   1","   4","   5","   6","   0","   0","   6","   0","   9","   0","   0","   2","   2","   5","  30","   0","   4","  37","   0","  38","   0","   3","   1","   0","   4","  75","   1","   9","   0","  16"
"4737",NA,NA," 804","  20","   8","   1","   2","   4","   0","   0","  27","   4","   0","   1","   1","  17","   0","  28","   0","   0","   4","   2","   3","  47","   0","   3"," 111","   0","  60","   1","   8","   0","   0","   3","  43","   0","   8","   0","   4"
"4789",NA,NA," 820","  23","   4","   7","   1","   3","   4","   4","  31","   1","   0","   1","   2","   5","   0","  58","   0","   1","   0","   0","  10","  70","   0","   2","  96","   2","  68","   0","  10","   0","   0","   7","  40","   2","   4","   0","  18"
"4842",NA,NA," 836","  37","   2","   1","   2","   3","   0","   1","  21","   3","   1","   3","   0","   5","   0","  25","   0","   2","   0","   1","   0","  54","   0","   1","  60","   2","  19","   2","  14","   1","   0","   1","  46","   0","   5","   1","  26"
"4895",NA,NA," 852","  41","   1","   2","   2","   3","   1","   0","  25","   6","   1","   2","   2","   4","   1","   4","   0","   1","   0","   0","   2","  23","   0","   0","  24","   0","  26","   0","   1","   0","   0","   3","  80","   0","   1","   0","   2"
"4947",NA,NA," 868","  13","   2","   1","   4","   1","   2","   1","  46","   5","   2","   1","   0","   5","   4","  25","   0","   0","   0","   0","   6","  52","   0","   0","  55","   1","  54","   0","  10","   0","   1","   3","  47","   1","  27","   1","  12"
"5000",NA,NA," 884","  32","   7","   2","   9","   9","   1","   1","  21","   5","   4","   3","   0","   4","   0","  10","   0","   1","   0","   0","   2","  40","   0","   1","  57","   0","  20","   0","   7","   3","   0","   3","  26","   1","   5","   0","  18"
"5052",NA,NA," 900","  57","   4","   2","  32","   4","   0","   5","  32","   2","   8","   1","   1","   1","   2","  36","   0","   1","   2","   0","   2","  37","   0","   4","  77","   0","  17","   3","   3","   0","   0","  10","  73","   0","   2","   0","  56"
"5152",NA,NA," 916","   1","   2","   1","  18","   5","   0","   3","   4","   0","   3","   1","   1","   3","   2","  14","   0","   0","   8","   2","   0","  42","   6","   1","  42","   2","  25","   1","   0","   2","   0","   4","  41","   2","   6","   2","  42"
"5332",NA,NA," 932","  31","   1","   1","  10","   8","   0","   6","   7","   2","   5","   4","   4","   2","   1","  13","   0","   3","   2","   0","   1","  48","   0","   5","  74","   1","  19","   4","   2","   1","   0","   4","  60","   1","   3","   0","   6"
"5512",NA,NA," 948","  27","   2","   3","   3","   1","   2","   1","  33","  14","   1","   2","   2","   1","   0","  29","   0","   1","   0","   0","   0","  54","   0","   2","  86","   0","  52","   7","   5","   3","   0","   1","  64","   1","  10","   1","  58"
"5691",NA,NA," 964","  24","   3","   3","   6","   2","   3","   8","  43","  29","   2","   1","   2","   7","   1","  14","   0","   1","   3","   0","   7","  41","   1","   3","  79","   0","  40","   0","  13","   1","   0","   3"," 118","   0","   4","   2","  12"
"5871",NA,NA," 980","  52","  10","   2","   4","   1","   2","   0","  89","  72","   0","   3","   5","  18","   0","  63","   0","   1","   0","   0","   4","  98","   0","   7","  55","   0"," 129","   0","  14","   2","   0","   7","  89","   3","   1","   1","  14"
"6006",NA,NA," 992","  35","   4","   2","   4","   3","   0","   3","  12","   1","   4","   3","   3","   5","   0","  23","   0","   1","   0","   0","   0","  46","   0","   2","  66","   0","  29","   0","   3","   0","   0","   5","   0","   1","   5","   0","   4"
"6230",NA,NA,"1012","  16","   4","   3","  81","  15","   2","   6","  26","   0","   6","   6","   6","   1","   0","  14","   0","   0","   0","   0","   6","  25","   0","   1","  79","  16","  16","   3","   7","   0","   0","   5","  22","   1","  21","   0","  56"
"6500",NA,NA,"1036","  27","  25","   0","  23","  12","   1","   5","  24","   2","  10","  10","   6","   4","   0","   5","   0","   0","   3","   0","   1","  52","   1","   2","  78","   1","  41","   0","   2","   2","   0","   5","  59","   2","   5","   1","  30"
"6589",NA,NA,"1044","  23","  13","   0","   9","   8","   2","   4","  47","  10","   7","   4","   1","   8","   0","  42","   0","   0","   3","   0","   2","  59","   0","   2","  57","   1","  56","   1","   1","   1","   1","   8","  83","   2","  24","   0","  58"
"6769",NA,NA,"1060","  36","   7","   0","   2","   4","   0","   3","  63","  10","   1","   0","   0","   4","   0","  13","   0","   1","  10","   1","   1"," 110","   0","   1","  74","   1","  69","   2","   3","   1","   0","   7","  96","   1","   2","   5","   4"
"6949",NA,NA,"1076","  21","   1","   1","   4","   1","   1","   0","  58","   1","   0","   0","   1","   3","   0","  17","   0","   0","   0","   0","   8","  31","   0","   0","  51","   0","  31","   0","   1","   0","   0","   2","  63","   1","  10","   4","  18"
"7039",NA,NA,"1084"," 113","  25","   1","   1","   6","   1","   1"," 158","  13","   1","   0","   1","  39","   1","   8","   0","   3","  19","   0","   9"," 122","   1","   6","  55","   0"," 104","   3","   6","   1","   0","  15"," 120","   3","   0","  34","   6"
"7128",NA,NA,"1092","  53","  10","   1","   0","  10","   0","   2","  95","   3","   2","   0","   2","  14","   1","  23","   0","   1","  27","   0","   3","  70","   0","   0","  51","   1","  71","   1","   8","   9","   0","  11","  82","   5","  17","  22","  18"
"7218",NA,NA,"1100"," 114","   7","   1","   0","   5","   1","   2"," 134","   3","   1","   1","   1","   6","   0","  10","   1","   0","  13","   2","   0","  87","   0","   1","  28","   0","  92","   2","   2","   4","   0","   3","  99","  12","   6","  18","  28"
"7474",NA,NA,"1108","  94","   9","   4","   3","   0","   0","   3","  37","   0","   1","   0","   0","   2","   0","   7","   0","   0","   5","   0","   3","  72","   3","   5","  28","   1","  58","   0","   2","  10","   0","   5"," 120","   2","   4","   0","  34"
"7729",NA,NA,"1116","  91","   2","   3","   0","   2","   1","   1","  44","   0","   0","   0","   0","   1","   0","   8","   1","   0","  15","   0","   5"," 105","   0","   2","  45","   0"," 104","   0","   2","   6","   1","   6","  78","  15","  13","  19","   6"
"7984",NA,NA,"1124","  21","   0","   1","   4","   2","   1","   1","   7","   1","   0","   0","   1","  11","   0","   8","   0","   1","   0","   0","   7","  52","   0","   2","  17","   0","  53","   1","   1","   5","   0","   4","  56","   8","   8","  12","  38"
"8495",NA,NA,"1140","  33","   4","   6","   3","   2","   2","   1","   8","   0","   0","   1","   1","  13","   0","  12","   0","   0","   0","   0","   6","  46","   0","   0","  35","   1","  71","   1","   4","   6","   0","   2","  53","  11","   6","   8","  22"
"9006",NA,NA,"1156","   9","   3","   1","   0","   1","   0","   3","   3","   0","   1","   0","   0","   5","   1","  10","   0","   1","   0","   0","   7","  39","   1","   0","  20","   0","  59","   0","   5","   0","   1","   0","  43","   3","   2","   7","  26"
"9261",NA,NA,"1164","   8","   0","   4","   0","   3","   3","   1","   2","   0","   0","   0","   0","  11","   2","   5","   0","   1","   2","   0","   2","  76","   0","   2","  51","   0","  73","   1","   9","   2","   1","   3"," 187","   0","   5","   9","  64"
"9517",NA,NA,"1172","   8","   0","   1","   2","   1","   1","   2","   2","   0","   1","   0","   1","   4","   0","   9","   0","   2","   1","   0","  10","  61","   1","   2","  68","   1"," 113","   1","   7","   1","   9","   1"," 123","   5","  14","   7","  16"
"9772",NA,NA,"1180","  15","   1","   0","   4","   0","   0","   1","   2","   0","   2","   0","   0","   7","   1","   6","   1","   0","   0","   1","   1","  79","   3","   4","  34","   0"," 102","   0","   3","   1","   2","   1","   0","   0","   4","   1","  12"
"10027",NA,NA," 1188","    8","    5","    1","    3","    3","    4","    6","    5","    1","    0","    1","    1","    5","    3","   17","    1","    0","    4","    0","    0","   90","    0","    1","   50","    1","   93","    0","    5","   15","   15","    8","  197","    2","   22","   14","   26"
"10283",NA,NA," 1196","    6","    1","    2","   14","   10","   10","    6","    5","    0","    2","    0","    3","    5","    0","    3","    2","    0","    2","    0","    8","   50","    0","    0","  117","    1","  133","    2","   20","    7","    0","    6","  114","    0","    6","    7","   14"
"11013",NA,NA," 1212","    4","    1","    3","   17","   24","   12","   11","    1","    0","    6","    1","   11","    1","    1","    4","    1","    0","    0","    0","    0","   58","    0","    2","   88","    0","   48","   12","   12","   10","    0","    5","  208","    1","   22","    1","  124"
"11414",NA,NA," 1220","    2","    0","    1","    6","    6","    7","    2","    4","    1","    1","    1","    0","    1","    0","    6","    0","    1","    0","    0","    0","   18","    0","    1","   41","    0","   50","    1","    5","    0","    1","    1","   61","    0","    4","    0","   24"
"11816",NA,NA," 1228","    0","    0","    1","   17","   10","    2","    5","    5","    0","    2","    0","    4","    1","    0","   15","    2","    0","    0","    0","    0","   39","    0","    0","   82","    0","   64","    1","    8","    4","    1","    9","  152","    1","   48","    0","   12"
"12217",NA,NA," 1236","    2","    0","    0","   18","    4","   57","    6","    3","    0","    7","    5","    1","    1","    0","   28","    0","    0","    0","    0","    0","   34","    0","    3","   65","    1","   15","    1","    1","    0","    0","    2","   63","    0","    2","    0","    8"
"12418",NA,NA," 1240","    2","    0","    1","   15","    5","   51","   12","    2","    0","    3","    2","    5","    2","    3","   18","    1","    0","    0","    0","    0","   74","    0","    0","   92","    0","   18","    2","    8","    1","    0","    0","  159","    1","    0","    0","   42"
"12619",NA,NA," 1244","    9","    0","    4","   32","   11","   89","   12","    3","    0","   10","    0","    9","    1","    3","   14","    1","    0","    0","    0","    0","   84","    0","    0","   97","    0","   25","    4","    3","    0","    0","    1","  182","    1","    0","    3","   32"
