"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Globularia","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium annotinum","Lycopodium spike","Lycopodium tablets","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus mediterranea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Prunus t.","Pseudoschizaea","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Saxifragaceae","Scrophulariaceae undif.","Searsia","Smilax","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Undetermined diatom","Unknown","Urtica t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus"
"3685",NA,NA,"360","1","0","0","0","0","6","15","0","0","2","0","0","1","1","4","1","0","2","0","0","0","1","0","0","0","0","3","5","5","0","0","10","0","0","0","268","0","0","0","0","0","3","1","0","15","0","0","0","0","0","0","0","14","0","0","3","2","0","0","183","0","0","0","0","0","0","0","0","9","2","6","0","0","2","0","0","6","7","6","0","14","0","0","0","15","0","1","0","12","60","5","0","0","0","0","0","2","10","1","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0"
"3777",NA,NA,"370","1","0","0","0","0","10","17","1","0","4","0","1","0","2","4","0","0","2","1","0","0","0","0","0","0","0","2","7","3","0","1","8","0","0","1","254","0","0","0","0","0","6","3","3","3","0","0","0","0","0","0","0","28","0","0","2","0","0","0","195","0","0","0","1","0","0","0","0","12","3","3","0","1","5","0","0","11","18","3","0","12","1","0","0","16","0","0","0","12","85","38","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","3","0","0","1","0","0","1","0","0","0","1","0","0","0"
"3982",NA,NA,"392","1","0","0","0","1","13","10","0","2","0","1","0","0","2","9","0","0","0","0","0","0","0","0","0","1","0","7","8","7","0","8","10","0","0","0","199","0","0","0","0","0","7","1","5","9","0","0","0","0","0","0","0","25","0","0","2","1","0","0","193","0","0","0","0","0","0","0","0","8","2","4","0","0","1","0","0","11","21","3","0","13","0","1","0","26","0","0","0","12","61","10","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4258",NA,NA,"420","1","0","1","0","0","11","12","0","0","3","0","1","1","2","4","0","0","0","0","1","0","1","0","0","0","0","5","18","2","0","4","12","0","0","0","261","0","1","0","0","0","4","3","3","5","0","0","0","0","1","0","2","15","0","0","1","0","0","0","191","0","0","0","1","0","0","0","0","10","8","5","0","0","10","0","0","8","15","4","0","11","0","0","0","7","0","0","0","22","96","19","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0"
"4300",NA,NA,"424","1","0","0","0","0","5","14","1","3","0","1","0","3","1","8","0","0","5","0","0","0","0","0","0","0","0","0","10","0","0","3","10","0","0","0","232","0","0","0","0","1","5","2","0","7","0","0","0","0","0","0","0","10","0","0","3","0","0","0","168","0","0","0","0","1","0","1","0","21","7","2","0","0","2","0","1","7","14","3","0","14","0","0","0","13","0","0","0","19","78","5","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4363",NA,NA,"430","1","0","0","0","0","10","17","1","2","0","0","0","6","2","5","0","0","3","0","0","0","0","0","0","0","0","1","9","3","0","4","9","0","0","0","231","0","0","0","0","0","8","2","3","13","0","0","1","0","0","0","0","5","0","0","2","1","0","0","113","0","0","0","0","0","0","0","2","19","4","3","0","0","7","0","0","4","11","2","0","10","0","0","0","15","0","0","0","14","59","10","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"4429",NA,NA,"436","1","0","0","0","0","7","16","1","3","1","0","2","0","1","5","1","0","3","0","0","0","0","0","0","0","0","3","3","1","0","5","9","0","0","0","216","0","0","0","0","0","7","2","3","1","0","0","0","0","0","0","0","7","0","0","3","0","0","0","152","0","0","0","0","0","0","0","0","17","4","5","0","0","4","0","0","9","18","6","0","18","1","0","0","17","0","0","0","22","72","11","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4496",NA,NA,"442","1","0","0","0","0","8","12","1","3","2","0","0","2","1","8","2","0","3","0","0","0","0","0","0","0","0","7","9","4","0","3","10","0","0","0","208","0","0","0","0","0","3","2","2","14","0","0","0","0","0","0","0","7","0","0","4","0","0","0","140","0","0","0","0","0","0","0","1","14","3","3","0","0","6","0","1","15","15","2","0","16","0","0","0","12","0","0","0","23","53","13","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","3","0","0","0","0","0"
"4590",NA,NA,"450","1","0","0","0","0","9","16","1","0","1","0","3","1","0","2","0","0","2","0","0","0","0","0","0","0","0","3","8","6","0","8","6","0","0","1","223","0","0","0","0","0","3","1","1","6","0","0","0","0","0","0","0","8","0","0","0","0","0","0","185","0","0","0","0","0","0","0","0","15","11","2","0","0","5","0","0","7","31","6","0","15","0","0","0","9","0","0","0","16","67","8","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4662",NA,NA,"456","1","0","0","0","0","14","14","0","4","0","0","1","1","0","6","1","0","6","0","0","0","0","0","0","0","0","2","8","7","0","4","10","0","0","0","221","0","0","0","0","0","7","2","2","9","0","0","0","0","0","0","0","4","0","0","6","0","0","0","158","0","0","0","0","0","0","0","1","19","4","7","0","0","5","0","0","7","31","5","0","16","0","0","0","8","0","0","0","9","46","12","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","1","0","0","0","0","0"
