"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Lamiaceae undif.","Linum t.","Lythrum","Myriophyllum undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown","Vitis"
"725",NA,NA," 50","  0","  0","  1","  3"," 12","  0"," 10","  1"," 16","  0","  0","  0","  0","  7","  1","  5","  1","  0","  3"," 86","  0","  0"," 53"," 10","  9","  1","  1","  9","  0","  5","  2","  0","  1","  0","  0","  0","  4","  0","  2","  0","  3","  0"," 22","134","  1"," 31","  7","  2","  0","  8","  5","  5","  2","  1","  0","  0","  0","  7","  2"
"788",NA,NA," 55","  0","  2","  0","  5"," 44","  0","  6","  0"," 19","  0","  1","  0","  0","  3","  0"," 11","  0","  0","  2","125","  0","  0"," 15"," 13","  6","  3","  7"," 13","  0","  4","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0"," 29","155","  0"," 24","  8","  4","  2","  9","  7","  2","  7","  0","  0","  0","  0","  7","  4"
"850",NA,NA," 60","  0","  4","  3","  1"," 21","  0","117","  0","  3","  1","  0","  0","  2"," 16","  0"," 12","  0","  0","  3","181","  2","  1"," 34"," 36","  6","  3","  3","  0","  1","  7","  4","  0","  0","  0","  0","  0","  4","  0","  6","  0","  4","  0","  9"," 11","  0"," 31","  1","  3","  1","  4","  7","  3"," 10","  0","  0","  4","  0"," 21","  1"
"971",NA,NA," 65","  0","  1","  2","  1","  9","  0","  5","  1","  9","  0","  0","  0","  1","  5","  0","  4","  0","  0","  1"," 60","  0","  0"," 52","  7","  2","  2","  6"," 35","  4","  4","  1","  1","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  9"," 55","  0"," 22"," 10","  2","  1","  2","  4","  3","  2","  0","  0","  0","  0"," 12","  1"
"1091",NA,NA,"  70","   0","   2","   0","   0","   8","   0","   4","   0","  12","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","  45","   0","   0"," 130","   0","   3","   0","   5","  41","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   2","   0","  19","  68","   0","  12","   5","   1","   1","   2","   2","   7","   0","   1","   0","   0","   0","   9","   2"
"1212",NA,NA,"  75","   0","  55","   4","   3","  12","   0","   7","   3","  31","   2","   9","   0","   0","   1","   1","   7","   2","   0","   1","   0","   0","   0"," 229","   1","   1","   2","  23","  92","   1"," 104","   9","   0","   1","   2","   0","   0","   5","   0","  12","   0","   3","   0","  23"," 176","   0","  25","   9","   1","   1","   8","   4","   4","   3","   0","   5","   0","   0","   1","   3"
"1333",NA,NA,"  80","   0","   2","   1","   1","   4","   0","   5","   1","  42","   0","   3","   0","   0","   2","   0","   1","   0","   0","   1","  68","   0","   1"," 119","  23","   1","   2","   0"," 144","   0","   4","   0","   0","   3","   0","   1","   0","  11","   0","   0","   0","   5","   0","  13"," 105","   0","  34","   9","   0","   1","   2","   3","   9","   4","   0","   0","   0","   2","  60","   8"
"1453",NA,NA,"  85","   0","   1","   1","   9","   3","   0","   7","   0","  39","   0","   2","   0","   0","   1","   0","   2","   1","   0","   2","  47","   0","   0","  64","   5","   4","   1","   7","  39","   0","   2","   0","   0","   2","   0","   0","   0","   6","   0","   2","   5","   2","   2","  20","  67","   1","  65","  13","   0","   3","   1","   2","   9","   0","   0","   0","   0","   0","  60","   2"
"1574",NA,NA,"  90","   0","   2","   0","   1","   3","   0","   7","   2","  13","   1","   6","   0","   1","   1","   0","   2","   0","   0","   1","  33","   0","   0","  20","   1","   2","   1","   3","  16","   0","   2","   0","   0","   8","   0","   1","   0","   5","   0","   2","   0","   1","   1","   9","  42","   0"," 145","  15","   6","   0","  14","   1","   3","   1","   0","   0","   0","   0"," 150","   0"
"1695",NA,NA,"  95","   0","   0","   1","   1","   7","   0","   2","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   6","   9","   0","   0","   5","   2","   3","   1","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  22","   0"," 101","   5","   4","   0","   8","   1","   0","   0","   1","   0","   0","   0"," 246","   0"
"1815",NA,NA," 100","   0","   1","   0","   0","   7","   0","  26","   1","   3","   1","   0","   0","   4","   0","   0","   3","   0","   0","   6","  87","   7","  11"," 122","   9","   5","   5","   7","  41","   1","   3","   3","   0","   3","   0","   0","   0","   3","   0","  10","   0","   1","   0","   1","   5","   0","  77"," 125","   2","   0","   7","   0","   0","   3","   1","   0","   0","   0"," 169","   1"
"1936",NA,NA," 105","   0","   4","   0","   3","   9","   0","   3","   1","  16","   0","   4","   0","   0","   2","   1","   5","   0","   1","   8","  45","   0","   0","  47","   3","   3","   2","   6","  24","   2","   4","   4","   0","   2","   0","   1","   0","   3","   0","   8","   0","   2","   1","  24","  89","   0"," 107","  10","   2","   2","   5","   2","   6","   3","   2","   0","   1","   0"," 305","   1"
"2056",NA,NA," 110","   0","   2","   1","   4","   7","   0","   7","   0","   9","   0","   1","   0","   0","   2","   0","   3","   0","   0","   0","  22","   0","   0","  14","   4","   1","   2","   2","   8","   0","   8","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   1","   0","  15","  43","   0","  76","  22","   0","   1","   8","   3","   6","   4","   0","   0","   0","   0"," 574","   1"
"2204",NA,NA," 115","   0","   1","   2","   3","   3","   0","   4","   0","   8","   0","   3","   0","   0","   1","   1","   0","   0","   1","   3","  12","   0","   1","  21","   0","   1","  12","   0","   2","   0","   7","   0","   0","   3","   0","   0","   0","   5","   0","   1","   1","   2","   0","  10","  36","   0","  76","  23","   0","   0","   7","   0","   2","   4","   0","   0","   1","   3"," 507","   0"
"2352",NA,NA," 120","   0","   1","   0","   0","   4","   0","  23","   0","   0","   0","   0","   0","   1","   6","   0","   5","   0","   0","   7","  10","   0","   1","   6","   0","   3","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   1","   0","   4","   0","   0"," 118","   3","   1","   0","   3","   0","   0","   1","   2","   0","   0","   0"," 417","   0"
"2499",NA,NA," 125","   0","   2","   2","   1","   7","   0","   1","   0","   7","   0","   1","   0","   0","   1","   0","   1","   1","   0","   2","  14","   0","   0","   9","   2","   0","   0","   3","   3","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","   7","   0","   1","   0","   5","  19","   0"," 121","  16","   1","   1","   3","   0","   3","   4","   0","   0","   0","   0"," 460","   0"
"2647",NA,NA," 130","   0","   0","   0","   1","   7","   0","   4","   0","   4","   0","   1","   0","   0","   0","   2","   2","   0","   1","   8","  16","   0","   0","   8","   4","   1","   1","   3","   1","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   4","  66","   0"," 182","  24","   0","   1","   0","   3","   6","   1","   1","   0","   0","   0"," 160","   0"
"2795",NA,NA," 135","   0","   0","   2","   2","  11","   1","   7","   0","  10","   0","   1","  10","   0","   0","   1","   2","   2","   0","   0","  16","   0","   0","   0","   7","   1","   1","   2","  15","   0","   4","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","  13","  52","   0"," 177","  18","   3","   1","   5","  10","  10","   1","   0","   0","   0","   0","  59","   1"
"2942",NA,NA," 140","   0","   3","   3","   5","  13","   0","   5","   0","  13","   0","   5","   0","   0","   3","   2","   5","   0","   0","   3","  26","   0","   1","  12","   8","   3","   1","   0","   7","   1","  10","   4","   0","   1","   0","   0","   0","   3","   0","   3","   0","   4","   0","  10","  76","   0"," 185","  28","   2","   1","   5","   8","   7","   2","   0","   0","   0","   1","  27","   1"
"3090",NA,NA," 145","   0","   2","   4","   6","   8","   0","   2","   0","  18","   0","   5","   0","   0","   4","   2","   6","   0","   1","   4","  16","   0","   1","   3","   5","   3","   6","   1","   9","   0","  20","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   3","   0","  23"," 119","   0"," 139","  48","   5","   2","   9","   1","  17","   3","   2","   0","   0","   0","  13","   0"
"3238",NA,NA," 150","   0","   0","   3","   2","  16","   0","   1","   0","  31","   0","   8","   0","   0","   6","   6","  10","   0","   1","   4","  17","   2","   0","   3","  11","   7","   2","   2","   0","   0","  16","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   0","  21"," 126","   0"," 238","  52","   5","   8","   4","   3","  17","   4","   3","   0","   0","   2","  29","   2"
"3374",NA,NA," 155","   0","   2","   5","   7","   4","   0","   1","   1","  21","   0","   8","   0","   0","   5","   4","   6","   0","   2","   4","  15","   0","   0","   3","   8","   3","   6","   2","   4","   0","  17","   3","   0","   0","   0","   1","   0","   4","   1","   2","   0","   3","   0","  36","  88","   0"," 187","  44","   6","   7","  10","   5","  21","   5","   1","   0","   0","   1","  25","   4"
"3510",NA,NA," 160","   0","   0","   4","   5","   9","   0","   1","   1","  25","   0","   5","   0","   0","   3","   3","  21","   2","   0","   3","  12","   1","   0","   5","   8","   4","   2","   1","   1","   0","  21","   1","   0","   1","   0","   1","   0","   8","   0","   1","   0","   6","   0","  25","  79","   0"," 154","  37","   5","   1","   2","   5","  17","   0","   0","   0","   0","   3","  13","   3"
"3647",NA,NA," 165","   0","   1","   3","   4","  12","   0","   1","   0","  40","   1","   6","   0","   1","   2","   4","   7","   0","   1","   2","   7","   1","   0","  13","   6","   4","   1","   2","   3","   0","  42","   0","   0","   2","   0","   0","   0","   6","   0","   3","   0","   1","   0","  21"," 129","   0"," 147","  71","   7","   3","  14","   2","  18","   2","   2","   0","   0","   0","  18","   2"
"3783",NA,NA," 170","   0","   1","   4","   1","   9","   0","   1","   1","  13","   0","   4","   1","   0","   3","   6","   5","   0","   0","   1","  12","   1","   0","   4","   3","   7","   1","   1","   2","   0","  42","   1","   0","   1","   0","   0","   0","   1","   1","   3","   0","   8","   0","  16","  65","   0"," 168","  28","   8","   2","   0","   3","  30","   1","   2","   0","   0","   0","  24","   1"
"3919",NA,NA," 175","   0","   1","   2","   4","   7","   0","   0","   2","  21","   0","   6","   0","   0","   4","   1","   7","   0","   2","   1","  13","   0","   0","   5","   5","   6","   1","   0","   1","   0","  43","   1","   1","   1","   0","   0","   0","   2","   0","   1","   0","   4","   1","  26","  81","   0"," 152","  29","   4","   1","   7","   3","   9","   3","   1","   0","   0","   0","   7","   2"
"4056",NA,NA," 180","   0","   1","   0","   3","   3","   0","   1","   0","   3","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   3","   1","   2","   1","   1","   0","   0","   3","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","  31","   0","  72","  20","   2","   0","   0","   1","   3","   3","   0","   0","   0","   0","   5","   0"
"4192",NA,NA," 185","   0","   0","   1","   1","   4","   0","   2","   0","  12","   0","   1","   0","   2","   1","   4","   3","   0","   1","   3","   6","   0","   1","   6","   4","   5","   3","   0","   1","   0","   4","   3","   0","   0","   0","   0","   0","   3","   2","   2","   1","   5","   0","   2","  47","   0"," 251","  14","   3","   2","   4","   1","   6","   1","   1","   0","   0","   1","  19","   0"
"4328",NA,NA," 190","   0","   0","   2","   4","   7","   0","   8","   0","   7","   0","   0","   2","   6","   2","  16","   1","   0","   0","   3","  11","   0","   0","  15","   3","  22","   1","   1","   3","   0","   6","   3","   1","   0","   0","   0","   0","   0","   0","   1","   0","  10","   2","   7","  42","   0"," 415","  19","   7","   4","   0","   0","  17","   0","   0","   0","   0","   1","  21","   1"
"4528",NA,NA," 195","   0","   0","   3","   3","   7","   0","   4","   0","   7","   0","   0","   0","   0","   1","   8","   0","   0","   0","   1","   3","   0","   1","   6","   4","  11","   1","   0","   1","   1","   2","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   3","   0","   6","  68","   0"," 257","  20","   5","   0","   7","   0","   8","   3","   1","   0","   0","   0","   7","   0"
"4728",NA,NA," 200","   0","   1","   2","   3","   6","   0","   7","   1","  15","   0","   2","   4","   0","   2","   9","   1","   1","   1","   2","  13","   1","   1","   8","   9","  10","   4","   0","   3","   1","  27","   0","   0","  12","   0","   1","   0","   5","   0","   2","   2","   6","   0","  17","  86","   0"," 321","  40","   5","   4","   6","   5","  11","   6","   2","   0","   0","   1","   7","   3"
"4928",NA,NA," 205","   0","   1","   4","   5","   5","   0","   1","   0","  37","   0","   2","   0","   0","   3","   4","  11","   2","   0","   3","   4","   1","   0","   9","   5","   9","   3","   0","   4","   0","  28","   2","   1","   8","   0","   0","   0","   6","   0","   3","   0","   6","   1","  13","  83","   0"," 202","  36","   6","   3","   5","   2","  14","   1","   6","   0","   0","   0","  14","   1"
"5128",NA,NA," 210","   0","   0","   3","   1","   6","   0","   2","   0","   9","   0","   4","   0","   1","   1","   5","   1","   0","   0","   3","  11","   2","   1","   3","   6","   8","   1","   1","   2","   0","   3","   0","   0","   4","   0","   0","   0","   2","   0","   1","   0","   2","   0","   9","  86","   0"," 206","  33","   4","   1","   6","   3","   8","   0","   1","   0","   0","   0","  25","   0"
"5328",NA,NA," 215","   0","   0","   1","   3","  11","   0","   9","   0","  22","   0","   1","   0","   2","   3","  14","  12","   1","   0","   2","  18","   0","   1","   6","   8","  28","   1","   1","   0","   0","  12","   4","   0","   0","   0","   0","   0","   1","   0","   8","   0","   8","   0","   5","  70","   0"," 401","  15","   9","   5","   5","   2","   1","   2","   1","   0","   0","   5","  33","   0"
"5527",NA,NA," 220","   1","   0","   3","   0","   8","   0","   1","   1","  12","   1","   1","   1","   3","   3","   5","   9","   0","   0","   2","  13","   0","   0","   4","   4","   9","   1","   2","   0","   0","  10","   0","   1","   3","   0","   0","   0","   2","   0","   1","   0","   6","   0","   5","  72","   0"," 328","  20","   2","   5","   2","   1","  12","   1","   0","   0","   0","   0","   9","   1"
"5727",NA,NA," 225","   1","   0","   1","   2","   8","   0","   5","   0","   6","   0","   1","   1","   3","   2","   8","   4","   0","   1","   1","   8","   2","   0","   4","   0","   6","   2","   0","   0","   1","   6","   1","   0","   1","   0","   0","   0","   0","   0","   2","   0","   2","   0","   4","  60","   0"," 306","  24","   8","   1","   1","   0","   8","   1","   1","   0","   0","   0","   9","   0"
"5927",NA,NA," 230","   2","   0","   1","   2","  14","   0","   3","   0","  18","   0","   2","   1","   4","   5","  15","   4","   0","   0","   9","   4","   0","   1","   7","   4","  20","   1","   1","   0","   3","   3","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","  15","   0","   3","  47","   0"," 565","  22","   6","   0","   0","   0","   7","   1","   0","   0","   0","   0","  10","   0"
"6127",NA,NA," 235","   0","   1","   1","   4","  11","   0","   2","   1","  24","   0","   3","   0","   5","   1","   8","   5","   1","   0","   3","   5","   0","   1","   2","   8","   8","   0","   2","   1","   0","   5","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   5","   0","   3","  62","   0"," 328","  19","  12","   3","   5","   1","   6","   5","   0","   0","   0","   1","  12","   4"
"6327",NA,NA," 240","   0","   0","   2","   7","  13","   0","   3","   0","  27","   0","   2","   0","   2","   3","  11","   0","   2","   1","   2","   9","   2","   0","   5","   0","  18","   5","   0","   0","   0","   8","   0","   0","   4","   0","   0","   0","   2","   0","   0","   1","   4","   0","   8","  52","   0"," 383","  32","   4","   3","   4","   2","   5","   0","   0","   0","   0","   0","  21","   0"
"6527",NA,NA," 245","   2","   0","   0","   4","   3","   0","   4","   0","   4","   0","   1","   5","   2","   1","  30","   3","   1","   1","   6","   9","   1","   0","   6","   0","  10","   0","   1","   0","   1","   2","   0","   0","   3","   0","   0","   0","   2","   0","   2","   0","  11","   1","   6","  86","   0"," 292","  26","   6","   0","   1","   0","   1","   5","   0","   0","   0","   1","  10","   0"
"6726",NA,NA," 250","   0","   0","   0","   3","   8","   0","   5","   0","  10","   0","   2","   2","   0","   1","   5","   2","   0","   0","   1","   4","   0","   0","   4","   4","   5","   3","   0","   0","   1","   1","   0","   0","   5","   0","   0","   1","   2","   1","   0","   0","  14","   0","   6","  43","   0"," 138","  10","   3","   0","   1","   0","   8","   2","   0","   0","   0","   1","   1","   0"
