"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alnus","Amaranthaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Genisteae","Indeterminable","Lamiaceae undif.","Lonicera","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Pseudoschizaea","Puccinia","Quercus deciduous","Quercus evergreen","Rhamnus","Riccia","Rubiaceae undif.","Rumex t.","Salix","Thymelaeaceae undif.","Typha","Unknown (type 128, HdV)","Urtica t.","Vitis","charcoal"
"1487.0",NA,NA," 55","0","43","1","10","7","22","35","1","0","0","0","3","0","2","0","8","1","0","35","0","2","4","4","5","0","176","8","10","8","0","176","0","3","9","0","3","1","42","5","14","73","5","2","0","6","30","1","2","5","0","6","1","1","21","2","0","2012"
"1586.7",NA,NA," 58","0","58","0","8","12","23","12","0","0","0","0","2","0","0","0","11","0","8","43","0","2","11","6","14","1","160","10","15","2","0","171","0","0","5","0","4","3","33","5","17","84","2","1","0","7","34","1","5","0","0","0","2","6","11","1","3","2338"
"1686.8",NA,NA," 61","0","90","0","8","11","22","37","0","0","7","0","9","2","0","0","6","0","2","45","0","1","9","0","4","0","198","6","17","3","0","168","0","0","10","0","2","4","30","4","13","75","4","0","2","5","40","0","3","0","0","6","1","6","9","2","0","2521"
"1789.9",NA,NA," 64","0","99","0","13","6","19","10","0","0","5","0","0","0","0","0","8","0","4","34","0","4","4","5","4","0","144","5","12","4","0","165","0","0","8","0","0","5","27","3","14","89","6","0","3","6","49","1","4","0","0","5","3","5","13","0","0","2900"
"1858.5",NA,NA," 66","0","87","2","8","6","33","19","1","1","0","0","6","0","1","2","9","1","5","51","0","3","10","6","6","0","152","2","11","2","0","198","0","0","6","0","0","7","25","5","18","91","2","2","0","8","24","1","7","0","2","0","2","10","7","2","0","2067"
"1963.5",NA,NA," 69","0","101","0","6","2","27","23","0","0","0","0","6","0","0","0","6","0","3","33","0","3","6","4","3","0","128","3","11","4","0","188","0","2","11","0","1","8","28","6","9","94","2","2","0","8","29","0","9","0","0","0","0","6","6","1","0","1439"
"2049.4",NA,NA," 72","2","77","0","5","3","35","45","0","0","0","0","4","0","0","0","10","0","1","38","0","0","5","3","12","0","115","4","13","3","0","176","0","0","4","0","2","6","32","7","14","84","1","1","0","7","23","0","3","0","0","0","1","5","22","0","0","1236"
"2100.2",NA,NA," 74","0","64","0","9","4","28","11","0","0","0","0","6","0","0","0","6","0","7","33","0","2","3","0","5","0","123","4","13","10","0","187","0","0","5","1","1","6","67","3","6","70","0","2","2","10","30","0","2","0","0","0","2","3","9","0","0","1765"
"2151.8",NA,NA," 77","0","45","0","6","5","26","20","0","0","0","0","5","0","3","0","5","0","3","41","0","2","7","3","3","0","89","5","18","10","0","181","0","0","6","1","2","7","68","3","5","65","2","1","1","9","41","0","3","0","0","4","0","6","8","1","0","1245"
"2191.2",NA,NA," 80","0","89","0","9","6","25","22","1","0","2","0","0","2","0","0","5","0","3","32","2","1","5","3","4","0","83","6","9","3","0","169","0","0","5","0","5","4","57","4","11","48","2","0","0","9","36","0","4","0","0","0","3","3","10","2","0","1134"
"2218.0",NA,NA," 82","0","93","1","7","3","25","12","0","1","2","0","2","0","0","0","5","0","2","31","0","1","5","0","12","1","103","3","12","2","0","190","0","1","7","0","0","5","42","2","4","54","1","1","0","11","43","0","6","0","3","0","2","4","7","5","0","1009"
"2272.3",NA,NA," 86","0","80","2","6","2","36","23","0","0","0","0","6","0","0","0","11","0","1","33","0","0","12","6","7","0","87","4","13","7","0","189","0","0","9","0","4","3","45","1","6","70","0","2","0","7","48","0","4","0","0","0","0","2","7","2","0","1176"
"2326.4",NA,NA," 90","0","61","0","8","4","22","26","0","0","0","0","4","0","0","0","7","0","8","35","0","2","3","7","4","0","84","3","11","9","0","180","0","0","5","0","2","7","53","0","8","63","3","4","0","10","50","0","3","0","0","4","2","3","6","0","0","898"
"2367.5",NA,NA," 93","0","50","1","8","5","15","16","0","0","0","0","3","0","0","0","5","0","2","26","0","1","5","0","3","1","116","3","10","7","0","166","0","0","5","0","2","8","63","1","12","72","0","3","1","11","33","0","4","0","0","0","1","1","16","1","0","996"
"2407.1",NA,NA," 96","0","55","1","6","7","29","15","0","0","3","0","2","0","0","0","6","1","11","41","0","2","14","5","4","1","81","2","17","2","0","178","0","0","4","0","1","9","55","3","9","69","1","2","2","8","28","0","4","0","0","0","2","7","12","1","0","1988"
"2445.6",NA,NA," 99","0","63","0","7","4","24","22","0","0","4","0","2","0","4","0","5","1","5","22","0","3","7","5","6","0","93","0","9","3","0","165","0","0","3","0","0","7","53","0","2","60","0","1","0","11","32","1","4","0","0","3","1","7","10","2","0","2230"
"2485.2",NA,NA,"102","0","44","0","11","6","14","25","1","0","2","0","1","1","0","0","7","0","3","23","0","1","11","0","4","0","128","1","13","2","0","176","0","0","4","0","2","8","71","0","2","54","3","1","0","9","41","0","3","0","0","0","2","2","11","0","0","1543"
"2525.0",NA,NA,"105","0","66","0","4","6","15","33","0","2","6","0","0","0","0","0","9","0","5","42","0","2","8","3","10","0","81","2","15","3","0","170","0","2","7","0","1","5","50","2","5","45","0","0","0","6","44","0","3","0","0","3","3","1","20","1","0","1110"
"2564.8",NA,NA,"108","0","63","0","7","5","22","22","0","0","0","0","0","0","0","0","10","0","2","21","0","2","6","6","11","1","101","4","14","7","0","192","0","0","10","0","4","6","60","1","4","59","2","1","0","13","34","0","5","1","0","1","3","6","21","2","0","996"
"2591.2",NA,NA,"110","0","84","0","7","5","26","24","0","0","0","0","4","0","0","0","6","0","1","31","0","3","7","5","2","1","76","0","29","6","0","191","0","0","7","0","3","3","58","4","13","48","3","3","0","8","32","0","2","0","0","0","4","2","22","0","0","1342"
"2630.8",NA,NA,"113","0","77","0","8","3","17","19","0","0","0","0","3","0","0","0","6","0","1","14","0","1","12","1","5","2","61","0","15","5","0","178","0","0","5","0","0","4","68","0","3","75","0","2","2","7","29","0","5","0","0","2","3","4","13","0","0","2100"
"2670.9",NA,NA,"116","0","64","1","7","2","39","30","0","0","0","0","2","0","0","0","3","0","2","18","2","0","4","4","6","0","79","0","27","2","0","174","0","0","5","0","0","12","50","5","5","55","5","0","0","9","40","0","2","0","0","0","2","1","16","2","0","1543"
"2725.6",NA,NA,"120","3","75","0","7","1","31","26","0","1","0","0","3","0","2","0","6","1","9","21","0","2","11","5","3","0","71","0","15","11","0","155","0","0","6","2","2","2","60","2","3","43","1","0","0","8","25","1","2","0","0","2","3","9","22","0","0","763"
"2764.0",NA,NA,"123","0","80","0","9","0","19","28","0","1","4","0","5","0","1","0","6","1","6","30","0","1","7","6","0","0","43","0","10","4","0","182","0","1","7","0","1","3","67","0","3","53","5","0","0","10","29","1","8","0","0","0","0","2","12","0","0","902"
"2790.3",NA,NA,"125","0","25","0","13","9","25","33","0","0","3","0","2","0","1","0","5","0","2","15","0","0","8","0","3","1","54","0","9","5","0","178","0","2","5","0","3","4","59","2","5","63","0","2","0","7","42","2","1","0","2","1","0","2","9","0","0","1001"
"2817.7",NA,NA,"127","0","31","1","12","4","21","23","0","0","0","0","1","0","2","0","7","0","1","40","0","3","8","0","4","0","62","1","14","10","0","183","0","0","5","0","0","5","58","1","6","69","0","1","0","9","28","0","3","0","0","2","3","7","14","0","0","767"
"2873.7",NA,NA,"131","0","91","1","9","5","29","24","0","0","0","0","0","0","0","1","9","0","4","29","0","2","8","4","3","0","63","2","18","9","0","173","0","0","4","0","0","5","60","0","5","50","5","0","0","7","36","0","4","2","0","3","2","6","15","0","0","887"
"2902.6",NA,NA,"133","0","88","1","7","4","19","14","0","0","2","0","5","1","0","0","5","0","4","38","0","2","7","3","12","1","57","0","14","3","0","169","0","3","8","0","2","4","76","1","2","41","0","1","0","15","22","1","2","3","0","0","1","4","17","2","0","1245"
"2948.9",NA,NA,"136","1","45","0","10","5","27","25","0","0","3","0","3","0","0","0","7","0","3","17","0","0","8","3","6","0","48","0","11","2","0","153","0","0","7","0","3","6","68","0","10","39","2","0","0","13","35","0","3","4","0","0","2","3","11","3","0","525"
"2999.3",NA,NA,"139","1","38","0","11","3","19","20","0","0","0","0","2","0","0","0","6","2","7","28","0","1","3","0","5","0","47","0","21","3","0","176","0","0","6","0","5","7","87","0","3","36","1","1","0","18","20","0","8","2","0","3","2","8","9","4","0","989"
"3048.6",NA,NA,"142","2","49","0","9","3","31","10","0","1","0","0","2","0","0","0","8","1","3","27","0","2","10","5","3","0","34","0","13","6","0","181","0","0","5","0","3","4","60","0","11","30","2","0","0","16","21","0","1","2","0","0","4","8","12","0","0","1023"
"3098.3",NA,NA,"145","0","38","0","8","6","17","11","0","0","0","0","3","0","3","0","4","1","0","36","0","1","10","4","0","0","48","0","14","11","0","180","0","0","6","0","3","8","58","2","3","36","0","2","0","14","34","0","3","0","0","4","3","9","13","1","0","800"
"3147.6",NA,NA,"148","0","55","0","12","6","26","21","0","0","0","0","0","0","0","0","7","0","6","14","0","1","7","3","1","1","55","0","17","0","0","185","0","0","7","0","2","5","60","0","4","39","0","1","0","17","27","0","4","0","0","4","2","9","7","2","0","490"
"3197.4",NA,NA,"151","0","81","1","10","4","19","20","0","0","3","0","0","0","0","0","5","0","2","19","0","2","14","2","3","0","54","0","15","3","0","178","0","0","2","0","2","15","105","3","3","30","2","1","0","11","25","0","3","0","0","0","0","2","6","3","0","348"
"3265.7",NA,NA,"155","0","32","0","7","5","17","17","0","0","3","0","3","0","0","0","6","0","3","17","0","2","4","0","0","0","78","0","18","12","0","158","0","0","6","0","4","17","99","3","2","38","2","0","0","19","28","0","3","0","0","2","0","0","9","1","0","654"
"3333.5",NA,NA,"159","0","19","0","7","4","28","19","0","1","0","0","2","0","1","0","11","0","6","23","0","2","11","1","6","0","47","0","10","0","0","183","0","3","4","2","5","11","63","0","9","44","0","2","0","15","26","0","4","0","0","1","1","6","22","0","0","765"
"3400.9",NA,NA,"163","0","49","0","18","0","19","15","0","0","0","0","4","0","0","0","6","1","3","22","0","2","6","0","5","0","50","0","15","3","0","189","0","4","5","0","0","7","61","5","3","45","1","0","0","20","23","0","6","0","0","0","1","5","10","1","0","701"
"3450.3",NA,NA,"166","0","87","1","7","2","25","25","0","0","0","1","0","0","0","0","5","0","3","9","0","1","6","0","4","1","44","2","11","2","0","201","0","0","3","0","1","5","85","0","4","32","1","0","0","12","14","1","3","0","0","0","2","8","7","2","0","278"
"3498.9",NA,NA,"169","0","72","2","8","3","19","13","0","0","0","0","0","0","0","0","5","0","4","12","0","3","5","0","5","0","70","3","21","3","0","190","0","0","6","0","0","5","77","0","3","40","0","2","0","15","19","1","3","1","0","1","1","9","15","0","0","603"
"3547.3",NA,NA,"172","0","59","0","7","6","25","24","0","0","4","0","2","0","0","0","6","1","2","11","1","2","6","1","7","0","56","0","10","6","0","191","0","0","9","0","3","4","62","0","4","41","1","0","0","14","29","0","5","1","0","2","0","5","21","2","0","390"
"3596.6",NA,NA,"175","0","40","0","16","4","26","27","0","1","5","0","0","0","0","0","4","0","6","12","2","2","11","2","5","1","45","0","12","2","0","211","0","0","2","0","0","15","100","3","3","32","0","0","0","11","30","0","4","0","0","0","0","6","12","1","0","405"
"3645.8",NA,NA,"178","0","38","0","4","3","18","18","0","2","0","0","0","0","1","0","6","0","1","10","1","2","7","4","4","1","50","0","11","4","0","189","0","0","10","0","0","13","95","2","2","48","2","0","0","18","33","0","3","0","0","5","3","9","11","0","0","348"
"3678.9",NA,NA,"180","0","56","4","9","2","23","17","0","0","0","0","0","2","2","0","9","0","0","9","3","1","12","3","5","0","51","0","19","8","0","150","0","1","4","0","2","12","90","2","0","44","2","0","0","19","29","0","2","0","0","0","1","2","13","0","0","332"
"3744.8",NA,NA,"184","0","43","0","8","3","18","24","0","0","0","0","0","0","0","0","7","1","1","9","0","2","5","0","5","1","50","0","18","2","0","184","0","2","5","0","0","7","120","4","4","39","1","0","0","10","25","0","2","0","0","6","0","3","3","0","0","525"
"3812.1",NA,NA,"188","0","48","0","7","0","27","10","0","0","0","0","0","0","0","0","5","0","0","9","0","2","4","2","4","0","25","0","13","4","0","139","0","0","7","0","0","3","117","0","3","27","0","3","0","12","18","0","4","0","0","7","2","2","6","1","0","422"
"3845.7",NA,NA,"190","0","90","0","3","0","24","11","0","0","0","1","0","0","0","0","3","0","2","7","0","1","2","3","5","1","47","2","12","10","0","195","0","0","5","0","1","12","148","2","2","28","3","0","0","20","13","0","2","0","0","1","1","3","7","2","0","338"
"3903.0",NA,NA,"193","2","88","0","5","0","33","29","0","0","0","1","0","0","0","0","1","2","3","8","0","2","4","0","4","1","52","2","13","11","0","128","0","0","6","0","2","9","138","0","10","21","0","0","0","23","9","0","8","0","0","1","1","4","10","3","0","335"
"3962.0",NA,NA,"196","0","43","0","8","0","19","28","0","0","2","0","2","0","0","0","0","2","0","8","0","2","5","2","3","0","44","3","11","1","0","187","0","0","4","0","0","4","152","1","2","30","4","0","0","32","6","0","1","0","0","0","0","0","11","0","0","229"
"4023.6",NA,NA,"199","3","37","0","13","0","31","9","0","2","3","0","1","0","0","0","3","0","5","5","0","0","1","1","5","0","32","4","16","2","0","195","0","0","8","0","0","5","150","0","1","35","0","0","0","25","15","0","2","0","0","7","0","0","10","0","0","291"
"4083.0",NA,NA,"202","0","32","2","12","0","22","12","0","0","2","0","0","0","2","0","3","3","0","6","0","2","2","5","2","0","65","0","12","3","0","184","0","2","6","0","0","3","141","1","3","22","0","1","0","29","8","0","3","0","0","0","0","0","9","0","0","146"
"4142.4",NA,NA,"205","3","30","1","8","0","20","15","0","0","0","0","0","1","3","0","0","3","1","8","0","0","0","3","2","0","25","0","11","5","0","188","0","3","5","0","1","5","138","0","2","25","2","0","0","31","10","0","2","0","0","5","2","0","12","0","0","401"
"4181.5",NA,NA,"207","0","88","0","14","0","31","38","0","3","0","0","0","0","1","0","1","6","1","9","0","2","1","2","3","2","47","1","19","9","0","176","0","0","5","0","0","11","129","2","3","33","0","0","0","36","17","1","3","0","0","0","1","1","8","2","0","97"
"4241.1",NA,NA,"210","4","34","0","3","0","12","30","0","3","0","0","0","0","0","3","2","4","0","2","0","2","0","3","3","1","22","0","19","5","0","169","0","0","3","0","0","5","135","2","2","23","0","0","0","28","11","0","2","1","0","0","1","2","8","2","0","108"
"4301.7",NA,NA,"213","3","50","1","19","2","15","17","0","0","0","0","0","0","0","0","0","6","2","3","0","1","5","0","2","1","14","0","14","0","0","178","0","0","7","0","2","5","123","0","1","19","2","0","0","30","8","0","3","2","0","2","0","3","6","0","0","90"
"4342.3",NA,NA,"215","2","32","0","7","1","32","19","0","0","1","0","0","0","0","0","0","5","0","10","0","1","2","2","0","0","36","0","19","3","0","189","0","0","6","0","0","5","144","1","0","36","0","0","0","32","13","0","0","1","0","2","0","0","5","0","0","144"
"4399.9",NA,NA,"218","2","45","0","6","2","19","19","0","2","0","0","0","0","2","0","2","7","0","15","0","1","3","0","1","0","31","1","13","0","2","190","0","0","6","1","0","6","169","1","10","44","0","0","0","35","18","0","2","1","0","3","2","0","3","0","0","101"
"4477.9",NA,NA,"222","1","70","0","4","3","15","23","0","1","1","0","0","0","1","0","0","5","0","5","0","1","2","2","4","0","22","2","13","5","0","181","0","0","5","0","0","7","149","0","2","41","1","0","0","33","9","0","6","1","0","4","1","0","4","3","0","90"
"4537.9",NA,NA,"225","0","55","1","5","0","33","13","0","0","1","0","2","0","2","0","0","2","2","5","0","2","0","3","3","0","25","0","15","0","0","160","0","0","5","0","1","8","130","0","1","25","0","0","0","28","7","0","2","0","0","7","0","5","4","0","0","83"
"4619.2",NA,NA,"229","1","47","0","14","0","21","17","0","0","0","1","5","0","3","0","1","2","0","6","0","2","4","1","3","0","17","0","11","4","0","189","0","0","4","0","1","9","133","0","1","22","2","1","0","26","15","0","3","0","0","0","0","0","6","0","0","66"
"4661.4",NA,NA,"231","1","84","0","13","0","12","19","0","3","0","2","0","0","0","0","2","1","0","11","0","3","4","1","2","0","43","0","19","2","0","183","0","0","8","0","0","8","135","1","9","37","0","0","0","24","8","2","2","0","0","0","3","0","6","3","0","88"
"4726.3",NA,NA,"234","0","66","0","12","0","31","18","0","4","0","0","0","0","0","0","0","5","2","12","0","0","3","0","0","0","24","0","18","3","0","196","0","0","5","0","0","6","161","2","2","31","1","0","0","25","10","0","4","0","0","4","3","12","6","0","0","62"
"4819.2",NA,NA,"238","1","61","0","13","0","16","27","0","2","0","0","0","0","0","0","0","4","1","7","0","0","3","0","0","0","33","0","17","3","0","188","0","0","1","0","0","6","178","0","1","29","0","0","0","32","6","0","1","0","0","5","2","2","6","0","0","88"
"4891.0",NA,NA,"241","1","55","1","9","0","30","28","0","1","0","0","0","0","0","0","1","7","0","8","0","2","2","2","2","1","25","0","18","1","1","174","0","0","6","0","0","8","166","1","1","34","2","1","0","28","7","0","2","0","0","0","0","0","5","2","0","45"
"4988.0",NA,NA,"245","0","29","0","15","0","23","18","0","2","0","0","0","1","0","0","1","6","0","9","0","3","1","3","3","0","39","0","14","3","1","178","0","1","6","0","0","7","167","1","1","28","0","0","0","36","15","0","2","0","0","1","0","0","7","0","0","51"
"5064.2",NA,NA,"248","1","24","0","4","0","27","29","0","2","0","0","1","1","4","0","0","2","3","4","0","2","6","1","5","0","41","2","16","3","2","155","0","2","5","0","1","5","171","2","2","36","2","0","0","25","10","0","1","0","0","0","0","0","4","0","0","76"
"5114.7",NA,NA,"250","2","60","0","5","1","16","11","0","0","4","2","0","0","2","0","0","3","0","8","0","0","3","1","4","0","39","0","17","0","0","170","0","0","8","0","0","6","134","3","1","33","2","0","0","33","9","3","3","0","0","0","2","0","6","0","0","64"
"5191.1",NA,NA,"253","0","31","0","0","2","24","5","0","2","0","1","0","0","0","0","0","8","4","10","0","0","0","2","6","0","48","0","18","4","0","156","0","0","4","0","0","6","158","3","8","30","0","0","0","32","7","0","2","0","0","1","0","6","5","0","0","151"
"5241.9",NA,NA,"255","3","54","1","2","0","16","8","0","3","0","0","0","0","0","0","0","4","3","11","0","0","5","2","0","0","27","0","15","5","1","190","0","0","9","0","2","7","160","3","1","20","2","0","0","36","7","0","3","0","0","0","0","6","5","0","0","99"
"5337.3",NA,NA,"259","3","28","1","2","0","16","31","0","0","4","0","0","1","0","0","0","4","0","6","0","0","5","5","0","0","13","1","14","4","2","149","0","0","4","0","0","8","162","0","2","22","0","0","0","37","12","0","2","0","0","3","0","5","6","0","0","160"
"5408.9",NA,NA,"262","0","48","1","2","0","20","12","0","0","1","0","0","2","0","0","2","3","2","5","0","1","1","3","5","0","32","0","10","0","0","191","0","0","3","0","0","10","174","0","1","21","2","0","0","30","8","0","2","0","0","0","0","0","5","0","0","61"
"5504.7",NA,NA,"266","0","38","2","3","0","12","9","0","1","2","3","0","1","1","0","0","4","5","7","0","0","2","2","0","1","32","1","14","0","0","189","0","1","7","0","0","12","165","1","2","23","0","0","0","36","5","0","1","0","0","0","0","0","8","0","0","63"
"5577.0",NA,NA,"269","4","45","1","0","0","11","11","0","2","0","2","0","0","0","0","0","5","0","7","0","0","5","3","0","0","8","1","16","10","0","187","0","0","5","0","0","9","142","0","2","28","2","0","0","37","4","0","0","0","0","6","0","0","1","0","0","42"
"5649.0",NA,NA,"272","0","39","0","3","7","15","8","0","1","0","1","7","0","0","0","0","2","3","8","0","0","4","4","0","0","14","1","12","2","1","154","0","0","8","0","2","18","177","3","7","25","1","0","0","33","13","0","1","0","0","0","0","10","0","1","0","76"
"5720.2",NA,NA,"275","3","18","0","4","0","19","9","0","1","0","2","0","0","0","0","0","2","0","10","0","1","0","0","2","0","28","0","15","1","0","188","0","0","1","0","0","12","160","0","2","22","2","0","0","41","10","0","2","0","0","4","0","3","0","0","0","120"
"5818.5",NA,NA,"279","2","22","1","5","0","10","11","0","0","0","0","0","0","0","0","0","2","0","4","0","0","2","0","3","0","39","0","13","6","0","190","0","0","4","0","0","11","158","0","3","35","3","0","0","31","11","0","3","0","0","3","0","4","2","0","0","129"
"5891.2",NA,NA,"282","1","20","0","4","0","9","10","0","5","0","1","0","0","1","0","0","1","0","5","0","0","0","2","2","0","19","0","12","2","0","192","0","0","7","0","0","10","159","0","2","31","4","0","0","27","6","0","8","1","0","2","2","0","3","0","0","38"
"5964.3",NA,NA,"285","1","33","0","5","0","8","20","0","3","0","0","0","0","0","2","1","0","0","5","0","0","6","3","4","0","47","0","10","2","1","190","0","2","9","0","0","11","165","2","3","22","4","0","0","29","12","0","1","0","0","1","0","1","3","0","0","75"
"6034.7",NA,NA,"288","0","21","1","4","0","10","22","0","2","0","0","0","0","0","0","0","3","1","5","0","0","0","0","3","0","38","0","11","4","0","177","0","0","4","0","1","9","166","0","5","34","3","0","0","30","13","0","1","0","0","2","0","2","6","0","0","155"
"6152.8",NA,NA,"293","2","10","1","6","0","7","6","0","2","1","1","0","0","0","0","0","6","3","4","0","1","1","0","4","0","53","0","9","3","0","165","0","0","5","0","0","19","135","0","4","24","2","0","0","28","8","0","0","0","0","0","0","7","6","0","0","60"
"6200.2",NA,NA,"295","2","34","0","5","0","5","12","0","1","1","2","0","0","1","0","0","3","3","6","0","2","1","0","0","0","21","0","18","0","0","199","0","0","5","0","0","16","148","1","7","25","5","0","0","24","13","0","1","0","0","2","0","7","5","0","0","59"
"6298.2",NA,NA,"299","2","43","0","4","0","6","15","0","1","0","2","8","1","1","0","0","3","0","6","0","1","1","1","1","0","44","0","15","1","0","201","0","0","6","0","1","21","155","1","0","33","0","0","0","28","7","0","2","0","0","3","0","7","7","0","0","53"
"6347.6",NA,NA,"301","0","12","1","4","0","5","18","0","0","1","0","0","0","0","0","0","5","0","7","0","0","2","1","2","1","17","0","21","10","0","149","0","0","6","0","2","12","195","1","2","20","0","0","0","17","5","0","2","3","0","0","0","1","3","0","0","45"
"6423.5",NA,NA,"304","2","50","0","3","0","10","29","0","1","0","3","0","0","0","0","0","1","3","12","0","0","12","0","3","1","45","0","18","2","0","155","0","0","3","0","0","13","182","0","1","25","0","0","0","13","7","0","3","0","0","0","0","2","5","0","0","25"
"6502.2",NA,NA,"307","1","5","0","0","2","10","16","0","2","2","1","0","0","0","0","1","2","0","3","0","0","1","1","4","0","38","0","16","1","1","153","0","0","7","0","0","10","188","1","0","23","3","0","0","16","6","0","1","0","0","2","0","0","4","2","0","128"
"6578.2",NA,NA,"310","0","22","0","3","1","6","12","0","2","0","2","6","0","0","0","0","2","4","3","0","1","6","2","0","0","21","0","22","1","1","165","0","0","7","0","0","19","192","0","0","24","3","0","0","15","12","0","2","0","0","3","0","0","2","0","0","71"
"6688.4",NA,NA,"314","2","6","1","4","2","5","13","0","3","4","5","2","0","1","0","2","3","1","10","0","0","5","4","3","0","43","0","14","0","2","149","0","0","7","0","0","17","204","0","3","28","0","0","0","13","8","0","1","0","0","4","0","0","2","0","0","122"
"6824.8",NA,NA,"319","0","31","0","3","0","8","9","0","0","4","2","2","1","0","0","0","6","1","12","0","0","2","2","0","0","9","0","20","2","0","200","0","0","4","0","2","17","237","1","4","19","0","0","0","8","8","0","0","0","0","2","0","0","3","0","0","36"
"6990.7",NA,NA,"325","1","13","1","3","0","8","8","0","3","0","1","0","0","1","0","0","4","0","7","0","0","3","0","1","0","38","0","12","3","0","177","0","0","5","1","0","13","208","0","2","20","2","0","0","19","9","1","8","0","0","0","1","2","3","0","0","29"
"7127.1",NA,NA,"330","1","5","0","4","0","7","6","0","4","0","3","0","0","2","0","0","3","1","11","0","0","4","0","2","0","21","0","19","3","0","165","0","0","4","0","0","14","192","0","1","22","2","0","0","12","11","0","2","0","0","0","0","0","10","0","0","62"
"7260.5",NA,NA,"335","2","8","0","4","5","5","8","0","0","1","0","0","0","0","0","0","1","1","8","0","0","7","2","0","0","37","0","17","4","1","191","0","0","5","0","0","15","221","2","3","30","1","0","0","8","5","0","1","0","0","1","0","0","5","0","0","48"
