"Depth cm","Meadows chron cal BP (CLAM)","...402","...81","Acanthus","Acer","Aellenia-type1","Agathophora-type1","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Amygdalus-type","Amygdalus-type1","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arboreal pollen","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Astoma-type","Astoma-type1","Asyneuma-type","Asyneuma-type1","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Casuarina","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Crassulaceae","Crozophora","Crozophora1","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elatine","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Genisteae","Geranium","Gymnocarpos-type","Gymnocarpos-type1","Haplophyllum","Hedera","Heliotropium","Hippophae","Hypecoum","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lonicera","Loranthus","Lycium","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nitraria","Non-arboreal pollen","Nuphar","Nymphaea","Ochradenus-type1","Olea t.","Onagraceae","Ononis t.","Papaver t.","Periploca","Petaloid monocot","Phillyrea","Phoenix t.","Phyla t.","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rheum","Rhus coriaria","Rhus tripartita-type","Ricinus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Sarcopoterium","Scrophulariaceae undif.","Solanum","Sparganium","Styrax","Synelcosciadium-type","Synelcosciadium-type1","Tamarix","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianaceae undif.","Verbena t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus","Zygophyllum t."
" 166","1066","   0","   0","   0","   0","   0","   0","   0","   0","   1","  37","  13","   0","   0","   0","   6","  16","   3"," 855","   0","  41","   0","   9","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","  12","   3","  16","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 227","   0","   3","   0","   0","   0","   1","   1","   0","   0","   0","   5","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   6","   2","   0","   1","   0","   0","   0","   0","   5","   0","   0","  14","   0","   0","   1","   0","   0"," 449","   0","   0","   0"," 694","   0","   0","   2","   0","   1","   0","   0","   0","  44","   9","  27","   6","   0"," 145","  27","   7","   0","   0","   0","   1","   0","  18","  59","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   7","   3","   0","   0","  32","   0","   0","  43","   0","   1","   0","   3","   0","   4","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0"
" 175","1128","   0","   0","   0","   0","   0","   0","   0","   0","   1","  23","   8","   0","   0","   0","   8","  10","   0"," 323","   0","  31","   0","   6","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   6","   4","  10","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0"," 122","   0","   1","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   1","   1","   0","   0","   0","   0","   0","   0","   4","   0","   1","   4","   0","   0","   6","   0","   0"," 239","   0","   0","   0"," 208","   0","   0","   0","   0","   0","   0","   0","   0","  29","   5","   7","   0","   0","  63","  12","   6","   0","   0","   0","   2","   0","  13","  46","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","  13","   0","   0","  21","   0","   2","   0","   2","   0","   4","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0"
" 184","1189","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35","  13","   0","   0","   0","   6","   4","   0"," 167","   0","  34","   0","  11","   0","   0","   0","   0","   0","   2","   0","   5","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   5","   0","   9","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0"," 184","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   3","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   6","   0","   0","   2","   0","   0"," 232","   0","   0","   0","  96","   0","   0","   1","   0","   0","   0","   1","   0","  22","   1","   4","   0","   0","  52","  19","   3","   0","   0","   0","   0","   0","  12","  21","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   4","   0","   0","  42","   0","   0","   0","   1","   0","   1","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0"
" 194","1257","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","  10","   0","   0","   0","   6","  12","   1"," 265","   0","  20","   1","  16","   0","   0","   0","   0","   0","   2","   0","   4","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   7","   0","  47","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 293","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   2","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   5","   0","   0","   1","   0","   0"," 401","   1","   0","   0"," 187","   0","   0","   4","   0","   2","   0","   0","   0","  26","   4","  16","   0","   0"," 159","  43","   3","   0","   0","   0","   1","   0","  17","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   6","   0","   0"," 146","   0","   0","   0","   0","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0"
" 204","1325","   0","   0","   0","   0","   0","   0","   0","   0","   0","  41","  21","   0","   0","   0","   7","  15","   0"," 366","   0","  48","   0","   5","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","   7","   0","  25","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 353","   0","   1","   0","   0","   0","   2","   0","   1","   0","   0","   3","   0","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   2","   0","   0","   0","   0","   0","   0","   0","   6","   2","   0","  14","   0","   0","   2","   0","   0"," 548","   1","   2","   0"," 259","   0","   0","   1","   0","   0","   1","   0","   0","  18","   8","  24","   0","   0"," 235","  51","   6","   0","   0","   0","   1","   0","  24","  43","  11","   0","   0","   0","   0","   0","   0","   0","   0","   3","  10","   1","   0","   0","   4","   0","   0","  50","   0","   0","   0","   1","   0","   5","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0"
" 214","1394","   0","   0","   0","   0","   0","   0","   0","   0","   0","  33","   7","   0","   0","   0","   8","  12","   0"," 282","   0","  31","   0","   5","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   6","   0","   5","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 371","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","  33","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   1","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","  18","   0","   0","   2","   0","   0"," 408","   0","   3","   0"," 165","   0","   0","   3","   0","   0","   0","   0","   0","  14","   6","  26","   0","   0"," 176","  31","   6","   0","   0","   0","   1","   0","  33","  54","   6","   0","   0","   0","   1","   0","   0","   0","   0","   2","   6","   2","   0","   0","   4","   0","   0","  37","   0","   1","   0","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
" 224","1462","   0","   0","   0","   0","   0","   0","   0","   0","   2","  40","   7","   0","   0","   0","  11","  27","   0"," 342","   0","  63","   0","   2","   0","   0","   0","   0","   0","   1","   0","   9","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   5","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 429","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 115","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   2","   1","   0","   0","   0","   0","   0","   0","  16","   0","   0","  18","   0","   0","   1","   0","   0"," 652","   2","   2","   0"," 166","   0","   0","   4","   0","   1","   0","   0","   0","  13","   9","  34","   2","   0"," 345","  45","   5","   0","   0","   0","   1","   0","  59","  85","   8","   0","   0","   0","   0","   0","   1","   0","   0","   3","   6","   0","   0","   0","  10","   0","   0","  44","   1","   2","   0","   1","   0","   1","   0","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
" 238","1557","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   4","   0","   0","   0","  13","   9","   1"," 154","   0","  25","   0","  10","   1","   0","   1","   0","   0","   0","   0","  10","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   4","   0","  10","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0"," 247","   0","   2","   0","   0","   0","   3","   0","   0","   0","   0","   3","   0","  28","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   1","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","  14","   0","   0","   1","   0","   0"," 439","   0","   2","   0","  81","   0","   0","   2","   0","   0","   0","   0","   0","   2","   4","  20","   7","   0"," 214","  25","   1","   0","   0","   0","   2","   0","  20","  34","   5","   0","   0","   0","   0","   0","   0","   0","   0","   9","   8","   1","   0","   0","   3","   0","   2","  11","   0","   2","   0","   0","   0","   3","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0"
" 245","1605","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   3","   0","   0","   0","   6","   5","   0","  92","   0","  14","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","  23","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   0","   0","   0","   0","   0","   0","   6","   0","   0","   4","   0","   0","   0","   0","   0"," 224","   0","   0","   0","  37","   0","   0","   3","   0","   0","   0","   0","   0","   4","   3","   9","   0","   0"," 108","  11","   1","   0","   0","   0","   0","   0","  22","  21","   0","   0","   0","   0","   0","   0","   1","   0","   0","   6","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0"
" 253","1660","   0","   0","   0","   0","   0","   0","   0","   0","   1","  25","   2","   0","   0","   0","   9","  13","   0"," 165","   0","  22","   0","   2","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   9","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 105","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","  15","   0","   0","   3","   0","   0"," 356","   1","   0","   0","  27","   0","   0","   3","   0","   0","   0","   0","   0","   2","   5","  13","   0","   0"," 189","  23","   2","   0","   0","   0","   0","   0"," 112","  17","   6","   0","   0","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   4","   0","   0","  15","   0","   1","   0","   0","   0","   2","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
" 260","1708","   0","   0","   0","   0","   0","   0","   0","   1","   0","  52","   0","   0","   0","   0","  11","  36","   0"," 419","   0","  46","   0","  16","   0","   0","   0","   0","   1","   2","   0","  14","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1","   9","   0","  22","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0"," 113","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","  26","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","  36","   0","   0","  15","   0","   0"," 686","   2","   1","   0","  60","   0","   0","   8","   0","   1","   0","   0","   0","   4","  13","  20","   2","   0"," 331","  52","   0","   0","   0","   0","   1","   0"," 268","  66","   5","   0","   0","   0","   0","   0","   0","   0","   0","   4","   8","   0","   0","   0","   2","   0","   0","  11","   0","   1","   0","   0","   0","   4","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
" 270","1792","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   1","   0","   0","   0","   9","  22","   0"," 271","   0","  29","   0","   6","   0","   0","   0","   0","   0","   1","   1","  10","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   8","   0","  14","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","  75","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","  18","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","  23","   0","   0","   6","   0","   0"," 476","   0","   0","   0","  24","   0","   0","   3","   0","   0","   0","   0","   0","   1","   9","  14","   3","   0"," 225","  26","   1","   0","   0","   0","   0","   0"," 187","  42","   2","   0","   0","   0","   0","   0","   0","   0","   0","   8","   8","   0","   0","   0","   1","   0","   0","  15","   0","   0","   0","   0","   0","   6","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0"
