"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Hedera","HippophaÃ«","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Lythrum","Musci","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Polygonum t.","Potamogeton","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Vitis","Zelkova"
"153258","154054","152428"," 62.50",NA,"1","0","0","2","45","4","75","17","2","2","0","0","0","0","0","4","3","4","0","0","3","0","0","0","1","1","0","1","0","0","0","38","0","0","0","310","0","0","0","0","0","0","0","0","0","0","23","0","3","0","74","0","0","0","54","3","0","1","8","1","0","0","1","0","2","0","0","0","0","0","0","0"
"156368","157167","155541"," 63.50",NA,"4","0","0","2","45","7","110","6","10","0","0","2","0","0","3","3","0","4","1","1","1","0","2","0","0","0","0","0","0","0","0","24","0","0","1","245","0","0","0","0","0","0","0","0","0","0","20","0","0","0","119","1","0","0","57","0","0","0","12","1","0","0","0","0","4","0","0","0","2","0","0","0"
"159478","160279","158653"," 64.50",NA,"15","1","0","8","13","6","59","5","4","2","0","2","0","0","13","1","0","0","0","6","2","3","1","0","1","0","0","1","0","0","0","29","0","0","0","101","0","0","0","0","0","0","0","0","0","0","43","0","1","0","100","3","0","0","178","0","0","3","7","1","0","0","4","0","1","0","3","0","4","0","0","0"
"162589","163390","161764"," 65.50",NA,"3","0","0","1","18","5","92","11","6","0","0","0","0","0","0","1","0","1","0","2","4","1","0","0","0","1","0","2","0","0","0","68","0","0","0","225","0","0","0","0","0","0","0","0","0","0","32","0","0","0","93","1","1","0","28","0","0","0","2","0","0","0","1","0","4","0","0","1","0","0","0","0"
"165699","166503","164875"," 66.50",NA,"12","0","0","3","16","4","62","8","12","3","0","0","0","0","9","2","1","1","0","0","1","0","2","0","1","0","0","0","0","0","0","12","0","0","0","115","0","0","0","0","0","0","0","0","0","0","84","0","0","0","87","1","0","0","35","0","0","0","3","0","0","0","1","0","9","0","0","0","1","0","0","0"
"168809","169614","167984"," 67.50",NA,"4","0","0","2","24","1","59","2","1","3","0","1","0","0","0","0","0","3","0","12","9","1","2","0","1","0","0","0","0","0","0","18","0","0","0","381","0","0","0","1","0","0","0","0","0","0","97","0","0","0","79","6","1","0","95","0","0","0","1","2","0","1","1","0","2","0","0","0","3","0","0","1"
"171919","172725","171092"," 68.50",NA,"3","0","0","4","24","3","91","5","0","1","0","1","0","0","3","2","1","1","0","6","6","1","2","0","0","0","0","0","0","0","0","14","0","0","0","218","0","0","0","0","0","0","0","0","0","0","119","0","0","0","90","0","0","0","137","0","0","0","1","0","0","2","0","0","1","0","0","0","4","0","0","2"
"175029","175837","174199"," 69.50",NA,"4","1","0","2","14","1","57","3","6","2","0","1","0","0","0","1","0","2","1","4","5","0","0","0","0","0","0","1","0","0","0","16","0","0","0","269","0","0","0","4","0","0","0","0","0","0","97","0","1","0","88","1","0","0","112","0","0","0","6","0","0","0","0","0","1","0","0","0","1","0","0","0"
"178139","178950","177306"," 70.50",NA,"3","0","0","4","29","5","68","2","3","0","0","0","0","0","0","0","1","2","0","16","3","0","2","0","2","0","0","0","0","0","0","12","0","0","0","374","0","0","0","1","0","0","0","0","0","0","80","0","1","0","80","1","0","0","111","0","0","1","3","0","0","0","1","0","1","0","0","0","5","0","0","0"
"181250","182061","180411"," 71.50",NA,"1","0","0","0","40","0","53","9","1","0","0","0","0","0","0","9","2","2","2","1","2","0","1","0","0","0","0","0","0","0","0","55","0","0","0","571","0","0","0","0","0","0","0","0","0","1","74","0","0","0","26","3","0","0","87","0","0","0","1","1","0","0","1","0","3","0","0","0","0","0","0","0"
"184360","185175","183516"," 72.50",NA,"3","0","0","1","20","1","40","7","0","2","0","1","0","0","0","8","0","5","1","7","3","0","0","0","0","0","0","0","0","0","0","30","0","0","0","899","0","0","0","0","0","0","0","0","0","0","60","0","0","0","69","4","0","0","86","0","0","0","1","0","0","1","0","0","0","0","0","0","7","0","0","0"
"187470","188289","186618"," 73.50",NA,"5","0","0","0","55","2","71","5","1","1","0","0","0","0","0","2","0","2","1","1","0","0","1","0","0","0","0","0","0","0","0","21","0","0","0","215","0","0","0","0","0","0","0","0","0","0","39","0","1","0","46","5","0","0","68","0","0","0","6","0","0","1","1","0","0","0","0","0","1","0","0","0"
"190580","191403","189722"," 74.50",NA,"1","0","0","1","21","2","82","4","1","0","0","0","0","0","0","10","5","1","0","2","3","0","1","0","0","0","0","0","0","0","0","31","0","0","0","740","0","0","0","0","0","1","0","0","0","0","42","0","0","0","73","7","0","0","55","0","0","0","1","0","0","0","2","0","1","0","0","0","1","0","0","0"
"193690","194519","192825"," 75.50",NA,"1","0","0","1","25","0","67","2","4","0","0","0","0","0","0","4","0","1","0","2","4","0","2","0","3","0","0","0","0","0","0","40","0","0","0","314","0","0","0","0","1","0","0","0","0","0","28","0","0","0","42","1","0","0","93","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1"
"196800","197637","195928"," 76.50",NA,"8","0","0","0","11","0","43","2","0","0","0","0","0","0","2","3","0","1","0","5","4","0","1","0","4","0","0","0","0","0","0","16","0","0","0","189","0","0","0","1","0","0","0","0","0","0","84","0","2","0","66","2","0","0","65","0","0","0","1","0","0","0","0","0","2","0","2","0","1","0","0","1"
"199911","200755","199029"," 77.50",NA,"8","0","0","0","15","1","42","3","2","1","0","0","0","0","2","1","0","2","0","3","11","0","1","0","6","0","0","0","0","0","0","23","0","0","0","246","0","0","0","2","0","0","0","0","0","0","147","0","0","0","76","3","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"203021","203874","202131"," 78.50",NA,"12","0","0","1","15","0","57","0","3","0","0","2","0","0","2","2","0","3","0","2","4","0","0","0","1","0","0","1","0","0","0","25","0","0","0","350","0","0","0","0","0","0","0","0","0","0","172","0","2","0","59","2","0","0","53","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0"
"206131","206994","205232"," 79.50",NA,"26","0","0","3","19","0","33","5","2","0","0","0","0","0","4","1","1","0","0","6","16","0","0","0","3","0","0","0","0","0","0","26","0","0","0","243","0","0","0","0","0","0","0","0","0","0","172","0","1","0","54","0","0","0","82","0","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0","3"
"209241","210115","208332"," 80.50",NA,"7","0","0","0","7","0","18","0","1","1","0","0","0","0","1","0","0","3","0","2","1","0","0","0","2","0","0","0","0","0","0","54","0","0","0","197","0","0","0","0","0","0","0","0","0","0","129","0","1","0","58","2","0","0","34","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1"
"212351","213237","211431"," 81.50",NA,"12","1","0","2","9","1","39","2","1","2","0","0","1","0","3","2","1","1","0","3","4","0","1","0","5","0","0","1","0","0","0","17","0","0","0","202","0","0","0","0","0","0","0","0","0","0","125","0","0","0","60","5","0","0","64","0","0","0","0","0","0","0","0","0","3","0","0","1","2","0","0","1"
"215462","216357","214529"," 82.50",NA,"9","0","0","0","13","0","16","3","3","1","0","0","1","0","2","2","1","5","0","3","4","0","0","0","6","0","0","2","0","0","0","27","0","0","0","316","0","0","0","0","0","0","0","0","0","0","144","0","0","0","66","2","0","0","23","0","0","0","2","1","0","0","0","0","1","0","0","0","1","0","0","0"
"218572","219478","217626"," 83.50",NA,"10","1","0","0","5","0","26","3","4","1","0","0","0","0","2","3","0","4","0","4","6","0","1","0","5","0","0","2","0","0","0","25","0","0","0","406","0","0","0","0","0","0","0","0","0","0","133","0","0","0","51","3","0","0","41","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","2"
"220127","221038","219174"," 84.00",NA,"51","1","0","7","10","3","22","5","26","9","0","2","1","0","9","3","0","1","0","10","0","0","2","0","3","0","0","0","0","0","0","13","0","0","0","82","0","0","0","0","0","0","0","0","0","1","32","0","0","0","65","2","0","0","98","0","0","3","5","1","0","0","4","0","5","0","0","0","7","0","0","1"
"221682","222599","220723"," 84.50",NA,"40","0","0","2","4","2","21","1","0","4","0","2","3","0","4","0","0","0","0","12","8","0","0","0","2","0","0","1","0","0","0","8","0","0","0","53","0","0","0","0","0","0","0","0","0","0","28","0","0","0","6","1","0","0","218","0","0","1","0","0","0","0","1","0","0","0","3","0","7","0","0","6"
"223237","224158","222270"," 85.00",NA,"21","1","0","4","6","1","22","3","2","3","0","1","1","0","9","2","0","0","0","6","2","0","0","1","13","1","0","1","0","0","0","24","0","0","0","43","0","0","0","0","0","0","0","0","0","1","13","1","0","0","25","3","0","0","217","0","0","1","0","2","0","0","3","0","1","0","1","0","2","0","0","1"
"224792","225718","223818"," 85.50",NA,"20","0","0","1","6","0","11","0","2","3","0","0","0","0","6","1","0","0","0","10","1","0","0","0","2","2","0","1","0","0","0","67","0","0","0","42","0","0","0","0","0","0","0","0","0","1","19","0","0","0","18","1","0","0","188","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"226347","227279","225366"," 86.00",NA,"12","0","0","1","5","2","7","3","0","3","0","0","9","0","5","0","1","0","1","16","4","1","0","0","8","1","0","2","0","0","0","12","0","0","0","54","0","0","0","0","0","0","0","0","0","0","10","0","0","1","45","2","0","0","242","1","0","2","0","0","0","0","1","0","0","0","4","0","10","0","0","10"
"227902","228840","226914"," 86.50",NA,"5","0","0","4","10","3","10","5","0","1","0","0","6","0","6","0","0","0","0","15","6","0","0","0","8","0","0","1","1","0","0","51","0","0","0","101","0","0","0","0","0","0","2","0","0","0","5","0","0","0","17","0","0","0","223","0","0","0","0","0","0","0","0","0","0","0","1","0","20","0","0","8"
"229457","230401","228461"," 87.00",NA,"10","0","0","2","5","2","10","1","0","2","0","1","4","0","10","2","0","0","0","12","13","2","0","0","5","0","0","0","0","0","0","20","0","0","0","71","0","0","0","1","0","0","0","0","0","2","10","0","0","0","33","1","1","0","236","0","0","6","0","1","0","0","0","0","0","0","2","0","22","0","0","8"
"231012","231961","230008"," 87.50",NA,"8","0","0","3","2","0","13","1","0","9","0","1","7","0","3","1","0","0","0","13","3","0","0","0","7","0","0","3","0","0","0","17","0","0","0","61","0","0","0","0","0","0","0","0","0","1","5","3","1","0","32","3","0","0","224","0","0","0","0","1","0","1","0","0","0","0","2","0","14","0","0","9"
"232568","233523","231556"," 88.00",NA,"10","0","0","1","11","2","17","1","0","12","0","0","0","0","14","0","0","0","0","10","4","1","0","0","9","1","0","7","1","0","0","26","0","0","0","109","0","0","0","1","0","0","0","0","0","2","7","0","0","0","30","4","0","0","295","0","0","2","0","0","0","0","1","0","1","0","0","0","31","0","0","10"
"234123","235084","233103"," 88.50",NA,"8","0","0","1","7","1","8","1","0","7","0","1","9","0","7","0","1","1","1","11","6","0","0","0","9","0","0","4","0","0","0","36","0","0","0","137","0","0","0","0","0","0","0","0","0","1","10","2","0","1","55","8","0","0","299","0","1","0","2","3","0","0","0","0","1","0","3","0","29","0","0","12"
"235678","236645","234651"," 89.00",NA,"11","0","0","3","8","3","14","2","0","4","0","0","8","0","17","4","0","1","0","8","4","0","0","0","9","0","0","4","0","0","0","37","0","0","0","60","0","0","0","0","0","0","0","0","0","1","12","1","1","0","29","4","0","0","221","0","0","0","2","3","0","0","3","0","0","0","2","0","14","0","0","19"
"237233","238207","236198"," 89.50",NA,"3","0","0","2","46","1","128","2","1","0","0","1","0","0","1","4","3","2","2","5","19","4","2","0","0","0","0","4","0","0","0","27","0","0","0","472","0","0","0","0","0","1","0","0","0","1","146","0","2","0","72","20","0","0","118","4","0","1","2","0","1","0","2","0","1","0","0","0","3","0","0","1"
"238788","239769","237745"," 90.00",NA,"0","0","0","3","18","0","62","6","1","1","0","1","0","0","1","2","3","11","0","2","2","2","2","0","1","0","0","3","0","0","0","33","0","0","0","1014","0","0","0","0","0","0","0","0","0","0","98","0","0","0","48","11","0","0","44","0","0","1","2","0","0","0","0","0","2","0","0","0","1","0","0","0"
"240343","241330","239292"," 90.50",NA,"4","1","0","1","23","0","76","3","1","0","0","0","0","0","0","2","0","2","0","2","2","3","1","0","0","0","0","1","0","0","0","22","0","0","0","97","0","0","0","0","0","0","1","0","0","1","110","0","2","1","30","11","1","0","130","0","0","0","2","0","1","0","2","0","1","0","0","0","2","0","0","0"
"243453","244455","242388"," 91.50",NA,"3","0","0","1","17","3","74","3","0","1","0","0","0","0","0","0","2","2","0","15","4","4","0","0","0","0","0","0","0","0","0","62","0","0","0","606","0","0","0","1","0","0","0","0","0","0","135","0","0","0","17","3","2","0","78","0","0","3","2","1","0","0","2","0","0","0","0","3","0","0","0","0"
"245930","246929","244867"," 92.50",NA,"2","0","0","2","19","1","79","8","1","1","0","0","0","0","1","5","0","17","0","1","7","4","1","0","0","0","0","0","0","0","0","14","0","0","0","502","0","0","0","0","0","0","0","0","0","0","92","0","0","0","40","6","0","0","58","0","0","0","0","0","2","0","2","0","1","0","0","0","2","0","0","0"
"247772","248753","246731"," 93.50",NA,"1","0","0","0","35","1","101","7","1","0","0","0","0","0","0","7","0","13","0","0","5","1","2","0","0","0","0","0","0","0","1","29","0","0","0","1732","0","0","0","0","0","0","0","0","0","0","52","0","0","0","49","4","0","0","28","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0"
"249615","250579","248595"," 94.50",NA,"0","0","0","3","36","0","102","8","2","0","0","0","0","0","0","1","1","2","0","0","4","0","2","0","0","0","0","1","0","0","0","23","0","0","0","641","0","0","0","0","0","0","0","0","0","0","52","0","0","0","55","6","0","0","64","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"251458","252403","250457"," 95.50",NA,"0","0","0","0","24","1","82","7","0","0","0","0","0","0","0","0","0","12","0","1","3","0","0","0","0","0","0","0","0","0","0","61","0","0","0","844","0","0","0","0","0","0","0","0","0","0","27","0","0","0","31","3","3","0","27","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"253301","254228","252320"," 96.50",NA,"0","0","0","0","46","0","118","7","0","1","0","1","0","0","0","4","3","3","0","1","5","1","2","0","0","1","0","2","0","0","0","36","0","0","0","518","0","0","0","1","0","0","0","0","0","1","26","0","0","0","59","12","0","0","72","2","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0"
"255143","256054","254181"," 97.50",NA,"0","0","0","0","35","1","154","10","0","0","0","3","0","0","0","3","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","874","0","0","0","0","0","0","0","0","0","1","32","0","0","0","40","5","0","0","38","0","0","0","1","0","1","0","1","1","1","0","0","1","0","0","0","0"
"256986","257878","256040"," 98.50",NA,"2","0","0","0","51","2","148","9","2","0","0","0","0","0","0","7","2","4","0","0","5","1","6","0","0","0","0","0","0","0","0","30","0","0","0","557","0","0","0","0","0","0","0","0","0","0","18","0","0","0","34","3","1","0","93","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0"
"258829","259704","257899"," 99.50",NA,"1","0","1","2","40","0","179","10","0","2","0","0","0","0","0","0","6","5","0","0","2","1","1","0","0","0","0","4","0","0","0","44","0","0","0","338","0","0","0","0","0","0","0","0","0","1","16","0","0","0","25","6","0","0","49","1","0","12","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"260672","261529","259757","100.50",NA,"1","0","0","2","31","0","146","6","1","0","0","0","0","0","0","2","0","8","0","0","1","0","1","0","0","0","0","0","0","0","0","80","0","0","0","738","0","0","0","0","0","0","0","0","0","0","29","0","1","0","17","3","3","0","53","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1"
"262514","263355","261615","101.50",NA,"1","0","0","1","46","0","122","8","1","0","0","0","0","0","1","2","1","0","0","0","2","2","2","0","0","0","0","0","0","0","0","32","0","0","0","540","0","0","0","3","0","0","0","0","0","1","10","0","2","0","67","9","3","0","75","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1"
"264357","265183","263474","102.50",NA,"1","0","0","1","39","0","90","13","1","0","0","1","0","0","0","0","0","4","1","1","4","2","0","0","0","0","0","0","0","0","0","42","0","0","0","798","0","0","0","0","0","0","0","0","0","0","22","0","0","0","63","8","0","0","67","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","1"
"266200","267013","265333","103.50",NA,"0","0","0","0","39","0","95","5","2","0","0","0","0","0","0","2","2","4","0","2","1","1","2","0","0","0","0","0","0","0","0","24","0","0","0","583","0","0","0","0","0","0","0","0","0","0","30","0","0","0","76","14","0","0","71","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"268043","268845","267195","104.50",NA,"1","0","0","0","31","1","113","13","0","0","0","0","0","0","0","1","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","68","0","0","1","1090","0","0","0","0","0","0","0","0","0","0","16","0","0","0","28","7","2","0","36","0","0","2","0","0","1","0","0","0","2","0","0","0","0","0","0","0"
"271728","272514","270919","106.50",NA,"2","0","0","0","20","1","73","4","2","0","0","0","0","0","0","6","4","1","0","2","1","1","3","0","1","1","0","0","0","0","0","33","0","0","0","534","0","0","0","0","0","0","0","0","0","0","24","0","0","0","92","6","1","0","75","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1"
"273571","274348","272779","107.50",NA,"6","0","0","0","30","0","42","17","1","0","0","0","0","0","0","3","1","6","0","7","2","0","5","0","0","0","0","0","0","0","0","37","0","0","0","432","0","0","0","0","0","0","0","0","0","0","28","0","0","0","102","14","0","0","64","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1"
"275413","276179","274635","108.50",NA,"2","0","0","2","25","0","41","2","5","2","0","1","0","0","1","0","1","0","0","0","5","0","1","0","3","0","0","0","0","0","0","18","0","0","0","270","0","0","0","0","0","0","0","0","0","0","52","0","0","0","72","10","0","0","74","0","0","0","4","0","0","0","2","0","3","0","2","0","1","0","0","0"
"277256","278010","276490","109.50",NA,"1","1","0","0","45","0","82","8","8","2","0","3","0","0","0","1","2","4","0","1","2","0","0","0","0","0","0","0","0","0","0","15","0","0","0","132","0","0","0","0","0","0","0","0","0","1","42","0","0","0","86","9","0","0","58","0","0","0","3","0","0","0","1","0","2","0","1","0","0","0","0","0"
"279099","279841","278343","110.50",NA,"2","0","0","0","37","3","54","5","2","0","0","1","0","0","1","1","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","37","0","0","0","706","0","0","0","0","0","0","0","0","0","0","26","0","0","0","42","1","0","0","51","2","0","0","0","0","1","0","0","0","3","0","1","0","0","0","0","1"
"280942","281673","280197","111.50",NA,"4","0","0","2","37","1","62","7","6","6","0","0","0","0","3","2","2","1","0","1","2","2","1","0","0","2","0","0","0","0","0","26","0","0","0","140","0","0","0","0","0","0","0","0","0","0","59","0","2","0","97","27","0","0","64","0","0","0","4","1","0","1","6","0","2","0","0","0","8","0","0","3"
"282784","283508","282053","112.50",NA,"15","0","0","2","22","2","46","2","4","5","0","0","1","0","8","1","0","0","0","1","1","1","0","0","1","11","0","1","0","0","0","19","0","0","0","102","0","0","0","1","0","0","0","0","0","0","68","0","1","0","85","30","0","0","76","1","0","0","1","0","0","0","3","0","1","0","1","1","12","0","0","2"
"283706","284426","282980","113.00",NA,"14","0","0","3","27","3","48","0","8","4","0","0","0","0","10","2","2","1","0","12","4","2","0","0","2","3","0","0","0","0","0","20","0","0","0","157","0","0","0","2","0","0","0","1","0","0","69","1","0","0","93","13","0","0","148","0","0","3","4","2","0","0","1","0","2","0","4","1","14","0","0","1"
"284627","285344","283906","113.50",NA,"82","0","0","5","24","4","51","2","9","12","0","0","1","0","48","1","0","1","0","27","2","1","1","0","8","0","0","1","0","0","0","36","0","0","0","141","0","0","0","1","0","2","0","0","0","1","112","0","1","0","87","4","0","0","261","1","0","0","2","0","0","0","2","0","2","0","10","0","21","0","0","4"
"285549","286264","284833","114.00",NA,"83","0","0","9","2","1","16","0","5","5","0","0","2","0","38","0","0","0","0","20","2","0","0","0","3","0","0","0","1","0","0","21","0","0","0","64","0","0","0","0","0","0","0","0","0","0","43","0","0","0","21","0","0","0","164","0","0","0","0","0","0","0","0","0","1","0","3","0","23","0","0","4"
"286470","287184","285758","114.50",NA,"11","0","0","0","17","5","56","0","3","4","0","1","0","0","2","0","2","0","0","4","0","0","1","0","0","0","0","2","0","0","0","22","0","0","0","170","0","0","0","0","0","1","0","0","0","1","102","1","0","0","89","6","1","0","120","0","0","0","3","0","0","0","2","0","5","0","3","0","2","0","0","2"
"288313","289023","287606","115.50",NA,"10","0","0","1","7","7","9","2","1","2","0","0","0","0","5","0","0","1","0","2","8","2","1","0","0","3","0","4","0","0","0","83","0","0","0","169","0","0","0","0","0","0","1","0","0","3","16","0","0","0","35","2","10","0","218","0","0","0","2","5","0","0","4","0","2","0","3","0","10","0","0","23"
"290155","290862","289451","116.50",NA,"0","0","0","4","21","1","11","2","3","2","0","0","0","0","0","1","1","2","0","0","41","1","0","0","0","0","0","2","1","0","0","19","0","0","0","122","0","0","0","0","0","0","0","0","0","0","71","0","0","0","38","4","0","0","105","0","0","0","2","0","0","0","1","0","1","0","0","0","7","0","0","2"
"291998","292703","291292","117.50",NA,"1","0","0","0","29","1","72","3","2","1","0","0","0","0","0","1","1","1","0","2","6","0","0","0","0","2","0","0","0","0","0","3","0","0","0","164","0","0","0","0","0","0","0","0","0","0","127","0","0","0","20","1","0","0","107","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","0","1"
"293841","294546","293135","118.50",NA,"0","0","0","2","24","0","113","3","3","0","0","0","0","0","0","3","0","5","0","4","8","0","1","2","0","1","0","0","0","0","0","16","0","0","0","757","0","0","0","0","0","0","0","0","0","0","152","0","0","0","39","0","0","0","152","1","0","2","0","0","1","0","1","0","4","0","0","0","0","0","0","3"
"295684","296389","294974","119.50",NA,"2","0","0","1","68","0","101","9","3","0","0","1","0","0","0","2","0","0","0","2","14","0","2","0","0","3","0","0","0","0","0","9","0","0","0","160","0","0","0","0","0","0","0","0","0","0","147","0","0","0","59","1","0","0","172","0","0","1","1","0","0","0","5","0","1","0","0","2","3","0","0","0"
"297526","298236","296814","120.50",NA,"3","0","0","1","44","1","100","4","2","3","0","0","0","0","3","2","1","2","1","2","11","0","0","0","0","2","0","0","0","0","0","21","0","0","0","319","0","0","0","0","0","0","0","0","0","0","102","0","0","0","61","7","0","0","130","0","0","0","6","0","0","1","5","0","0","0","1","0","1","0","0","0"
"299369","300082","298652","121.50",NA,"10","0","0","7","10","1","38","3","4","0","0","0","0","0","15","0","0","4","0","7","3","0","1","0","1","6","0","2","0","0","0","55","0","0","0","328","0","0","0","0","0","0","1","0","0","0","21","0","0","0","77","3","1","0","146","0","0","0","1","1","0","1","1","0","6","0","0","0","1","0","0","0"
"301212","301932","300489","122.50",NA,"7","0","0","1","31","1","49","7","0","0","0","2","0","0","1","3","0","1","0","2","9","0","2","0","1","3","0","0","0","0","0","25","0","0","0","418","0","0","0","0","0","0","0","0","0","0","68","0","0","0","63","1","1","0","91","0","0","0","0","0","0","1","2","0","5","0","0","0","0","0","0","0"
"303055","303782","302325","123.50",NA,"5","0","0","2","9","1","40","8","0","1","0","0","0","0","0","5","0","8","0","1","7","0","2","0","0","0","0","0","0","0","0","33","0","0","0","744","0","0","0","0","0","0","0","0","0","0","20","0","0","0","129","2","3","0","86","0","0","0","0","0","0","0","1","1","4","0","0","0","3","0","0","1"
"304897","305633","304159","124.50",NA,"45","1","0","7","14","3","76","7","7","17","0","1","0","0","47","1","0","1","0","25","9","0","2","0","5","7","0","3","0","0","0","48","0","1","0","215","0","0","1","2","0","0","2","0","0","3","134","0","3","0","116","5","2","0","373","0","0","1","7","0","0","0","1","0","7","0","3","0","13","0","0","6"
"305819","306559","305076","125.00",NA,"4","1","0","2","12","6","74","5","8","2","0","0","0","0","4","2","0","1","1","0","1","3","4","0","0","2","0","0","0","0","0","27","0","0","0","134","0","0","0","7","1","6","0","2","0","0","45","0","0","0","168","3","8","0","58","0","0","7","2","0","0","0","13","0","1","0","0","1","2","0","0","0"
"306740","307485","305993","125.50",NA,"19","0","0","4","21","3","72","12","11","5","0","1","0","0","17","2","1","1","1","11","1","0","3","0","0","2","0","0","0","0","0","82","0","0","0","385","0","0","0","2","0","0","0","0","0","3","74","0","1","0","117","10","4","0","154","0","0","2","7","1","1","1","6","0","5","0","1","1","2","0","0","0"
"308583","309339","307828","126.50",NA,"15","1","0","4","9","0","28","0","7","9","0","0","0","0","15","0","1","1","0","6","2","0","1","0","1","0","0","2","0","0","0","20","0","0","0","107","0","0","0","0","0","0","0","0","0","1","39","0","1","0","109","4","0","0","129","0","0","3","3","1","0","0","0","0","3","0","0","0","6","0","0","1"
"310426","311194","309663","127.50",NA,"4","0","0","2","24","3","68","8","8","0","0","0","0","0","1","4","3","3","0","1","0","0","2","0","0","1","0","0","0","0","0","11","0","0","0","112","0","0","0","0","0","0","0","0","0","0","42","0","1","0","109","6","0","0","87","1","0","4","7","0","0","0","3","0","2","0","0","0","2","0","0","0"
"312268","313051","311495","128.50",NA,"4","0","0","3","19","3","66","10","8","2","0","0","0","0","4","2","0","0","1","4","5","3","2","0","1","0","0","1","0","0","0","20","0","0","0","185","0","0","0","0","0","0","0","0","0","2","57","0","1","0","113","3","0","0","99","0","0","1","5","1","0","0","0","0","4","0","0","0","4","0","0","0"
"314111","314909","313328","129.50",NA,"16","0","0","7","19","7","44","2","8","3","0","1","0","0","11","2","2","1","2","13","2","0","5","0","1","0","0","1","0","0","0","18","0","0","0","131","0","0","0","0","0","0","0","0","0","0","77","0","1","0","103","2","0","0","168","0","0","0","6","0","0","0","0","0","6","0","0","0","8","0","0","0"
"315954","316765","315157","130.50",NA,"4","0","0","5","49","5","104","5","7","0","0","0","0","0","2","1","1","1","0","0","13","0","6","0","1","0","0","0","0","0","0","28","0","0","0","106","0","0","0","0","0","1","0","0","0","1","83","0","2","0","117","11","0","0","62","0","0","1","8","1","0","0","5","0","5","0","0","0","0","0","0","1"
"317797","318623","316985","131.50",NA,"5","0","0","11","8","4","27","5","3","0","0","0","0","0","0","2","0","2","0","7","3","0","2","0","1","0","2","0","0","0","0","33","0","0","0","212","0","0","0","0","0","0","0","0","1","0","70","0","0","0","60","0","0","0","46","0","0","0","4","0","1","1","2","0","2","0","0","0","3","0","0","0"
"319639","320481","318814","132.50",NA,"2","0","0","5","21","8","53","14","7","2","0","0","0","0","3","0","1","3","0","4","15","1","2","0","1","0","0","3","0","0","0","40","0","0","0","127","0","0","0","0","0","0","0","0","0","0","104","0","0","0","130","7","1","0","123","0","0","0","4","0","1","0","1","0","1","0","0","0","3","0","0","1"
"321482","322341","320642","133.50",NA,"1","0","0","1","69","8","67","5","5","0","0","0","0","0","0","1","1","2","1","0","13","0","0","0","0","0","0","1","1","2","0","31","0","0","0","304","0","0","0","0","0","0","0","0","0","2","12","0","0","1","99","10","0","0","48","0","0","1","4","1","0","0","5","0","3","0","0","0","1","0","0","0"
