"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Caryophyllaceae undif.","Cedrus","Cichorieae","Cistaceae","Cyperaceae","Ephedra","Erica/Arbutus","Euphorbia t.","Fabaceae Undif.","Fern-Equisetophyta","Fungi","Hypericum undif.","Juglans","Lamiaceae undif.","Linum t.","Morella faya","Olea t.","Pinus canariensis","Plantago","Poaceae (<47 Âµm)","Poaceae (>47 Âµm)","Pollen concentration","Polygonum t.","Quercus deciduous","Ranunculaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorbineae","Ulmus t.","Unknown","Urtica t.","cf. Adenocarpus","cf. Aeonium","cf. Typhaceae/Potamogetonaceae"
"2052.00",NA,NA," 328.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","  68.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  45.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 392.00","   0.00","  15.00","   0.00","2701.16","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  43.00","   0.00","   0.00","   0.00","   0.00"
"2107.00",NA,NA," 337.50","   0.00","   1.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","  24.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 433.00","   0.00","  38.00","   2.00","1920.15","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00"
"2122.00",NA,NA," 340.00","   0.00","   0.00","   0.00","   0.00","   7.00","   2.00","   5.00","   0.00","   0.00","  27.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 378.00","   0.00","  64.00","   4.00","6398.61","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","  35.00","   0.00","   0.00","   0.00","   0.00"
"2148.000",NA,NA," 344.500","   0.000","   0.000","   0.000","   0.000","   7.000","   2.000","   5.000","   2.000","   0.000","   9.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 394.000","   0.000","  42.000","  22.000","6533.031","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000"
" 2192.00",NA,NA,"  352.00","    0.00","    0.00","    0.00","    0.00","   14.00","    1.00","    0.00","    0.00","    0.00","   14.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  438.00","    0.00","   32.00","   10.00","12488.49","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.00","    0.00","    0.00","    0.00","    0.00"
" 2230",NA,NA,"  360","    0","    0","    0","    0","    4","    6","    5","    0","    1","    6","    0","   13","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","  457","    0","   37","    6","14384","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0"
"2256.00",NA,NA," 368.50","   1.00","   0.00","   0.00","   0.00","   1.00","  12.00","   1.00","   3.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00"," 478.00","   0.00","   8.00","   0.00","8672.53","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   0.00"
"2279.00",NA,NA," 376.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 705.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  99.00","   0.00","   0.00","   0.00"," 487.57","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00"
"2306.000",NA,NA," 385.000","  56.000","   0.000","   0.000","   0.000","  13.000","   6.000","   1.000","   0.000","   0.000","  13.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 470.000","   0.000","   6.000","   0.000","4837.443","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","  31.000","   0.000","   0.000","   0.000","   0.000"
"2336.00",NA,NA," 395.00","   0.00","   0.00","   0.00","   0.00","   3.00","  11.00","   3.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00"," 495.00","   0.00","   0.00","   0.00","1883.32","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   0.00"
