Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Lycopodiumspore,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Carpinus betulus,Caryophyllaceae,Centaurea,Cichorioideae,Cistus,Corylus,Cyperaceae,Daphne,Ephedra,Ericales,Fagus,Fraxinus excelsior-type,Fraxinus ornus,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable undiff./spore,Isoëtesspore,Juglans,Juniperus,Lamiaceae,Liliaceae,Lythrum,Myriophyllum,Nuphar,Nymphaea,Olea,Osmunda regalisspore,Ostrya/Carpinus orientalis,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polygonum,Polygonum aviculare-type,Polypodiophytaspore,Potamogeton,Poterium sanguisorba,Pteridiumspore,Pterocarya,Quercus,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sparganium,Sphagnumspore,Taxus,Thalictrum,Tilia,Typha latifolia,Ulmus,Urtica,Vitis,Zelkova
55,--/117685/--,130737/129932/129070,,168,12077,4,,29,,,1,5,8,7,2,2,,2,,,4,1,1,6,,7,2,,,9,,8,8,5,,,,65,,,,,,,1,,,69,,29,,10,128,1,,,74,1,4,3,2,,,,549,,,2,,,,,,,,3,,18,,,3
55.5,--/119099/--,132290/131487/130627,,94,12077,3,,12,,,2,3,4,8,4,,,,,,7,,1,2,1,3,2,,,4,,2,8,2,,,,63,3,,1,,,,1,,,26,,9,,9,90,3,4,1,43,1,3,2,1,3,,,579,,,3,,1,,1,,,1,3,2,12,,,
56.5,--/121928/--,135396/134597/133742,,56,12077,3,,3,,,1,5,4,9,2,1,,1,,,1,,,1,,5,1,,,,,6,6,,,,,58,,,4,,,,,,,,,5,,3,68,,,,27,,,,8,3,,,250,,,2,,,,,,,1,,,6,,,3
57.5,--/124757/--,138503/137707/136856,,103,12077,4,,,1,,2,6,2,8,4,10,,1,,,1,,1,1,,,,,1,,,5,3,,,,,68,,,17,,,,,,,,,2,,,47,2,,,50,,,,6,4,,,166,,,1,,1,,,,,2,,,17,,,
58.5,--/127586/--,141611/140817/139970,,87,12077,3,,1,,,2,10,6,11,3,10,,,,,,4,1,1,,1,,1,1,,1,,1,,,,,75,,,9,,,,,,,,,,,,51,,,,78,,,4,14,1,,,229,,,,,7,,3,,,1,,,18,,,1
59.5,--/130758/--,144721/143927/143086,,481,12077,4,,5,1,,,22,5,88,5,12,,1,,,3,2,1,,,,,,2,,,,2,,1,,,27,,,4,,,,,,,,,,,,34,,1,,48,,,,1,,,,51,,,1,8,1,,1,,,3,,,,,,
60.5,--/134273/--,147832/147038/146200,,384,12077,3,,2,1,,2,22,6,71,4,4,,,,,,1,2,1,1,5,1,,2,,,,,,2,,,70,,,3,,,,,,,2,,,,2,21,,,,102,,4,,2,,,,64,,,1,11,,,6,,,2,,,,,,
61.5,--/137788/--,150943/150148/149315,,264,12077,2,,1,,,,76,8,121,14,5,,,,,,6,1,2,,1,2,,4,,,,,,,,,25,,,3,,,,,,,,,,,,7,,3,,119,,3,,,,,,59,1,,,18,,,,,,1,,,,,,
62.5,--/141303/--,154054/153258/152428,,310,12077,3,,1,,,2,45,4,75,17,2,,,,,,4,3,4,,,,,,,1,,1,,,,,38,,,3,,,,,,,,,2,,,23,,3,,74,,,,,,1,,54,3,,1,8,1,,1,,,2,,,,,,
63.5,--/144818/--,157167/156368/155541,,245,12077,2,,4,,,2,45,7,110,6,10,,2,,,3,3,,4,,1,,,2,,,,,,1,,,24,,,1,1,,,,,,,,,,,20,,,,119,,1,,,,,,57,,,,12,1,,,,,4,,,2,,,
