Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
675,14019/13656/13275,--/21386/--,--/13593/--,,1,2,,,1,,11,,58,,,,,,,,3,,2,4,1,1,1,15,1,,2,,,,1,,,,1,17,,,,52,,1,,119,,1,6,,1,21,1,2,,,1,
685,14454/14054/13630,--/21569/--,--/13588/--,,2,1,,,6,4,12,3,72,1,,,1,,,,2,,,2,,,,20,3,,4,,,,,1,,,,15,,,3,106,,,,127,,8,3,,1,,4,1,,1,1,
690,14687/14253/13795,--/21660/--,--/14048/--,,1,1,,3,7,3,16,,49,,,,,,,,1,,1,3,,,,15,,,,,,,,1,,,,17,,,2,121,,,,92,,2,,,,,5,,,,1,
695,14932/14451/13959,--/21750/--,--/14509/--,,3,1,1,1,7,3,20,,21,,,,,,,,1,,2,3,,,,2,,,5,1,,,3,3,,,,18,,,2,125,,,,74,,2,3,,,,2,1,,,1,
700,15185/14650/14115,--/21840/--,--/14970/--,1,,,,,3,,14,1,37,,,,1,,,,1,,2,3,,,,7,,1,1,,,2,,2,,,,12,,,1,100,,,,92,,4,6,,1,,2,1,3,1,1,
705,15439/14849/14261,--/21931/--,--/15056/--,1,,5,,,31,5,60,1,3,2,,,2,,2,,1,,,4,,,,2,,,1,,1,2,1,2,,,1,8,,,3,118,,,,8,,1,1,,,,,3,,,,
710,15695/15048/14402,--/22020/--,--/15143/--,,,,,1,9,9,12,1,68,,,,,,,,1,,,2,,1,1,1,,1,3,,,,2,5,,,,8,,,,147,,,,28,,1,5,,,,1,1,,1,,
715,15951/15247/14537,--/22110/--,--/15229/--,,,2,,,1,9,9,2,53,,,,,,,,1,,,,,1,,,1,,3,,,,,4,,,,15,,,,120,,,,14,1,1,2,,,,1,1,,1,,
730,16730/15843/14924,--/22377/--,--/15489/--,,,1,,1,4,8,29,1,94,1,,,1,,1,,1,1,1,2,,,1,2,,,5,,1,1,,6,,,,30,,,,152,,,,14,,3,5,,1,,3,1,,,,
740,17253/16241/15178,--/22554/--,--/15662/--,,,5,,,20,6,55,1,22,,,,,,,,1,,,4,,2,,4,,,1,,1,,1,23,,,,20,,,,125,,,,14,,1,4,,1,,,,,,,
