Depth,Sample age (cal BP),Sample age (C14 BP),Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Arbutus,Armeria,Artemisia,Asphodelus,Asteroideae,Betula,Borago,Brassicaceae,Buxus,Calystegia,Campanulaceae,Cannabaceae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Cistus,Coriaria,Corylus,Cyperaceae,Cyperus,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbia,Fabaceae,Fagus,Fraxinus,Galium-type,Iridaceae,Lamiaceae,Lemna-type,Limonium,Malvaceae,Mercurialis,Myriophyllum,Myrtaceae,Olea,Pedicularis,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Populus,Potamogeton,Prunus,Quercus (deciduous),Quercus (evergreen),Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Rumex,Ruppia,Salix,Scabiosa,Scrophulariaceae,Secale,Sedum,Solanaceae,Sparganium-type,Tamarix,Thymelaea,Tilia,Trapa,Typha latifolia-type,Ulmus,Urticaceae,Vitis,cf. Juniperus
100,--/1216/--,--/973.6/--,,,,1,35,2,,,8,1,14,,,1,,,,,,,,,56,2,,,,15,,,,9,15,,,,,,,,,,,,,,11,,15,10,19,99,,,1,,1,19,,,,,,12,,,,,,,1,1,,,,,,,,10
110,--/1333/--,--/1000.6/--,,,,,33,5,,,8,,9,,,,,,,,,,,2,28,3,,,2,9,,,,5,16,,,,,,,,,,,,,,45,,19,10,15,70,,,,,2,12,,,,,,23,,,,,,,4,1,,,,,,,,9
120,--/1449/--,--/1027.6/--,1,,,3,19,6,,1,14,,13,1,,5,,,,,,1,2,,24,2,1,,,11,6,,,4,28,1,2,,7,1,,,1,,,,11,,124,,31,47,31,68,6,,,,9,30,3,,,,,3,1,,1,,,2,11,,,,,,1,1,,6
130,--/1564/--,--/1054.6/--,,,,1,14,14,,,12,5,17,1,,1,,,,,,1,3,,74,1,7,,,19,10,,,3,58,,5,,1,,,,,,,,9,2,47,,19,17,19,78,3,,,,4,24,,,,,,,7,,1,,,,14,5,1,,,,1,2,,2
140,--/1678/--,--/1153.6/--,,,,2,23,9,,1,12,2,13,2,,4,,,,,,,3,,33,4,4,,,20,6,2,,2,41,,5,,3,,,,,,1,,14,3,83,,36,43,32,48,5,,,,12,28,5,,,,,2,3,,1,,,3,20,1,1,,,1,3,1,,3
150,--/1792/--,--/1270.6/--,1,,,2,15,17,,,8,8,17,1,1,,,,,,,,3,,47,3,6,,2,20,7,,,,44,,6,,,,,,,,,,6,,63,,21,25,26,72,5,,,,3,19,1,1,,,,,3,,,,,,13,1,,,,,,2,,4
160,--/1905/--,--/1387.6/--,,,,1,35,18,,,9,8,15,,,,,,,,,1,1,,37,4,7,,2,12,1,,,3,35,,4,,,,,1,,,,,10,,21,,21,15,31,67,6,,,,2,15,1,,,,,,,,1,,,1,5,,1,,,,,2,,4
180,--/2128/--,--/1621.6/--,1,,,,26,18,,1,14,9,23,3,,,2,,,,3,1,1,,30,2,7,,,16,8,,,3,22,1,4,,,1,,,,,,,11,2,18,,18,15,36,72,5,,,,6,20,2,,,,,,2,,1,,,3,6,,,,,,,4,,8
190,--/2238/--,--/1738.6/--,1,,,3,22,10,,,10,3,17,,,,,,,,1,,,,20,1,6,,,18,5,,,1,23,,2,,,,,,,,,,6,1,22,,8,11,21,61,1,,,,3,10,2,,,,,,2,,,,,1,1,2,,,,,,4,,4
200,--/2347/--,--/1855.6/--,1,1,,1,38,8,,,14,11,11,2,1,,,,,,,,,,16,8,8,1,7,28,8,,1,5,33,,4,2,4,,,1,,,,,4,,80,,40,23,14,93,7,,,2,5,25,2,,,,,,6,,,,,,10,3,,,,,,,,6
210,--/2456/--,--/1972.6/--,,1,,4,18,5,,,7,4,15,1,,,,,,2,,,1,,21,2,8,,1,25,14,,,1,36,,2,,,,,,,,,,4,,32,,42,13,8,73,7,,,,8,12,,,1,,,,1,,,,,,3,3,,,,,,1,,4
220,--/2563/--,--/2089.6/--,,,,1,10,4,,1,6,5,13,1,,2,,,,,,,,,34,3,5,,1,18,6,,,1,33,,,1,1,,,,,,,,3,,25,,24,7,12,67,4,,,,6,13,,,,,,,3,,,,,,3,4,,,,,,1,,2
230,--/2670/--,--/2206.6/--,,,,1,7,5,,,3,6,13,,,1,,,,,,,,,26,4,5,,,16,6,,,1,24,,,,,,,1,,,,,4,,18,,19,11,7,65,1,,,,2,9,,,,,,,,,,,,,2,,,,,,,2,,1
240,--/2776/--,--/2340.4/--,1,,,2,10,17,,,6,5,25,,,,,,,,1,,,1,31,3,7,,3,22,10,,,1,35,,3,2,2,,,,,,,,2,,25,,13,9,9,43,,,,,5,14,,,,,,,4,,,,,,2,7,,,,,,3,,3
250,--/2881/--,--/2478.4/--,3,,,3,15,15,,,10,10,15,2,,,,,,,,1,,,26,9,6,,6,35,13,,,4,48,,3,1,4,,,,,,,,2,,87,,26,9,13,65,,,,,7,21,,,,,,,5,,,,,2,5,2,,,,,,,,3
260,--/2986/--,--/2616.4/--,4,1,,1,26,17,,,11,13,14,2,,1,,,,,1,,,,46,7,7,,2,29,13,,,2,53,,1,2,1,,,,,,,,4,,112,,46,10,22,85,2,,,,6,35,,,,,,,7,,,,,,5,2,,,,,1,3,,1
270,--/3089/--,--/2754.4/--,4,,,3,21,20,,,9,8,19,1,,,,,,,1,,1,,34,3,12,,4,26,10,,,2,56,,2,1,3,,,,,,,,2,,67,,42,13,27,87,4,,,1,7,22,1,,,,1,1,2,,,,,,1,7,,,,,,1,,3
278,--/3171/--,--/2864.8/--,4,2,,1,18,4,,,9,7,15,,,,,,,,,,,,17,8,9,,,24,6,,,2,35,,1,,1,,,,,,,,2,,33,,41,5,13,70,1,1,,,7,17,,,,,,,4,,,,,,2,5,1,,,,,1,,2
280,--/3192/--,--/2892.4/--,1,,,2,17,7,,,4,7,18,,,1,,,1,,,,,,40,5,15,,1,27,4,,,4,67,,2,,1,,1,,,,,,1,,27,,35,2,8,61,,,1,1,5,30,,1,,,1,1,,,,,,,4,3,,,,,,3,,1
290,--/3294/--,--/3030.4/--,1,,,1,18,9,,,6,12,26,,,,1,,,,,,,,37,6,6,,8,21,8,,,2,67,,,,,,,,,,,,2,,14,,23,2,14,63,1,,,,4,27,,,,,,,,,,,,,4,1,,,,,,2,,1
300,--/3395/--,--/3168.4/--,5,,,,11,6,2,,2,13,17,2,,,,,,,,,,,18,2,4,,5,28,6,,,5,53,,3,,,,,,,,,,,,4,,43,3,12,43,2,,1,,4,26,1,,,,,,,,,,,,,1,1,,,,,2,,4
310,--/3495/--,--/3306.4/--,1,,,5,20,4,,,3,14,21,,,,1,,,,,,,,33,5,,,3,32,,,,,69,,2,,,,,,,,,,,,5,,75,12,13,81,,,,,6,21,,1,,,,,,,,,,,,1,,,,,,,,25
320,--/3594/--,--/3444.4/--,3,,,1,12,2,,,4,8,16,,,,1,,,,,,,,26,5,,,,21,,,,1,32,,,,,1,,,,,,,,,10,,73,6,7,37,,,,,6,10,,,,,,,,,,,,,,1,,,,,,1,,20
330,--/3692/--,--/3582.4/--,,,,1,8,1,,,1,4,8,,,,,,,,,,,,18,1,,,,25,,,,1,83,,,,,,,,,,,,1,,23,,30,6,8,59,,,1,,1,6,,1,,,,,,,,,,,,3,,,,,,,,19
340,--/3790/--,--/3669.2/--,,,,1,18,11,,,13,1,12,1,,,,,,,,,,1,27,4,,,1,11,,,,1,27,,1,1,,,,,,,,,,,24,,22,11,30,62,2,,,,6,20,,,,,3,2,,,,,,,1,,,,,,,,,23
350,--/3887/--,--/3743.2/--,2,,,1,11,2,,,4,6,19,,,,,,,,,,,,11,3,,,7,18,,,,1,107,,,,,,,,,,,,1,,37,,70,4,15,78,1,,,,7,28,,,,,,,,,,,,,,1,,,,,,,,24
360,--/3983/--,--/3817.2/--,1,,,1,6,3,,,5,12,19,1,,,,,,,,2,,,12,1,,,3,22,,,,3,102,,,,,,,,,,,,1,,7,,38,2,10,40,,,,,1,11,,,,,,,,,,,,,1,,,,,,,,,8
370,--/4078/--,--/3891.2/--,,,,1,9,1,,,2,10,28,,,,1,,,,,,,1,8,2,,,3,26,,,,1,148,,1,1,,,,,,,,,,,20,,28,2,13,37,,,2,,8,12,,1,,,,,,,,,,,,,,,,,,,1,6
380,--/4172/--,--/3965.2/--,1,,,,5,2,,,4,10,17,,,,,,,,,1,,,7,1,,,2,11,,,,1,78,,,,,,,,,,,,,,14,,11,3,7,38,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,4
390,--/4266/--,--/4039.2/--,1,,,1,16,4,,,2,15,16,3,,,,,,,,,,,12,2,,,4,21,,,,1,114,,2,,,,,,,,,,,,42,,10,2,19,83,2,,2,,2,20,,,,,,,,,,,,,1,5,1,,,,,,1,6
400,--/4358/--,--/4113.2/--,1,,,3,10,4,,,2,19,45,1,,,,,,,,1,,,13,2,,,5,20,,,,5,83,,1,,,,,3,,,,,,,32,,9,1,10,43,,,,,5,12,,,,,,,,,,,,,1,1,,,,,,,,4
410,--/4450/--,--/4187.2/--,,,,4,7,6,,,4,17,37,1,,,1,,,,,1,,1,7,,,,,17,,,,4,81,,1,,,,,,,1,,,,,95,,11,3,7,48,,,,,6,17,,,,,,,,,,,,,2,,,,,,,,,5
420,--/4541/--,--/4261.2/--,1,,,1,11,5,,,3,9,29,1,,,,,,,,2,,,8,1,,,5,14,,,,3,83,,1,1,,,,,,,,,,,115,,18,3,13,35,,,,,13,31,,,,,,,,,,,,,3,1,,,,,,,1,3
430,--/4631/--,--/4335.2/--,,,,4,11,6,,,9,16,38,1,,,3,,,,,2,,,10,1,,,5,20,,,,10,78,,1,,,,,,,1,,,1,,70,,12,8,14,58,,,1,,5,19,,,,,,,,,,,,,3,,2,,,,,,,8
440,--/4720/--,--/4350/--,5,1,,,7,10,2,,1,13,32,1,,,4,,,,,,2,2,6,1,,,2,37,2,,,4,81,,5,1,,,,,,,,,,,51,,16,7,34,70,4,,,,7,24,1,,,,,,3,,,,,,5,1,,,,,2,,,6
450,--/4808/--,--/4350/--,1,,,1,10,5,,,1,6,20,,,,3,,,,,,,,4,1,,,,18,,,,3,31,,3,1,,,,,,,,,,,6,,6,3,14,46,2,,,,2,10,,1,,,,,2,,,,,,4,2,,,,,,1,,5
460,--/4896/--,--/4350/--,,,,2,4,7,,,2,1,28,,,,,,,,,,,,13,,,,3,13,,,,1,34,,1,,,,,,,,,,,,17,,12,,19,49,8,,1,1,4,11,2,1,,,,,,,,,,1,2,,,,,,,,,7
470,--/4983/--,--/4350/--,1,1,,1,2,12,,,3,2,30,,,2,,,,,,1,,,15,3,,,2,14,1,,,3,38,,1,,,1,,,1,,,,,,11,,6,4,35,86,5,,,,6,10,1,1,,,,,,,,,,,7,3,,,,,,2,,7
480,--/5068/--,--/4350/--,1,,,2,3,11,,,1,,39,,,3,,,1,,,,,1,13,1,,,2,7,3,,,2,26,,2,,,,,,,,,,,,10,,4,,36,83,1,,,,4,10,1,1,,,,,,,,1,,,6,2,,,,,1,2,,11
490,--/5153/--,--/4350/--,1,,,1,4,17,,,1,2,43,1,,,,,,,,,,,3,1,,,2,11,6,,,3,25,,1,,,,,,,,,,,,7,,8,,31,69,6,,1,,3,21,1,,,,,,,,,,,,4,1,,,,,1,2,,8
500,--/5238/--,--/4350/--,1,,2,2,5,24,,,1,,57,,,,,,,,,2,,1,7,2,,,1,15,5,1,,14,45,,2,,,,,,,,,,4,,8,,22,1,42,125,7,,,,10,20,1,,,,,,,,,,2,,7,3,,,,,,1,,20
510,--/5321/--,--/4350/--,1,,14,,5,18,,,1,1,26,,,1,2,,,,,2,,2,6,1,,,1,15,,,,9,37,,1,,,1,,,,,,,,,11,,9,4,21,88,2,,3,,7,11,1,,,,,,,,,,,2,,4,,,,1,,,,8
520,--/5403/--,--/4350/--,1,,13,1,8,31,,,3,9,51,,,2,8,,,,,,,1,15,1,,,,16,,,,10,53,,4,,,3,1,,,,,,,,15,,27,2,42,93,2,,6,,7,21,3,1,1,,,,1,,,,,2,4,3,,,,,,2,,19
530,--/5485/--,--/4350/--,1,,,4,12,36,,,3,6,57,2,,,5,1,,,,,,2,4,1,,,4,28,,1,1,8,39,1,4,1,,2,,,,,,1,,,14,,31,3,44,99,5,,3,,3,19,,,,,,,,,,1,,,4,3,1,,,,,4,,32
540,--/5566/--,--/4370.571/--,2,,,4,8,32,,,4,7,82,1,,,11,,,,1,3,1,,7,4,,,7,31,,,,11,28,,7,,,,,,,,,,1,,9,,31,9,28,97,4,,,,4,17,,,,,,,,,,,,,,5,,,,,1,4,,34
550,--/5646/--,--/4396.286/--,,,,2,2,12,,,1,2,49,1,,,8,,1,,,1,,,11,1,,,2,14,,,,10,16,,1,,,,,1,,,,,,,4,,20,5,32,52,7,,,,3,13,,,,,,,,,1,,,,3,1,1,,,,,4,,32
560,--/5725/--,--/4422/--,,,,2,6,14,,,1,10,55,,,,8,,,,,1,,,6,3,,,1,18,,,,4,17,,1,,,,,,,,,,,,2,,26,3,35,38,3,,,,2,6,,,,,,,,,,,,,2,2,,,,,,1,,34
570,--/5803/--,--/4605/--,1,,,,3,4,,,1,3,13,,,,7,,,,,,,,1,2,,,3,7,,,,8,8,,,,,,,,,,,,,,,,47,1,3,46,1,,,,5,15,,,,,,,,,,,,,2,1,,,,,,1,,69
580,--/5881/--,--/4896.341/--,1,,,1,5,12,,,1,3,20,,,,9,,,,,,,,1,1,,,1,12,,,,3,5,,,,,,,,,,,,,,,,41,6,3,39,,,,,10,11,,,,,,,,,,,,,7,1,1,,,,1,,,58
590,--/5957/--,--/5076.829/--,3,,,4,11,15,,,4,,27,,,,14,,,,,,,,1,2,,,5,18,,,,17,3,,1,1,,,,,,,,,,,3,,30,2,3,36,,,,,10,24,,,,,,,,,3,,,,4,3,,,,,,,,140
600,--/6033/--,--/5257.317/--,1,,,2,7,4,,,2,2,24,1,,,13,,,,,,,,6,2,,,7,12,,,,13,5,,1,,,,,,,,,,,,1,,23,,2,34,,,,,7,15,,,,,,,,,2,,,,4,2,,1,,,2,,,90
610,--/6108/--,--/5437.805/--,,,,1,5,12,,,2,1,32,1,,,30,,,,,,,,2,1,,,10,12,,,,12,3,,,1,,,,1,,,,,,,3,,17,1,2,31,,1,,,17,14,,,,,,,,,4,,,,6,,1,,,,2,,,97
620,--/6182/--,--/5770/--,,,,1,3,7,,,2,1,16,,,,19,,,,,,,,1,2,,,4,12,,,,17,2,,,,,,,1,,,,,,,1,,22,1,2,29,,1,,,7,13,,,,,,,,,2,,,,6,,,1,,,,,,57
630,--/6255/--,--/6203.333/--,,,,2,3,9,,,1,,12,1,,,24,,,,,,,,3,,,,5,9,,,,6,2,,1,,,,,,,,,,,,2,,24,,,15,,,,,6,20,,,,,,,,,1,,,,2,1,,,,,,,,85
640,--/6327/--,--/6332.4/--,1,,,3,2,9,,,4,3,25,1,,,35,,,,,1,,,4,3,,,7,18,,,,8,1,,,,,,,,,,,,,,,,44,,2,18,,1,,,8,15,,,,,,,,,,,,,8,2,,,,,,1,,57
650,--/6399/--,--/6385.4/--,1,,,1,7,29,,,2,,38,,,,54,,,,,,,,1,3,,,5,18,,,,14,4,,2,,,,,1,,,,,,,1,,31,2,4,29,,,2,,18,19,,,,,,,,,1,,,,7,1,,2,,,1,1,,65
660,--/6470/--,--/6438.4/--,,,,1,4,13,,,4,,35,1,,,65,,,,,1,,,1,2,,,3,19,,,,12,4,,2,,,,,,,,,,1,,,,40,2,3,43,,,3,,10,18,,,,,,,,,,,,,7,,1,3,,,,,,101
670,--/6540/--,--/6491.4/--,,,,1,5,10,,1,1,,32,1,,,44,,,,,,,,1,,,,9,13,,,,9,7,,2,,,,,1,,,,,1,,,,27,2,3,19,,1,1,,5,9,,,,,1,,,,,,,,5,,1,3,,,1,,,80
680,--/6609/--,--/6544.4/--,,,,3,4,18,,,2,,29,,,,67,,,,,,,,4,3,,,5,16,,,,9,4,,1,,,,,1,,,,,,,,,41,4,4,30,,,,,4,12,,,,,,,,,,,,,9,1,1,2,,,1,,,83
690,--/6677/--,--/6597.4/--,,,,,2,6,,,3,,16,,,,32,,,,,1,,,1,1,,,3,9,,,,14,5,,,,,1,,2,,,,,,,1,,39,,4,31,,,,,1,13,,,,,,,,,,,,,5,1,,1,,,1,1,,55
700,--/6744/--,--/6650.4/--,,,,2,4,7,,,2,,26,,,,30,,,,,,,,2,,,,11,8,,,,6,4,,1,,,,,,,,,,,,1,,36,1,2,30,1,,2,,5,12,,,,,,,1,,,,,,9,,,1,,,1,2,,46
710,--/6811/--,--/6703.4/--,1,,,3,3,15,,,1,1,35,2,,,58,,,,,,,,10,1,,,11,24,,,,13,5,,,,,,,,,,,,,,1,,57,,,40,,,,,6,12,,,,,,,,,1,,,,5,,1,2,,,2,1,,55
720,--/6876/--,--/6756.4/--,1,,,,3,17,,,1,,46,1,,,49,1,,,,,,,5,1,,,10,9,,,,8,7,,4,,,,,1,,,,,,,,,43,,,28,,,1,,8,14,,,,,,,,,1,,,,8,1,,3,1,,,,,58
730,--/6941/--,--/6809.4/--,1,,,1,5,11,,,3,,27,,,,45,,,,,,,,2,1,,,17,14,,,,2,6,1,,,,,,,,,,,,,1,,35,2,2,40,,,1,,6,13,,,,,,,1,,,,,,6,4,,2,,,1,,,68
740,--/7005/--,--/6828.807/--,1,,,2,3,14,,,3,,55,,,,87,,,,,,,,4,1,,,20,20,,,,17,4,,2,,,,,2,,,,,,,2,,65,,4,45,,,,,16,31,,,,,,,,,1,,,,14,1,2,1,,,3,,,73
750,--/7068/--,--/6839.816/--,,,,1,3,10,,,2,1,31,1,,,45,,,,,,,,3,1,,,11,14,,,,9,4,,3,,,,,,,,,,,,,,38,,3,48,,,1,,6,20,,,,,,,,,,,,,10,1,1,3,,,1,,,47
760,--/7131/--,--/6850.826/--,,,,1,4,13,,,1,2,38,,,,56,,,,,,,,6,1,,,16,18,,,,15,4,,,,,,,1,,,,,,,,,40,,2,43,,,,,9,19,,,,,,,,,,,,,5,1,,1,,,1,,,55
770,--/7192/--,--/6861.835/--,,,,1,5,16,,,2,,36,1,,,68,,,,,,,,5,1,,,11,17,,,,8,3,,,,,,,1,,,,,,,,,43,,,39,,,1,,9,14,,,,,,2,,,,,,,9,1,1,3,,,1,,,73
780,--/7253/--,--/6872.844/--,,,,3,2,17,,,2,,46,1,,1,94,,,,,,,,5,2,,,26,24,,,,8,3,,3,,,,,1,,,,,1,,1,,28,1,2,60,,,,,6,16,,,,,,1,,,,,,,9,,,,,,3,,,66
790,--/7313/--,--/6883.853/--,1,,,3,3,8,,,1,,33,,,,75,,,,,,,,5,3,,,12,20,,,,13,2,,2,,,,,2,,,,,1,,3,,39,,,47,,,,,5,19,,,,,,,,,,,,,3,2,2,2,,,,,,71
800,--/7371/--,--/6894.862/--,,,,2,5,9,,,,,26,1,,,57,,,,,,,,1,1,,,13,17,,,,8,2,,1,,,,,2,,,,,,,1,,39,,4,37,,,,,9,11,,,,,,,,,,,,,4,,,3,,,2,,,57
810,--/7430/--,--/6905.872/--,1,,,1,1,,,,,,18,,,,64,,,,,,,,1,,,,6,10,,,,3,3,,,,,,,2,,,,,,,1,,40,,3,40,1,,,,8,9,,2,,,,,,,,,,,10,1,,1,,,1,,,49
820,--/7487/--,--/6916.881/--,,,,2,3,8,,,1,,20,2,,,99,,,,,,,,2,2,,,16,26,,,,4,,,,,,,,2,,,,,1,,1,,43,1,5,41,2,,2,,19,15,,,,,,1,,,,,,,13,,,1,,,2,,,51
830,--/7543/--,--/6927.89/--,,,,1,3,7,,,1,,15,1,,,61,,,,,,,,8,1,,,6,9,,,,5,4,,2,,,,,2,,,,,1,,1,,57,,1,37,,,1,,5,21,,,,,,,1,,,,,,9,,1,,,,2,,1,40
840,--/7599/--,--/6938.899/--,,,,1,3,3,,,2,,14,1,,,42,,,,,,,,1,,,,7,9,,,,3,2,,,,,,,1,,,,,,,1,1,48,2,2,34,1,,2,,5,13,,,,,,2,,,,,,,15,1,,2,,,1,,,26
850,--/7654/--,--/6949.908/--,,,,,5,17,,,4,,35,3,,,92,,,,,,,,3,2,,,17,13,,,,5,4,,1,,,,,3,,1,,,,,1,,54,,8,69,1,,,,16,19,,,,,,1,,,,,,,20,1,2,2,,,4,,,52
860,--/7708/--,--/6960.917/--,,,,2,4,21,,,3,,37,2,,2,75,,,,,,,,3,3,,,27,14,,,,5,5,,3,,,,,1,,,,,1,,1,,47,2,6,60,1,,,,9,16,,,,,1,,,,,,,,19,1,1,1,,,1,,,43
870,--/7761/--,--/6971.927/--,1,,,1,1,23,,,1,,42,,,,55,,,,,,,,2,,,,12,11,,,,10,1,,,,,,,1,,,,,,,1,,25,,1,61,,,1,,7,19,,,,,1,,,,,,,,12,,1,1,,,2,,,27
880,--/7813/--,--/6982.936/--,,,,2,3,18,,,1,,40,1,,,92,,,,,,,,5,4,,,29,28,,,,3,8,,1,,1,,,1,,,,,,,1,,37,,5,72,1,,1,,9,25,,,1,,,2,,,,,,,15,,1,1,,,6,,,54
890,--/7864/--,--/6993.945/--,,,,3,2,17,,,1,,58,1,,,80,,,,,,,,9,2,,,15,29,,,,10,2,,1,,,,,1,,,,,,,1,,51,,5,61,,,,,10,22,,,,,,,1,,,,,,9,,,1,,,3,,,54
900,--/7915/--,--/7004.954/--,,,,2,8,15,,,4,,36,1,,,96,,,,,,,,9,4,,,31,40,,,,13,4,,3,,,,,1,,,,,1,,2,,51,1,3,86,5,,1,,13,17,,,,,1,1,,,,,,,10,2,1,,,,1,,,68
910,--/7964/--,--/7015.963/--,,,,1,2,7,,,2,,42,,,,53,,,,,,,,5,1,,,24,42,,,,7,2,,,,,,,2,,,,,,,,,43,,3,76,3,,,,9,16,,,1,,1,,,,,,,,10,,1,1,,,2,,,63
920,--/8013/--,--/7026.973/--,,,,3,5,10,,,3,,30,,,,58,,,,,,,,2,3,,,17,32,,,,4,3,,3,,,,,1,,,,,,,2,,40,,5,69,5,,,,10,25,,,,,,1,,,,,,,23,,2,3,,,1,,,50
930,--/8061/--,--/7037.981/--,,,,2,1,13,,,2,,35,,,,57,,,,,,,,3,4,,,18,18,,,,4,5,,1,,,,,,,,,,1,,3,,34,2,6,62,,,,,9,12,,,,,,1,,,,,,,30,1,,2,,,1,1,,39
940,--/8108/--,--/7048.991/--,,,,2,14,6,,,1,,20,1,,,38,,,,,,,,7,1,,,18,10,,,,3,4,,,,,,,,,,,,2,,1,,16,1,4,57,1,,,,9,16,,,,,,,,,,,,,35,2,,1,,,1,,,49
950,--/8155/--,--/7060/--,,,,,6,16,,,1,2,42,1,,,69,,,,,1,,,3,,,,23,35,,,,10,3,,2,,,,,1,,,,,,,1,,62,,1,93,,,10,,15,12,,,3,,,,,,,,,,9,1,,1,3,,1,,,48
960,--/8200/--,--/7310/--,,,,3,5,11,,,2,3,25,1,,,87,,,,,,,2,5,,,,17,32,,,,6,7,,,,,,,1,,,,,2,,3,,37,,4,74,,,14,,13,14,,,3,1,,,,,,,,,10,1,,1,2,,1,,,47
970,--/8245/--,--/7560/--,,,,4,7,26,,,5,,54,,,,81,,,,,,,,1,,,,18,51,,,,14,6,,,,,,,1,,,,,2,,2,,55,1,7,107,1,,21,,14,23,,,,,,,,1,,,,,5,,1,4,,,1,1,,79
980,--/8289/--,--/7810/--,1,,,4,7,16,,,3,6,54,1,,,36,,,,,,,1,7,,,,20,54,,,,19,1,,,,,,,,,,,,1,,5,,54,,8,109,1,,20,,9,19,,,1,,,1,,,,,,,18,1,,2,,,,,,104
